id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos
0,0.00002184,0.00043816,0.00347222,0.00000398327272727,bnb,1,0,1,,5,4
1,0.00000546,0.00048959,0.00347222,0.00000347226950355,srd,1,0,2,0.09950495,4,4
2,0.00000546,0.00031757,0.00225225,0.00000225226950355,srd,1,0,2,0.09918192,6,6
3,0.00000546,0.00031615,0.00224215,0.00000224219858156,srd,1,0,2,0.09886031,7,7
4,0.00263507,0.00031334,0.00222222,0.00000222226950355,srd,1,0,2,0.09591190,7,7
5,0.00050546,0.00031195,0.00221239,0.00000221241134752,srd,1,0,2,0.09509449,9,9
6,3.81689718,0.00028905,0.00205000,0.00000205,srd,1,0,2,1.91285970,11,11
7,1.10821526,0.00028905,0.00205000,0.00000205,srd,1,0,2,0.80435539,11,11
8,0.00000546,0.00028641,0.00203125,0.00000203127659574,srd,1,0,2,0.80406352,12,12
9,0.02980000,0.00028200,0.00200000,0.00000200,srd,1,0,2,0.77398152,12,12
10,0.03495767,0.00028073,0.00199097,0.00000199099290780,srd,1,0,2,0.73874312,13,13
11,1.89275619,0.00041413,0.00199097,0.00000199100961538,srd,2,0,2,1.83149636,13,12
12,0.03104296,0.00027542,0.00195327,0.00000195333333333,srd,1,0,2,1.80017798,12,12
13,0.00000546,0.00027432,0.00194553,0.00000194553191489,srd,1,0,2,0.09481471,13,13
14,0.09464812,0.00027432,0.00194553,0.00000194553191489,srd,1,0,2,1.70525554,13,13
15,0.01665086,0.00026096,0.00185074,0.00000185078014184,srd,1,0,2,1.68834372,14,14
16,0.00819046,0.00025493,0.00180800,0.00000180801418440,srd,1,0,2,1.67989833,14,14
17,0.00095233,0.00025493,0.00180800,0.00000180801418440,srd,1,0,2,1.67869107,14,14
18,0.00600000,0.00022205,0.00157480,0.00000157482269504,srd,1,0,2,0.08859266,16,16
19,0.00600000,0.00022205,0.00157480,0.00000157482269504,srd,1,0,2,0.08237061,17,17
20,1.17562657,0.00022205,0.00157480,0.00000157482269504,srd,1,0,2,0.50284245,17,17
21,0.00965973,0.00021150,0.00150000,0.00000150,srd,1,0,2,0.49297122,17,17
22,0.01151660,0.00021150,0.00150000,0.00000150,srd,1,0,2,0.07064251,17,17
23,0.64625500,0.00037995,0.00150000,0.00000155081632653,bnb,3,0,1,,18,15
24,0.05699015,0.00021045,0.00149254,0.00000149255319149,srd,1,0,2,0.01344191,15,15
25,0.00200000,0.00020587,0.00146004,0.00000146007092199,srd,1,0,2,0.01123604,15,15
26,0.26931395,0.00020587,0.00146004,0.00000146007092199,srd,1,0,2,0.01328236,16,16
27,0.13049524,0.00051626,0.00150073,0.00000150075581395,srd,4,0,2,24.30891673,16,13
28,0.00000546,0.00019055,0.00135135,0.00000135141843972,srd,1,0,2,0.01308635,18,18
29,0.00014500,0.00018465,0.00130952,0.00000130957446809,srd,1,0,2,24.30858708,19,19
30,0.00693770,0.00018465,0.00130952,0.00000130957446809,srd,1,0,2,24.30146473,19,19
31,0.00216590,0.00018465,0.00130952,0.00000130957446809,srd,1,0,2,0.01073580,20,20
32,0.00002410,0.00018465,0.00130952,0.00000130957446809,srd,1,0,2,24.30125598,20,20
33,0.01170950,0.00018465,0.00130952,0.00000130957446809,srd,1,0,2,24.28936183,20,20
34,0.00012050,0.00018465,0.00130952,0.00000130957446809,srd,1,0,2,24.28905668,20,20
35,0.58090821,0.00018419,0.00130628,0.00000130631205674,srd,1,0,2,23.70796428,21,21
36,0.00192521,0.00018330,0.00130000,0.00000130,srd,1,0,2,23.70585577,21,21
37,0.00132021,0.00018248,0.00129412,0.00000129418439716,srd,1,0,2,23.70435308,22,22
38,0.00001556,0.00018248,0.00129412,0.00000129418439716,srd,1,0,2,23.70415504,22,22
39,0.00199787,0.00018248,0.00129412,0.00000129418439716,srd,1,0,2,0.00855545,22,22
40,0.00002240,0.00018248,0.00129412,0.00000129418439716,srd,1,0,2,0.00835057,22,22
41,0.00135373,0.00018248,0.00129412,0.00000129418439716,srd,1,0,2,0.00681436,22,22
42,0.00001590,0.00018248,0.00129412,0.00000129418439716,srd,1,0,2,23.70395666,22,22
43,0.04170396,0.00026339,0.00126627,0.00000126629807692,srd,2,0,2,7.10035995,22,21
44,0.21664369,0.00017625,0.00125000,0.00000125,srd,1,0,2,6.88354001,21,21
45,2.59221749,0.00017625,0.00125000,0.00000125,srd,1,0,2,4.29114627,21,21
46,0.07150858,0.00025807,0.00124069,0.00000124072115385,srd,2,0,2,23.63900437,21,20
47,0.00064863,0.00024807,0.00119262,0.00000119264423077,srd,2,0,2,0.12941171,21,20
48,0.00427636,0.00016816,0.00119262,0.00000119262411348,srd,1,0,2,23.63455985,20,20
49,0.03830366,0.00016512,0.00117106,0.00000117106382979,srd,1,0,2,4.25267749,20,20
50,0.00367300,0.00013408,0.00116592,0.00000121890909091,bnb,1,0,1,,20,19
51,0.00000546,0.00016096,0.00114155,0.00000114156028369,srd,1,0,2,0.12924529,19,19
52,0.44678250,0.00016096,0.00114155,0.00000114156028369,srd,1,0,2,23.18761639,19,19
53,0.00000546,0.00016096,0.00114155,0.00000114156028369,srd,1,0,2,0.12907887,19,19
54,0.44627704,0.00016060,0.00113895,0.00000113900709220,srd,1,0,2,3.80623985,20,20
55,0.00000546,0.00016060,0.00113895,0.00000113900709220,srd,1,0,2,23.18745033,20,20
56,0.09343597,0.00015638,0.00110906,0.00000110907801418,srd,1,0,2,3.71264750,21,21
