id,input_amounts
0,['0.00046000']
1,['0.10000000']
2,['0.09950495']
3,['0.09918192']
4,['0.09886031']
5,['0.09591190']
6,['5.73004593']
7,['1.91285970']
8,['0.80435539']
9,['0.80406352']
10,['0.77398152']
11,"['2.98592356', '0.73874312']"
12,['1.83149636']
13,['0.09509449']
14,['1.80017798']
15,['1.70525554']
16,['1.68834372']
17,['1.67989833']
18,['0.09481471']
19,['0.08859266']
20,['1.67869107']
21,['0.50284245']
22,['0.08237061']
23,"['0.15234500', '0.49297122', '0.00131873']"
24,['0.07064251']
25,['0.01344191']
26,['0.28280218']
27,"['0.01123604', '0.03442858', '24.38491900', '0.00934461']"
28,['0.01328236']
29,['24.30891673']
30,['24.30858708']
31,['0.01308635']
32,['24.30146473']
33,['24.30125598']
34,['24.28936183']
35,['24.28905668']
36,['23.70796428']
37,['23.70585577']
38,['23.70435308']
39,['0.01073580']
40,['0.00855545']
41,['0.00835057']
42,['23.70415504']
43,"['7.14130000', '0.00102730']"
44,['7.10035995']
45,['6.88354001']
46,"['0.00681436', '23.70395666']"
47,"['0.00014333', '0.13016508']"
48,['23.63900437']
49,['4.29114627']
50,['0.00380708']
51,['0.12941171']
52,['23.63455985']
53,['0.12924529']
54,['4.25267749']
55,['23.18761639']
56,['3.80623985']
57,['3.71264750']
58,['3.59349112']
59,['0.12907887']
60,"['3.58064582', '0.10892458']"
61,['1.86496360']
62,['23.18745033']
63,['22.98730426']
64,"['22.88775820', '0.01040000']"
65,['22.87998273']
66,['1.86035815']
67,['1.83190629']
68,['1.83175919']
69,['1.83161209']
70,"['0.09136964', '2.25683172']"
71,['1.57246851']
72,['0.40716319']
73,['22.86501893']
74,['22.50238893']
75,['0.49900000']
76,['16.41926087']
77,"['0.10328594', '8.46370550', '2.35830000']"
78,['1.55944118']
79,"['0.00007230', '36.38510000', '0.13033016', '0.37801960', '0.03123869', '0.00171973', '0.09807589', '0.26384898', '6.01791680', '0.13066032']"
80,['1.51075318']
81,['5.27517160']
82,['5.21267764']
83,['1.50080454']
84,['4.59877578']
85,"['0.13000000', '8.84991102', '0.01413500', '0.01246026', '0.47696759', '14.41445754', '0.03300516']"
86,['0.06685435']
87,['7.44030836']
88,['7.43043956']
89,['4.58087459']
90,['7.42937251']
91,['7.42763747']
92,['7.42517772']
93,"['0.04704541', '7.40904124']"
94,['7.05588532']
95,['7.01174884']
96,['4.56767602']
97,['6.01161236']
98,['4.40273238']
99,['5.79727420']
100,['5.79713522']
101,['4.39596701']
102,['5.79699624']
103,['4.39582803']
104,['4.39525127']
105,['5.79685779']
106,['5.79629038']
107,['4.39490090']
108,['5.79368364']
109,"['0.01100000', '0.00048151']"
110,['4.39476560']
111,['4.39463418']
112,['3.90316666']
113,['3.90303524']
114,['4.38885905']
115,['4.38872763']
116,['4.38295270']
117,['3.89726025']
118,['0.01108731']
119,['3.89148533']
120,['4.38282128']
121,['4.37704647']
122,['3.87279651']
123,['3.86702186']
124,"['0.00017460', '0.00564900']"
125,"['0.00942433', '3.86689075']"
126,['3.87048057']
127,['3.87034946']
128,['4.37691536']
129,['4.37114075']
130,['4.37100964']
131,['3.87021835']
132,['3.87008724']
133,['3.86431278']
134,['3.86418198']
135,['3.85840763']
136,['4.36523501']
137,['3.85827683']
138,"['0.00663588', '0.00445000']"
139,['4.35946053']
140,['0.00525201']
141,['4.35368617']
142,['0.02900000']
143,['0.02322571']
144,['3.85814603']
145,['3.85541688']
146,['4.35355537']
147,"['0.00564905', '0.02309491', '0.00800000', '0.00512121', '0.01114421', '6.84288194', '3.84522123']"
148,['4.34385886']
149,['0.94972328']
150,['4.29373376']
151,['0.93917634']
152,['0.93765783']
153,['0.93752982']
154,['4.29360484']
155,['4.28831556']
156,"['4.27582807', '0.93740181']"
157,['3.28742095']
158,['0.10000000']
159,['0.09987214']
160,['1.36192024']
161,['0.09974444']
162,['0.09809707']
163,"['0.07038515', '1.35662453']"
164,['0.60671276']
165,['0.53345787']
166,['0.52569803']
167,['0.51995566']
168,['0.51026756']
169,['0.46218101']
170,['0.38955381']
171,['0.31522588']
172,"['9.74076245', '0.04657040', '0.00615171', '0.05457348']"
173,['9.62030679']
174,['9.62018493']
175,['9.57703140']
176,['9.57428255']
177,['9.57200086']
178,['9.43648378']
179,['9.42954908']
180,['9.41745774']
181,['8.88203381']
182,['3.60215136']
183,['3.59006282']
184,['3.58947252']
185,['3.58472475']
186,['3.35146628']
187,['3.35134746']
188,['3.23916137']
189,['3.23763257']
190,['3.23485377']
191,['3.23148697']
192,['2.24984812']
193,['2.24831877']
194,['1.27092557']
195,['1.26814677']
196,['0.29358652']
197,"['0.03152186', '218.32762463', '0.00300000', '0.00664104']"
198,['0.28980717']
199,['217.39789433']
200,['0.28802737']
201,"['0.98777725', '0.00632321']"
202,['0.28524702']
203,['216.42899828']
204,['0.28296667']
205,['215.46526688']
206,"['0.27993687', '0.02798340', '215.46248708']"
207,['214.81248530']
208,['214.81103850']
209,"['0.98494485', '0.02776271', '0.97886225', '213.86019970', '0.96053465', '0.14852427', '0.97339885', '0.00331542', '0.00249900', '0.02640675', '0.27780364']"
210,"['0.37317718', '0.00530900', '0.00564896']"
211,"['218.21236318', '0.00564910', '0.03700000', '0.00008996', '0.00519207', '4.59877152', '0.35284553', '0.00503431']"
212,['5.02441527']
213,"['218.16158207', '0.00564914', '0.00520488']"
214,['0.06921592']
215,"['218.06433620', '0.03060635', '0.00107900', '0.00166700']"
216,['0.11130503']
217,"['0.94889205', '0.02015838', '0.05841630', '0.00564908', '0.00564909', '0.08385984', '0.00569945', '0.00564906', '0.00664516', '4.99401254', '0.07527703', '0.00981188', '0.02404671', '217.97192201']"
218,['6.27903137']
219,['6.07744726']
220,"['217.73420270', '0.01401991', '0.01408371', '0.00405736', '0.07806148', '0.00664207', '0.95620085']"
221,['5.91177835']
222,"['216.70288719', '5.04623840', '0.00432713']"
223,['5.05483826']
224,['1.23835029']
225,['1.22871780']
226,"['0.08486806', '4.71720854', '216.61335920']"
227,['1.18576638']
228,"['216.27567643', '216.26599034']"
229,"['216.32889348', '5.19222968', '1.17544155']"
230,['6.49861460']
231,"['216.18025331', '0.01471225', '0.00519256']"
232,"['0.02504029', '6.48119327']"
233,['6.37711779']
234,['6.33576112']
235,"['216.04578099', '0.30960000']"
236,['201.68593101']
237,['6.26999632']
238,['201.52116269']
239,['6.26492752']
240,['5.32254547']
241,['5.31968167']
242,['4.38021702']
243,['201.51971589']
244,['201.51826909']
245,['4.37618522']
246,['4.37332042']
247,['3.44235837']
248,['200.58438864']
249,['3.44091157']
250,['2.51620332']
251,['1.59299647']
252,['200.57968884']
253,['199.65948439']
254,['198.19403098']
255,"['0.00104918', '0.00133500', '0.92934885']"
256,['0.92869573']
257,"['0.74684334', '1.59004767']"
258,['198.08905129']
259,"['198.08788950', '0.13867292']"
260,['197.30313417']
261,['197.29759937']
262,['196.96712393']
263,['196.93718793']
264,['196.92726979']
265,['196.89909585']
266,['196.89252542']
267,['196.65947581']
268,['196.65935995']
269,['196.65102384']
270,['196.65090823']
271,['196.64220759']
272,['196.64209198']
273,['196.64197637']
274,['196.63256049']
275,['196.63244488']
276,['196.63232970']
277,['196.62746411']
278,['196.62734893']
279,['196.62231891']
280,['196.24059320']
281,['196.24048093']
282,['196.24036866']
283,['196.23133575']
284,['196.23122348']
285,['196.21530918']
286,['195.28756082']
287,['195.27882161']
288,['195.27870975']
289,"['0.00346807', '0.00887813']"
290,['195.26992787']
291,"['195.26981601', '0.01218379']"
292,['195.24148705']
293,['195.24015698']
294,['195.23477827']
295,['193.45875530']
296,['193.28213333']
297,['193.23202853']
298,['193.22972061']
299,['193.22027365']
300,['193.19399902']
301,['193.19388964']
302,['193.18807357']
303,['193.18796419']
304,['193.18214813']
305,['193.18203875']
306,['193.17622281']
307,['193.17040692']
308,['216.03046962']
309,['193.17029754']
310,['193.16448189']
311,['216.02465362']
312,['0.01514497']
313,['193.15866613']
314,['0.00932917']
315,['193.15285035']
316,['0.00922005']
317,"['0.00866523', '0.00911093']"
318,['193.14703467']
319,['216.02454450']
