id,input_amounts
0,['0.00046000']
1,['0.10000000']
2,['0.09950495']
3,['0.09918192']
4,['0.09886031']
5,['0.09591190']
6,"['0.09136964', '5.73004593']"
7,['2.00409199']
8,['0.89558768']
9,['0.09509449']
10,['0.06501249']
11,['2.98592356']
12,['0.89529581']
13,['0.86397743']
14,['1.09288664']
15,['0.99796420']
16,['0.86369765']
17,['0.98105238']
18,['0.97984512']
19,['0.97362307']
20,"['0.85525226', '0.02977409', '0.96740102']"
21,['0.67636615']
22,['0.66649492']
23,['0.65476682']
24,['0.15234500']
25,['0.00830032']
26,['7.14130000']
27,['6.87178018']
28,['0.09514440']
29,['6.74107333']
30,['6.74074368']
31,['0.09494839']
32,['0.09259784']
33,['6.73362133']
34,['0.09238909']
35,"['6.72172718', '0.00609445', '0.09208394']"
36,['6.23863682']
37,['6.23652831']
38,['6.23502562']
39,['6.23482758']
40,['6.23264723']
41,['6.23244235']
42,['0.03300516']
43,['6.23090614']
44,"['0.01040000', '0.13066032', '0.13016508']"
45,"['2.35830000', '0.28280218', '0.00131873', '0.03442858', '0.13033016']"
46,['6.18902363']
47,['6.11734011']
48,['0.09807589']
49,['0.05423671']
50,['0.00380708']
51,['0.00014333']
52,"['0.01413500', '0.03123869', '0.00934461', '0.13000000', '24.38491900', '0.00102730']"
53,['24.12333529']
54,['6.11652332']
55,['24.12316887']
56,['24.12300281']
57,"['0.21444716', '0.09363137']"
58,['5.67008568']
59,['0.18884784']
60,['5.65724038']
61,['0.16869355']
62,"['3.83270689', '0.16408810']"
63,['3.79657952']
64,['24.02941046']
65,['0.03280678']
66,['3.69703346']
67,['3.66858160']
68,['0.01784298']
69,['2.25683172']
70,['24.01130439']
71,['22.07033349']
72,['22.05730616']
73,['21.75342891']
74,"['21.39079891', '0.01576793', '1.99768814', '0.01769588']"
75,['17.33861980']
76,['17.31658739']
77,['9.36103202']
78,['3.66843450']
79,"['0.00007230', '0.27780364', '4.45379238', '0.00171973', '3.61974650', '0.49900000', '0.00615171', '36.38510000']"
80,['7.08171039']
81,['7.07176175']
82,['7.00926779']
83,['6.39536593']
84,['4.96141574']
85,"['0.37801960', '14.41445754', '8.84991102', '0.00981188']"
86,['4.94351455']
87,['7.16177483']
88,['4.92370561']
89,['4.92263856']
90,['7.15190603']
91,['4.90943999']
92,['7.15017099']
93,['7.13403451']
94,['6.73389803']
95,['4.90698024']
96,['6.68976155']
97,['3.90684376']
98,['6.52481791']
99,['6.51805254']
100,['6.51791356']
101,['6.51777458']
102,['6.51763560']
103,['6.51749715']
104,['3.69250560']
105,['3.69215523']
106,['3.69158782']
107,['3.68898108']
108,['6.51692039']
109,['4.62640341']
110,['3.68884578']
111,['4.62606978']
112,['3.68871436']
113,['3.68858294']
114,['3.68280795']
115,['3.68267653']
116,['4.62029465']
117,['4.62016323']
118,['3.67690160']
119,['4.61438831']
120,['4.59569949']
121,['3.67523862']
122,"['0.00564900', '0.00017460']"
123,['3.67510751']
124,['4.58992468']
125,['3.67497640']
126,['4.58415003']
127,['3.66920159']
128,['3.66907048']
129,['4.58401892']
130,['3.66329587']
131,['4.58388781']
132,['4.58375670']
133,['3.65752124']
134,['3.65739044']
135,['3.65161609']
136,['4.57798224']
137,['0.00564896']
138,['3.65148529']
139,['4.57220776']
140,['0.02900000']
141,['4.56643340']
142,['0.01114421']
143,['0.00551816']
144,['0.02886920']
145,['6.84288194']
146,['4.56630260']
147,"['4.55660609', '6.83268629', '0.00536992', '0.00538736', '0.02614005', '3.64571097']"
148,['5.28057102']
149,['5.23044592']
150,['5.21989898']
151,['5.21977006']
152,['5.21825155']
153,['5.21812354']
154,['5.21799553']
155,['5.21270625']
156,['5.20021876']
157,['3.27446799']
158,['0.01100000']
159,['0.01246026']
160,['0.01087214']
161,['0.01233256']
162,"['0.00557643', '1.34896728']"
163,"['0.01068519', '1.32676089']"
164,['0.51714916']
165,['0.44389427']
166,['0.43613443']
167,['0.43039206']
168,['0.42070396']
169,['0.37261741']
170,['0.29999021']
171,['0.37317718']
172,"['0.11252478', '0.22566228']"
173,['0.11054808']
174,['0.11042622']
175,['0.06727269']
176,['0.06452384']
177,"['0.00405736', '0.10000000', '0.00520488', '0.02640675']"
178,['0.06224215']
179,['0.05530745']
180,"['0.00564908', '0.00564909', '0.00008996', '0.00663588', '9.74076245', '0.00331542']"
181,"['0.04321611', '9.22640294']"
182,['3.98968209']
183,['3.97759355']
184,['3.97700325']
185,['3.97225548']
186,['3.73899701']
187,['3.73887819']
188,['3.62669210']
189,['3.62516330']
190,['3.62238450']
191,['3.61901770']
192,['2.63737885']
193,['2.63584950']
194,['1.65845630']
195,['1.65567750']
196,['0.68111725']
197,['0.98494485']
198,['0.67733790']
199,"['0.26384898', '0.00249900', '0.67555810', '0.01421485', '0.00503431', '0.00800000']"
200,"['0.00445000', '0.00664207']"
201,"['218.32762463', '0.00564910', '0.01408371']"
202,['0.00825786']
203,['217.38118572']
204,['216.41745432']
205,['0.14852427']
206,"['0.00597751', '216.41442452']"
207,['0.14574447']
208,"['215.46253438', '0.14429767']"
209,"['4.59877152', '0.02776271', '0.00564905', '0.00300000', '214.65593939', '0.00664516', '0.95620085', '0.00107900', '0.00632321']"
210,['2.01722610']
211,"['218.21236318', '0.02404671', '0.96053465', '0.03700000', '0.00564914', '0.02015838', '0.08385984']"
212,['1.98604449']
213,"['0.00048151', '218.16158207', '0.04657040', '0.00564906', '0.00519207', '0.98777725']"
214,['1.10386979']
215,"['0.97339885', '0.05841630', '0.00569945', '1.95564176', '218.06433620', '0.07806148', '1.06526022', '0.00530900', '1.15113590', '0.00664104']"
216,['5.37719188']
217,"['0.97886225', '0.94889205', '217.97192201']"
218,['1.96361510']
219,['1.76203099']
220,"['0.00166700', '0.01401991', '0.03152186', '217.73420270']"
221,['5.34116388']
222,"['216.70288719', '1.59636208']"
223,['4.47562393']
224,['0.21265608']
225,['1.60068921']
226,['216.61335920']
227,['4.13799421']
228,"['0.00432713', '0.08486806', '4.12766938', '216.27567643', '216.26599034']"
229,['220.54559485']
230,['1.55773779']
231,"['4.34775326', '216.18025331', '0.00519256', '0.39026108']"
232,['1.54031646']
233,['4.74828771']
234,['1.41125455']
235,"['0.01471225', '0.30960000', '216.04578099', '0.20302359']"
236,['1.34548975']
237,['1.18072143']
238,['201.90355805']
239,['4.70693104']
240,['201.90211125']
241,['3.76454899']
242,['2.82508434']
243,['1.17565263']
244,['1.17420583']
245,['201.89924745']
246,['2.82105254']
247,['201.89638265']
248,['1.89009049']
249,['201.89493585']
250,['1.88539069']
251,['0.24032538']
252,['0.96218384']
253,"['0.23737658', '0.04197939', '200.97022760']"
254,['199.78402216']
255,['199.67904247']
256,['199.67611317']
257,['199.49426078']
258,['197.29609629']
259,['197.29493450']
260,['196.37155985']
261,['196.36602505']
262,"['216.03046962', '0.00104918']"
263,['196.03554961']
264,['216.00152920']
265,['196.02563147']
266,['196.01906104']
267,['215.97335526']
268,['195.78601143']
269,['195.77767532']
270,['195.77755971']
271,['0.01514497']
272,['195.76885907']
273,['215.97323940']
274,['195.76874346']
275,['195.76862785']
276,['215.96382352']
277,['215.95895793']
278,['0.01502936']
279,"['0.00999934', '215.95884275']"
280,['195.76851267']
281,['215.58706532']
282,['195.76840040']
283,['195.75936749']
284,['215.58695305']
285,['215.57103875']
286,['195.75925522']
287,['195.75051601']
288,"['0.00346807', '195.75040415']"
289,['214.64329039']
290,['214.64317853']
291,['195.74503979']
292,['214.64306667']
293,['214.64173660']
294,['214.63635789']
295,['195.70457729']
296,['212.86033492']
297,['195.52795532']
298,['212.81023012']
299,['212.80078316']
300,['212.77450853']
301,['195.52564740']
302,['212.77439915']
303,['195.51983133']
304,['195.51401527']
305,['195.51390589']
306,['195.50808995']
307,['212.77428977']
308,['195.50227406']
309,['195.49645806']
310,['195.49064241']
311,['212.77418039']
312,"['0.00858314', '0.66366367']"
313,['195.48482665']
314,['0.66638175']
315,['0.66627263']
316,['195.47901087']
317,['212.77407127']
318,"['0.00020000', '0.92934885', '0.00660355']"
319,['212.76825551']
320,['0.93023733']
