----BEGIN SIMULATION RESULTS----
Scenario: sim_data.csv
| Scenario File | Current Balance | Mean #UTXO | Current #UTXO | #Deposits | #Inputs Spent | #Withdraws | #Uneconomical outputs spent | #Change Created | #Changeless | Min Change Value | Max Change Value | Mean Change Value | Std. Dev. of Change Value | Total Fees | Mean Fees per Withdraw | Cost to Empty | Total Cost | Min Input Size | Max Input Size | Mean Input Size | Std. Dev. of Input Size | BnB Usage | SRD Usage | Knapsack Usage | #BnB no change | #SRD no change | #Knapsack no change |
| sim_data.csv | 0.10000000 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -6.80000000E-7 | -6.80000000E-7 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
| sim_data.csv | 636.11714844 | 31.5720000000 | 63 | 179 | 432 | 321 | 0 | 315 | 6 | 0.00536992 | 220.54559485 | 50.2318388060 | 84.9772109774 | 0.05091722 | 0.000158620623053 | -0.0000428400000 | 0.0508743800000 | 1 | 10 | 1.34579439252 | 1.18138798457 | 6 | 315 | 0 | 6 | 0 | 0 |
| sim_data.csv | 626.47359668 | 76.625 | 182 | 341 | 805 | 659 | 0 | 645 | 14 | 0.00528855 | 220.54559485 | 77.5224503817 | 94.3473372803 | 0.08522769 | 0.000129328816388 | -0.000123760000 | 0.085103930000 | 1 | 10 | 1.22154779970 | 0.903937705681 | 14 | 645 | 0 | 14 | 0 | 0 |
| sim_data.csv | 683.25011777 | 131.877333333 | 306 | 511 | 1151 | 989 | 0 | 945 | 44 | 0.00504480 | 220.54559485 | 90.0280530114 | 89.9598309266 | 0.11466130 | 0.000115936602629 | -0.000208080000 | 0.114453220000 | 1 | 10 | 1.16380182002 | 0.753845811319 | 44 | 945 | 0 | 44 | 0 | 0 |
| sim_data.csv | 201.74309543 | 170.114500000 | 269 | 671 | 1635 | 1329 | 0 | 1232 | 97 | 0.00504480 | 222.47459233 | 81.2139079571 | 87.3464515694 | 0.14380598 | 0.000108206155004 | -0.000182920000 | 0.143623060000 | 1 | 26 | 1.23024830700 | 1.16472501087 | 97 | 1232 | 0 | 97 | 0 | 0 |
| sim_data.csv | 123.56019287 | 192.377600000 | 317 | 840 | 2048 | 1660 | 0 | 1524 | 136 | 0.00501557 | 222.47459233 | 75.5627844608 | 83.2279700344 | 0.17007000 | 0.000102451807229 | -0.000215560000 | 0.169854440000 | 1 | 26 | 1.23373493976 | 1.08062861045 | 136 | 1524 | 0 | 136 | 0 | 0 |
| sim_data.csv | 90.95950861 | 201.646000000 | 227 | 1016 | 2600 | 1984 | 0 | 1810 | 174 | 0.00501557 | 222.47459233 | 65.9893325888 | 79.8956931694 | 0.19671012 | 0.0000991482459677 | -0.000154360000 | 0.196555760000 | 1 | 100 | 1.31048387097 | 2.50755207638 | 174 | 1810 | 0 | 174 | 0 | 0 |
| sim_data.csv | 199.97129885 | 203.333714286 | 106 | 1192 | 3206 | 2308 | 0 | 2119 | 189 | 0.00501557 | 222.47459233 | 58.9939426495 | 76.2447634503 | 0.22348760 | 0.0000968317157712 | -0.0000720800000 | 0.223415520000 | 1 | 100 | 1.38908145581 | 3.08333923916 | 189 | 2119 | 0 | 189 | 0 | 0 |
| sim_data.csv | 158.82106626 | 191.858750000 | 109 | 1360 | 3697 | 2640 | 0 | 2445 | 195 | 0.00501557 | 222.47459233 | 54.4952463654 | 72.5089482663 | 0.24020723 | 0.0000909875871212 | -0.0000741200000 | 0.240133110000 | 1 | 100 | 1.40037878788 | 3.47904459262 | 195 | 2445 | 0 | 195 | 0 | 0 |
| sim_data.csv | 8.90225463 | 183.833111111 | 13 | 1526 | 4275 | 2974 | 0 | 2761 | 213 | 0.00501557 | 222.47459233 | 51.2194563350 | 69.3698323273 | 0.25591224 | 0.0000860498453262 | -0.00000884000000 | 0.255903400000 | 1 | 100 | 1.43745796907 | 3.85447818511 | 213 | 2761 | 0 | 213 | 0 | 0 |
| sim_data.csv | 13.03110194 | 171.377400000 | 118 | 1705 | 4661 | 3295 | 0 | 3073 | 222 | 0.00501557 | 222.47459233 | 46.1825205861 | 67.4403898160 | 0.26341056 | 0.0000799425068285 | -0.0000802400000 | 0.263330320000 | 1 | 100 | 1.41456752656 | 3.68515379020 | 222 | 3073 | 0 | 222 | 0 | 0 |
| sim_data.csv | 5.42002805 | 164.581090909 | 23 | 1878 | 5219 | 3622 | 0 | 3363 | 259 | 0.00501557 | 222.47459233 | 42.3868986419 | 65.6428711330 | 0.26832130 | 0.0000740809773606 | -0.0000156400000 | 0.268305660000 | 1 | 100 | 1.44091662065 | 3.58619188077 | 259 | 3363 | 0 | 259 | 0 | 0 |
| sim_data.csv | 4.98059266 | 151.628166667 | 5 | 2074 | 5736 | 3925 | 0 | 3666 | 259 | 0.00501557 | 222.47459233 | 38.9437512139 | 63.9094930044 | 0.27143394 | 0.0000691551439490 | -0.00000340000000 | 0.271430540000 | 1 | 100 | 1.46140127389 | 3.45332214190 | 259 | 3666 | 0 | 259 | 0 | 0 |
| sim_data.csv | 2.87145218 | 141.203846154 | 20 | 2243 | 6218 | 4256 | 0 | 3994 | 262 | 0.00500345 | 222.47459233 | 35.8129215647 | 62.1172382534 | 0.28188659 | 0.0000662327514098 | -0.0000136000000 | 0.281872990000 | 1 | 100 | 1.46099624060 | 3.32866782145 | 262 | 3994 | 0 | 262 | 0 | 0 |
| sim_data.csv | 0.85416835 | 133.937857143 | 8 | 2418 | 6721 | 4581 | 0 | 4310 | 271 | 0.00500345 | 222.47459233 | 33.5690761499 | 60.3575036915 | 0.28617000 | 0.0000624688932547 | -0.00000544000000 | 0.286164560000 | 1 | 100 | 1.46714691115 | 3.24583393077 | 271 | 4310 | 0 | 271 | 0 | 0 |
| sim_data.csv | 282.88309686 | 127.817200000 | 99 | 2572 | 7126 | 4927 | 0 | 4652 | 275 | 0.00500345 | 222.47459233 | 33.9061818145 | 59.9740675545 | 0.33831819 | 0.0000686661639943 | -0.0000673200000 | 0.338250870000 | 1 | 100 | 1.44631621676 | 3.13641502292 | 275 | 4652 | 0 | 275 | 0 | 0 |
| sim_data.csv | 343.07148613 | 128.795375000 | 172 | 2735 | 7515 | 5264 | 0 | 4951 | 313 | 0.00500345 | 222.47459233 | 34.5621124149 | 58.6378497582 | 0.36580195 | 0.0000694912518997 | -0.000116960000 | 0.365684990000 | 1 | 100 | 1.42762158055 | 3.03962130950 | 313 | 4951 | 0 | 313 | 0 | 0 |
| sim_data.csv | 265.69150048 | 128.318588235 | 123 | 2892 | 7993 | 5607 | 0 | 5223 | 384 | 0.00500345 | 258.75741185 | 34.5626911464 | 60.4342006865 | 0.39430373 | 0.0000703234760121 | -0.0000836400000 | 0.394220090000 | 1 | 100 | 1.42553950419 | 2.95720042972 | 384 | 5223 | 0 | 384 | 0 | 0 |
| sim_data.csv | 19.91063255 | 130.330777778 | 170 | 3064 | 8410 | 5935 | 0 | 5515 | 420 | 0.00500345 | 258.75741185 | 38.8224655722 | 65.8801766110 | 0.41636482 | 0.0000701541398484 | -0.000115600000 | 0.416249220000 | 1 | 100 | 1.41701769166 | 2.88262934492 | 420 | 5515 | 0 | 420 | 0 | 0 |
| sim_data.csv | 4.25499051 | 128.941789474 | 12 | 3230 | 9002 | 6269 | 0 | 5783 | 486 | 0.00500345 | 258.75741185 | 37.0468744486 | 64.8377381782 | 0.42499493 | 0.0000677930977827 | -0.00000816000000 | 0.424986770000 | 1 | 100 | 1.43595469772 | 2.85720396891 | 486 | 5783 | 0 | 486 | 0 | 0 |
| sim_data.csv | 39.45570615 | 123.381700000 | 25 | 3404 | 9473 | 6595 | 0 | 6093 | 502 | 0.00500345 | 258.75741185 | 35.3638596142 | 63.6109200437 | 0.43150463 | 0.0000654290568613 | -0.0000170000000 | 0.431487630000 | 1 | 100 | 1.43639120546 | 2.79937994431 | 502 | 6093 | 0 | 502 | 0 | 0 |
| sim_data.csv | 27.15173437 | 121.163523810 | 135 | 3570 | 9847 | 6929 | 0 | 6411 | 518 | 0.00500345 | 258.75741185 | 34.2103972558 | 62.2409042598 | 0.43730927 | 0.0000631128979651 | -0.0000918000000 | 0.437217470000 | 1 | 100 | 1.42112858998 | 2.73542607791 | 518 | 6411 | 0 | 518 | 0 | 0 |
| sim_data.csv | 19.53050968 | 121.327727273 | 151 | 3730 | 10294 | 7269 | 0 | 6714 | 555 | 0.00500345 | 258.75741185 | 32.8492578374 | 61.1468318883 | 0.44349490 | 0.0000610118173064 | -0.000102680000 | 0.443392220000 | 1 | 100 | 1.41615077727 | 2.68524330958 | 555 | 6714 | 0 | 555 | 0 | 0 |
| sim_data.csv | 18.09668516 | 119.934956522 | 37 | 3897 | 10853 | 7602 | 0 | 6992 | 610 | 0.00500345 | 258.75741185 | 31.5524766407 | 60.2567547716 | 0.45017606 | 0.0000592181083925 | -0.0000251600000 | 0.450150900000 | 1 | 100 | 1.42765061826 | 2.65294448445 | 610 | 6992 | 0 | 610 | 0 | 0 |
| sim_data.csv | 15.50733872 | 116.692365582 | 53 | 4065 | 11277 | 7893 | 0 | 7264 | 629 | 0.00500345 | 258.75741185 | 30.4095436804 | 59.4017630712 | 0.45550461 | 0.0000577099467883 | -0.0000360400000 | 0.455468570000 | 1 | 100 | 1.42873432155 | 2.63786521183 | 629 | 7264 | 0 | 629 | 0 | 0 |
----END SIMULATION RESULTS----


