----BEGIN SIMULATION RESULTS----
Scenario: sim_data.csv
| Scenario File | Current Balance | Mean #UTXO | Current #UTXO | #Deposits | #Inputs Spent | #Withdraws | #Uneconomical outputs spent | #Change Created | #Changeless | Min Change Value | Max Change Value | Mean Change Value | Std. Dev. of Change Value | Total Fees | Mean Fees per Withdraw | Cost to Empty | Total Cost | Min Input Size | Max Input Size | Mean Input Size | Std. Dev. of Input Size | BnB Usage | SRD Usage | Knapsack Usage | #BnB no change | #SRD no change | #Knapsack no change |
| sim_data.csv | 0.10000000 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -6.80000000E-7 | -6.80000000E-7 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
| sim_data.csv | 636.11662501 | 28.8800000000 | 61 | 179 | 436 | 321 | 0 | 317 | 4 | 0.00506437 | 215.10709497 | 31.2859892182 | 70.3552059709 | 0.05144065 | 0.000160251246106 | -0.0000414800000 | 0.0513991700000 | 1 | 18 | 1.35825545171 | 1.52459074739 | 4 | 317 | 0 | 4 | 0 | 0 |
| sim_data.csv | 626.47336273 | 75.9700000000 | 192 | 341 | 801 | 659 | 0 | 651 | 8 | 0.00505303 | 215.10709497 | 69.5499263866 | 93.8839562272 | 0.08546164 | 0.000129683823976 | -0.000130560000 | 0.085331080000 | 1 | 18 | 1.21547799697 | 1.09946251336 | 8 | 651 | 0 | 8 | 0 | 0 |
| sim_data.csv | 683.24937153 | 133.524666667 | 297 | 511 | 1162 | 989 | 0 | 947 | 42 | 0.00505303 | 215.10709497 | 83.5495184286 | 91.2584894606 | 0.11540754 | 0.000116691142568 | -0.000201960000 | 0.115205580000 | 1 | 18 | 1.17492416582 | 0.933376895179 | 42 | 947 | 0 | 42 | 0 | 0 |
| sim_data.csv | 201.73940356 | 164.414500000 | 196 | 671 | 1727 | 1329 | 0 | 1251 | 78 | 0.00505303 | 238.07931665 | 88.0716501800 | 90.1674568722 | 0.14749785 | 0.000110984085779 | -0.000133280000 | 0.147364570000 | 1 | 156 | 1.29947328819 | 4.34685955322 | 78 | 1251 | 0 | 78 | 0 | 0 |
| sim_data.csv | 123.55754688 | 181.524000000 | 293 | 840 | 2107 | 1660 | 0 | 1559 | 101 | 0.00505303 | 238.07931665 | 93.0044399361 | 86.5946052988 | 0.17271599 | 0.000104045777108 | -0.000199240000 | 0.172516750000 | 1 | 156 | 1.26927710843 | 3.89623031772 | 101 | 1559 | 0 | 101 | 0 | 0 |
| sim_data.csv | 90.95890632 | 202.119000000 | 300 | 1016 | 2555 | 1984 | 0 | 1838 | 146 | 0.00505303 | 238.07931665 | 83.1283584532 | 84.2546402650 | 0.19731241 | 0.0000994518195565 | -0.000204000000 | 0.197108410000 | 1 | 156 | 1.28780241935 | 3.59782704764 | 146 | 1838 | 0 | 146 | 0 | 0 |
| sim_data.csv | 199.96878847 | 208.554000000 | 136 | 1192 | 3200 | 2308 | 0 | 2143 | 165 | 0.00505303 | 238.07931665 | 76.4616325516 | 80.7139263979 | 0.22599798 | 0.0000979194020797 | -0.0000924800000 | 0.225905500000 | 1 | 156 | 1.38648180243 | 4.41611396132 | 165 | 2143 | 0 | 165 | 0 | 0 |
| sim_data.csv | 158.81929228 | 204.721000000 | 168 | 1360 | 3656 | 2640 | 0 | 2463 | 177 | 0.00505303 | 238.07931665 | 70.1136724788 | 77.6162205753 | 0.24198121 | 0.0000916595492424 | -0.000114240000 | 0.241866970000 | 1 | 156 | 1.38484848485 | 4.33571288158 | 177 | 2463 | 0 | 177 | 0 | 0 |
| sim_data.csv | 8.90002612 | 197.093555556 | 17 | 1526 | 4287 | 2974 | 0 | 2777 | 197 | 0.00505303 | 238.07931665 | 63.7715791634 | 75.4150040463 | 0.25814075 | 0.0000867991761937 | -0.0000115600000 | 0.258129190000 | 1 | 156 | 1.44149293880 | 4.76234105117 | 197 | 2777 | 0 | 197 | 0 | 0 |
| sim_data.csv | 13.02901788 | 183.259200000 | 130 | 1705 | 4669 | 3295 | 0 | 3093 | 202 | 0.00505303 | 238.07931665 | 57.4006052118 | 73.9138101432 | 0.26549462 | 0.0000805749984825 | -0.0000884000000 | 0.265406220000 | 1 | 156 | 1.41699544765 | 4.54242125397 | 202 | 3093 | 0 | 202 | 0 | 0 |
| sim_data.csv | 5.41804232 | 175.052181818 | 32 | 1878 | 5214 | 3622 | 0 | 3367 | 255 | 0.00502883 | 238.07931665 | 52.9035659565 | 72.4389848831 | 0.27030703 | 0.0000746292186637 | -0.0000217600000 | 0.270285270000 | 1 | 156 | 1.43953616786 | 4.37777831207 | 255 | 3367 | 0 | 255 | 0 | 0 |
