id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos
0,0.00002184,0.00043816,0.00347222,0.00000398327272727,bnb,1,0,1,,5,4
1,0.00000546,0.00048959,0.00347222,0.00000347226950355,srd,1,0,2,0.09950495,4,4
2,0.00000546,0.00031757,0.00225225,0.00000225226950355,srd,1,0,2,0.09918192,6,6
3,0.00000546,0.00031615,0.00224215,0.00000224219858156,srd,1,0,2,0.09886031,7,7
4,0.00263507,0.00031334,0.00222222,0.00000222226950355,srd,1,0,2,0.09591190,7,7
5,0.00050546,0.00031195,0.00221239,0.00000221241134752,srd,1,0,2,0.09509449,9,9
6,3.81689718,0.00028905,0.00205000,0.00000205,srd,1,0,2,1.91285970,11,11
7,1.10821526,0.00042640,0.00205000,0.00000205,srd,2,0,2,0.89931253,11,10
8,0.00000546,0.00028641,0.00203125,0.00000203127659574,srd,1,0,2,0.89902066,11,11
9,0.02980000,0.00028200,0.00200000,0.00000200,srd,1,0,2,0.86893866,11,11
10,0.03495767,0.00028073,0.00199097,0.00000199099290780,srd,1,0,2,0.83370026,12,12
11,1.89275619,0.00054951,0.00199097,0.00000199097826087,srd,3,0,2,1.33633250,12,10
12,0.03104296,0.00027542,0.00195327,0.00000195333333333,srd,1,0,2,0.80238188,10,10
13,0.00000546,0.00027432,0.00194553,0.00000194553191489,srd,1,0,2,0.80210210,11,11
14,0.09464812,0.00027432,0.00194553,0.00000194553191489,srd,1,0,2,1.24141006,11,11
15,0.01665086,0.00026096,0.00185074,0.00000185078014184,srd,1,0,2,1.22449824,12,12
16,0.00819046,0.00025493,0.00180800,0.00000180801418440,srd,1,0,2,1.21605285,12,12
17,0.00095233,0.00025493,0.00180800,0.00000180801418440,srd,1,0,2,1.21484559,12,12
18,0.00600000,0.00022205,0.00157480,0.00000157482269504,srd,1,0,2,0.79588005,14,14
19,0.00600000,0.00022205,0.00157480,0.00000157482269504,srd,1,0,2,0.78965800,15,15
20,1.17562657,0.00032756,0.00157480,0.00000157480769231,srd,2,0,2,0.82854946,15,14
21,0.00965973,0.00021150,0.00150000,0.00000150,srd,1,0,2,0.81867823,14,14
22,0.01151660,0.00021150,0.00150000,0.00000150,srd,1,0,2,0.80695013,14,14
23,0.64625500,0.00021150,0.00150000,0.00000150,srd,1,0,2,0.16048363,15,15
24,0.05699015,0.00021045,0.00149254,0.00000149255319149,srd,1,0,2,0.10328303,15,15
25,0.00200000,0.00020587,0.00146004,0.00000146007092199,srd,1,0,2,0.10107716,15,15
26,0.26931395,0.00050226,0.00146004,0.00000146005813953,srd,4,0,2,6.94826214,16,13
27,0.13049524,0.00021161,0.00150073,0.00000150078014184,srd,1,0,2,6.81755529,13,13
28,0.00000546,0.00019055,0.00135135,0.00000135141843972,srd,1,0,2,0.10088115,18,18
29,0.00014500,0.00018465,0.00130952,0.00000130957446809,srd,1,0,2,6.81722564,19,19
30,0.00693770,0.00018465,0.00130952,0.00000130957446809,srd,1,0,2,0.09375880,19,19
31,0.00216590,0.00018465,0.00130952,0.00000130957446809,srd,1,0,2,6.81487509,20,20
32,0.00002410,0.00018465,0.00130952,0.00000130957446809,srd,1,0,2,6.81466634,20,20
33,0.01170950,0.00018465,0.00130952,0.00000130957446809,srd,1,0,2,0.08186465,20,20
34,0.00012050,0.00018465,0.00130952,0.00000130957446809,srd,1,0,2,0.01382985,20,20
35,0.58090821,0.00036054,0.00130628,0.00000130630434783,srd,3,0,2,6.32909209,21,19
36,0.00192521,0.00018330,0.00130000,0.00000130,srd,1,0,2,6.32698358,19,19
37,0.00132021,0.00018248,0.00129412,0.00000129418439716,srd,1,0,2,6.32548089,20,20
38,0.00001556,0.00018248,0.00129412,0.00000129418439716,srd,1,0,2,6.32528285,20,20
39,0.00199787,0.00018248,0.00129412,0.00000129418439716,srd,1,0,2,6.32310250,20,20
40,0.00002240,0.00018248,0.00129412,0.00000129418439716,srd,1,0,2,6.32289762,20,20
41,0.00135373,0.00018248,0.00129412,0.00000129418439716,srd,1,0,2,6.32136141,20,20
42,0.00001590,0.00018248,0.00129412,0.00000129418439716,srd,1,0,2,6.32116303,20,20
43,0.04170396,0.00017855,0.00126627,0.00000126631205674,srd,1,0,2,6.27928052,20,20
44,0.21664369,0.00017625,0.00125000,0.00000125,srd,1,0,2,6.06246058,20,20
45,2.59221749,0.00017625,0.00125000,0.00000125,srd,1,0,2,3.47006684,20,20
46,0.07150858,0.00017494,0.00124069,0.00000124070921986,srd,1,0,2,0.05897680,20,20
47,0.00064863,0.00016816,0.00119262,0.00000119262411348,srd,1,0,2,0.12951337,21,21
48,0.00427636,0.00016816,0.00119262,0.00000119262411348,srd,1,0,2,0.05453228,21,21
49,0.03830366,0.00016512,0.00117106,0.00000117106382979,srd,1,0,2,0.09104459,21,21
50,0.00367300,0.00013408,0.00116592,0.00000121890909091,bnb,1,0,1,,21,20
51,0.00000546,0.00013787,0.00114155,0.00000125336363636,bnb,1,0,1,,20,19
52,0.44678250,0.00016096,0.00114155,0.00000114156028369,srd,1,0,2,3.02312338,19,19
53,0.00000546,0.00016096,0.00114155,0.00000114156028369,srd,1,0,2,3.02295696,19,19
54,0.44627704,0.00023691,0.00113895,0.00000113899038462,srd,2,0,2,2.70660809,20,19
55,0.00000546,0.00023691,0.00113895,0.00000113899038462,srd,2,0,2,0.13107636,19,18
56,0.09343597,0.00015638,0.00110906,0.00000110907801418,srd,1,0,2,0.18920983,19,19
