id,input_amounts
0,['0.00046000']
1,['0.10000000']
2,['0.09950495']
3,['0.09918192']
4,['0.09886031']
5,['0.09591190']
6,['5.73004593']
7,"['1.91285970', '0.09509449']"
8,['0.89931253']
9,['0.89902066']
10,['0.86893866']
11,"['0.09136964', '2.98592356', '0.15234500']"
12,['0.83370026']
13,['0.80238188']
14,['1.33633250']
15,['1.24141006']
16,['1.22449824']
17,['1.21605285']
18,['0.80210210']
19,['0.79588005']
20,"['1.21484559', '0.78965800']"
21,['0.82854946']
22,['0.81867823']
23,['0.80695013']
24,['0.16048363']
25,['0.10328303']
26,"['7.14130000', '0.00934461', '0.03442858', '0.03300516']"
27,['6.94826214']
28,['0.10107716']
29,['6.81755529']
30,['0.10088115']
31,['6.81722564']
32,['6.81487509']
33,['0.09375880']
34,['0.01413500']
35,"['0.08186465', '0.01382985', '6.81466634']"
36,['6.32909209']
37,['6.32698358']
38,['6.32548089']
39,['6.32528285']
40,['6.32310250']
41,['6.32289762']
42,['6.32136141']
43,['6.32116303']
44,['6.27928052']
45,['6.06246058']
46,['0.13066032']
47,['0.13033016']
48,['0.05897680']
49,['0.12951337']
50,['0.00380708']
51,['0.00014333']
52,['3.47006684']
53,['3.02312338']
54,"['0.13016508', '3.02295696']"
55,"['0.13000000', '0.00131873']"
56,['0.28280218']
57,"['2.70660809', '0.05453228']"
58,['2.64190968']
59,['2.62906438']
60,"['0.37801960', '24.38491900']"
61,['22.93833180']
62,['2.60891009']
63,['0.18920983']
64,['22.93372635']
65,['0.09104459']
66,['0.07608079']
67,['0.08966377']
68,['0.04762893']
69,['2.35830000']
70,"['2.09915642', '0.13107636', '0.00102730', '0.01040000']"
71,['0.04748183']
72,['2.40876402']
73,"['0.30048536', '0.08951667']"
74,"['0.00171973', '2.25683172', '2.10488677', '22.91562028']"
75,['0.02730503']
76,"['21.19572744', '0.03445450']"
77,"['13.27455957', '0.00527262']"
78,['8.37252555']
79,"['0.00007230', '0.09807589', '36.38510000', '8.32383755', '0.03123869', '0.00615171', '0.49900000']"
80,['7.18186827']
81,['7.17191963']
82,['7.10942567']
83,['6.49552381']
84,['5.06157362']
85,"['14.41445754', '0.27780364', '8.84991102', '0.01246026', '0.00981188', '5.04367243', '0.26384898']"
86,['12.38133754']
87,['12.36152860']
88,['12.35165980']
89,['12.35059275']
90,['12.33739418']
91,['12.33565914']
92,['12.33319939']
93,['12.31706291']
94,['11.91692643']
95,['11.87278995']
96,['10.87265347']
97,['10.70770983']
98,['10.49337167']
99,['10.48660630']
100,['10.48646732']
101,['10.48632834']
102,['10.48618936']
103,['10.48605091']
104,['10.48547415']
105,['10.48512378']
106,['10.48455637']
107,['10.48194963']
108,"['0.00405736', '0.02900000', '0.00664516', '10.48181433', '0.37317718', '0.00664207', '0.01114421']"
109,['0.01100000']
110,['9.02159631']
111,['0.03700000']
112,['0.01066637']
113,"['0.00017460', '0.00564908']"
114,['0.03122487']
115,['9.02146489']
116,['0.03109345']
117,['0.03096203']
118,['9.01568996']
119,['0.02518711']
120,"['0.01053495', '0.00649829']"
121,['9.01402698']
122,['0.01119873']
123,['9.01389587']
124,"['9.01376476', '0.00564910']"
125,"['0.00664104', '0.00800000']"
126,['9.01357951']
127,['0.00880653']
128,"['0.00867542', '9.01344840']"
129,['0.00542408']
130,"['9.01628951', '0.00529297']"
131,['9.01574815']
132,['9.01561704']
133,['9.00984258']
134,['9.00971178']
135,['9.00393743']
136,['9.00380663']
137,['8.99803215']
138,"['0.00564900', '0.00564914']"
139,['8.99790135']
140,['0.00546427']
141,['8.99212699']
142,['8.99199619']
143,['0.00533347']
144,"['0.00520267', '8.98622190']"
145,['8.98863612']
146,"['0.00564906', '0.00564909', '0.00564905']"
147,"['0.10000000', '0.00564896', '8.97844047', '0.00048151', '6.84288194', '0.00445000', '0.00663588']"
148,['6.14714949']
149,['6.09702439']
150,['6.08647745']
151,['0.00713123']
152,['0.00561272']
153,['6.08634853']
154,"['0.00548471', '6.08622052']"
155,['6.08635773']
156,['6.07387024']
157,['4.14811947']
158,['4.59877152']
159,"['0.00331542', '0.00519207']"
160,"['0.00832170', '9.74076245']"
161,['4.59864366']
162,['2.22261876']
163,['9.74373035']
164,['4.59699629']
165,['2.19490684']
166,['4.52374140']
167,['8.92349132']
168,['4.51799903']
169,['4.46991248']
170,['2.18714700']
171,['8.91380322']
172,['2.11281907']
173,['8.65315082']
174,['1.88523541']
175,['1.84208188']
176,['8.65302896']
177,['4.39728528']
178,['8.65074727']
179,['1.83933303']
180,['4.26176820']
181,['8.64381257']
182,['3.36393012']
183,['1.82724169']
184,['1.82665139']
185,['1.82190362']
186,['3.35184158']
187,['1.58864515']
188,['3.35172276']
189,['3.35019396']
190,['3.72634427']
191,['3.72297747']
192,['3.34741516']
193,['2.74133862']
194,['1.76394542']
195,['3.34588581']
196,['1.47645906']
197,['1.47267971']
198,"['0.00107900', '0.00503431', '0.00249900']"
199,['2.37132556']
200,['0.50194971']
201,"['0.00300000', '0.04657040', '0.00632321', '0.00569945', '1.40242951', '0.02776271', '0.03152186']"
202,['1.76116662']
203,['0.97886225']
204,['1.75888627']
205,['1.75585647']
206,"['0.49916936', '0.55691757']"
207,['1.75307667']
208,"['1.75162987', '0.00672451', '0.01513085']"
209,"['0.00008996', '0.96053465', '0.82253791', '0.09821928', '0.02404671', '0.00520488', '0.01408371', '0.97339885', '218.32762463', '0.98777725', '0.95620085', '0.14852427', '0.98494485', '0.02640675']"
210,['6.08517936']
211,"['0.08385984', '218.21236318', '0.00530900', '0.02015838', '6.05399775', '0.00166700']"
212,['0.94889205']
213,['218.16158207']
214,['6.18493355']
215,"['0.05841630', '0.07806148', '218.06433620']"
216,['0.05846990']
217,"['0.01401991', '217.97192201']"
218,['0.21448486']
219,['0.91848932']
220,"['217.73420270', '0.75282041', '6.14632398']"
221,['7.06464610']
222,"['0.04993511', '216.70288719', '0.02244190']"
223,['6.19910615']
224,['0.07664974']
225,['0.08486806']
226,"['216.26599034', '216.61335920', '0.06701725', '216.27567643', '0.00432713']"
227,['5.86147643']
228,['433.00305543']
229,"['0.01290075', '216.79033574']"
230,['0.60534104']
231,"['0.58791971', '216.18025331']"
232,['0.59310985']
233,"['0.04191664', '5.85115160']"
234,['5.85165791']
235,"['0.30960000', '0.00519256', '216.04578099', '5.78589311', '0.01471225']"
236,['0.46404794']
237,['207.49156573']
238,['207.48649693']
239,['207.48505013']
240,['0.29927962']
241,"['206.54266808', '0.29641582']"
242,['205.89956565']
243,['205.89553385']
244,['205.89408705']
245,['204.96020660']
246,['204.95734180']
247,['204.02637975']
248,['204.02493295']
249,['204.02023315']
250,['203.09552490']
251,['202.17231805']
252,['202.16936925']
253,['201.24916480']
254,['199.78371139']
255,['199.67873170']
256,['199.67580240']
257,['199.49395001']
258,['197.29578552']
259,['197.29462373']
260,['196.37124908']
261,['196.36571428']
262,['196.03523884']
263,['196.00530284']
264,['195.99538470']
265,['195.96721076']
266,['195.96064033']
267,['195.72759072']
268,['195.72747486']
269,['195.71913875']
270,['195.71902314']
271,['0.93526805']
272,['0.93515244']
273,['0.93503683']
274,['0.92562095']
275,['195.71032250']
276,['195.71020732']
277,['195.70534173']
278,['0.92550534']
279,['0.92047532']
280,['195.70522655']
281,['0.53874961']
282,['195.70511428']
283,['195.69608137']
284,['195.69596910']
285,"['0.53863734', '195.68005480']"
286,['195.29089308']
287,['195.28215387']
288,['0.94376965']
289,"['0.00047520', '0.93498777']"
290,['0.93530056']
291,['195.28204201']
292,['195.24157951']
293,['0.93518870']
294,['195.24024944']
295,['0.92980999']
296,['0.75318802']
297,['0.70308322']
298,['0.70077530']
299,['193.46422647']
300,['0.69132834']
301,['0.69121896']
302,['0.68540289']
303,['193.43795184']
304,['0.68529351']
305,['0.68518413']
306,['0.67936819']
307,"['0.67355230', '0.00346807']"
308,['0.67686162']
309,['193.43213578']
310,['0.67104562']
311,['193.42632013']
312,['0.92934885']
313,['0.92353305']
314,['193.42621101']
315,['193.42610189']
316,['0.66522986']
317,['193.42028621']
318,['0.91771727']
319,['0.91190145']
