id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos
0,0.00002184,0.00043816,0.00347222,0.00000398327272727,bnb,1,0,1,,5,4
1,0.00000546,0.00048959,0.00347222,0.00000347226950355,srd,1,0,2,0.09950495,4,4
2,0.00000546,0.00031757,0.00225225,0.00000225226950355,srd,1,0,2,0.09918192,6,6
3,0.00000546,0.00031615,0.00224215,0.00000224219858156,srd,1,0,2,0.09886031,7,7
4,0.00263507,0.00031334,0.00222222,0.00000222226950355,srd,1,0,2,0.09591190,7,7
5,0.00050546,0.00031195,0.00221239,0.00000221241134752,srd,1,0,2,0.09509449,9,9
6,3.81689718,0.00126075,0.00205000,0.00000205,srd,8,0,2,5.27999776,11,4
7,1.10821526,0.00028905,0.00205000,0.00000205,srd,1,0,2,4.17149345,4,4
8,0.00000546,0.00028641,0.00203125,0.00000203127659574,srd,1,0,2,4.17120158,5,5
9,0.02980000,0.00028200,0.00200000,0.00000200,srd,1,0,2,4.14111958,5,5
10,0.03495767,0.00028073,0.00199097,0.00000199099290780,srd,1,0,2,4.10588118,6,6
11,1.89275619,0.00028073,0.00199097,0.00000199099290780,srd,1,0,2,2.21284426,6,6
12,0.03104296,0.00027542,0.00195327,0.00000195333333333,srd,1,0,2,2.18152588,6,6
13,0.00000546,0.00027432,0.00194553,0.00000194553191489,srd,1,0,2,2.18124610,7,7
14,0.09464812,0.00027432,0.00194553,0.00000194553191489,srd,1,0,2,2.08632366,7,7
15,0.01665086,0.00026096,0.00185074,0.00000185078014184,srd,1,0,2,2.06941184,8,8
16,0.00819046,0.00025493,0.00180800,0.00000180801418440,srd,1,0,2,2.06096645,8,8
17,0.00095233,0.00025493,0.00180800,0.00000180801418440,srd,1,0,2,2.05975919,8,8
18,0.00600000,0.00022205,0.00157480,0.00000157482269504,srd,1,0,2,2.05353714,10,10
19,0.00600000,0.00022205,0.00157480,0.00000157482269504,srd,1,0,2,2.04731509,11,11
20,1.17562657,0.00022205,0.00157480,0.00000157482269504,srd,1,0,2,0.87146647,11,11
21,0.00965973,0.00021150,0.00150000,0.00000150,srd,1,0,2,0.86159524,11,11
22,0.01151660,0.00021150,0.00150000,0.00000150,srd,1,0,2,0.84986714,11,11
23,0.64625500,0.00021150,0.00150000,0.00000150,srd,1,0,2,0.20340064,12,12
24,0.05699015,0.00021045,0.00149254,0.00000149255319149,srd,1,0,2,0.14620004,12,12
25,0.00200000,0.00020587,0.00146004,0.00000146007092199,srd,1,0,2,0.14399417,12,12
26,0.26931395,0.00020587,0.00146004,0.00000146007092199,srd,1,0,2,2.08878018,13,13
27,0.13049524,0.00021161,0.00150073,0.00000150078014184,srd,1,0,2,0.01328732,13,13
28,0.00000546,0.00019055,0.00135135,0.00000135141843972,srd,1,0,2,0.01309131,18,18
29,0.00014500,0.00018465,0.00130952,0.00000130957446809,srd,1,0,2,0.01276166,19,19
30,0.00693770,0.00018465,0.00130952,0.00000130957446809,srd,1,0,2,2.08165783,19,19
31,0.00216590,0.00018465,0.00130952,0.00000130957446809,srd,1,0,2,2.07930728,20,20
32,0.00002410,0.00018465,0.00130952,0.00000130957446809,srd,1,0,2,0.01255291,20,20
33,0.01170950,0.00018465,0.00130952,0.00000130957446809,srd,1,0,2,2.06741313,20,20
34,0.00012050,0.00018465,0.00130952,0.00000130957446809,srd,1,0,2,0.01224776,20,20
35,0.58090821,0.00027171,0.00130628,0.00000130629807692,srd,2,0,2,1.49848097,21,20
36,0.00192521,0.00018330,0.00130000,0.00000130,srd,1,0,2,1.49637246,20,20
37,0.00132021,0.00018248,0.00129412,0.00000129418439716,srd,1,0,2,1.49486977,21,21
38,0.00001556,0.00018248,0.00129412,0.00000129418439716,srd,1,0,2,1.49467173,21,21
39,0.00199787,0.00018248,0.00129412,0.00000129418439716,srd,1,0,2,1.49249138,21,21
40,0.00002240,0.00018248,0.00129412,0.00000129418439716,srd,1,0,2,1.49228650,21,21
41,0.00135373,0.00018248,0.00129412,0.00000129418439716,srd,1,0,2,1.49075029,21,21
42,0.00001590,0.00018248,0.00129412,0.00000129418439716,srd,1,0,2,1.49055191,21,21
43,0.04170396,0.00017855,0.00126627,0.00000126631205674,srd,1,0,2,0.08811749,21,21
44,0.21664369,0.00026000,0.00125000,0.00000125,srd,2,0,2,1.36176571,21,20
45,2.59221749,0.00043000,0.00125000,0.00000125,srd,4,0,2,6.13865919,20,17
46,0.07150858,0.00017494,0.00124069,0.00000124070921986,srd,1,0,2,24.31323548,17,17
47,0.00064863,0.00016816,0.00119262,0.00000119262411348,srd,1,0,2,24.31241869,18,18
48,0.00427636,0.00016816,0.00119262,0.00000119262411348,srd,1,0,2,6.13421467,18,18
49,0.03830366,0.00024359,0.00117106,0.00000117110576923,srd,2,0,2,0.10591791,18,17
50,0.00367300,0.00013408,0.00116592,0.00000121890909091,bnb,1,0,1,,17,16
51,0.00000546,0.00013787,0.00114155,0.00000125336363636,bnb,1,0,1,,16,15
52,0.44678250,0.00016096,0.00114155,0.00000114156028369,srd,1,0,2,23.86547523,15,15
53,0.00000546,0.00016096,0.00114155,0.00000114156028369,srd,1,0,2,0.10575149,15,15
54,0.44627704,0.00031436,0.00113895,0.00000113898550725,srd,3,0,2,5.73245185,16,14
55,0.00000546,0.00016060,0.00113895,0.00000113900709220,srd,1,0,2,5.73228579,14,14
56,0.09343597,0.00015638,0.00110906,0.00000110907801418,srd,1,0,2,0.01215914,15,15
