id,input_amounts
0,['0.00046000']
1,['0.10000000']
2,['0.09950495']
3,['0.09918192']
4,['0.09886031']
5,['0.09591190']
6,"['0.09136964', '0.09509449', '0.03300516', '2.98592356', '0.15234500', '5.73004593', '0.00102730', '0.00934461']"
7,['5.27999776']
8,['4.17149345']
9,['4.17120158']
10,['4.14111958']
11,['4.10588118']
12,['2.21284426']
13,['2.18152588']
14,['2.18124610']
15,['2.08632366']
16,['2.06941184']
17,['2.06096645']
18,['2.05975919']
19,['2.05353714']
20,['2.04731509']
21,['0.87146647']
22,['0.86159524']
23,['0.84986714']
24,['0.20340064']
25,['0.14620004']
26,['2.35830000']
27,['0.14399417']
28,['0.01328732']
29,['0.01309131']
30,['2.08878018']
31,['2.08165783']
32,['0.01276166']
33,['2.07930728']
34,['0.01255291']
35,"['2.06741313', '0.01224776']"
36,['1.49848097']
37,['1.49637246']
38,['1.49486977']
39,['1.49467173']
40,['1.49249138']
41,['1.49228650']
42,['1.49075029']
43,['0.13000000']
44,"['1.49055191', '0.08811749']"
45,"['0.13016508', '0.09807589', '7.14130000', '1.36176571']"
46,['24.38491900']
47,['24.31323548']
48,['6.13865919']
49,"['0.13033016', '0.01413500']"
50,['0.00380708']
51,['0.00014333']
52,['24.31241869']
53,['0.10591791']
54,"['6.13421467', '0.01040000', '0.03442858']"
55,['5.73245185']
56,['0.10575149']
57,"['5.73228579', '0.01215914']"
58,['23.86547523']
59,['5.62521424']
60,['5.60505995']
61,['3.78052646']
62,['3.77592101']
63,['23.85262993']
64,['23.75308387']
65,['3.57577494']
66,['3.56081114']
67,['3.53235928']
68,['3.53221218']
69,['23.73497780']
70,['23.47583422']
71,['0.28280218']
72,"['0.26977485', '21.53486332']"
73,['3.53206508']
74,['21.50069392']
75,"['0.13066032', '0.00007230']"
76,['15.41756586']
77,"['7.46201049', '3.16943508', '0.10863321']"
78,['5.83270414']
79,"['0.00171973', '0.00615171', '0.49900000', '2.25683172', '0.00131873', '0.26384898', '36.38510000', '0.27780364', '0.37801960', '0.03123869']"
80,['5.78401614']
81,['5.77406750']
82,['5.71157354']
83,['1.93922193']
84,['5.09767168']
85,"['14.41445754', '0.01246026', '8.84991102', '0.00981188']"
86,['0.50527174']
87,['5.07977049']
88,['6.79621549']
89,['0.48546280']
90,['5.06990169']
91,['0.47226423']
92,['5.06816665']
93,['6.79514844']
94,['6.39501196']
95,"['6.35087548', '0.46980448']"
96,['5.82047863']
97,['5.65553499']
98,['5.05203017']
99,['5.44119683']
100,['5.04526480']
101,['5.44105785']
102,['5.04512582']
103,['5.04498737']
104,['5.44091887']
105,['5.04441061']
106,['5.44056850']
107,['5.04384320']
108,"['0.00048151', '0.02900000', '0.00405736', '0.00664207', '0.01114421', '6.84288194', '0.01100000', '0.00664516', '0.37317718', '0.00800000', '0.00663588', '0.00445000', '0.00017460']"
109,['5.43796176']
110,['5.41303798']
111,['5.43762813']
112,['5.41290656']
113,['5.04370790']
114,['5.03793291']
115,['5.41277514']
116,['5.43185300']
117,['5.40700021']
118,['5.40122529']
119,['5.39956231']
120,"['0.03700000', '0.00564910']"
121,['5.03780149']
122,['5.43172158']
123,['5.03767038']
124,['5.03753927']
125,"['0.00564908', '0.00564900']"
126,['0.00546357']
127,['0.03681459']
128,['5.42594693']
129,['5.38087349']
130,['5.03176462']
131,['5.02598999']
132,"['0.03668348', '0.00533246']"
133,['0.03618193']
134,['5.02585888']
135,['5.42017232']
136,['5.02008453']
137,['5.38074238']
138,['5.38061158']
139,"['0.00564909', '0.00564906']"
140,['0.00546424']
141,['5.01431005']
142,['5.42004152']
143,['5.37483726']
144,['0.03605113']
145,['0.03332198']
146,['0.02312633']
147,"['5.41426723', '0.01342982', '5.37470646']"
148,['5.01417925']
149,['4.96405415']
150,['4.95350721']
151,['0.10000000']
152,['1.01125181']
153,['4.95337829']
154,['1.01112380']
155,['1.00583452']
156,['4.95325028']
157,['4.59877152']
158,['0.99334703']
159,"['0.00503431', '0.00564905']"
160,['0.99321917']
161,['3.02749951']
162,['0.98792346']
163,"['0.96021154', '0.01049757']"
164,['0.15041219']
165,['9.74076245']
166,['9.73300261']
167,['2.67327081']
168,['0.07715730']
169,['0.09848149']
170,"['9.72726024', '0.02907075']"
171,"['2.66358271', '0.00533344']"
172,['9.68194712']
173,['9.45436346']
174,"['0.02585429', '2.40820781']"
175,['2.39085341']
176,['9.45424160']
177,['9.45195991']
178,['2.38810456']
179,['3.02585214']
180,['9.31644283']
181,"['2.38116986', '3.01376080']"
182,['0.11499370']
183,['0.10290516']
184,['8.78101890']
185,['8.77627113']
186,['0.10231486']
187,['8.54301266']
188,['8.43082657']
189,['8.42929777']
190,['0.10219604']
191,"['0.09882924', '8.42651897']"
192,['7.54365576']
193,['7.54212641']
194,['6.56473321']
195,['6.56195441']
196,['5.58739416']
197,['5.58361481']
198,['4.61288481']
199,"['0.97339885', '0.02776271', '0.00008996']"
200,['4.61110501']
201,['4.60832466']
202,"['0.03152186', '0.00564914']"
203,['3.64226146']
204,['0.03483678']
205,['0.03180698']
206,['2.67853006']
207,['0.03224747']
208,"['1.72071601', '0.02902718', '0.03080067']"
209,"['0.97886225', '0.04657040', '0.02640675', '0.00107900', '0.98777725', '0.00664104', '0.00520488', '0.00632321', '0.95620085', '0.14852427', '0.01408371', '0.98494485', '0.02404671', '0.00300000', '0.00519207', '0.00249900', '0.82959654', '218.32762463', '0.00331542']"
210,['5.11320644']
211,"['218.21236318', '5.08202483', '0.94889205', '0.00166700', '0.00530900']"
212,['6.05788806']
213,"['0.00564896', '0.96053465', '0.00569945', '218.16158207', '0.05841630', '0.08385984', '0.02015838']"
214,['1.19246268']
215,['218.06433620']
216,['1.15385311']
217,"['0.01401991', '217.97192201', '0.07806148']"
218,['1.11782511']
219,"['0.07811508', '0.91624100']"
220,['217.73420270']
221,"['0.12794219', '6.02748533']"
222,"['0.00432713', '216.70288719']"
223,['0.82863357']
224,['0.49100385']
225,['0.48137136']
226,['216.61335920']
227,['0.39026108']
228,['216.27567643']
229,"['216.26599034', '0.37993625']"
230,['0.16560971']
231,"['0.44803114', '0.00865426', '0.00519256', '0.08486806', '216.18025331', '0.01471225', '0.06295674', '0.43841994']"
232,['1.06769791']
233,['5.28983371']
234,['0.14818838']
235,"['216.04578099', '0.30960000']"
236,"['5.24847704', '0.08242358']"
237,['0.93863600']
238,['0.93356720']
239,['201.68593101']
240,['200.74354896']
241,['200.74068516']
242,['199.80122051']
243,['5.16607870']
244,['0.94376965']
245,['5.16463190']
246,['199.79718871']
247,['0.00988920']
248,['0.93526805']
249,['5.16176710']
250,['0.93056825']
251,['198.86622666']
252,['4.23705885']
253,['3.31685440']
254,['0.93212040']
255,"['0.00736140', '198.86327786']"
256,['198.86765636']
257,"['0.82714071', '198.68580397']"
258,['0.00844240']
259,['197.31472659']
260,['196.39135194']
261,['196.38581714']
262,['1.85140099']
263,['196.05534170']
264,['196.04542356']
265,['0.66366367']
266,['0.65709324']
267,['196.01724962']
268,"['196.01713376', '0.00728061']"
269,['196.01602592']
270,['1.82146499']
271,['1.81276435']
272,['1.81264874']
273,['196.01591031']
274,['0.42404363']
275,['1.81253313']
276,['0.42392802']
277,['196.00649443']
278,['196.00637925']
279,['196.00134923']
280,['195.61962352']
281,['0.41906243']
282,['1.81241795']
283,['195.61951125']
284,['0.41895016']
285,"['0.40303586', '195.61939898']"
286,['195.09463578']
287,['1.80338504']
288,['195.08589657']
289,['195.07711469']
290,['1.80327318']
291,['1.80316132']
292,['195.07700283']
293,['195.07567276']
294,"['1.76269882', '195.07029405']"
295,['195.05692010']
296,['194.88029813']
297,['194.83019333']
298,['194.82788541']
299,['194.81843845']
300,['194.79216382']
301,['194.79205444']
302,['194.78623837']
303,['194.78612899']
304,['194.78031293']
305,['194.78020355']
306,['194.77438761']
307,['194.76857172']
308,"['0.00858314', '0.00660355', '0.00133500']"
309,"['194.76846234', '0.01060620']"
310,['194.77320363']
311,['194.76738787']
312,['194.76727875']
313,['215.84856363']
314,['215.84274785']
315,"['0.00723699', '0.00828905']"
316,['0.00966110']
