id,input_amounts
0,['0.00046000']
1,['0.10000000']
2,['0.09950495']
3,['0.09918192']
4,['0.09886031']
5,['0.09591190']
6,['5.73004593']
7,['1.91285970']
8,['0.09509449']
9,['0.09480262']
10,['0.06472062']
11,"['0.00102730', '0.80435539', '2.98592356']"
12,['1.89800055']
13,['1.86668217']
14,['1.86640239']
15,['0.02948222']
16,['1.77147995']
17,['0.01257040']
18,['0.01136314']
19,['0.28280218']
20,['1.76303456']
21,['0.09136964']
22,['0.58718594']
23,"['0.08149841', '0.27658013', '0.57545784', '0.00514109']"
24,['0.29190647']
25,['0.23470587']
26,"['7.14130000', '0.00131873', '0.23250000']"
27,['7.10540180']
28,['6.97469495']
29,['6.97449894']
30,['6.97416929']
31,['6.96704694']
32,['6.96469639']
33,"['0.01040000', '0.13016508']"
34,['0.12858319']
35,"['0.12827804', '6.96448764']"
36,['6.51158576']
37,['6.50947725']
38,['6.50797456']
39,['6.50777652']
40,['6.50559617']
41,['6.50539129']
42,['0.13000000']
43,['0.13066032']
44,['24.38491900']
45,['24.16809906']
46,['6.50385508']
47,['0.13033016']
48,['0.08877781']
49,['0.12951337']
50,['0.00380708']
51,['0.00014333']
52,"['0.12980162', '6.43217156', '0.09104459']"
53,['6.20592020']
54,['21.57570532']
55,['0.08433329']
56,['21.12926768']
57,['6.20575378']
58,['0.08416723']
59,['6.08659740']
60,['6.06644311']
61,['21.03567533']
62,"['4.24190962', '0.07132193']"
63,['21.03106988']
64,['4.11301608']
65,['4.09491001']
66,['20.93152382']
67,['20.90307196']
68,['20.90292486']
69,['4.07994621']
70,['20.90277776']
71,['0.37801960']
72,['18.96180686']
73,['3.82080263']
74,"['0.36499227', '18.65792961']"
75,['3.45817263']
76,"['3.43614022', '0.03300516', '0.15234500', '2.25683172', '0.01413500', '0.03442858', '2.35830000', '0.03123869', '0.00934461']"
77,"['12.93972682', '0.36967161']"
78,['8.40209179']
79,"['0.00615171', '0.49900000', '36.38510000', '0.00171973', '0.09807589', '8.35340379', '0.27780364', '0.00007230']"
80,['7.45965119']
81,['7.44970255']
82,['7.38720859']
83,['6.77330673']
84,['5.33935654']
85,"['0.01246026', '14.41445754', '8.84991102', '5.32145535']"
86,['12.10785896']
87,['12.08805002']
88,['12.07818122']
89,['12.07711417']
90,['12.06391560']
91,['12.06218056']
92,['12.05972081']
93,['12.04358433']
94,['11.64344785']
95,['11.59931137']
96,['10.59917489']
97,['10.43423125']
98,['10.21989309']
99,['10.21312772']
100,['10.21298874']
101,['10.21284976']
102,['10.21271078']
103,['10.21257233']
104,['10.21199557']
105,['10.21164520']
106,['10.21107779']
107,['10.20847105']
108,"['6.84288194', '0.00445000']"
109,['10.20833575']
110,['4.95675439']
111,['10.20800212']
112,['10.20222699']
113,['10.20209557']
114,['4.95662297']
115,['10.19632058']
116,['4.95649155']
117,['10.19054565']
118,['10.18477073']
119,['10.18310775']
120,"['0.00017460', '0.00564900']"
121,['0.00564910']
122,['0.02900000']
123,['10.16441893']
124,['10.16428782']
125,['10.15851317']
126,['4.95636013']
127,['0.00551799']
128,"['0.00538688', '0.02322535']"
129,['4.95622902']
130,['10.15273836']
131,['4.95609791']
132,['10.14696373']
133,['10.14118927']
134,['10.14105847']
135,['4.95596680']
136,['0.02277792']
137,['10.13528412']
138,['4.95583600']
139,['4.95006168']
140,['10.13515332']
141,['0.01700344']
142,['10.13502252']
143,['0.01687264']
144,['0.01674184']
145,"['0.01401269', '4.94428732']"
146,['4.94804506']
147,"['4.93834855', '10.12924823']"
148,['5.27650470']
149,['5.22637960']
150,['5.21583266']
151,['5.21570374']
152,['5.21418523']
153,['5.21405722']
154,['5.21392921']
155,['5.20863993']
156,['5.19615244']
157,"['0.00664207', '0.10000000', '0.03700000', '0.00564908', '0.00564909', '0.00503431', '0.00519207', '0.00981188', '0.00664104', '4.59877152', '0.26384898', '0.01114421', '0.00564896']"
158,['3.13482677']
159,['0.00520488']
160,['3.13469891']
161,['9.74076245']
162,['3.27040167']
163,['9.73911508']
164,['3.12940320']
165,['3.05614831']
166,['8.91887605']
167,['0.02640675']
168,['3.04838847']
169,"['0.00507718', '3.24268975']"
170,['3.00030192']
171,['2.92597399']
172,"['0.01671865', '2.66532159']"
173,['2.45440126']
174,['3.17508379']
175,['3.13193026']
176,['8.91313368']
177,['2.45427940']
178,['3.12918141']
179,['8.91085199']
180,['2.31876232']
181,['8.89876065']
182,['1.78333839']
183,['3.12224671']
184,['3.61887820']
185,['3.12165641']
186,['2.88839794']
187,['1.77124985']
188,['2.88827912']
189,['3.61413043']
190,['2.88675032']
191,['3.61135163']
192,['1.65906376']
193,['1.65753441']
194,['2.62971278']
195,"['2.62693398', '0.68014121']"
196,['2.88338352']
197,['2.87960417']
198,['0.37317718']
199,"['0.37139738', '1.90887417']"
200,['1.31132190']
201,['2.33246134']
202,['1.30854155']
203,['1.30626120']
204,['1.36639814']
205,['1.36336834']
206,['1.36058854']
207,['0.34252980']
208,"['0.00663588', '0.04657040', '0.00800000', '0.00008996', '0.97339885', '0.34108300']"
209,"['218.32762463', '0.40277449', '0.00569945', '0.00107900']"
210,['0.49330398']
211,"['0.02015838', '0.08385984', '0.96053465', '0.98494485', '0.14852427', '218.21236318', '0.46212237', '0.97886225', '0.00564906', '0.42466759', '0.00405736']"
212,['4.09305100']
213,"['0.01408371', '0.05841630', '0.00564914', '0.00249900', '0.00530900', '0.00300000', '0.00632321', '0.02776271', '4.06264827', '0.00664516', '0.00564905', '0.00166700', '0.02404671', '218.16158207', '0.94889205', '0.00331542', '0.03152186', '0.00048151']"
214,['0.98777725']
215,['218.06433620']
216,['5.26545920']
217,"['217.97192201', '0.95620085', '0.01401991', '0.94916768']"
218,['5.22943120']
219,"['5.02784709', '0.07811508']"
220,['217.73420270']
221,['4.94023966']
222,"['0.00432713', '216.70288719']"
223,"['0.16560971', '1.95519484']"
224,['4.07469971']
225,['1.78312097']
226,"['4.06506722', '0.08486806', '0.01100000', '216.61335920', '1.74016955', '0.00865426']"
227,['6.29974977']
228,"['6.28942494', '216.27567643', '0.07806148']"
229,"['0.01471225', '216.26599034']"
230,['0.08280714']
231,"['6.43033516', '216.18025331', '0.00519256']"
232,"['0.06538581', '6.44066320']"
233,['6.37693324']
234,['6.33557657']
235,['216.04578099']
236,['6.26981177']
237,['6.10504345']
238,['6.09997465']
239,['6.09852785']
240,['5.15614580']
241,['201.37638461']
242,['5.15328200']
243,['5.14925020']
244,['200.43691996']
245,['5.14780340']
246,['5.14493860']
247,['199.50303951']
248,['199.50159271']
249,['199.49689291']
250,['198.57218466']
251,['4.21397655']
252,['4.21102775']
253,['197.64897781']
254,['196.18352440']
255,['0.94376965']
256,['196.07854471']
257,['195.89669232']
258,['193.69852783']
259,['3.29082330']
260,['193.69736604']
261,['2.36744865']
262,['193.69183124']
263,['2.03697321']
264,['193.66189524']
265,['2.02705507']
266,['193.63372130']
267,['193.40067169']
268,['0.94084035']
269,['193.40055583']
270,['2.02048464']
271,['193.40044022']
272,['193.40032461']
273,['0.93250424']
274,['0.92308836']
275,['2.01178400']
276,['2.01166882']
277,['2.00680323']
278,['0.92297275']
279,['2.00668805']
280,['0.91794273']
281,['193.40020900']
282,['1.62496234']
283,['193.40009673']
284,['1.61592943']
285,['1.60001513']
286,['0.67226677']
287,['0.91783046']
288,['0.66352756']
289,['193.39998446']
290,['0.65474568']
291,['0.91771860']
292,['0.65463382']
293,['0.65330375']
294,"['0.64792504', '193.39987260', '0.87725610']"
295,['193.14893043']
296,['192.97230846']
297,['192.92220366']
298,['192.91989574']
299,['192.91044878']
300,['192.88417415']
301,['192.88406477']
302,['192.87824870']
303,['192.87813932']
304,['192.87232326']
305,['192.87221388']
306,['0.01756400']
307,['192.86639794']
308,['192.86628856']
309,['0.01174811']
310,['192.86047256']
311,['0.00593246']
312,"['4.91620000', '0.00105394']"
313,['0.92934885']
314,['192.85465680']
315,['4.91138888']
316,['0.01514497']
317,['0.92353307']
318,['192.85454768']
319,['4.90557320']
320,['4.90546408']
321,['0.91771731']
322,['0.91374498']
323,['4.89964833']
