id,input_amounts
0,['0.00046000']
1,['0.10000000']
2,['0.09950495']
3,['0.09918192']
4,['0.09886031']
5,['0.09591190']
6,"['0.09136964', '5.73004593', '0.09509449', '0.00934461']"
7,['2.10825229']
8,['0.99974798']
9,['0.99945611']
10,['0.96937411']
11,"['0.93413571', '2.98592356', '0.15234500', '0.03300516', '0.00102730']"
12,['2.21286026']
13,['2.18154188']
14,['2.18126210']
15,['2.08633966']
16,['2.06942784']
17,['2.06098245']
18,['2.05977519']
19,['2.05355314']
20,['2.04733109']
21,['0.87148247']
22,['0.86161124']
23,['0.84988314']
24,['0.20341664']
25,['0.14621604']
26,"['7.14130000', '0.00380708']"
27,['0.14401017']
28,['6.87548944']
29,['6.87529343']
30,['0.01330332']
31,['0.13000000']
32,['6.87496378']
33,['0.12764945']
34,['0.00618097']
35,"['6.87475503', '0.00587582', '0.11575530']"
36,['6.41511740']
37,['6.41300889']
38,['6.41150620']
39,['6.41130816']
40,['6.40912781']
41,['6.40892293']
42,['6.40738672']
43,['6.40718834']
44,['6.36530583']
45,"['0.13033016', '0.28280218', '0.01040000', '0.09807589', '6.14848589', '0.00131873']"
46,['4.07859661']
47,['0.01413500']
48,['0.03442858']
49,"['24.38491900', '0.00014333']"
50,['0.01331821']
51,['4.00691309']
52,['4.00674667']
53,['0.03123869']
54,"['0.13066032', '2.35830000', '0.03107227']"
55,['3.55980321']
56,['3.55963715']
57,['2.07344119']
58,['24.34651508']
59,['24.33366978']
60,['3.46604480']
61,['0.02998406']
62,['24.31351549']
63,['24.11336942']
64,['1.64151131']
65,['24.01382336']
66,['1.95428481']
67,['1.62340524']
68,['0.00948081']
69,['23.99885956']
70,"['0.02537861', '1.92583295']"
71,['1.62325814']
72,"['1.61023081', '0.01017339']"
73,['1.31645995']
74,['23.73971598']
75,['17.65658792']
76,['17.63455551']
77,"['9.67900014', '0.95382995']"
78,['0.49900000']
79,"['0.00933371', '0.45031200', '0.37801960', '36.38510000', '5.72552345', '0.00171973', '0.27780364', '0.13016508', '0.00007230', '0.26384898', '0.00615171']"
80,['5.46617133']
81,['5.45622269']
82,['5.39372873']
83,['4.77982687']
84,['3.34587668']
85,"['0.01246026', '8.84991102', '14.41445754', '0.00981188', '2.25683172']"
86,['9.05297921']
87,['3.32797549']
88,['3.31810669']
89,['9.03317027']
90,['3.31703964']
91,['9.01997170']
92,['3.31530460']
93,['9.01751195']
94,['8.61737547']
95,['3.29916812']
96,['2.29903164']
97,['8.57323899']
98,['8.35890083']
99,['8.35213546']
100,['8.35199648']
101,['8.35185750']
102,['8.35171852']
103,['8.35158007']
104,['8.35100331']
105,['2.13408800']
106,['2.13352059']
107,['8.35065294']
108,['8.35051764']
109,['6.46000066']
110,['6.45966703']
111,['6.45953561']
112,['6.45376048']
113,['2.13091385']
114,['2.12513886']
115,['6.45362906']
116,['6.44785413']
117,['6.44772271']
118,['2.12500744']
119,['6.44194779']
120,['2.12334446']
121,"['6.84288194', '0.00048151']"
122,['2.11756965']
123,['6.42325897']
124,['6.84317264']
125,['6.42312786']
126,['6.41735305']
127,['6.83739799']
128,['2.11179500']
129,['2.10602039']
130,['2.10588928']
131,['6.41722194']
132,['2.10011465']
133,['6.83726688']
134,['6.41709083']
135,['6.41131648']
136,['2.09434019']
137,['0.03700000']
138,['0.37317718']
139,['0.36740286']
140,['6.41118568']
141,['0.36162850']
142,['0.03686920']
143,['0.03109491']
144,['0.36149770']
145,['0.35876855']
146,['0.03096411']
147,"['0.02126760', '2.08856571', '6.83713608', '0.34857290', '6.41105488']"
148,['5.91532625']
149,['5.86520115']
150,['5.85465421']
151,['5.85452529']
152,['5.85300678']
153,['5.85287877']
154,['5.85275076']
155,['5.84746148']
156,['5.83497399']
157,['3.90922322']
158,['4.59877152']
159,['0.00800000']
160,"['0.00787230', '1.98372251']"
161,"['0.00405736', '0.02900000']"
162,['1.98624101']
163,['1.95852909']
164,['1.13829006']
165,['4.59864366']
166,['1.06503517']
167,['0.03136652']
168,['1.05929280']
169,['1.01120625']
170,['0.93857905']
171,['4.59088382']
172,"['0.86425112', '0.02167842']"
173,['4.33023142']
174,['0.65829056']
175,['0.61513703']
176,['0.61238818']
177,['4.33010956']
178,['4.19459248']
179,['4.18765778']
180,['0.61010649']
181,"['0.02776271', '0.07468256', '0.01114421', '0.97339885', '4.17556644', '0.00663588', '0.01100000']"
182,['0.02640675']
183,['0.01431821']
184,['0.01372791']
185,"['0.00564905', '0.00564896', '0.04657040', '0.10000000', '0.00898014', '0.00664516', '0.01408371', '0.00520488', '0.00632321', '0.02404671', '0.00564900', '0.00503431']"
186,['0.00564910']
187,"['0.14852427', '0.00300000', '0.00564906', '0.00519207', '0.00664104', '0.00445000', '0.00564914']"
188,['0.06659312']
189,['0.06506432']
190,['0.06228552']
191,"['218.32762463', '0.03152186', '0.00553028']"
192,['0.05891872']
193,['217.38292992']
194,['0.05738937']
195,['216.40553672']
196,['0.05461057']
197,['215.43097647']
198,"['0.00331542', '0.00564908']"
199,['9.74076245']
200,"['8.77186640', '0.00713110']"
201,['214.46024647']
202,['213.49418327']
203,"['0.97886225', '0.00249900', '0.05083122']"
204,['8.77616329']
205,['0.06835254']
206,['8.77313349']
207,['7.81531944']
208,['213.49190292']
209,"['7.81387264', '212.54106412', '0.06557274']"
210,['2.17669031']
211,"['0.94889205', '0.00017460', '0.00166700', '0.02015838', '0.95620085', '0.00564909', '0.96053465', '0.00530900', '0.08385984', '0.00664207', '218.21236318', '0.00107900']"
212,['3.00978251']
213,"['0.98494485', '0.00569945', '0.00008996', '0.05841630', '0.98777725', '218.16158207']"
214,['2.14550870']
215,['218.06433620']
216,['0.07811508']
217,"['0.01401991', '0.04208708', '217.97192201']"
218,['2.10689913']
219,['2.09512731']
220,['217.73420270']
221,['1.90531502']
222,"['0.00432713', '1.92945840', '216.70288719']"
223,['1.93805826']
224,['2.97937978']
225,['2.96974729']
226,"['0.09196779', '0.08486806', '0.16560971', '1.03977507', '1.60042854', '216.61335920']"
227,['2.92679587']
228,"['216.27567643', '216.26599034', '0.07806148']"
229,['216.40690056']
230,['0.20905897']
231,['216.18025331']
232,['0.19163764']
233,['2.91647104']
234,['3.37263985']
235,"['0.30960000', '2.87511437', '216.04578099', '0.00519256']"
236,['204.56612914']
237,['3.30687505']
238,['204.40136082']
239,['204.39991402']
240,"['3.30180625', '0.00524401']"
241,['203.45753197']
242,['3.30413286']
243,['3.30010106']
244,['202.51806732']
245,['3.29865426']
246,['3.29578946']
247,['201.58418687']
248,['0.06257573']
249,['2.36482741']
250,['1.44011916']
251,['201.58274007']
252,['0.92934885']
253,"['0.05787593', '201.57979127']"
254,['200.17216019']
255,['200.06718050']
256,['0.51691231']
257,"['200.06425120', '0.33505992', '0.00914440']"
258,['198.21018303']
259,['198.20902124']
260,['197.28564659']
261,['197.28011179']
262,['196.94963635']
263,['196.91970035']
264,['196.90978221']
265,['196.88160827']
266,['196.87503784']
267,['196.64198823']
268,['196.64187237']
269,['196.63353626']
270,['196.63342065']
271,"['0.01471225', '0.00346807']"
272,['196.62472001']
273,['196.62460440']
274,['0.01801237']
275,['0.01789676']
276,['196.61518852']
277,['0.01778158']
278,['0.01766640']
279,"['0.01263638', '196.61032293']"
280,['196.24118254']
281,['196.24107027']
282,['196.24095800']
283,['196.23192509']
284,['196.23181282']
285,['196.21589852']
286,['195.28815016']
287,['195.27941095']
288,['195.27929909']
289,['0.88546770']
290,['0.88535584']
291,['0.88524398']
292,['0.84478148']
293,['195.27051721']
294,"['195.26513850', '0.84345141']"
295,['194.33251714']
296,['194.15589517']
297,['194.10579037']
298,['194.10348245']
299,['194.09403549']
300,['194.06776086']
301,['194.06765148']
302,['194.06183541']
303,['194.06172603']
304,['194.05590997']
305,['194.05580059']
306,"['0.00104918', '216.03046962', '0.00105394']"
307,['194.04998465']
308,['216.02665736']
309,['216.02084136']
310,['194.04987527']
311,['194.04405951']
312,"['0.00828905', '0.00866523']"
313,['0.01108922']
314,['194.04395039']
315,['216.01502571']
316,['0.00527344']
317,['0.54263123']
318,['0.53681547']
