id,input_amounts
0,['0.00046000']
1,['0.10000000']
2,['0.09950495']
3,['0.09918192']
4,['0.09886031']
5,['0.09591190']
6,"['2.98592356', '0.00102730', '0.00934461', '0.09136964', '0.15234500', '0.03300516', '5.73004593']"
7,"['0.09509449', '5.18504267']"
8,['4.17149550']
9,['4.17120363']
10,['4.14112163']
11,['4.10588323']
12,['2.21284631']
13,['2.18152793']
14,['2.18124815']
15,['2.08632571']
16,['2.06941389']
17,['2.06096850']
18,['2.05976124']
19,['2.05353919']
20,['2.04731714']
21,['0.87146852']
22,['0.86159729']
23,['0.84986919']
24,['0.20340269']
25,['0.14620209']
26,"['0.14399622', '2.35830000']"
27,['2.23267858']
28,['2.10197173']
29,['2.10177572']
30,['2.10144607']
31,['2.09432372']
32,['2.09197317']
33,['2.09176442']
34,"['0.00380708', '0.13016508']"
35,['2.07987027']
36,['1.49877787']
37,['1.49666936']
38,['0.13357927']
39,['0.13338123']
40,['0.13120088']
41,['1.49516667']
42,['0.13099600']
43,['1.49363046']
44,['1.45174795']
45,"['0.13079762', '7.14130000', '0.13033016']"
46,['1.23492801']
47,['4.80986529']
48,['4.80904850']
49,['24.38491900']
50,['24.34645022']
51,['0.00014333']
52,['1.16324449']
53,['24.34261282']
54,['4.80460398']
55,['0.71630103']
56,['4.35816634']
57,['24.34244640']
58,['24.22329002']
59,['4.26457399']
60,['24.21044472']
61,['0.71613497']
62,['22.38591123']
63,['22.18576516']
64,['0.71152952']
65,['0.69342345']
66,['22.08621910']
67,['22.05776724']
68,['0.67845965']
69,['0.67831255']
70,"['22.05762014', '0.00171973']"
71,['4.24441970']
72,['20.11830170']
73,"['0.01040000', '19.81442445', '0.03442858']"
74,"['19.49648803', '0.41916897']"
75,['4.23139237']
76,"['0.49900000', '0.09807589', '0.37801960', '0.13066032', '2.25683172', '0.26384898', '0.00131873', '0.13000000', '4.20935996']"
77,['13.83246194']
78,['8.92522230']
79,"['8.87653430', '0.03123869', '0.27780364', '0.01413500', '0.28280218', '0.00007230', '0.00615171', '36.38510000']"
80,['7.71216195']
81,['7.70221331']
82,['7.63971935']
83,['7.02581749']
84,['5.59186730']
85,"['8.84991102', '5.57396611', '0.00981188', '14.41445754']"
86,['12.35772134']
87,['12.33791240']
88,['12.32804360']
89,"['12.32697655', '0.01101783']"
90,['12.32473044']
91,['12.32299540']
92,['12.32053565']
93,['12.30439917']
94,['11.90426269']
95,['11.86012621']
96,['10.85998973']
97,['10.69504609']
98,['10.48070793']
99,['10.47394256']
100,['10.47380358']
101,['10.47366460']
102,['10.47352562']
103,['10.47338717']
104,['10.47281041']
105,['10.47246004']
106,['10.47189263']
107,['10.46928589']
108,"['0.01100000', '0.01114421', '0.00663588', '0.37317718', '0.00048151', '10.46915059']"
109,"['0.00405736', '6.84288194']"
110,['8.98076684']
111,['8.98063542']
112,['8.97486029']
113,['6.84654510']
114,['6.84077011']
115,['8.97472887']
116,['6.84063869']
117,['6.84050727']
118,['6.83473235']
119,['8.96895394']
120,['0.03700000']
121,['6.83306937']
122,['0.03122519']
123,['0.02545054']
124,['8.95026512']
125,['8.94449047']
126,['0.02531943']
127,['8.93871566']
128,['6.83293826']
129,['6.82716365']
130,['0.02518832']
131,['8.93858455']
132,['0.01941369']
133,['0.01363923']
134,['8.93845344']
135,['0.01350843']
136,['0.01246026']
137,['0.01337763']
138,"['0.00017460', '0.00564896']"
139,['8.93267909']
140,['0.01324683']
141,['8.92690473']
142,['6.82703254']
143,['8.92677393']
144,['0.01311603']
145,['8.92664313']
146,['8.91644748']
147,"['8.90675097', '0.01038688', '6.82125825', '0.00668578']"
148,['5.95387057']
149,['5.90374547']
150,['5.89319853']
151,['5.89306961']
152,['5.89155110']
153,['5.89142309']
154,['5.89129508']
155,['5.88600580']
156,['5.87351831']
157,"['0.00519207', '0.00564906', '0.00503431', '9.74076245', '0.02900000', '0.00520488', '0.00664104', '0.00564914', '0.00664516', '0.00664207', '0.00564908', '0.00564905', '0.00331542']"
158,['3.94776754']
159,['7.90482729']
160,['3.94763968']
161,['7.90469959']
162,['7.90305222']
163,['7.87534030']
164,['3.94234397']
165,['7.05510127']
166,['3.86908908']
167,['3.86334671']
168,['3.85365861']
169,['3.80557206']
170,['3.73294486']
171,['7.04734143']
172,['6.78668903']
173,['3.65861693']
174,['3.65849507']
175,['6.55910537']
176,['3.61534154']
177,['3.61305985']
178,['6.55635652']
179,['6.54942182']
180,['3.47754277']
181,['6.53733048']
182,['1.25744803']
183,['2.94211884']
184,['2.94152854']
185,['1.24535949']
186,['2.93678077']
187,['2.93666195']
188,['1.01210102']
189,['1.01057222']
190,['1.00779342']
191,['1.00442662']
192,['2.82447586']
193,['2.82294651']
194,['1.84555331']
195,"['1.84277451', '0.02278777']"
196,['0.89094843']
197,"['0.00632321', '0.97339885']"
198,['0.88716908']
199,"['0.98494485', '0.00564910', '0.88538928', '0.02640675']"
200,['0.02776271']
201,"['0.97886225', '0.00800000']"
202,['0.02498236']
203,"['0.00564909', '0.98777725']"
204,['0.00893819']
205,['0.01408371']
206,"['0.00445000', '218.32762463']"
207,['0.02270201']
208,"['217.37420698', '0.01130391']"
209,"['0.95620085', '0.93333153', '0.03152186', '0.00569945', '0.00590839', '0.00300000', '0.02074519', '0.00008996', '0.00564900', '0.04657040', '216.43461823', '0.02404671', '0.00107900', '0.96053465', '0.02125521', '0.10000000', '0.14852427']"
210,"['0.02964107', '1.45419631']"
211,"['0.00249900', '218.21236318', '0.00166700', '0.08385984', '0.00530900', '0.02015838', '0.94889205', '4.59877152']"
212,['5.68098957']
213,"['218.16158207', '0.05841630']"
214,['5.65058684']
215,"['0.07806148', '218.06433620']"
216,['0.11683260']
217,"['217.97192201', '0.01401991']"
218,"['0.15612296', '1.45260217']"
219,['5.61197727']
220,['217.73420270']
221,['1.40708742']
222,"['5.44630836', '0.00432713', '216.70288719']"
223,['0.54154747']
224,['0.04993511']
225,['0.16560971']
226,"['216.61335920', '216.26599034', '0.08486806', '216.27567643']"
227,['5.45490822']
228,['433.01663351']
229,"['216.80391382', '0.12265829', '0.04030262']"
230,['0.20391775']
231,"['0.00519256', '0.01471225', '216.18025331']"
232,['0.18649642']
233,['0.76892462']
234,"['0.08080460', '0.02504029']"
235,"['0.72756795', '0.05743451', '216.04578099', '5.44458339']"
236,"['207.60580806', '0.04002649']"
237,['207.48101263']
238,['207.47594383']
239,['207.47449703']
240,['206.53211498']
241,['206.52925118']
242,['205.58978653']
243,['205.58575473']
244,['205.58430793']
245,['204.65042748']
246,['204.64756268']
247,['203.71660063']
248,['203.71515383']
249,['203.71045403']
250,['202.78574578']
251,['201.86253893']
252,['201.85959013']
253,['200.93938568']
254,['199.47393227']
255,['199.36895258']
256,['199.36602328']
257,['199.18417089']
258,['196.98600640']
259,['196.98484461']
260,['196.06146996']
261,['196.05593516']
262,['195.72545972']
263,['195.69552372']
264,['195.68560558']
265,['195.65743164']
266,['195.65086121']
267,['195.41781160']
268,['195.41769574']
269,['195.40935963']
270,['195.40924402']
271,['195.40054338']
272,['195.40042777']
273,['195.40031216']
274,['195.39089628']
275,['195.39078067']
276,['195.39066549']
277,['195.38579990']
278,['195.38568472']
279,['195.38065470']
280,['194.99892899']
281,['194.99881672']
282,['194.99870445']
283,['194.98967154']
284,['194.98955927']
285,['194.97364497']
286,['194.04589661']
287,['194.03715740']
288,['0.88546770']
289,['194.03704554']
290,['194.03693368']
291,['194.03682182']
292,['193.99635932']
293,['193.99502925']
294,"['193.98965054', '0.87668582']"
295,['193.09026359']
296,['192.91364162']
297,['192.86353682']
298,['192.86122890']
299,['192.85178194']
300,['192.82550731']
301,['192.82539793']
302,['192.81958186']
303,['192.81947248']
304,['192.81365642']
305,['192.81354704']
306,"['0.00828905', '0.00723699']"
307,['0.00966078']
308,['216.03046962']
309,['216.02465362']
310,['192.80773110']
311,['0.00955140']
312,"['0.00944228', '192.80191534']"
313,['192.80549256']
314,['216.01883797']
315,['216.01872885']
316,['216.01291317']
317,['216.01280405']
318,['192.79967678']
319,['192.79386096']
320,['0.54263123']
321,['0.53681548']
