id,input_amounts
0,['0.00046000']
1,['0.10000000']
2,['0.09950495']
3,['0.09918192']
4,['0.09886031']
5,['0.09591190']
6,"['0.09136964', '2.98592356', '5.73004593']"
7,['4.98987615']
8,['3.88137184']
9,['0.09509449']
10,['3.88107997']
11,"['0.06501249', '3.84584157']"
12,['2.01768374']
13,['1.98636536']
14,['1.98608558']
15,['1.89116314']
16,['1.87425132']
17,['1.86580593']
18,['1.86459867']
19,['1.85837662']
20,['1.85215457']
21,['0.67630595']
22,['0.66643472']
23,['0.65470662']
24,"['0.00380708', '0.28280218', '0.00102730']"
25,['0.23023446']
26,"['0.03442858', '0.22802859', '0.00824012', '0.03300516']"
27,['2.35830000']
28,['0.03388624']
29,['2.22759315']
30,['2.22726350']
31,['2.22014115']
32,['2.21779060']
33,['2.21758185']
34,['0.03369023']
35,['2.20568770']
36,['1.62459530']
37,['1.62248679']
38,['1.62098410']
39,['1.62078606']
40,['0.03338508']
41,['0.03318020']
42,"['0.00131873', '7.14130000']"
43,['1.61860571']
44,"['0.03164399', '1.57672320']"
45,['7.14233365']
46,"['0.01040000', '0.13000000']"
47,['4.54993991']
48,['1.39146350']
49,['4.54912312']
50,['0.06863335']
51,['0.00014333']
52,"['0.13066032', '24.38491900', '0.00934461', '0.13033016']"
53,['0.09807589']
54,['24.20807889']
55,['23.76164125']
56,['1.38701898']
57,['4.51065434']
58,['0.06479595']
59,['4.39149796']
60,"['23.76147519', '1.29342663']"
61,['4.37134367']
62,['23.23029502']
63,['4.36673822']
64,['4.26719216']
65,['4.24908609']
66,['4.23412229']
67,['0.09790947']
68,['0.09776237']
69,['4.20567043']
70,"['3.94652685', '0.09761527']"
71,['23.03014895']
72,['23.01712162']
73,"['0.26384898', '0.03123869', '0.15234500']"
74,"['0.00007230', '2.10310395', '22.71324437']"
75,['0.08466767']
76,"['0.37801960', '0.49900000', '0.05195065', '2.25683172', '18.73315756', '0.00171973', '0.13016508', '0.01413500']"
77,['14.10894997']
78,['0.06263526']
79,"['36.38510000', '9.20171033']"
80,['7.42554146']
81,['7.41559282']
82,['7.35309886']
83,['6.73919700']
84,['5.30524681']
85,"['8.84991102', '0.27780364', '0.00615171', '14.41445754', '0.00981188', '0.01246026']"
86,"['7.08003584', '0.01394726']"
87,['5.28734562']
88,['5.27747682']
89,['7.07410716']
90,['5.27640977']
91,['7.06090859']
92,['7.05844884']
93,['5.27467473']
94,['4.87453825']
95,['4.83040177']
96,['3.83026529']
97,['3.66532165']
98,['7.04231236']
99,['7.03554699']
100,['3.45098349']
101,['7.03540801']
102,['7.03526903']
103,['3.45084451']
104,['7.03513058']
105,['7.03478021']
106,['7.03421280']
107,['3.45026775']
108,['3.45013245']
109,['7.03160606']
110,['1.55961547']
111,['1.55948405']
112,['7.03127243']
113,['7.03114101']
114,['7.02536602']
115,['1.55370892']
116,['7.02523460']
117,['1.54793399']
118,['1.54215907']
119,['7.02510318']
120,['1.54049609']
121,['1.53472128']
122,['7.00641436']
123,['0.37317718']
124,"['0.00564900', '0.00017460']"
125,['7.00063971']
126,['0.02900000']
127,['0.02886889']
128,['1.53459017']
129,['0.02873778']
130,['0.37304607']
131,['0.36727144']
132,['6.99486490']
133,['6.98909044']
134,['6.98895964']
135,['1.52881556']
136,['1.52868476']
137,['0.00564914']
138,['0.03700000']
139,"['0.00551834', '0.02860667']"
140,['0.36714033']
141,['1.52291028']
142,['0.02829110']
143,['6.98318529']
144,['0.36700953']
145,['0.03122568']
146,['0.02103003']
147,"['6.84288194', '0.00048151', '0.01133352', '0.00405736', '0.02251681', '0.00445000', '0.00564896', '1.52277948', '0.00564910', '0.00664207', '0.36428038', '0.00564909', '0.00800000', '0.00664516', '0.01114421', '0.01100000', '0.00664104', '0.00663588', '6.98305449', '0.00564908', '0.00564905']"
148,['6.04856790']
149,['5.99844280']
150,['5.98789586']
151,['5.98776694']
152,['5.98624843']
153,['5.98612042']
154,['5.98599241']
155,['5.98070313']
156,['5.96821564']
157,['4.04246487']
158,['0.00564906']
159,['0.00552120']
160,"['0.00519207', '0.00520488']"
161,['9.74076245']
162,['2.11696416']
163,['9.73911508']
164,"['2.08925224', '0.00504315']"
165,['8.91887605']
166,['2.02098271']
167,"['0.00539350', '8.91111621']"
168,['2.01524034']
169,['8.90676546']
170,['8.83413826']
171,['1.96715379']
172,['1.70650139']
173,['8.75981033']
174,['8.75968847']
175,['1.47891773']
176,['1.47616888']
177,['8.71653494']
178,['8.58101786']
179,['8.57408316']
180,['8.56199182']
181,"['8.02656789', '1.47388719']"
182,['4.22051812']
183,['4.20842958']
184,['4.20783928']
185,['4.20309151']
186,['3.96983304']
187,['3.96971422']
188,['3.85752813']
189,['3.85599933']
190,['3.85322053']
191,['3.84985373']
192,['2.86821488']
193,['2.86668553']
194,['1.88929233']
195,['1.88651353']
196,['0.91195328']
197,['4.59877152']
198,['0.97339885']
199,"['0.00632321', '0.00107900', '218.32762463']"
200,['0.97161905']
201,['217.36602279']
202,['216.39995959']
203,['216.39767924']
204,['3.62804152']
205,['0.96883870']
206,['0.98777725']
207,['215.43394784']
208,['0.96053465']
209,"['3.62501172', '215.43250104', '0.00969585']"
210,['0.82338942']
211,"['0.08385984', '0.03152186', '0.10000000', '0.01408371', '0.79220781', '0.98494485', '0.02404671', '0.02996320', '218.21236318', '0.00503431', '0.00331542', '0.94889205', '0.95620085', '0.90817393', '0.04657040', '0.97886225', '0.00166700', '0.02776271', '0.00008996', '0.02640675']"
212,['5.98278599']
213,"['0.02015838', '0.00249900', '218.16158207', '0.14852427', '5.95238326', '0.96605890', '0.00300000', '0.00530900', '0.00569945', '0.05841630']"
214,['7.22003126']
215,"['218.06433620', '0.07806148', '7.18142169']"
216,['7.33749025']
217,"['0.01401991', '7.30146225', '217.97192201']"
218,['7.35134296']
219,['7.14975885']
220,['217.73420270']
221,['6.98408994']
222,"['216.70288719', '0.00432713']"
223,"['0.16560971', '0.00865426', '6.11854999']"
224,['5.95507572']
225,['5.94544323']
226,['216.61335920']
227,['0.39026108']
228,"['216.26599034', '216.27567643', '5.90249181', '0.08486806']"
229,['222.31614455']
230,['6.11830296']
231,"['216.18025331', '6.10088163']"
232,['0.37993625']
233,['6.10607177']
234,['6.06471510']
235,"['0.00519256', '0.30960000', '5.99895030', '0.01471225', '216.04578099']"
236,['207.70462292']
237,['0.25087434']
238,['207.53985460']
239,['207.53840780']
240,['206.59602575']
241,['206.59316195']
242,['0.24580554']
243,['0.24177374']
244,"['205.65369730', '0.24032694']"
245,['204.96009019']
246,['204.95722539']
247,['204.02626334']
248,['204.02481654']
249,['204.02011674']
250,['203.09540849']
251,['202.17220164']
252,['202.16925284']
253,['201.24904839']
254,['199.78359498']
255,['199.67861529']
256,['199.67568599']
257,['199.49383360']
258,['197.29566911']
259,['197.29450732']
260,['196.37113267']
261,['196.36559787']
262,"['0.93526805', '0.01514497']"
263,['0.92042342']
264,['196.03512243']
265,['0.91050528']
266,['196.00694849']
267,['195.77389888']
268,['195.77378302']
269,['0.90393485']
270,['195.76544691']
271,"['0.00047520', '0.00133500', '216.03046962']"
272,['216.03205875']
273,['216.03194314']
274,['216.02252726']
275,['0.90381924']
276,['216.02241165']
277,['0.90370406']
278,['0.90358888']
279,['216.01754606']
280,['0.89855886']
281,['215.63582035']
282,['195.75674627']
283,['195.74771336']
284,['195.74760109']
285,['195.73168679']
286,['194.80393843']
287,['0.89844659']
288,['215.63570808']
289,['0.00821834']
290,['194.79519922']
291,['0.89833473']
292,['215.62692620']
293,['215.62559613']
294,"['215.84856363', '0.00667791']"
295,['0.85787223']
296,"['194.79508736', '0.00810648']"
297,['215.62021742']
298,['214.07916877']
299,['0.68125026']
300,['194.75303924']
301,['0.65497563']
302,['194.75292986']
303,['215.61790950']
304,['194.75282048']
305,['214.06972181']
306,['0.64915956']
307,['0.01480000']
308,['215.61209344']
309,['215.60627744']
310,['0.64334367']
311,['0.63752791']
312,"['0.00104918', '0.63741879']"
313,['0.01469062']
314,['0.63260291']
315,['215.60046179']
316,['194.75271110']
317,['0.94376965']
318,['215.59464611']
