id,input_amounts
0,['0.00046000']
1,['0.10000000']
2,['0.09950495']
3,['0.09918192']
4,['0.09886031']
5,['0.09591190']
6,"['5.73004593', '0.09136964']"
7,"['0.09509449', '2.00409199']"
8,['0.99054482']
9,['0.99025295']
10,['0.96017095']
11,['2.98592356']
12,['0.92493255']
13,['0.89361417']
14,['0.89333439']
15,['1.09288664']
16,['1.07597482']
17,['0.79841195']
18,['1.06752943']
19,['0.79720469']
20,"['1.06130738', '0.79098264']"
21,['0.67633589']
22,['0.66646466']
23,['0.65473656']
24,"['0.15234500', '0.00827006']"
25,['0.10331446']
26,"['0.28280218', '0.00934461']"
27,['24.38491900']
28,['24.25421215']
29,['0.10110859']
30,['0.02252915']
31,['24.25401614']
32,['0.01540680']
33,['0.10077894']
34,['24.25166559']
35,['24.25136044']
36,['0.01519805']
37,['0.01308954']
38,['0.08888479']
39,['23.67026804']
40,['0.08868675']
41,['23.66808769']
42,['0.01413500']
43,"['0.08848187', '0.01393662']"
44,"['0.13066032', '0.13000000', '0.01040000', '0.03300516']"
45,['23.66655148']
46,['21.07415774']
47,['21.00247422']
48,['0.06045114']
49,['0.08699179']
50,['0.00380708']
51,['0.00014333']
52,"['0.04852301', '2.35830000', '0.13016508', '0.00102730', '0.03123869', '0.03442858']"
53,['0.01158685']
54,"['0.05600662', '21.00165743']"
55,['0.01142043']
56,['7.14130000']
57,"['0.01125437', '20.61115010']"
58,['2.15635335']
59,['20.50317378']
60,['20.48301949']
61,['2.14350805']
62,['2.13890260']
63,['18.65848600']
64,['7.04770765']
65,['1.93875653']
66,['18.55893994']
67,['18.53048808']
68,['18.53034098']
69,['1.92379273']
70,['7.02960158']
71,['5.08863068']
72,['5.07560335']
73,['1.66464915']
74,"['0.00131873', '2.25683172', '0.00007230', '1.30201915', '0.13033016', '4.77172610']"
75,['18.53019388']
76,"['0.00171973', '0.09807589', '0.49900000', '18.50816147', '0.26384898']"
77,['11.41497970']
78,['6.50774006']
79,"['0.27780364', '36.38510000', '0.37801960', '0.00615171', '6.45905206']"
80,['2.37883210']
81,['2.36888346']
82,['2.30638950']
83,['1.69248764']
84,['0.25853745']
85,"['0.00981188', '0.24063626', '14.41445754', '8.84991102', '0.01246026']"
86,['5.34465414']
87,['7.03678375']
88,['5.32484520']
89,['5.32377815']
90,['5.31057958']
91,['7.02691495']
92,['7.02445520']
93,['7.00831872']
94,['6.60818224']
95,['6.56404576']
96,['5.56390928']
97,['5.39896564']
98,['5.18462748']
99,['5.17786211']
100,['5.30884454']
101,['5.30870556']
102,['5.30856658']
103,['5.17772313']
104,['5.17714637']
105,['5.17679600']
106,['5.17622859']
107,['5.30842813']
108,['5.30829283']
109,['0.00800000']
110,['3.41777585']
111,['3.41764443']
112,['5.17362185']
113,['5.17349043']
114,['3.41186930']
115,['0.01100000']
116,['3.41173788']
117,"['0.00564908', '0.00017460']"
118,['5.16771544']
119,"['0.00766637', '5.16605246', '0.00522507']"
120,['5.16013455']
121,['3.41160646']
122,['5.15435974']
123,['3.41147535']
124,['3.41134424']
125,['3.40556959']
126,['3.39979478']
127,['3.39966367']
128,['3.39953256']
129,['3.39375795']
130,['3.39362684']
131,['3.38785221']
132,['3.38772110']
133,['3.38194664']
134,['3.38181584']
135,['3.37604149']
136,['5.14858509']
137,['3.37591069']
138,['5.14281061']
139,['5.13703629']
140,['5.13126193']
141,['3.37577989']
142,['5.13113113']
143,['5.12535684']
144,['3.37564909']
145,['3.37291994']
146,['3.36272429']
147,"['0.00564914', '0.00564906', '0.00564905', '0.03700000', '5.12522604', '0.37317718', '0.00445000', '6.84288194', '0.00564896', '0.00664516', '0.00664104', '0.00564900', '0.00564909', '0.02900000', '0.00564910', '0.00405736', '0.00664207', '0.00663588', '3.35302778', '0.00048151', '0.01114421']"
148,['6.05433234']
149,['6.00420724']
150,['5.99366030']
151,['5.99353138']
152,['5.99201287']
153,['5.99188486']
154,['5.99175685']
155,['5.98646757']
156,['5.97398008']
157,['4.59877152']
158,['2.67327081']
159,['4.04822931']
160,['2.67314295']
161,['2.66784724']
162,['4.04810161']
163,['2.66619987']
164,['1.84596084']
165,['4.02038969']
166,['4.01262985']
167,['1.77270595']
168,['1.76301785']
169,['4.00688748']
170,['1.71493130']
171,['3.93426028']
172,['3.67360788']
173,['1.64060337']
174,['3.44602422']
175,['1.64048151']
176,['1.63773266']
177,['1.63545097']
178,['1.49993389']
179,['1.49299919']
180,['1.48090785']
181,"['0.02640675', '9.74076245', '0.00632321', '0.00519207', '0.04657040']"
182,['3.40287069']
183,['3.39078215']
184,['4.54515194']
185,['3.39019185']
186,['0.94548392']
187,['3.15693338']
188,['0.94536510']
189,['0.94383630']
190,['3.04474729']
191,['3.04138049']
192,['4.54040417']
193,['218.32762463']
194,['0.94105750']
195,['0.98777725']
196,['4.53887482']
197,['2.05974164']
198,"['0.00569945', '0.00503431']"
199,"['1.08901164', '0.93827870']"
200,['0.01321700']
201,['0.97886225']
202,['0.00890036']
203,['1.05834069']
204,"['0.00008996', '0.00300000']"
205,['4.53509547']
206,"['217.35023143', '0.01043665']"
207,['0.01279905']
208,['4.53231567']
209,"['0.00662001', '216.40280043', '3.58147687', '0.09460929', '0.01135225']"
210,['1.85293086']
211,"['0.10000000', '0.03152186', '0.00520488', '218.21236318', '0.02015838', '1.82174925', '0.08385984', '0.96053465', '0.00249900', '0.01408371', '0.00107900', '0.14852427', '0.02776271', '0.97339885', '0.98494485', '0.00331542']"
212,['5.19803585']
213,"['0.94889205', '218.16158207', '5.16763312']"
214,['6.17488707']
215,"['218.06433620', '0.00166700', '0.95620085', '0.00530900', '0.07806148', '0.02404671', '0.05841630']"
216,['6.13627750']
217,"['0.01401991', '217.97192201']"
218,['1.20149162']
219,"['6.10024950', '0.04993511']"
220,"['0.99990751', '217.73420270']"
221,['5.98446210']
222,"['216.70288719', '0.00432713', '1.16546362']"
223,['1.17406348']
224,['5.11892215']
225,['5.10928966']
226,"['0.08486806', '0.83643376', '216.61335920']"
227,['1.31145490']
228,"['216.26599034', '216.27567643']"
229,"['216.32889348', '5.06633824']"
230,['5.19733627']
231,"['216.18025331', '0.00519256', '0.01471225']"
232,"['0.02504029', '1.30113007']"
233,['1.19705459']
234,['1.15569792']
235,"['216.04578099', '0.30960000']"
236,['201.68593101']
237,['5.17991494']
238,['1.08993312']
239,['1.08848632']
240,['0.14610427']
241,['5.17484614']
242,['4.23538149']
243,['4.23134969']
244,['4.22990289']
245,['0.14324047']
246,"['3.29602244', '0.14037567']"
247,['201.52116269']
248,['201.51971589']
249,['2.50538246']
250,['1.58067421']
251,['201.51501609']
252,['201.51206729']
253,"['0.65746736', '200.59186284']"
254,['199.78382319']
255,['199.67884350']
256,['199.67591420']
257,['199.49406181']
258,['197.29589732']
259,['197.29473553']
260,['196.37136088']
261,['196.36582608']
262,['196.03535064']
263,['196.00541464']
264,['195.99549650']
265,['195.96732256']
266,['195.96075213']
267,['195.72770252']
268,['195.72758666']
269,['195.71925055']
270,['195.71913494']
271,['195.71043430']
272,['195.71031869']
273,['195.71020308']
274,['195.70078720']
275,['195.70067159']
276,['195.70055641']
277,['195.69569082']
278,['195.69557564']
279,['195.69054562']
280,['195.30881991']
281,['195.30870764']
282,['195.30859537']
283,['195.29956246']
284,['195.29945019']
285,['195.28353589']
286,['194.35578753']
287,['194.34704832']
288,"['0.93526805', '0.00346807']"
289,['0.92990369']
290,['194.34693646']
291,['194.34682460']
292,['194.30636210']
293,['0.92979183']
294,"['0.92441312', '194.30503203']"
295,['193.45337238']
296,['193.27675041']
297,['193.22664561']
298,['193.22433769']
299,['193.21489073']
300,['193.18861610']
301,['193.18850672']
302,['193.18269065']
303,['193.18258127']
304,['193.17676521']
305,['193.17665583']
306,"['0.00723699', '193.17083989', '0.00020000']"
307,['193.17236150']
308,['193.17225212']
309,['193.16643612']
310,['193.16062047']
311,['193.15480471']
312,"['0.00047520', '0.88546770', '0.00826253']"
313,"['0.00667791', '0.00571217']"
314,['0.88829038']
315,['0.88818126']
316,['0.88236558']
317,['0.66366367']
318,['0.65784791']
