----BEGIN SIMULATION RESULTS----
Scenario: sim_data.csv
| Scenario File | Current Balance | Mean #UTXO | Current #UTXO | #Deposits | #Inputs Spent | #Withdraws | #Uneconomical outputs spent | #Change Created | #Changeless | Min Change Value | Max Change Value | Mean Change Value | Std. Dev. of Change Value | Total Fees | Mean Fees per Withdraw | Cost to Empty | Total Cost | Min Input Size | Max Input Size | Mean Input Size | Std. Dev. of Input Size | BnB Usage | SRD Usage | Knapsack Usage | #BnB no change | #SRD no change | #Knapsack no change |
| sim_data.csv | 0.10000000 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -6.80000000E-7 | -6.80000000E-7 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
| sim_data.csv | 636.11690484 | 28.3840000000 | 62 | 179 | 434 | 321 | 0 | 316 | 5 | 0.00522507 | 217.35023143 | 44.4263761136 | 78.5037838092 | 0.05116082 | 0.000159379501558 | -0.0000421600000 | 0.0511186600000 | 1 | 21 | 1.35202492212 | 1.59415062004 | 5 | 316 | 0 | 5 | 0 | 0 |
| sim_data.csv | 626.47269639 | 73.25 | 166 | 341 | 821 | 659 | 0 | 645 | 14 | 0.00511366 | 217.35023143 | 59.1338432008 | 86.8448332279 | 0.08612798 | 0.000130694962064 | -0.000112880000 | 0.086015100000 | 1 | 21 | 1.24582701062 | 1.20294473054 | 14 | 645 | 0 | 14 | 0 | 0 |
| sim_data.csv | 683.24810672 | 119.598000000 | 259 | 511 | 1196 | 989 | 0 | 943 | 46 | 0.00500148 | 217.35023143 | 67.7139946363 | 87.1982437219 | 0.11667235 | 0.000117970020222 | -0.000176120000 | 0.116496230000 | 1 | 21 | 1.20930232558 | 1.01191005635 | 46 | 943 | 0 | 46 | 0 | 0 |
| sim_data.csv | 201.73939089 | 148.918500000 | 199 | 671 | 1724 | 1329 | 0 | 1251 | 78 | 0.00500148 | 229.90291960 | 76.9636437529 | 87.8406164689 | 0.14751052 | 0.000110993619263 | -0.000135320000 | 0.147375200000 | 1 | 60 | 1.29721595184 | 2.34739019705 | 78 | 1251 | 0 | 78 | 0 | 0 |
| sim_data.csv | 123.55704491 | 167.501200000 | 277 | 840 | 2118 | 1660 | 0 | 1554 | 106 | 0.00500148 | 229.90291960 | 81.3617022976 | 84.6289139927 | 0.17321796 | 0.000104348168675 | -0.000188360000 | 0.173029600000 | 1 | 60 | 1.27590361446 | 2.11678844859 | 106 | 1554 | 0 | 106 | 0 | 0 |
| sim_data.csv | 90.95844132 | 185.441333333 | 288 | 1016 | 2581 | 1984 | 0 | 1852 | 132 | 0.00500148 | 229.90291960 | 72.9095938284 | 80.6799551457 | 0.19777741 | 0.0000996861945565 | -0.000195840000 | 0.197581570000 | 1 | 60 | 1.30090725806 | 2.34508513490 | 132 | 1852 | 0 | 132 | 0 | 0 |
| sim_data.csv | 199.96886427 | 197.187142857 | 135 | 1192 | 3210 | 2308 | 0 | 2152 | 156 | 0.00500148 | 229.90291960 | 65.3616904783 | 77.6922136480 | 0.22592218 | 0.0000978865597920 | -0.0000918000000 | 0.225830380000 | 1 | 101 | 1.39081455806 | 3.25757995521 | 156 | 2152 | 0 | 156 | 0 | 0 |
| sim_data.csv | 158.81826559 | 193.988500000 | 167 | 1360 | 3670 | 2640 | 0 | 2476 | 164 | 0.00500148 | 229.90291960 | 59.9771645917 | 74.2467438638 | 0.24300790 | 0.0000920484469697 | -0.000113560000 | 0.242894340000 | 1 | 101 | 1.39015151515 | 3.20761598078 | 164 | 2476 | 0 | 164 | 0 | 0 |
| sim_data.csv | 8.89952911 | 190.491777778 | 26 | 1526 | 4295 | 2974 | 0 | 2794 | 180 | 0.00500148 | 229.90291960 | 55.1748727447 | 71.5643357677 | 0.25863776 | 0.0000869662945528 | -0.0000176800000 | 0.258620080000 | 1 | 110 | 1.44418291863 | 3.93481337057 | 180 | 2794 | 0 | 180 | 0 | 0 |
