id,input_amounts
0,['0.00046000']
1,['0.10000000']
2,['0.09950495']
3,['0.09918192']
4,['0.09886031']
5,['0.09591190']
6,['5.73004593']
7,['1.91285970']
8,['0.09509449']
9,['0.09480262']
10,['0.06472062']
11,['2.98592356']
12,['0.80435539']
13,['0.02948222']
14,['0.77303701']
15,['0.02920244']
16,['0.67811457']
17,['0.01229062']
18,['0.66966918']
19,['0.66344713']
20,"['0.65722508', '1.09288664']"
21,['0.57415759']
22,['0.56428636']
23,"['0.01040000', '0.55255826', '0.00102730', '0.00934461', '0.28280218']"
24,['0.20925935']
25,['0.15205875']
26,"['0.01108336', '7.14130000', '0.14985288']"
27,['7.03251931']
28,['6.90181246']
29,['6.90161645']
30,['6.90128680']
31,['6.89416445']
32,['6.89181390']
33,['6.89160515']
34,['6.87971100']
35,['6.87940585']
36,['6.29831345']
37,['6.29620494']
38,['6.29470225']
39,['6.29450421']
40,['6.29232386']
41,['6.29211898']
42,['6.29058277']
43,['6.29038439']
44,['6.24850188']
45,['6.03168194']
46,['3.43928820']
47,['3.36760468']
48,['3.36678789']
49,['3.36234337']
50,['0.00380708']
51,['0.00014333']
52,['3.32387459']
53,['2.87693113']
54,['2.87676471']
55,['2.43032707']
56,['2.43016101']
57,['2.33656866']
58,['2.21741228']
59,['2.20456698']
60,['2.18441269']
61,['0.35987920']
62,['0.35527375']
63,['0.15512768']
64,['0.05558162']
65,['0.03747555']
66,['0.26384898']
67,['0.02251175']
68,['0.02236465']
69,"['24.38491900', '0.01413500', '0.13033016']"
70,['24.27010504']
71,['0.23539712']
72,['22.32913414']
73,['22.02525689']
74,['21.66262689']
75,['0.22236979']
76,['15.57949883']
77,['7.62394346']
78,['0.20033738']
79,"['36.38510000', '2.35830000']"
80,['0.02221755']
81,['0.15164938']
82,"['0.08915542', '0.58213113']"
83,['2.71670382']
84,['0.05731769']
85,"['0.09807589', '0.49900000', '1.28275363', '0.03442858', '0.03123869', '0.13066032', '14.41445754']"
86,['0.03941650']
87,"['0.01226891', '0.01960756']"
88,['0.02194219']
89,['0.02087514']
90,['0.00767657']
91,['0.00594153']
92,"['0.00131873', '8.84991102', '0.00171973']"
93,['8.83668233']
94,['8.43654585']
95,['8.39240937']
96,['7.39227289']
97,['7.22732925']
98,['7.01299109']
99,['7.00622572']
100,['7.00608674']
101,['7.00594776']
102,['7.00580878']
103,['7.00567033']
104,['7.00509357']
105,['7.00474320']
106,['7.00417579']
107,['7.00156905']
108,['7.00143375']
109,['5.11091677']
110,['5.11058314']
111,['5.11045172']
112,['5.10467659']
113,['5.10454517']
114,['5.09877018']
115,['5.09863876']
116,['5.09286383']
117,['5.09273241']
118,['5.08695749']
119,['5.08529451']
120,['5.06660569']
121,['5.06083088']
122,['5.06069977']
123,['5.05492512']
124,['5.05479401']
125,['5.04901936']
126,['5.04324455']
127,['5.04311344']
128,['5.04298233']
129,['5.03720772']
130,['5.03707661']
131,['5.03130198']
132,['5.03117087']
133,['5.02539641']
134,['5.02526561']
135,['5.01949126']
136,['5.01936046']
137,['5.01358598']
138,['5.01345518']
139,['5.00768086']
140,['5.00190650']
141,['5.00177570']
142,['5.00164490']
143,['4.99587061']
144,['4.99573981']
145,['4.99301066']
146,['4.98281501']
147,"['0.37801960', '0.00007230', '6.84288194', '0.02900000', '0.00017460', '2.25683172', '0.00664104', '0.27780364']"
148,['4.97311850']
149,['4.92299340']
150,['4.91244646']
151,['4.91231754']
152,['4.91079903']
153,['4.91067102']
154,['4.91054301']
155,['4.90525373']
156,['4.89276624']
157,['2.96701547']
158,['1.04151476']
159,['1.04138690']
160,['1.04125920']
161,['1.03596349']
162,['1.03431612']
163,['1.00660420']
164,['0.18636517']
165,['0.11311028']
166,['0.10535044']
167,['0.09960807']
168,['0.08991997']
169,"['0.01114421', '0.04657040', '0.01100000', '0.00405736']"
170,"['0.97339885', '0.00564908', '0.00664516', '0.02640675', '0.03700000']"
171,['0.97454564']
172,['0.71389324']
173,['0.04183342']
174,['0.48630958']
175,['0.04171156']
176,['0.03896271']
177,['0.44315605']
178,['0.03668102']
179,['0.02974632']
180,"['0.00800000', '0.37317718', '0.01765498', '0.00663588', '0.13016508']"
181,"['9.74076245', '0.00564909', '0.13000000', '0.00564910', '0.30763897', '0.00445000', '0.00519207', '0.00331542']"
182,['4.92238899']
183,['4.91030045']
184,['4.90971015']
185,['4.90496238']
186,['4.67170391']
187,['4.67158509']
188,['4.55939900']
189,['4.55787020']
190,['4.55509140']
191,['4.55172460']
192,['3.57008575']
193,['3.56855640']
194,['2.59116320']
195,['2.58838440']
196,['1.61382415']
197,['1.61004480']
198,['0.63931480']
199,"['0.14852427', '0.00664207', '0.63753500', '0.02404671', '0.15234500']"
200,['0.98494485']
201,['0.98216450']
202,['0.01610130']
203,['0.97886225']
204,['0.01382095']
205,['0.01079115']
206,['0.98777725']
207,['0.01513085']
208,"['0.00048151', '0.96053465']"
209,['218.32762463']
210,"['0.00348178', '0.02996320', '0.00801135']"
211,['218.21236318']
212,"['0.01246026', '0.03152186']"
213,['218.16158207']
214,"['0.00564896', '0.03300516']"
215,['218.06433620']
216,['0.07811508']
217,['217.97192201']
218,"['0.04208708', '0.09136964', '0.00981188', '0.05846990']"
219,"['0.10000000', '0.00107900', '0.00632321', '0.05841630']"
220,['217.73420270']
221,['0.94889205']
222,"['216.70288719', '0.00564900', '0.00008996']"
223,"['0.08391344', '0.00503431', '0.16560971', '0.07806148', '0.00520488']"
224,['0.02021198']
225,['0.08335210']
226,['216.61335920']
227,"['0.01001169', '0.01057949']"
228,['216.27567643']
229,['216.26599034']
230,['0.04040068']
231,"['216.18025331', '0.00519256']"
232,"['0.03596880', '0.06295674', '0.02015838', '0.01012350']"
233,"['0.08486806', '0.01471225']"
234,"['0.01016672', '0.06814875']"
235,['216.04578099']
236,['0.39026108']
237,['0.01038270']
238,['0.01249707']
239,['201.37638461']
240,['0.01352579']
241,['200.43400256']
242,['0.01021275']
243,['0.01368405']
244,['199.49453791']
245,['0.01066199']
246,['198.56065746']
247,['0.01223725']
248,['0.05816998']
249,['197.62969541']
250,['196.70498716']
251,['0.02297935']
252,['195.78178031']
253,['194.86157586']
254,['0.22549276']
255,['0.05347018']
256,"['0.00564914', '0.94376965']"
257,['193.39612245']
258,['0.00779719']
259,['4.59877152']
260,['0.92934885']
261,['0.76751280']
262,['0.92381405']
263,['0.02003055']
264,['0.66366367']
265,['0.05054088']
266,['0.43703736']
267,['0.01079045']
268,['216.03046962']
269,['0.01067459']
270,['0.30960000']
271,['0.01055898']
272,['0.01044337']
273,['191.19795796']
274,['0.01032776']
275,['0.01021215']
276,['0.30089936']
277,['0.01105027']
278,['0.04397045']
279,"['0.20398775', '0.00618095', '3.67539687', '0.01093509']"
280,['0.01011241']
281,['0.03894043']
282,['0.63548973']
283,['0.00531390']
284,['191.18854208']
285,['3.51462023']
286,['191.17262778']
287,['0.00663540']
288,['0.12051307']
289,['0.03882816']
290,['0.03871630']
291,"['0.01000014', '191.16388857']"
292,['0.29603377']
293,['2.58687187']
294,"['0.29470370', '0.89387805', '0.62645682']"
295,"['0.11173119', '191.13337596']"
296,['216.02213351']
297,['0.03891526']
298,['0.03860444']
299,['0.03660734']
300,['0.01033271']
301,['0.54263123']
302,['0.01022333']
303,['0.95620085']
304,['0.01011395']
305,['215.97202871']
306,"['0.00020000', '0.00564905']"
307,['0.95038479']
308,['2.58149316']
309,['0.53681516']
310,['191.06843538']
311,['191.06261962']
312,"['0.00652354', '0.01000457']"
313,"['0.01066305', '0.01009697']"
314,['0.01489498']
315,['0.53099951']
316,['0.01478586']
317,['2.57567716']
318,['191.06251050']
319,['0.01467674']
320,['215.96621277']
321,['0.01456762']
322,['0.01059529']
323,['0.01048617']
324,['0.01037705']
325,['0.02915748']
326,['0.02334168']
327,['0.01026793']
328,['0.01752588']
329,['0.08385984']
330,['0.01015881']
331,"['0.01004995', '0.01021377']"
332,['0.01439911']
333,['191.05669468']
334,['0.01429025']
335,['0.01418139']
336,['0.52518383']
337,['0.01407253']
338,['0.07804441']
339,['0.07793555']
