id,input_amounts
0,['0.00046000']
1,['0.10000000']
2,['0.09950495']
3,['0.09918192']
4,['0.09886031']
5,['0.09591190']
6,['5.73004593']
7,['1.91285970']
8,['0.09509449']
9,['0.09480262']
10,['0.06472062']
11,['2.98592356']
12,['0.80435539']
13,['0.02948222']
14,['0.77303701']
15,['0.02920244']
16,['0.67811457']
17,['0.01229062']
18,['0.66966918']
19,['0.66344713']
20,"['1.09288664', '0.65722508']"
21,['0.57415759']
22,['0.56428636']
23,"['0.15234500', '0.00934461', '0.01108336', '7.14130000', '0.03300516']"
24,['0.55255826']
25,['0.49535766']
26,['0.49315179']
27,['0.22363197']
28,['0.09292512']
29,['0.09272911']
30,['0.09239946']
31,['0.08527711']
32,['0.08292656']
33,['0.08271781']
34,['0.07082366']
35,['6.70020513']
36,['0.07051851']
37,['0.06841000']
38,['0.06690731']
39,['0.06670927']
40,['0.06452892']
41,['0.06432404']
42,['0.06278783']
43,['0.06258945']
44,['6.11911273']
45,['5.90229279']
46,['3.30989905']
47,['0.02070694']
48,['0.01989015']
49,['3.23821553']
50,['0.00380708']
51,['0.00014333']
52,['3.19974675']
53,['0.01544563']
54,['2.75280329']
55,['0.01527921']
56,['2.30636565']
57,['2.21277330']
58,['2.09361692']
59,['2.08077162']
60,['2.06061733']
61,['0.01511315']
62,['0.23608384']
63,['2.35830000']
64,['0.03593777']
65,['2.25875394']
66,['2.24379014']
67,['0.01050770']
68,['0.01036060']
69,['2.21533828']
70,['1.95619470']
71,['2.25683172']
72,['2.24380439']
73,['1.93992714']
74,['24.38491900']
75,['0.49900000']
76,['18.30179094']
77,['10.34623557']
78,['0.47696759']
79,"['0.01522380', '0.00171973', '0.13000000', '1.57729714', '0.03442858', '36.38510000', '0.01783170']"
80,['0.42827959']
81,['0.41833095']
82,['5.43899593']
83,['4.82509407']
84,['0.35583699']
85,"['0.26384898', '0.00131873', '0.01246026', '0.13016508', '0.28280218', '0.33793580', '0.37801960', '0.09807589', '0.03123869', '0.13033016', '0.00102730', '0.01413500', '0.01040000', '0.27780364', '0.09136964', '14.41445754', '0.00981188', '0.00615171']"
86,['3.39114388']
87,['3.37133494']
88,['3.36146614']
89,['3.36039909']
90,['3.34720052']
91,['3.34546548']
92,['3.34300573']
93,['3.32686925']
94,['2.92673277']
95,['2.88259629']
96,['1.88245981']
97,['1.71751617']
98,['1.50317801']
99,['0.01021350']
100,['1.49641264']
101,['1.49627366']
102,['1.49613468']
103,['1.49599623']
104,['1.49541947']
105,['1.49506910']
106,['1.49450169']
107,['1.49189495']
108,"['0.00664207', '0.37317718', '6.84288194']"
109,['1.49175965']
110,['1.49142602']
111,['1.49129460']
112,['1.48551947']
113,['1.48538805']
114,['1.47961306']
115,['1.47948164']
116,['1.47370671']
117,['1.47357529']
118,['1.46780037']
119,['1.46613739']
120,['1.44744857']
121,['1.44167376']
122,['1.44154265']
123,['1.43576800']
124,['1.43563689']
125,['1.42986224']
126,['1.42408743']
127,['1.42395632']
128,['1.42382521']
129,['1.41805060']
130,['1.41791949']
131,['1.41214486']
132,['1.41201375']
133,['1.40623929']
134,['1.40610849']
135,['1.40033414']
136,['1.40020334']
137,['1.39442886']
138,['1.39429806']
139,['1.38852374']
140,['1.38274938']
141,['1.38261858']
142,['1.38248778']
143,['1.37671349']
144,['1.37658269']
145,['1.37385354']
146,['1.36365789']
147,"['8.84991102', '1.35396138']"
148,['0.41278032']
149,['0.36265522']
150,['0.35210828']
151,['0.35197936']
152,['0.35046085']
153,['0.35033284']
154,['0.35020483']
155,['0.34491555']
156,['5.33206217']
157,['3.40631140']
158,['0.33242806']
159,['0.33230020']
160,['0.33217250']
161,['0.32687679']
162,['0.32522942']
163,['1.48081069']
164,['0.29751750']
165,['0.22426261']
166,['0.21650277']
167,['0.21076040']
168,['0.20107230']
169,['0.15298575']
170,['0.66057166']
171,['0.58624373']
172,['0.32559133']
173,['0.08035855']
174,['0.08023669']
175,['0.03708316']
176,['0.03433431']
177,"['0.09800767', '0.03205262', '0.01007452']"
178,['0.03700000']
179,['0.03006530']
180,"['9.74076245', '0.00017460', '0.01100000', '0.00503431', '0.00048151', '0.01408371']"
181,['9.23583764']
182,['0.02776271']
183,['0.01567417']
184,['0.01508387']
185,['3.95595519']
186,['0.01033610']
187,['3.72269672']
188,['0.01797396']
189,"['0.00450687', '0.01021728']"
190,['0.01644516']
191,['3.61051063']
192,['0.01189175']
193,['2.62887178']
194,['0.01307836']
195,['1.65147858']
196,['0.01029956']
197,"['0.00800000', '0.01114421', '0.00300000', '218.32762463', '0.00663588']"
198,['4.59877152']
199,"['0.00007230', '0.67691833', '0.14852427', '0.13066032', '0.00664516', '0.00632321']"
200,"['0.00652021', '0.01036240']"
201,['217.38545686']
202,['0.01404840']
203,"['0.00107900', '0.97339885']"
204,['4.59699172']
205,['0.01176805']
206,['4.59396192']
207,['216.41939366']
208,['3.63614787']
209,"['2.68530907', '216.41794686']"
210,['0.85949114']
211,['218.21236318']
212,['0.82830953']
213,['218.16158207']
214,['0.05846990']
215,['218.06433620']
216,['0.95620085']
217,['217.97192201']
218,['0.79790680']
219,['0.59632269']
220,['217.73420270']
221,['0.92017285']
222,"['0.00008996', '0.00564900', '216.70288719']"
223,"['0.02021198', '0.43065378', '0.16560971', '0.03596880', '0.01069258']"
224,['0.01986033']
225,['0.05463290']
226,['216.61335920']
227,"['0.01168148', '0.00898825']"
228,['216.27567643']
229,['216.26599034']
230,"['0.39026108', '0.01029130']"
231,"['216.18025331', '0.00331542', '0.00166700']"
232,"['0.01001169', '0.06295674', '0.06814875']"
233,['0.07811508']
234,['0.32528928']
235,['216.04578099']
236,['0.25952448']
237,['0.09475616']
238,['0.01194675']
239,['201.37638461']
240,['0.03675841']
241,['200.43400256']
242,['0.38307745']
243,['0.37904565']
244,['199.49453791']
245,['0.37759885']
246,['198.56065746']
247,['0.01011790']
248,['197.62969541']
249,['197.62499561']
250,['196.70028736']
251,['0.01049995']
252,['195.77708051']
253,['194.85687606']
254,"['0.02015838', '0.08486806']"
255,['0.03389461']
256,['0.37473405']
257,['193.39142265']
258,['0.19288166']
259,['191.19325816']
260,['0.19171987']
261,['190.26988351']
262,['0.18618507']
263,['0.15624907']
264,['0.08968736']
265,['0.14633093']
266,['189.93940807']
267,['0.01022784']
268,"['0.00405736', '0.00432713']"
269,['0.00755115']
270,"['0.01011198', '0.00867110']"
271,['0.06151342']
272,['0.01003010']
273,['0.03096531']
274,['0.06139781']
275,['0.13976050']
276,['189.70635846']
277,['0.13964532']
278,['0.02154943']
279,['189.70149287']
280,['0.01651941']
281,['0.01640714']
282,['0.13953014']
283,['0.01629487']
284,['0.06128220']
285,['189.31976716']
286,['0.01618260']
287,['0.04536790']
288,"['0.00991449', '188.39201880']"
289,['0.01514497']
290,['188.39310086']
291,['188.39298900']
292,['0.00743554']
293,['0.04525604']
294,['188.35252650']
295,['186.57650353']
296,['0.13049723']
297,['186.39988156']
298,['0.96053465']
299,['0.03987733']
300,['0.95108769']
301,['0.95097831']
302,['0.08039243']
303,"['0.00564896', '0.00020000']"
304,['0.00744339']
305,['0.01471225']
306,['0.94516224']
307,['0.01503311']
308,['0.01492373']
309,['0.93934635']
310,['0.08028305']
311,['0.00889631']
312,['0.93353070']
313,['0.01360270']
314,['0.92771490']
315,['0.92760578']
316,['0.00571209']
317,['0.02900000']
318,['186.39757364']
319,['0.00560297']
320,['0.02318424']
321,['0.93526805']
322,['0.00610547']
323,['0.00878719']
324,['186.39175782']
325,['0.10000000']
326,['186.39164870']
327,['0.93129572']
328,['0.01736849']
329,['0.07446729']
330,['0.06865186']
331,"['0.00867807', '0.00733401']"
332,['0.01014747']
333,['4.91620000']
334,['0.01005638']
335,['0.00599635']
336,['0.09418420']
337,"['0.01003861', '0.00588749']"
338,['0.00910773']
339,['0.93118660']
340,['186.38583290']
341,"['0.00866523', '0.00664104']"
342,['0.08836870']
343,['186.35940118']
344,['0.93023709']
345,['0.06854300']
346,['0.92179010']
347,"['186.35839812', '0.02404671']"
348,['0.07160513']
349,['0.70205838']
350,['0.01006147']
