id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos
0,0.00002184,0.00043816,0.00347222,0.00000398327272727,bnb,1,0,1,,5,4
1,0.00000546,0.00048959,0.00347222,0.00000347226950355,knapsack,1,0,2,0.09950495,4,4
2,0.00000546,0.00031757,0.00225225,0.00000225226950355,knapsack,1,0,2,0.09918192,6,6
3,0.00000546,0.00031615,0.00224215,0.00000224219858156,knapsack,1,0,2,0.09886031,7,7
4,0.00263507,0.00031334,0.00222222,0.00000222226950355,knapsack,1,0,2,0.09591190,7,7
5,0.00050546,0.00031195,0.00221239,0.00000221241134752,knapsack,1,0,2,0.09509449,9,9
6,3.81689718,0.00028905,0.00205000,0.00000205,knapsack,1,0,2,1.91285970,11,11
7,1.10821526,0.00028905,0.00205000,0.00000205,knapsack,1,0,2,0.80435539,11,11
8,0.00000546,0.00028641,0.00203125,0.00000203127659574,knapsack,1,0,2,0.09480262,12,12
9,0.02980000,0.00028200,0.00200000,0.00000200,knapsack,1,0,2,0.06472062,12,12
10,0.03495767,0.00028073,0.00199097,0.00000199099290780,knapsack,1,0,2,0.02948222,13,13
11,1.89275619,0.00028073,0.00199097,0.00000199099290780,knapsack,1,0,2,1.09288664,13,13
12,0.03104296,0.00027542,0.00195327,0.00000195333333333,knapsack,1,0,2,0.77303701,13,13
13,0.00000546,0.00027432,0.00194553,0.00000194553191489,knapsack,1,0,2,0.02920244,14,14
14,0.09464812,0.00027432,0.00194553,0.00000194553191489,knapsack,1,0,2,0.67811457,14,14
15,0.01665086,0.00026096,0.00185074,0.00000185078014184,knapsack,1,0,2,0.01229062,15,15
16,0.00819046,0.00025493,0.00180800,0.00000180801418440,knapsack,1,0,2,0.66966918,15,15
17,0.00095233,0.00025493,0.00180800,0.00000180801418440,knapsack,1,0,2,0.01108336,15,15
18,0.00600000,0.00022205,0.00157480,0.00000157482269504,knapsack,1,0,2,0.66344713,17,17
19,0.00600000,0.00022205,0.00157480,0.00000157482269504,knapsack,1,0,2,0.65722508,18,18
20,1.17562657,0.00032756,0.00157480,0.00000157480769231,knapsack,2,0,2,0.57415759,18,17
21,0.00965973,0.00021150,0.00150000,0.00000150,knapsack,1,0,2,0.56428636,17,17
22,0.01151660,0.00021150,0.00150000,0.00000150,knapsack,1,0,2,0.55255826,17,17
23,0.64625500,0.00031200,0.00150000,0.00000150,srd,2,0,2,0.18879344,18,17
24,0.05699015,0.00021045,0.00149254,0.00000149255319149,knapsack,1,0,2,0.13159284,17,17
25,0.00200000,0.00020587,0.00146004,0.00000146007092199,knapsack,1,0,2,0.12938697,17,17
26,0.26931395,0.00040298,0.00146004,0.00000146007246377,srd,3,0,2,2.24473515,18,16
27,0.13049524,0.00021161,0.00150073,0.00000150078014184,knapsack,1,0,2,2.11402830,16,16
28,0.00000546,0.00019055,0.00135135,0.00000135141843972,knapsack,1,0,2,0.01088735,21,21
29,0.00014500,0.00018465,0.00130952,0.00000130957446809,knapsack,1,0,2,0.01055770,22,22
30,0.00693770,0.00018465,0.00130952,0.00000130957446809,knapsack,1,0,2,0.12226462,22,22
31,0.00216590,0.00018465,0.00130952,0.00000130957446809,knapsack,1,0,2,0.11991407,23,23
32,0.00002410,0.00018465,0.00130952,0.00000130957446809,knapsack,1,0,2,0.01034895,23,23
33,0.01170950,0.00018465,0.00130952,0.00000130957446809,knapsack,1,0,2,0.10801992,23,23
34,0.00012050,0.00018465,0.00130952,0.00000130957446809,knapsack,1,0,2,0.01004380,23,23
35,0.58090821,0.00018419,0.00130628,0.00000130631205674,knapsack,1,0,2,1.53293590,24,24
36,0.00192521,0.00018330,0.00130000,0.00000130,knapsack,1,0,2,0.10591141,24,24
37,0.00132021,0.00018248,0.00129412,0.00000129418439716,knapsack,1,0,2,0.10440872,25,25
38,0.00001556,0.00018248,0.00129412,0.00000129418439716,knapsack,1,0,2,0.10421068,25,25
39,0.00199787,0.00018248,0.00129412,0.00000129418439716,knapsack,1,0,2,0.10203033,25,25
40,0.00002240,0.00018248,0.00129412,0.00000129418439716,knapsack,1,0,2,0.10182545,25,25
41,0.00135373,0.00018248,0.00129412,0.00000129418439716,knapsack,1,0,2,0.10028924,25,25
42,0.00001590,0.00018248,0.00129412,0.00000129418439716,knapsack,1,0,2,0.10009086,25,25
43,0.04170396,0.00017855,0.00126627,0.00000126631205674,knapsack,1,0,2,0.05820835,25,25
44,0.21664369,0.00017625,0.00125000,0.00000125,knapsack,1,0,2,1.31611596,25,25
45,2.59221749,0.00017625,0.00125000,0.00000125,knapsack,1,0,2,4.54890626,25,25
46,0.07150858,0.00017494,0.00124069,0.00000124070921986,knapsack,1,0,2,1.24443244,25,25
47,0.00064863,0.00016816,0.00119262,0.00000119262411348,knapsack,1,0,2,0.05739156,26,26
48,0.00427636,0.00016816,0.00119262,0.00000119262411348,knapsack,1,0,2,0.05294704,26,26
49,0.03830366,0.00016512,0.00117106,0.00000117106382979,knapsack,1,0,2,0.01447826,26,26
50,0.00367300,0.00016440,0.00116592,0.00000116595744681,knapsack,1,0,2,0.01064086,26,26
51,0.00000546,0.00013787,0.00114155,0.00000125336363636,bnb,1,0,1,,26,25
52,0.44678250,0.00016096,0.00114155,0.00000114156028369,knapsack,1,0,2,0.79748898,25,25
53,0.00000546,0.00016096,0.00114155,0.00000114156028369,knapsack,1,0,2,0.01047444,25,25
54,0.44627704,0.00016060,0.00113895,0.00000113900709220,knapsack,1,0,2,0.35105134,26,26
55,0.00000546,0.00016060,0.00113895,0.00000113900709220,knapsack,1,0,2,0.01030838,26,26
56,0.09343597,0.00015638,0.00110906,0.00000110907801418,knapsack,1,0,2,0.25745899,27,27
57,0.11900000,0.00015638,0.00110906,0.00000110907801418,knapsack,1,0,2,0.13830261,28,28
58,0.01268900,0.00015630,0.00110849,0.00000110851063830,knapsack,1,0,2,0.12545731,28,28
59,0.02000000,0.00015429,0.00109421,0.00000109425531915,knapsack,1,0,2,0.10530302,29,29
60,1.82437920,0.00015429,0.00109421,0.00000109425531915,knapsack,1,0,2,2.72437277,29,29
61,0.00445185,0.00015360,0.00108934,0.00000108936170213,srd,1,0,2,0.00570293,29,29
62,0.20000000,0.00014607,0.00103589,0.00000103595744681,knapsack,1,0,2,2.52422670,29,29
63,0.09939999,0.00021547,0.00103589,0.00000103591346154,knapsack,2,0,2,0.01139049,29,28
64,0.01796000,0.00014607,0.00103589,0.00000103595744681,knapsack,1,0,2,2.50612063,28,28
65,0.01482172,0.00014208,0.00100765,0.00000100765957447,knapsack,1,0,2,2.49115683,29,29
66,0.02831011,0.00014175,0.00100529,0.00000100531914894,knapsack,1,0,2,2.46270497,30,30
67,0.00000546,0.00014164,0.00100450,0.00000100453900709,knapsack,1,0,2,0.01124339,30,30
68,0.00000546,0.00014164,0.00100450,0.00000100453900709,knapsack,1,0,2,0.01109629,30,30
69,0.25900200,0.00014158,0.00100405,0.00000100411347518,knapsack,1,0,2,2.20356139,31,31
70,1.94082932,0.00014158,0.00100405,0.00000100411347518,knapsack,1,0,2,0.26259049,31,31
71,0.01288633,0.00014100,0.00100000,0.00000100,knapsack,1,0,2,0.24956316,31,31
72,0.30373625,0.00032836,0.00100000,0.00000104907348243,bnb,4,0,1,,31,27
73,0.36248900,0.00014100,0.00100000,0.00000100,srd,1,0,2,0.13637000,27,27
74,6.08298706,0.00014100,0.00100000,0.00000100,knapsack,1,0,2,18.30179094,27,27
75,0.02189141,0.00014100,0.00100000,0.00000100,knapsack,1,0,2,0.11433759,27,27
76,7.95541437,0.00014100,0.00100000,0.00000100,knapsack,1,0,2,10.34623557,27,27
77,4.90709864,0.00014100,0.00100000,0.00000100,knapsack,1,0,2,5.43899593,28,28
78,0.04854700,0.00014100,0.00100000,0.00000100,knapsack,1,0,2,0.06564959,29,29
79,38.16106087,0.00108303,0.00100000,0.00000102365784499,bnb,15,0,1,,30,15
80,0.00980764,0.00014100,0.00100000,0.00000100,knapsack,1,0,2,5.42904729,17,17
81,0.06235296,0.00014100,0.00100000,0.00000100,knapsack,1,0,2,5.36655333,17,17
82,0.61376086,0.00014100,0.00100000,0.00000100,knapsack,1,0,2,4.75265147,17,17
83,1.43380919,0.00014100,0.00100000,0.00000100,knapsack,1,0,2,3.31870128,18,18
84,0.01776019,0.00014100,0.00100000,0.00000100,knapsack,1,0,2,3.30080009,18,18
85,16.49008121,0.00047900,0.00100000,0.00000100,knapsack,6,3,2,0.18081848,19,14
86,0.01966794,0.00014100,0.00100000,0.00000100,knapsack,1,0,2,0.16100954,16,16
87,0.00973099,0.00013781,0.00097733,9.77375886525E-7,knapsack,1,0,2,0.15114074,18,18
88,0.00092948,0.00013757,0.00097563,9.75673758865E-7,knapsack,1,0,2,0.15007369,19,19
89,0.01306100,0.00013757,0.00097563,9.75673758865E-7,knapsack,1,0,2,0.13687512,19,19
90,0.00167300,0.00006204,0.00043996,4.4E-7,knapsack,1,0,2,0.13514008,20,20
91,0.00232255,0.00013720,0.00097301,9.73049645390E-7,knapsack,1,0,2,0.13268033,21,21
