id,input_amounts
0,['0.00046000']
1,['0.10000000']
2,['0.09950495']
3,['0.09918192']
4,['0.09886031']
5,['0.09591190']
6,['5.73004593']
7,['1.91285970']
8,['0.09509449']
9,['0.09480262']
10,['0.06472062']
11,['2.98592356']
12,['0.80435539']
13,['0.02948222']
14,['0.77303701']
15,['0.02920244']
16,['0.67811457']
17,['0.01229062']
18,['0.66966918']
19,['0.66344713']
20,"['0.65722508', '1.09288664']"
21,['0.57415759']
22,['0.56428636']
23,"['0.28280218', '0.55255826']"
24,['0.18879344']
25,['0.13159284']
26,"['2.35830000', '0.00380708', '0.15234500']"
27,['2.24473515']
28,['0.01108336']
29,['0.01088735']
30,['0.12938697']
31,['0.12226462']
32,['0.01055770']
33,['0.11991407']
34,['0.01034895']
35,['2.11402830']
36,['0.10801992']
37,['0.10591141']
38,['0.10440872']
39,['0.10421068']
40,['0.10203033']
41,['0.10182545']
42,['0.10028924']
43,['0.10009086']
44,['1.53293590']
45,['7.14130000']
46,['1.31611596']
47,['0.05820835']
48,['0.05739156']
49,['0.05294704']
50,['0.01447826']
51,['0.00014333']
52,['1.24443244']
53,['0.01064086']
54,['0.79748898']
55,['0.01047444']
56,['0.35105134']
57,['0.25745899']
58,['0.13830261']
59,['0.12545731']
60,['4.54890626']
61,['0.01030838']
62,['2.72437277']
63,"['0.00570293', '0.10530302']"
64,['2.52422670']
65,['2.50612063']
66,['2.49115683']
67,['0.01139049']
68,['0.01124339']
69,['2.46270497']
70,['2.20356139']
71,['0.26259049']
72,"['0.01109629', '0.01040000', '0.03300516', '0.24956316']"
73,['0.49900000']
74,['24.38491900']
75,['0.13637000']
76,['18.30179094']
77,['10.34623557']
78,['0.11433759']
79,"['0.00131873', '0.09807589', '0.13066032', '0.03123869', '36.38510000', '0.01413500', '0.09136964', '0.37801960', '0.13033016', '0.13000000', '0.13016508', '0.26384898', '0.06564959', '0.27780364', '0.03442858']"
80,['5.43899593']
81,['5.42904729']
82,['5.36655333']
83,['4.75265147']
84,['3.31870128']
85,"['2.25683172', '14.41445754', '0.00000567', '0.00000600', '0.00000546', '0.00007230']"
86,['0.18081848']
87,['0.16100954']
88,['0.15114074']
89,['0.15007369']
90,['0.13687512']
91,['0.13514008']
92,['0.13268033']
93,['3.30080009']
94,['0.11654385']
95,['2.90066361']
96,['1.90052713']
97,['1.73558349']
98,['0.07240737']
99,['0.06564200']
100,['0.06550302']
101,['0.06536404']
102,['0.06522506']
103,['0.06508661']
104,['0.06450985']
105,['0.06415948']
106,['0.06359207']
107,['0.06098533']
108,"['0.00048151', '6.84288194']"
109,['0.06085003']
110,['0.06051640']
111,['0.06038498']
112,['0.05460985']
113,['0.05447843']
114,['0.04870344']
115,['0.04857202']
116,['0.04279709']
117,['0.04266567']
118,['0.03689075']
119,['0.03522777']
120,['0.01653895']
121,['0.01076414']
122,"['0.00564900', '0.00017460']"
123,['0.01063303']
124,['1.52124533']
125,['1.51547068']
126,['0.01050192']
127,['0.01037081']
128,['4.95278590']
129,['0.01023970']
130,['1.50969587']
131,['1.50392124']
132,['8.84991102']
133,['0.01004380']
134,"['0.01010859', '0.00991300']"
135,['0.01418769']
136,['1.50379013']
137,['0.01405689']
138,['1.49801565']
139,['1.49224133']
140,['0.01392609']
141,['0.01379529']
142,['1.48646697']
143,['0.01366449']
144,['0.01353369']
145,['1.48069268']
146,"['1.47049703', '0.01080454']"
147,"['8.84413656', '1.47154577']"
148,['0.52459025']
149,['0.47446515']
150,['0.46391821']
151,['0.46378929']
152,['0.46227078']
153,['0.46214277']
154,['0.46201476']
155,['0.45672548']
156,['4.94701129']
157,['3.02126052']
158,['0.44423799']
159,['0.44411013']
160,['0.44398243']
161,['0.43868672']
162,['0.43703935']
163,['1.09575981']
164,['0.27552078']
165,['0.20226589']
166,['0.19450605']
167,['0.18876368']
168,['0.17907558']
169,['0.13098903']
170,['0.40932743']
171,['0.33499950']
172,"['0.07434710', '0.00663588', '0.03700000', '0.00981188', '0.10000000']"
173,['0.05836183']
174,['0.05823997']
175,['0.01508644']
176,['0.01233759']
177,['9.74076245']
178,['9.60524537']
179,['9.59831067']
180,['9.58621933']
181,['9.05079540']
182,['3.77091295']
183,['3.75882441']
184,['3.75823411']
185,['3.75348634']
186,['3.52022787']
187,['3.52010905']
188,['3.40792296']
189,['3.40639416']
190,['3.40361536']
191,['3.40024856']
192,['2.41860971']
193,['2.41708036']
194,['1.43968716']
195,['1.43690836']
196,['0.46234811']
197,"['0.01100000', '4.59877152']"
198,['0.45856876']
199,['3.63898765']
200,['0.45678896']
201,['2.67009160']
202,['0.45400861']
203,['1.70402840']
204,['0.45172826']
205,['0.44869846']
206,"['0.44591866', '0.74029700']"
207,['0.22834801']
208,"['0.00445000', '0.00503431', '0.00564914', '0.00331542', '0.00107900', '0.00405736', '0.00664516', '0.00664207', '218.32762463']"
209,"['217.41322260', '0.02900000', '0.37317718', '0.00664104', '0.04657040', '0.14852427', '0.22690121']"
210,"['0.00249900', '0.02776271', '0.00102730']"
211,['218.21236318']
212,"['0.01246026', '0.01005590', '0.00800000']"
213,['218.16158207']
214,['0.05846990']
215,['218.06433620']
216,['0.07811508']
217,['217.97192201']
218,"['0.97886225', '0.00934461']"
219,['0.78656915']
220,['217.73420270']
221,"['0.62090024', '0.04208708', '0.16560971', '0.03596880', '0.01986033']"
222,"['0.00564896', '216.70288719', '0.00008996']"
223,['0.97339885']
224,['0.02021198']
225,['0.63576913']
226,['216.61335920']
227,['0.59281771']
228,['216.27567643']
229,['216.26599034']
230,['0.06295674']
231,"['216.18025331', '0.00519207']"
232,"['0.04553541', '0.39026108']"
233,['0.06814875']
234,"['0.02679208', '0.58249288', '0.01057949']"
235,['216.04578099']
236,['0.30668072']
237,['0.01866836']
238,['0.01359956']
239,['201.37638461']
240,['0.01215276']
241,['200.43400256']
242,['0.01038221']
243,['0.00928896']
244,['199.49453791']
245,['0.14191240']
246,['198.56065746']
247,['0.55399165']
248,['0.01001165']
249,['197.62969541']
250,['196.70498716']
251,['195.78178031']
252,['195.77883151']
253,['194.85862706']
254,['0.13904760']
255,"['0.00784216', '0.00531185']"
256,['0.55254485']
257,['193.39317365']
258,['0.37069246']
259,['191.19500916']
260,"['0.00635041', '0.01017111']"
261,['0.36953067']
262,"['0.03406791', '0.01093312']"
263,['0.03905523']
264,['190.27163451']
265,['0.02913709']
266,['190.24346057']
267,['0.01501143']
268,['0.02256666']
269,['0.01423055']
270,['0.01489557']
271,['0.01411494']
272,['0.01399933']
273,['0.98777725']
274,['0.01388372']
275,['0.01376811']
276,['0.97836137']
277,['0.01365293']
278,"['0.00619493', '0.01353775']"
279,['0.97349578']
280,['0.01465133']
281,['0.01453906']
282,['0.59177007']
283,['0.01442679']
284,['0.58273716']
285,['190.01041096']
286,['0.56682286']
287,['0.01431452']
288,['0.55808365']
289,['0.01420266']
290,['0.01409080']
291,['0.54930177']
292,['0.01397894']
293,['0.50883927']
294,['189.08266260']
295,['0.50346056']
296,['0.32683859']
297,['0.01264887']
298,['0.27673379']
299,['0.26728683']
300,['0.01034095']
301,['0.24101220']
302,['0.01023157']
303,['0.23519613']
304,['0.01012219']
305,['0.22938007']
306,['0.22356413']
307,['0.21774824']
308,['0.21763886']
309,['0.21182286']
310,['0.20600721']
311,['0.20019145']
312,['0.20008233']
313,['0.19426653']
314,['0.18845075']
315,['0.18834163']
316,['0.18252595']
317,['0.18241683']
318,['0.17660107']
319,['0.17078525']
320,['0.17067613']
321,['0.16486038']
322,['0.16088805']
323,['0.16077893']
324,['0.16066981']
325,['0.16056069']
326,['0.15474489']
327,['0.14892909']
328,['0.14881997']
329,['0.14150786']
330,['0.13569243']
331,['0.13558357']
332,['0.12976810']
333,['0.12965924']
334,['0.12384386']
335,['0.12373500']
336,['0.12362614']
337,['0.11781064']
338,['0.11199515']
339,['0.11188629']
340,['0.11093678']
341,['0.08450506']
342,['0.06923135']
343,['0.05246778']
344,['0.05146472']
345,['187.30663963']
346,['187.26701074']
347,['187.04727902']
348,['0.04879614']
349,['186.29619522']
350,['0.01741527']
351,['186.27809307']
