----BEGIN SIMULATION RESULTS----
Scenario: sim_data.csv
| Scenario File | Current Balance | Mean #UTXO | Current #UTXO | #Deposits | #Inputs Spent | #Withdraws | #Uneconomical outputs spent | #Change Created | #Changeless | Min Change Value | Max Change Value | Mean Change Value | Std. Dev. of Change Value | Total Fees | Mean Fees per Withdraw | Cost to Empty | Total Cost | Min Input Size | Max Input Size | Mean Input Size | Std. Dev. of Input Size | BnB Usage | SRD Usage | Knapsack Usage | #BnB no change | #SRD no change | #Knapsack no change |
| sim_data.csv | 0.10000000 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -6.80000000E-7 | -6.80000000E-7 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
| sim_data.csv | 636.11913266 | 44.9280000000 | 85 | 179 | 403 | 321 | 0 | 308 | 13 | 0.00552465 | 201.37638461 | 9.08118470536 | 39.5031103920 | 0.04893300 | 0.000152439252336 | -0.0000578000000 | 0.0488752000000 | 1 | 12 | 1.25545171340 | 1.00164389802 | 13 | 64 | 244 | 13 | 0 | 0 |
| sim_data.csv | 626.47627158 | 99.4570000000 | 219 | 341 | 761 | 659 | 0 | 638 | 21 | 0.00504989 | 216.02464769 | 31.5470602305 | 67.0258410310 | 0.08255279 | 0.000125269787557 | -0.000148920000 | 0.082403870000 | 1 | 12 | 1.15477996965 | 0.731626454649 | 21 | 143 | 495 | 21 | 0 | 0 |
| sim_data.csv | 683.25250758 | 158.761333333 | 327 | 511 | 1117 | 989 | 0 | 932 | 57 | 0.00504989 | 216.02464769 | 30.1261165240 | 63.9748510674 | 0.11227149 | 0.000113520212336 | -0.000222360000 | 0.112049130000 | 1 | 12 | 1.12942366026 | 0.639009997424 | 57 | 225 | 707 | 57 | 0 | 0 |
| sim_data.csv | 201.74601398 | 197.027500000 | 264 | 671 | 1596 | 1329 | 0 | 1188 | 141 | 0.00504989 | 224.92176707 | 28.5923754125 | 62.5559851745 | 0.14088743 | 0.000106010105342 | -0.000179520000 | 0.140707910000 | 1 | 12 | 1.20090293454 | 0.764103792545 | 141 | 407 | 781 | 141 | 0 | 0 |
| sim_data.csv | 123.56360906 | 214.976800000 | 337 | 840 | 1993 | 1660 | 0 | 1489 | 171 | 0.00501867 | 224.92176707 | 43.5139392191 | 71.5239074809 | 0.16665381 | 0.000100393861446 | -0.000229160000 | 0.166424650000 | 1 | 12 | 1.20060240964 | 0.739890432886 | 171 | 599 | 890 | 171 | 0 | 0 |
| sim_data.csv | 90.96546294 | 234.753333333 | 353 | 1016 | 2432 | 1984 | 0 | 1768 | 216 | 0.00501867 | 224.92176707 | 38.1426101155 | 67.2197246037 | 0.19075579 | 0.0000961470715726 | -0.000240040000 | 0.190515750000 | 1 | 16 | 1.22580645161 | 0.847659620908 | 216 | 743 | 1025 | 216 | 0 | 0 |
| sim_data.csv | 199.97991274 | 244.087428571 | 162 | 1192 | 3072 | 2308 | 0 | 2041 | 267 | 0.00501867 | 224.92176707 | 34.0939333170 | 64.0112163463 | 0.21487371 | 0.0000930995277296 | -0.000110160000 | 0.214763550000 | 1 | 100 | 1.33102253033 | 2.50764749578 | 267 | 884 | 1157 | 267 | 0 | 0 |
| sim_data.csv | 158.82811535 | 226.092750000 | 100 | 1360 | 3623 | 2640 | 0 | 2362 | 278 | 0.00501867 | 224.92176707 | 32.6358776278 | 60.3033832538 | 0.23315814 | 0.0000883174772727 | -0.0000680000000 | 0.233090140000 | 1 | 100 | 1.37234848485 | 3.09034001027 | 278 | 937 | 1425 | 278 | 0 | 0 |
| sim_data.csv | 8.91148750 | 211.241333333 | 21 | 1526 | 4184 | 2974 | 0 | 2678 | 296 | 0.00501867 | 224.92176707 | 31.7027822252 | 56.8679281546 | 0.24667937 | 0.0000829453160726 | -0.0000142800000 | 0.246665090000 | 1 | 100 | 1.40685944855 | 3.40414361717 | 295 | 944 | 1735 | 295 | 0 | 1 |
| sim_data.csv | 13.04011807 | 194.739800000 | 72 | 1705 | 4610 | 3295 | 0 | 2976 | 319 | 0.00007585 | 224.92176707 | 28.7142609201 | 54.6922873165 | 0.25439443 | 0.0000772062003035 | -0.0000489600000 | 0.254345470000 | 1 | 100 | 1.39908952959 | 3.26087909989 | 318 | 968 | 2009 | 318 | 0 | 1 |
| sim_data.csv | 5.42911518 | 185.259636364 | 24 | 1878 | 5126 | 3622 | 0 | 3271 | 351 | 0.00007585 | 224.92176707 | 26.3056192342 | 52.7288854285 | 0.25923417 | 0.0000715721065710 | -0.0000163200000 | 0.259217850000 | 1 | 100 | 1.41524019879 | 3.16722892468 | 350 | 993 | 2279 | 350 | 0 | 1 |
| sim_data.csv | 5.00449959 | 170.439666667 | 7 | 2074 | 5642 | 3925 | 0 | 3574 | 351 | 0.00007585 | 224.92176707 | 24.1218547679 | 50.9518714342 | 0.26231818 | 0.0000668326573248 | -0.00000476000000 | 0.262313420000 | 1 | 100 | 1.43745222930 | 3.05087237579 | 350 | 1025 | 2550 | 350 | 0 | 1 |
| sim_data.csv | 2.89540781 | 158.764923077 | 19 | 2243 | 6125 | 4256 | 0 | 3900 | 356 | 0.00007585 | 224.92176707 | 22.1545877296 | 49.2089178619 | 0.27272213 | 0.0000640794478383 | -0.0000129200000 | 0.272709210000 | 1 | 100 | 1.43914473684 | 2.94725423360 | 355 | 1061 | 2840 | 355 | 0 | 1 |
| sim_data.csv | 0.87801967 | 149.879428571 | 9 | 2418 | 6630 | 4581 | 0 | 4220 | 361 | 0.00007585 | 224.92176707 | 20.6825751313 | 47.6100587003 | 0.27710985 | 0.0000604911263916 | -0.00000612000000 | 0.277103730000 | 1 | 100 | 1.44728225278 | 2.89693855361 | 360 | 1090 | 3131 | 360 | 0 | 1 |
| sim_data.csv | 282.90844325 | 143.066933333 | 96 | 2572 | 7033 | 4927 | 0 | 4556 | 371 | 0.00007585 | 224.92176707 | 19.8194972801 | 46.4073667062 | 0.32776297 | 0.0000665238420946 | -0.0000652800000 | 0.327697690000 | 1 | 100 | 1.42744063325 | 2.79753277220 | 370 | 1226 | 3331 | 370 | 0 | 1 |
| sim_data.csv | 343.09675209 | 141.732875000 | 169 | 2735 | 7422 | 5264 | 0 | 4855 | 409 | 0.00007585 | 224.92176707 | 19.8360220112 | 45.1952698457 | 0.35532716 | 0.0000675013601824 | -0.000114920000 | 0.355212240000 | 1 | 100 | 1.40995440729 | 2.71011638788 | 408 | 1318 | 3538 | 408 | 0 | 1 |
| sim_data.csv | 265.71749337 | 141.795176471 | 134 | 2892 | 7880 | 5607 | 0 | 5121 | 486 | 0.00007585 | 274.85415613 | 21.0745627181 | 49.5850668239 | 0.38310201 | 0.0000683256661316 | -0.0000911200000 | 0.383010890000 | 1 | 100 | 1.40538612449 | 2.63797148723 | 485 | 1511 | 3611 | 485 | 0 | 1 |
| sim_data.csv | 19.93654218 | 142.556666667 | 176 | 3064 | 8297 | 5935 | 0 | 5408 | 527 | 0.00007585 | 274.85415613 | 21.5482421249 | 50.9500552604 | 0.40524636 | 0.0000682807683235 | -0.000119680000 | 0.405126680000 | 1 | 100 | 1.39797809604 | 2.57086865572 | 526 | 1626 | 3783 | 526 | 0 | 1 |
| sim_data.csv | 4.28093710 | 139.500842105 | 15 | 3230 | 8900 | 6269 | 0 | 5684 | 585 | 0.00007585 | 274.85415613 | 20.5342650421 | 49.9000602449 | 0.41383951 | 0.0000660136401340 | -0.0000102000000 | 0.413829310000 | 1 | 100 | 1.41968416015 | 2.58143718890 | 584 | 1683 | 4002 | 584 | 0 | 1 |
