id,input_amounts
0,['0.00046000']
1,['0.10000000']
2,['0.09950495']
3,['0.09918192']
4,['0.09886031']
5,['0.09591190']
6,['5.73004593']
7,['1.91285970']
8,['0.09509449']
9,['0.09480262']
10,['0.06472062']
11,['2.98592356']
12,['0.80435539']
13,['0.02948222']
14,['0.77303701']
15,['0.02920244']
16,['0.67811457']
17,['0.01229062']
18,['0.66966918']
19,['0.66344713']
20,"['1.09288664', '0.65722508']"
21,['0.57415759']
22,['0.56428636']
23,"['0.55255826', '0.09136964', '0.00131873', '0.15234500', '0.01040000']"
24,['0.16111863']
25,['0.10391803']
26,['0.28280218']
27,"['24.38491900', '0.01108336', '0.00102730']"
28,['0.01328236']
29,['0.01308635']
30,['0.10171216']
31,['0.01275670']
32,['0.01040615']
33,['0.09458981']
34,['0.08269566']
35,['24.26612021']
36,['0.08239051']
37,['0.08028200']
38,['0.07877931']
39,['0.07858127']
40,['0.07640092']
41,['0.07619604']
42,['0.07465983']
43,['0.07446145']
44,"['0.13000000', '0.13016508']"
45,"['0.03257894', '23.68502781']"
46,['2.35830000']
47,['0.04326139']
48,['0.04244460']
49,['2.28661648']
50,['0.00380708']
51,['0.00014333']
52,['2.24814770']
53,['0.01019740']
54,['1.80120424']
55,['0.03800008']
56,['1.35476660']
57,['1.26117425']
58,['0.03783402']
59,['1.14201787']
60,['21.12512926']
61,['0.02498872']
62,['1.12186358']
63,['0.92171751']
64,['19.30059577']
65,['19.28248970']
66,['0.82217145']
67,['0.02038327']
68,['0.02023617']
69,['0.79371959']
70,['19.26752590']
71,['0.53457601']
72,['0.52154868']
73,['17.32655500']
74,['7.14130000']
75,['0.21767143']
76,['16.96392500']
77,['9.00836963']
78,['0.19563902']
79,"['0.03442858', '0.13066032', '1.05817194', '0.09807589', '36.38510000', '0.00007230', '0.27780364', '0.03300516', '0.01413500', '0.13033016']"
80,['0.02008907']
81,['0.14695102']
82,['4.10112999']
83,['3.48722813']
84,['0.08445706']
85,"['14.41445754', '0.03123869', '2.05327794', '0.00171973']"
86,['0.06655587']
87,"['0.01003098', '0.01014043']"
88,['0.01026869']
89,['0.04674693']
90,['0.01023713']
91,['0.00850209']
92,['0.03354836']
93,['8.84991102']
94,['8.44977454']
95,['8.40563806']
96,['7.40550158']
97,['7.24055794']
98,['0.01741188']
99,['0.01064651']
100,['0.01050753']
101,['0.01036855']
102,['0.01022957']
103,['7.02621978']
104,['0.00920164']
105,['7.02564302']
106,['0.01009112']
107,['0.00604234']
108,['7.02507561']
109,['0.00748438']
110,['0.00715075']
111,['5.13455863']
112,['0.00885127']
113,"['0.00017460', '0.00564908']"
114,['0.00701933']
115,"['5.12878350', '0.00871985']"
116,['0.00688791']
117,['5.13166857']
118,['0.00675649']
119,['5.12589365']
120,['5.10720483']
121,['0.01246026']
122,['6.84288194']
123,['0.02900000']
124,['6.83710729']
125,['0.37317718']
126,"['0.00509351', '0.00590704']"
127,['0.01080974']
128,['0.01114421']
129,['0.01067863']
130,['0.36740237']
131,['0.01054752']
132,['6.83133264']
133,['0.01041641']
134,['5.10143002']
135,['0.01028561']
136,['0.02886889']
137,['0.01015481']
138,"['0.00536960', '0.01232915']"
139,['6.82555818']
140,['0.01186488']
141,['0.01173408']
142,['0.36162774']
143,['0.01160328']
144,['0.02309441']
145,['0.02036526']
146,"['0.01002401', '0.01016961']"
147,"['6.81978382', '5.09565567']"
148,['0.35585345']
149,"['0.00615171', '0.00445000']"
150,['0.01043782']
151,['2.12434741']
152,['0.01030890']
153,['0.01018089']
154,['2.12282890']
155,['0.30572835']
156,['2.11753962']
157,['2.25683172']
158,['0.01147248']
159,['0.01134462']
160,['0.19178885']
161,['0.01121692']
162,['0.18649314']
163,"['0.00800000', '0.00405736', '0.00664104', '0.29324086', '0.00956955', '0.49900000']"
164,['0.15878122']
165,['0.08552633']
166,['0.07776649']
167,['0.07202412']
168,['0.06233602']
169,['0.33133101']
170,['0.25870381']
171,"['0.18437588', '0.00564900', '0.02776271', '0.00564896', '0.03700000', '0.00048151']"
172,['9.74076245']
173,['0.01424947']
174,['9.51317879']
175,['0.01412761']
176,['9.47002526']
177,['9.46774357']
178,['0.02404671']
179,['0.01711201']
180,['9.33222649']
181,['8.79680256']
182,['0.02640675']
183,['0.01137876']
184,['3.51692011']
185,['3.51217234']
186,['0.01078846']
187,['3.27891387']
188,['0.01431821']
189,['0.01278941']
190,['0.01066964']
191,['3.16672778']
192,['0.01001061']
193,['2.18508893']
194,['1.20769573']
195,['1.20491693']
196,"['0.01005288', '0.00502067']"
197,"['0.01408371', '0.03152186', '0.23035668', '0.26384898', '0.04657040', '0.00663588', '0.37801960']"
198,['0.01124033']
199,"['0.00008996', '0.97886225']"
200,['4.59877152']
201,['4.59599117']
202,['0.00946053']
203,['3.62992797']
204,"['0.00718018', '0.00730284']"
205,['2.66619657']
206,['2.66341677']
207,['1.70560272']
208,['1.70415592']
209,['218.32762463']
210,['0.08391344']
211,['218.21236318']
212,['0.95620085']
213,['218.16158207']
214,['0.94889205']
215,['218.06433620']
216,['0.92579812']
217,['217.97192201']
218,"['0.91028248', '0.01000256']"
219,['0.88977012']
220,['217.73420270']
221,"['0.00848126', '0.14852427', '0.71864733']"
222,"['216.70288719', '0.00569945']"
223,['0.75331712']
224,['0.02021198']
225,['0.05846990']
226,['216.61335920']
227,['0.16560971']
228,['216.27567643']
229,['216.26599034']
230,['0.07811508']
231,"['0.00331542', '216.18025331', '0.00166700']"
232,['0.41568740']
233,"['0.03596880', '0.01551848']"
234,['0.72410121']
235,['216.04578099']
236,['201.37638461']
237,['0.06069375']
238,['0.06295674']
239,"['0.65833641', '0.05273183', '0.06150994', '0.15528488', '0.01471225']"
240,['0.06814875']
241,['201.21161629']
242,['0.28662549']
243,['0.05562495']
244,['200.27215164']
245,['199.33827119']
246,['199.33540639']
247,['0.39026108']
248,['0.01002658']
249,['198.40444434']
250,['197.47973609']
251,"['0.01000439', '0.00532678']"
252,['196.55652924']
253,['195.63632479']
254,"['0.02015838', '0.08486806']"
255,['0.01007695']
256,['0.28259369']
257,['194.17087138']
258,['0.01139962']
259,['191.97270689']
260,['0.05417815']
261,['0.38881428']
262,['0.94376965']
263,['0.06528495']
264,"['0.00300000', '0.01011790', '0.01514497']"
265,['0.05833884']
266,"['0.91383365', '0.10074130', '0.04864335']"
267,['0.01023783']
268,"['0.01232877', '0.00714765']"
269,['0.01012197']
270,['0.83006299']
271,['0.01057949']
272,['0.01046388']
273,['0.05176841']
274,['0.01034827']
275,['0.01023266']
276,['191.04933224']
277,['0.01011748']
278,['0.00503431']
279,['0.82136235']
280,['0.01108797']
281,['0.01097570']
282,['0.04235253']
283,['0.01086343']
284,['0.43963664']
285,['191.04446665']
286,"['0.00530900', '0.00346807']"
287,['0.01075116']
288,['0.42372234']
289,['0.01063930']
290,['0.01052744']
291,"['0.01041558', '190.11671829']"
292,['190.08662112']
293,['190.08529105']
294,['190.07991234']
295,['0.41494046']
296,['188.30388937']
297,['0.05536681']
298,['0.05305889']
299,['0.04361193']
300,['0.01733730']
301,['0.01722792']
302,['0.01141185']
303,['188.25378457']
304,['0.01130247']
305,['0.23831849']
306,['0.01119309']
307,['0.00866523']
308,"['0.00564905', '0.00020000']"
309,['188.24796851']
310,"['0.00537720', '0.00047520']"
311,['0.00855585']
312,['0.01756400']
313,['0.23250255']
314,['0.01174820']
315,['188.24215286']
316,['0.01163908']
317,['0.17229235']
318,['0.16647659']
319,['0.01152996']
320,['0.92934885']
321,['0.92353310']
322,['0.01142084']
323,['0.01131172']
324,['0.01120260']
325,['0.16066077']
326,['0.22668677']
327,['0.01109348']
328,['0.03331962']
329,['0.02600751']
330,['0.01098436']
331,['0.01100000']
332,['0.01087550']
333,"['0.01076664', '0.00518453']"
334,['0.01008665']
335,['0.00844673']
336,"['0.00997779', '0.00833787']"
337,['0.01245102']
338,['0.15484497']
339,['0.02019208']
340,['0.91956077']
341,['188.23633718']
342,['0.88546770']
343,['0.86870413']
344,['0.00887813']
345,"['0.00896360', '215.84856363']"
346,"['0.01000230', '0.22087097']"
