----BEGIN SIMULATION RESULTS----
Scenario: sim_data.csv
| Scenario File | Current Balance | Mean #UTXO | Current #UTXO | #Deposits | #Inputs Spent | #Withdraws | #Uneconomical outputs spent | #Change Created | #Changeless | Min Change Value | Max Change Value | Mean Change Value | Std. Dev. of Change Value | Total Fees | Mean Fees per Withdraw | Cost to Empty | Total Cost | Min Input Size | Max Input Size | Mean Input Size | Std. Dev. of Input Size | BnB Usage | SRD Usage | Knapsack Usage | #BnB no change | #SRD no change | #Knapsack no change |
| sim_data.csv | 0.10000000 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -6.80000000E-7 | -6.80000000E-7 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
| sim_data.csv | 636.11970926 | 47.2080000000 | 94 | 179 | 391 | 321 | 0 | 305 | 16 | 0.00502067 | 201.37638461 | 15.3776778003 | 49.9289040323 | 0.04835640 | 0.000150642990654 | -0.0000639200000 | 0.0482924800000 | 1 | 10 | 1.21806853583 | 0.860114822444 | 16 | 110 | 195 | 16 | 0 | 0 |
| sim_data.csv | 626.47642526 | 98.5450000000 | 217 | 341 | 758 | 659 | 0 | 633 | 26 | 0.00502067 | 215.81784945 | 33.2762421088 | 66.7275979524 | 0.08239911 | 0.000125036585736 | -0.000147560000 | 0.082251550000 | 1 | 10 | 1.15022761760 | 0.654801607878 | 26 | 172 | 461 | 26 | 0 | 0 |
| sim_data.csv | 683.25153369 | 151.119333333 | 281 | 511 | 1145 | 989 | 0 | 914 | 75 | 0.00502067 | 215.81784945 | 33.6869983461 | 66.0384333469 | 0.11324538 | 0.000114504934277 | -0.000191080000 | 0.113054300000 | 1 | 10 | 1.15773508595 | 0.603123890859 | 75 | 318 | 596 | 75 | 0 | 0 |
| sim_data.csv | 201.74676628 | 191.142000000 | 313 | 671 | 1565 | 1329 | 0 | 1206 | 123 | 0.00502067 | 249.98176930 | 32.0524452758 | 65.5043745895 | 0.14013513 | 0.000105444040632 | -0.000212840000 | 0.139922290000 | 1 | 10 | 1.17757712566 | 0.631795465955 | 123 | 450 | 756 | 123 | 0 | 0 |
| sim_data.csv | 123.56238437 | 206.642000000 | 292 | 840 | 2027 | 1660 | 0 | 1478 | 182 | 0.00502067 | 249.98176930 | 35.6081294832 | 66.1762037770 | 0.16787850 | 0.000101131626506 | -0.000198560000 | 0.167679940000 | 1 | 10 | 1.22108433735 | 0.689131175532 | 182 | 589 | 889 | 182 | 0 | 0 |
| sim_data.csv | 90.96375627 | 223.273666667 | 296 | 1016 | 2489 | 1984 | 0 | 1768 | 216 | 0.00502067 | 249.98176930 | 33.3493952342 | 62.3000227851 | 0.19246246 | 0.0000970072883065 | -0.000201280000 | 0.192261180000 | 1 | 16 | 1.25453629032 | 0.900064202727 | 216 | 713 | 1055 | 216 | 0 | 0 |
| sim_data.csv | 199.97625841 | 230.235428571 | 219 | 1192 | 3044 | 2308 | 0 | 2070 | 238 | 0.00502067 | 249.98176930 | 30.7241223997 | 58.7546256827 | 0.21852804 | 0.0000946828596187 | -0.000148920000 | 0.218379120000 | 1 | 36 | 1.31889081456 | 1.41686179239 | 238 | 838 | 1232 | 238 | 0 | 0 |
| sim_data.csv | 158.82556527 | 218.758000000 | 111 | 1360 | 3637 | 2640 | 0 | 2387 | 253 | 0.00502067 | 249.98176930 | 28.7341280819 | 55.8761003891 | 0.23570822 | 0.0000892834166667 | -0.0000754800000 | 0.235632740000 | 1 | 101 | 1.37765151515 | 2.85340196627 | 253 | 865 | 1522 | 253 | 0 | 0 |
| sim_data.csv | 8.90892159 | 209.348000000 | 21 | 1526 | 4199 | 2974 | 0 | 2693 | 281 | 0.00502067 | 249.98176930 | 28.8698764693 | 53.0610074752 | 0.24924528 | 0.0000838080968393 | -0.0000142800000 | 0.249231000000 | 1 | 101 | 1.41190316073 | 3.32166231084 | 281 | 924 | 1769 | 281 | 0 | 0 |
| sim_data.csv | 13.03801909 | 196.123600000 | 127 | 1705 | 4585 | 3295 | 0 | 3006 | 289 | 0.00502067 | 249.98176930 | 25.9763022239 | 50.9354197577 | 0.25649341 | 0.0000778432200303 | -0.0000863600000 | 0.256407050000 | 1 | 101 | 1.39150227618 | 3.21431235340 | 289 | 952 | 2054 | 289 | 0 | 0 |
| sim_data.csv | 5.42663783 | 183.770727273 | 17 | 1878 | 5144 | 3622 | 0 | 3282 | 340 | 0.00289556 | 249.98176930 | 23.9253525384 | 49.2175403351 | 0.26171152 | 0.0000722560795141 | -0.0000115600000 | 0.261699960000 | 1 | 101 | 1.42020982882 | 3.10305551106 | 340 | 988 | 2294 | 340 | 0 | 0 |
| sim_data.csv | 4.98724302 | 169.098000000 | 8 | 2074 | 5652 | 3925 | 0 | 3585 | 340 | 0.00289556 | 249.98176930 | 21.9491938030 | 47.5387269730 | 0.26478358 | 0.0000674607847134 | -0.00000544000000 | 0.264778140000 | 1 | 101 | 1.44000000000 | 2.98881366692 | 340 | 1024 | 2561 | 340 | 0 | 0 |
| sim_data.csv | 2.87809362 | 157.563230769 | 18 | 2243 | 6138 | 4256 | 0 | 3912 | 344 | 0.00289556 | 249.98176930 | 20.1717726255 | 45.8879712310 | 0.27524515 | 0.0000646722626880 | -0.0000122400000 | 0.275232910000 | 1 | 101 | 1.44219924812 | 2.88697309211 | 344 | 1094 | 2818 | 344 | 0 | 0 |
| sim_data.csv | 0.86065717 | 148.138714286 | 8 | 2418 | 6643 | 4581 | 0 | 4232 | 349 | 0.00078339 | 249.98176930 | 18.9474019958 | 44.3582738389 | 0.27968118 | 0.0000610524296005 | -0.00000544000000 | 0.279675740000 | 1 | 101 | 1.45012006112 | 2.81798080463 | 349 | 1130 | 3102 | 349 | 0 | 0 |
| sim_data.csv | 282.89056549 | 141.579733333 | 103 | 2572 | 7042 | 4927 | 0 | 4572 | 355 | 0.00009706 | 249.98176930 | 18.5107550583 | 43.6648548686 | 0.33084956 | 0.0000671503064745 | -0.0000700400000 | 0.330779520000 | 1 | 101 | 1.42926730262 | 2.72434698881 | 355 | 1271 | 3301 | 355 | 0 | 0 |
