id,input_amounts
0,['0.00046000']
1,['0.10000000']
2,['0.09950495']
3,['0.09918192']
4,['0.09886031']
5,['0.09591190']
6,['5.73004593']
7,['1.91285970']
8,['0.09509449']
9,['0.09480262']
10,['0.06472062']
11,['2.98592356']
12,['0.80435539']
13,['0.02948222']
14,['0.77303701']
15,['0.02920244']
16,['0.67811457']
17,['0.01229062']
18,['0.66966918']
19,['0.66344713']
20,"['0.65722508', '1.09288664']"
21,['0.57415759']
22,['0.56428636']
23,"['0.00000546', '0.01108336', '0.09136964', '0.55255826', '0.00102730', '0.00131873', '0.00000546']"
24,['0.15234500']
25,['0.09514440']
26,['0.28280218']
27,"['0.00002184', '0.01029271', '0.03442858', '0.09293853', '0.00380708']"
28,['0.01037519']
29,['0.01328236']
30,['0.01295271']
31,['7.14130000']
32,['0.00583036']
33,['7.13894945']
34,['0.01017918']
35,['7.12705530']
36,['0.01413500']
37,['0.01202649']
38,['0.01052380']
39,['0.13000000']
40,['0.01032576']
41,"['0.00987403', '0.00562161']"
42,['0.01387273']
43,['0.12781965']
44,['6.54596290']
45,['6.32914296']
46,['0.08593714']
47,['0.01367435']
48,['0.01012088']
49,['3.73674922']
50,['0.01425362']
51,['0.00014333']
52,['3.69828044']
53,['0.01041622']
54,['3.25133698']
55,['0.01024980']
56,['2.80489934']
57,['2.71130699']
58,"['0.01285756', '0.01008374']"
59,['2.59215061']
60,['2.57199632']
61,['0.74746283']
62,['0.74285738']
63,['0.54271131']
64,['0.44316525']
65,['0.42505918']
66,['0.41009538']
67,['0.00567636']
68,['0.01002173']
69,['0.38164352']
70,['2.25683172']
71,['0.12249994']
72,['0.31586082']
73,['2.35830000']
74,['24.38491900']
75,['0.10947261']
76,['18.30179094']
77,['10.34623557']
78,['0.08744020']
79,"['36.38510000', '0.26384898', '0.01040000', '0.37801960', '0.03875220', '0.49900000', '0.13033016', '0.27780364', '0.00615171', '0.03300516', '0.13016508', '0.00934461']"
80,['1.99567000']
81,['1.98572136']
82,['1.92322740']
83,['5.43899593']
84,['1.30932554']
85,"['14.41445754', '4.00504574']"
86,['1.29142435']
87,['0.00987463']
88,['0.01198357']
89,['1.27161541']
90,['1.25841684']
91,['0.01091652']
92,['1.25668180']
93,['1.24054532']
94,['0.84040884']
95,['1.92921407']
96,['0.79627236']
97,['0.63132872']
98,['0.41699056']
99,['0.00845677']
100,['0.41022519']
101,['0.00552926']
102,['0.41008621']
103,['0.00831779']
104,['0.92907759']
105,"['0.00774103', '0.00539028']"
106,['0.40994776']
107,['0.01250191']
108,"['6.84288194', '0.01246026', '0.00800000', '0.00981188']"
109,['0.01236661']
110,['0.01203298']
111,['0.40734102']
112,['0.01190156']
113,['0.40156589']
114,['0.01177014']
115,['0.39579090']
116,['0.01163872']
117,['0.39001597']
118,['0.38424105']
119,['0.38257807']
120,['0.36388925']
121,['0.01150730']
122,['0.35811444']
123,['0.01137619']
124,['0.35233979']
125,['0.34656514']
126,['0.01124508']
127,['0.01111397']
128,['0.34079033']
129,['0.01098286']
130,['0.33501572']
131,['0.01085175']
132,['0.32924109']
133,['0.01072064']
134,['0.32346663']
135,['0.01058984']
136,['0.31769228']
137,['0.01045904']
138,['0.31191780']
139,['0.30614348']
140,['0.01032824']
141,['0.01019744']
142,['0.30036912']
143,['0.29459483']
144,['0.29446403']
145,['0.29173488']
146,['0.28153923']
147,"['0.00048151', '8.84991102', '0.00007230', '0.01114421', '0.92872722', '0.01100000']"
148,['0.27184272']
149,['0.22171762']
150,['4.98245359']
151,['4.98232467']
152,['0.01000660']
153,['0.21117068']
154,['0.21104267']
155,['0.20575339']
156,['4.98080616']
157,['3.05505539']
158,['0.01006664']
159,['0.19326590']
160,['1.12955468']
161,['1.12425897']
162,['0.19313820']
163,['1.12261160']
164,['0.16542628']
165,"['0.00987859', '0.00993878']"
166,['0.09217139']
167,['0.08642902']
168,['0.07674092']
169,['0.30237257']
170,['0.22974537']
171,"['0.00520488', '0.15541744', '0.00017460', '0.10000000']"
172,"['4.59877152', '0.02865437']"
173,['0.01200073']
174,['4.39978691']
175,['4.35663338']
176,['4.35388453']
177,['4.35160284']
178,['4.21608576']
179,['4.20915106']
180,['4.19705972']
181,"['0.37317718', '0.00503431', '0.97339885', '0.02640675', '3.66163579', '0.09807589', '0.13066032', '0.01187887']"
182,"['0.02404671', '0.00564905', '0.00564910']"
183,['0.02314648']
184,['0.02255618']
185,"['0.00564900', '0.02776271', '0.01780841', '0.00664516', '0.00569945', '9.74076245', '0.00300000', '0.00564906', '0.00445000', '0.03700000', '0.00008996']"
186,['9.62071344']
187,['9.62059462']
188,['9.50840853']
189,['9.50687973']
190,['9.50410093']
191,['9.50073413']
192,['8.51909528']
193,['8.51756593']
194,['7.54017273']
195,['7.53739393']
196,['6.56283368']
197,['6.55905433']
198,['5.58832433']
199,['5.58654453']
200,['4.61764848']
201,['4.61486813']
202,['3.64880493']
203,['3.64652458']
204,['2.68279318']
205,['2.67976338']
206,['2.67698358']
207,['1.71916953']
208,['1.71772273']
209,['218.32762463']
210,['0.08391344']
211,['218.21236318']
212,['0.05273183']
213,['218.16158207']
214,['0.05846990']
215,['218.06433620']
216,['0.76688393']
217,['217.97192201']
218,['0.73085593']
219,"['0.07811508', '0.52927182']"
220,['217.73420270']
221,"['0.07806148', '0.00519207', '0.16560971', '0.02015838', '0.14852427', '0.00663588', '0.44166439']"
222,"['0.00405736', '0.00171973', '216.70288719']"
223,"['0.03596880', '0.00530900', '0.00664104', '0.98777725']"
224,['0.01986033']
225,['0.69790319']
226,['216.61335920']
227,['0.02232910']
228,['216.27567643']
229,['216.26599034']
230,"['0.01004982', '0.02021198']"
231,"['0.00331542', '216.18025331', '0.00166700']"
232,['0.39026108']
233,['0.06295674']
234,['0.26119917']
235,['216.04578099']
236,['0.19543437']
237,['201.37638461']
238,['0.01200427']
239,['201.37131581']
240,['0.03066605']
241,['200.42893376']
242,['0.02780225']
243,['0.01278687']
244,['199.48946911']
245,['0.65495177']
246,['198.55558866']
247,['0.01134007']
248,['0.01055747']
249,['197.62462661']
250,['196.69991836']
251,['0.06814875']
252,['195.77671151']
253,['194.85650706']
254,"['0.00989327', '0.01401991', '0.93526805']"
255,['0.01022784']
256,['0.65208697']
257,['193.39105365']
258,['191.19288916']
259,['191.19172737']
260,['0.85409354']
261,['0.47023458']
262,['0.84855874']
263,['0.02160007']
264,['0.94889205']
265,['0.01168193']
266,['0.81862274']
267,['0.01011790']
268,"['0.00107900', '0.00729854']"
269,['190.26835272']
270,['0.02377045']
271,['190.26823711']
272,['0.06519995']
273,['0.58557313']
274,['190.26812150']
275,['0.01000204']
276,"['0.00511150', '0.00988686']"
277,['0.01506981']
278,['0.06508434']
279,['0.57615725']
280,['0.01495463']
281,['0.01484236']
282,['0.19443154']
283,['0.01473009']
284,['215.84856363']
285,"['0.18539863', '190.26800589']"
286,['189.52560546']
287,['0.01461782']
288,['0.06005432']
289,['0.01450596']
290,['0.01439410']
291,['0.05127244']
292,['0.01428224']
293,['0.92071811']
294,['189.51686625']
295,['0.91533940']
296,['0.13975914']
297,['0.01295217']
298,['187.74084328']
299,['0.73871743']
300,['0.01064425']
301,['0.96053465']
302,['0.01053487']
303,['0.08965434']
304,['0.01042549']
305,"['0.00564896', '0.00020000']"
306,['0.08383828']
307,['0.01031611']
308,['0.07802239']
309,['0.71244280']
310,['0.07220639']
311,['0.01020673']
312,['215.83264933']
313,['0.70662715']
314,['0.01080994']
315,"['0.01008063', '0.00585767']"
316,['0.01070082']
317,['0.01742000']
318,['0.95620085']
319,['0.01059170']
320,['0.70081137']
321,['187.73139632']
322,['0.01048258']
323,['0.01037346']
324,['0.01026434']
325,"['0.01009761', '0.01007336']"
326,['0.69499562']
327,['0.01015522']
328,['0.06639063']
329,['0.01430591']
330,['0.01160424']
331,"['0.01004610', '0.00849048']"
332,['0.01149538']
333,['0.01138652']
334,['0.01267197']
335,['0.01256311']
336,['0.95038503']
337,['0.01245425']
338,['0.95471858']
339,['0.95460972']
340,['0.05907852']
341,['0.03264680']
342,['1.88735794']
343,['1.87059437']
