----BEGIN SIMULATION RESULTS----
Scenario: sim_data.csv
| Scenario File | Current Balance | Mean #UTXO | Current #UTXO | #Deposits | #Inputs Spent | #Withdraws | #Uneconomical outputs spent | #Change Created | #Changeless | Min Change Value | Max Change Value | Mean Change Value | Std. Dev. of Change Value | Total Fees | Mean Fees per Withdraw | Cost to Empty | Total Cost | Min Input Size | Max Input Size | Mean Input Size | Std. Dev. of Input Size | BnB Usage | SRD Usage | Knapsack Usage | #BnB no change | #SRD no change | #Knapsack no change |
| sim_data.csv | 0.10000000 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -6.80000000E-7 | -6.80000000E-7 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
| sim_data.csv | 636.11885537 | 42.0560000000 | 91 | 179 | 401 | 321 | 3 | 312 | 9 | 0.00511150 | 215.83264933 | 14.9299282989 | 50.0121324965 | 0.04921029 | 0.000153303084112 | -0.0000618800000 | 0.0491484100000 | 1 | 12 | 1.24922118380 | 1.14572889640 | 9 | 82 | 230 | 9 | 0 | 0 |
| sim_data.csv | 626.47587550 | 99.0380000000 | 220 | 341 | 762 | 659 | 3 | 640 | 19 | 0.00511150 | 215.83264933 | 26.0768552116 | 63.1922005862 | 0.08294887 | 0.000125870819423 | -0.000149600000 | 0.082799270000 | 1 | 12 | 1.15629742033 | 0.825966658241 | 19 | 199 | 441 | 19 | 0 | 0 |
| sim_data.csv | 683.25189534 | 155.998000000 | 309 | 511 | 1126 | 989 | 3 | 923 | 66 | 0.00501913 | 216.02756213 | 34.5725857680 | 71.5138281428 | 0.11288373 | 0.000114139261881 | -0.000210120000 | 0.112673610000 | 1 | 12 | 1.13852376138 | 0.697031186092 | 66 | 369 | 554 | 66 | 0 | 0 |
| sim_data.csv | 201.74427721 | 188.613500000 | 208 | 671 | 1638 | 1329 | 3 | 1174 | 155 | 0.00501913 | 224.92176707 | 32.0209877976 | 68.0863233622 | 0.14262420 | 0.000107316930023 | -0.000141440000 | 0.142482760000 | 1 | 27 | 1.23250564334 | 1.02129279497 | 155 | 548 | 626 | 155 | 0 | 0 |
| sim_data.csv | 123.56216762 | 201.833200000 | 304 | 840 | 2024 | 1660 | 3 | 1487 | 173 | 0.00501913 | 224.92176707 | 43.3444938195 | 72.4743861435 | 0.16809525 | 0.000101262198795 | -0.000206720000 | 0.167888530000 | 1 | 27 | 1.21927710843 | 0.943293683428 | 173 | 710 | 777 | 173 | 0 | 0 |
| sim_data.csv | 90.96200225 | 215.523666667 | 295 | 1016 | 2504 | 1984 | 3 | 1782 | 202 | 0.00501913 | 224.92176707 | 38.4801177021 | 67.7173374798 | 0.19421648 | 0.0000978913709677 | -0.000200600000 | 0.194015880000 | 1 | 63 | 1.26209677419 | 1.76102673677 | 202 | 806 | 976 | 202 | 0 | 0 |
| sim_data.csv | 199.97671011 | 226.108285714 | 194 | 1192 | 3071 | 2308 | 3 | 2072 | 236 | 0.00501913 | 224.92176707 | 34.1466544459 | 63.9437773672 | 0.21807634 | 0.0000944871490468 | -0.000131920000 | 0.217944420000 | 1 | 90 | 1.33058925477 | 2.53802981030 | 236 | 913 | 1159 | 236 | 0 | 0 |
| sim_data.csv | 158.82589390 | 216.242750000 | 163 | 1360 | 3581 | 2640 | 3 | 2383 | 257 | 0.00501913 | 224.92176707 | 31.2177506835 | 60.5039864954 | 0.23537959 | 0.0000891589356061 | -0.000110840000 | 0.235268750000 | 1 | 90 | 1.35643939394 | 2.60814523612 | 257 | 948 | 1435 | 257 | 0 | 0 |
| sim_data.csv | 8.90843046 | 211.032888889 | 33 | 1526 | 4183 | 2974 | 3 | 2689 | 285 | 0.00501913 | 224.92176707 | 29.5363813084 | 57.5671085845 | 0.24973641 | 0.0000839732380632 | -0.0000224400000 | 0.249713970000 | 1 | 90 | 1.40652320108 | 3.07871360263 | 285 | 988 | 1701 | 285 | 0 | 0 |
