id,input_amounts
0,['0.00046000']
1,['0.10000000']
2,['0.09950495']
3,['0.09918192']
4,['0.09886031']
5,['0.09591190']
6,['5.73004593']
7,['1.91285970']
8,['0.09509449']
9,['0.09480262']
10,['0.06472062']
11,['2.98592356']
12,['0.80435539']
13,['0.02948222']
14,['0.77303701']
15,['0.02920244']
16,['0.67811457']
17,['0.01229062']
18,['0.66966918']
19,['0.66344713']
20,"['1.09288664', '0.65722508']"
21,['0.57415759']
22,['0.56428636']
23,"['0.00131873', '0.03300516', '2.35830000', '0.15234500', '0.01040000']"
24,['0.55255826']
25,['0.49535766']
26,['0.49315179']
27,['0.22363197']
28,['0.01108336']
29,['0.01088735']
30,['0.09292512']
31,['0.08580277']
32,['0.01055770']
33,['0.08345222']
34,['0.01034895']
35,['1.90849589']
36,['0.07155807']
37,['0.06944956']
38,['0.06794687']
39,['0.06774883']
40,['0.06556848']
41,['0.06536360']
42,['0.06382739']
43,['0.06362901']
44,['1.32740349']
45,['7.14130000']
46,['1.11058355']
47,['0.02174650']
48,['0.02092971']
49,['1.03890003']
50,['0.00380708']
51,['0.00014333']
52,['1.00043125']
53,['0.01648519']
54,['0.55348779']
55,['0.01631877']
56,['0.10705015']
57,['4.54890626']
58,"['0.01004380', '0.01345780']"
59,['4.42974988']
60,['4.40959559']
61,['0.01615271']
62,['2.58506210']
63,['2.38491603']
64,['2.28536997']
65,['2.26726390']
66,['2.25230010']
67,['0.01058203']
68,['0.01043493']
69,['2.22384824']
70,['1.96470466']
71,['0.02373376']
72,"['0.09807589', '24.38491900', '0.01028783']"
73,['24.18927047']
74,['23.82664047']
75,['17.74351241']
76,['17.72148000']
77,['9.76592463']
78,['4.85868499']
79,"['0.13033016', '0.27780364', '0.13066032', '0.37801960', '0.49900000', '0.00934461', '0.13000000', '0.13016508', '0.09136964', '36.38510000']"
80,['0.28280218']
81,['0.27285354']
82,['4.80999699']
83,['4.19609513']
84,['0.21035958']
85,"['14.41445754', '2.25683172']"
86,['0.18100005']
87,['0.19245839']
88,['0.01154726']
89,['0.16119111']
90,['2.76214494']
91,['0.14799254']
92,['0.14553279']
93,['2.76040990']
94,['0.12939631']
95,['2.36027342']
96,['0.18258959']
97,['1.36013694']
98,['0.01764595']
99,['0.01048021']
100,['0.01034123']
101,['0.01020225']
102,['0.01070643']
103,['0.01088058']
104,['0.01056798']
105,['0.01030382']
106,['1.14579878']
107,['0.01021761']
108,"['0.26384898', '0.00981188', '0.37317718', '0.00445000', '1.14319204', '0.08525983', '0.01114421']"
109,['8.84991102']
110,['8.84957739']
111,['0.01413500']
112,['0.01006327']
113,"['0.00564908', '0.00017460']"
114,['0.00835987']
115,"['0.00822845', '0.00973641']"
116,['0.01213008']
117,"['0.01008231', '0.00993185']"
118,['0.01199866']
119,['8.84944597']
120,['8.83075715']
121,['0.01033568']
122,"['0.01020457', '0.01417939']"
123,['0.01854961']
124,['0.01841850']
125,['8.82498234']
126,['0.01264385']
127,['0.01251274']
128,['8.81920753']
129,['0.01238163']
130,['8.81343292']
131,['0.01225052']
132,['8.80765829']
133,['0.01211941']
134,['8.80188383']
135,['0.01198861']
136,['8.79610948']
137,['0.01185781']
138,['8.79033500']
139,['8.78456068']
140,['0.01172701']
141,['0.01159621']
142,['8.77878632']
143,['0.01146541']
144,['8.77301203']
145,['8.77028288']
146,"['8.76008723', '0.01133461']"
147,"['6.84288194', '8.76166604']"
148,['5.81345590']
149,['5.76333080']
150,['5.75278386']
151,['5.75265494']
152,['5.75113643']
153,['5.75100842']
154,['5.75088041']
155,['5.74559113']
156,['5.73310364']
157,['3.80735287']
158,['1.88185216']
159,['1.88172430']
160,['1.88159660']
161,['1.87630089']
162,['1.87465352']
163,['1.84694160']
164,['1.02670257']
165,['0.95344768']
166,['0.94568784']
167,['0.93994547']
168,['0.93025737']
169,['0.88217082']
170,['0.80954362']
171,['0.73521569']
172,['0.47456329']
173,['0.24697963']
174,['0.24685777']
175,['0.20370424']
176,['0.20095539']
177,['0.19867370']
178,['0.06315662']
179,['0.05622192']
180,"['0.00331542', '0.00663588', '9.74076245']"
181,['9.21517998']
182,['0.04413058']
183,['0.03204204']
184,['0.03145174']
185,['3.93529753']
186,['0.02670397']
187,['3.70203906']
188,['0.02658515']
189,['0.02505635']
190,['0.02227755']
191,['3.58985297']
192,['0.01891075']
193,['2.60821412']
194,['0.01738140']
195,['1.63082092']
196,['0.01460260']
197,"['0.65626067', '0.02900000', '0.00569945', '0.14852427', '0.10000000', '0.03152186']"
198,"['0.00171973', '0.00008996']"
199,"['0.00519207', '0.00048151', '0.97339885']"
200,['0.01082325']
201,['0.97886225']
202,['0.01279905']
203,['0.98494485']
204,['0.00804290']
205,['0.01051870']
206,['0.98777725']
207,['0.01006838']
208,"['0.96053465', '0.00102730']"
209,['218.32762463']
210,"['0.00564905', '0.04657040']"
211,['218.21236318']
212,"['0.02996320', '0.01066929']"
213,['218.16158207']
214,"['0.03700000', '0.00166700']"
215,['218.06433620']
216,"['0.05846990', '0.02021198']"
217,['217.97192201']
218,"['0.02121345', '0.00664104', '0.08391344', '0.08385984', '0.00615171']"
219,"['0.00664207', '0.07811508', '0.07806148', '0.00300000']"
220,['217.73420270']
221,['0.94889205']
222,"['0.00107900', '0.00520488', '216.70288719']"
223,"['0.16560971', '0.08335210', '0.02640675', '0.05841630', '0.00405736']"
224,['0.02098424']
225,"['0.04260028', '0.01055661']"
226,['216.61335920']
227,"['0.01135175', '0.01017616']"
228,['216.27567643']
229,['216.26599034']
230,['0.08486806']
231,"['216.18025331', '0.00501310']"
232,"['0.06814875', '0.06295674', '0.00862158']"
233,"['0.01015187', '0.03123869']"
234,['0.39026108']
235,['216.04578099']
236,['0.32449628']
237,['0.01055664']
238,['0.01020324']
239,['201.37638461']
240,['0.03596880']
241,['200.43400256']
242,['0.01100000']
243,['0.00696820']
244,['199.49453791']
245,"['0.00548784', '0.00773890']"
246,['198.56065746']
247,['197.62969541']
248,['0.06744673']
249,['197.62824861']
250,['196.70354036']
251,['0.06274693']
252,['195.78033351']
253,['194.86012906']
254,"['0.00552140', '0.15972796']"
255,['0.01030834']
256,['193.39467565']
257,['193.21282326']
258,['191.01465877']
259,['191.01349698']
260,['0.06021607']
261,['190.09012233']
262,['0.05468127']
263,['0.02474527']
264,"['0.03310500', '0.00737904']"
265,['0.05979813']
266,['189.75964689']
267,['0.01114948']
268,['0.05322770']
269,['0.01103362']
270,['0.04489159']
271,['0.01091801']
272,['0.01080240']
273,"['0.01225692', '0.00875644']"
274,['0.01068679']
275,['0.01057118']
276,['189.52659728']
277,['0.01045600']
278,['0.01154514']
279,['189.52173169']
280,['0.01034082']
281,['0.01022855']
282,['0.03619095']
283,['0.01011628']
284,['0.02715804']
285,['189.14000598']
286,"['0.00346807', '0.00530900']"
287,['0.01124374']
288,['188.21225762']
289,['0.01113188']
290,['0.01102002']
291,['188.20347574']
292,['0.01482713']
293,['216.03046962']
294,['188.16301324']
295,['186.38699027']
296,['186.21036830']
297,['0.01349706']
298,"['0.01090816', '0.01000401']"
299,['186.16026350']
300,['0.01118914']
301,['0.01141563']
302,['0.01107976']
303,"['0.00020000', '0.00564896']"
304,['0.01097038']
305,['0.03442858']
306,['216.02509091']
307,['0.01086100']
308,['186.13398887']
309,['216.01927502']
310,"['0.00559956', '0.01075162']"
311,['0.01048616']
312,['0.01514497']
313,['0.93526805']
314,['0.01037704']
315,"['0.01026792', '0.00651512']"
316,['0.01091810']
317,['186.12817287']
318,['216.01345937']
319,['0.01080898']
320,"['0.00932917', '0.01069986']"
321,['0.01416402']
322,['0.01019169']
323,['0.02861264']
324,['0.02850352']
325,['0.02839440']
326,['0.02257860']
327,['0.01676280']
328,['0.92945227']
329,['0.01665368']
330,['0.01083825']
331,['186.12235711']
332,['0.01072939']
333,['0.02015838']
334,['0.01062053']
335,['0.01051167']
336,['0.92214016']
337,"['0.01008257', '0.01040281']"
338,['0.01434300']
339,['0.01423414']
340,['0.91632466']
341,"['0.00664516', '0.00866523']"
342,['216.00764355']
343,['0.01328463']
344,['0.01462075']
