id,input_amounts
0,['0.00046000']
1,['0.10000000']
2,['0.09950495']
3,['0.09918192']
4,['0.09886031']
5,['0.09591190']
6,['5.73004593']
7,['1.91285970']
8,['0.09509449']
9,['0.09480262']
10,['0.06472062']
11,['2.98592356']
12,['0.80435539']
13,['0.02948222']
14,['0.77303701']
15,['0.02920244']
16,['0.67811457']
17,['0.01229062']
18,['0.66966918']
19,['0.66344713']
20,"['1.09288664', '0.65722508']"
21,['0.57415759']
22,['0.56428636']
23,['2.35830000']
24,['0.55255826']
25,['0.49535766']
26,['0.49315179']
27,['0.22363197']
28,['0.01108336']
29,['0.01088735']
30,['0.09292512']
31,['0.08580277']
32,['0.01055770']
33,['0.08345222']
34,['0.01034895']
35,['1.71183350']
36,['0.07155807']
37,['0.06944956']
38,['0.06794687']
39,['0.06774883']
40,['0.06556848']
41,['0.06536360']
42,['0.06382739']
43,['0.06362901']
44,['1.13074110']
45,['7.14130000']
46,['0.91392116']
47,['0.02174650']
48,['0.02092971']
49,['0.84223764']
50,['0.00380708']
51,['0.00014333']
52,['0.80376886']
53,['0.01648519']
54,['4.54890626']
55,['0.01631877']
56,['0.35682540']
57,['0.26323305']
58,['4.10246862']
59,['0.14407667']
60,['4.08962332']
61,['0.01615271']
62,['2.26508983']
63,['0.12392238']
64,['0.28280218']
65,['0.26469611']
66,"['0.01154726', '0.02437632', '0.01004380']"
67,['0.01737980']
68,['0.01723270']
69,['2.06494376']
70,"['0.24973231', '1.80580018']"
71,['0.11449432']
72,"['0.03300516', '0.13066032', '0.01040000', '0.13000000']"
73,"['0.00102730', '0.15234500', '0.01708560', '0.00131873', '0.00171973', '0.10146699', '0.09807589']"
74,['24.38491900']
75,['0.13033016']
76,['18.30179094']
77,['10.34623557']
78,['0.10829775']
79,"['36.38510000', '0.27780364', '0.13016508', '0.03442858', '0.00007230', '0.49900000', '2.25683172', '0.00934461']"
80,['0.05960975']
81,['1.43107006']
82,['1.36857610']
83,['5.43899593']
84,['0.04966111']
85,"['4.00504574', '14.41445754']"
86,['0.03175992']
87,"['0.01000324', '0.01195098']"
88,['0.01201994']
89,['0.75467424']
90,['0.74147567']
91,['0.73974063']
92,['0.73728088']
93,['0.72114440']
94,['0.32100792']
95,['1.92921407']
96,['0.27687144']
97,['0.92907759']
98,['0.11192780']
99,['0.01095289']
100,['0.01081391']
101,['0.01067493']
102,['0.01053595']
103,['0.10516243']
104,['0.01039750']
105,['0.10458567']
106,['0.10401826']
107,['0.10141152']
108,"['0.71473943', '0.00664104', '0.10127622', '0.01004713', '0.00405736', '0.37801960', '0.03123869', '0.00800000', '0.26384898', '0.37317718']"
109,['0.00981188']
110,['0.00947825']
111,['0.00934683']
112,['0.00357170']
113,['0.09136964']
114,['0.08559465']
115,['0.08546323']
116,['0.07968830']
117,['0.07955688']
118,['0.07378196']
119,['0.07211898']
120,['0.05343016']
121,['0.04765535']
122,['0.04752424']
123,['0.04174959']
124,['0.04161848']
125,['0.03584383']
126,['0.03006902']
127,['0.02993791']
128,['0.02980680']
129,['0.02403219']
130,['0.02390108']
131,['0.01812645']
132,['0.01799534']
133,['0.01222088']
134,['0.01209008']
135,['0.00344028']
136,['0.00631573']
137,"['0.00564896', '0.00048151']"
138,"['0.00564900', '0.00017460']"
139,['0.00594012']
140,['0.00016576']
141,['0.01246026']
142,"['0.00330948', '0.00054125', '0.01232946']"
143,['0.01028590']
144,['0.01015510']
145,"['0.00615171', '0.01413500']"
146,['6.84288194']
147,"['6.83318543', '8.84991102']"
148,['5.89200437']
149,['5.84187927']
150,['0.01003176']
151,['5.83133233']
152,['5.82981382']
153,['5.82968581']
154,"['0.00990284', '0.00742595']"
155,['5.82955780']
156,['5.81707031']
157,['3.89131954']
158,['0.01198129']
159,['0.01185343']
160,['1.96581883']
161,['0.01172573']
162,['1.96052312']
163,['1.93281120']
164,['1.11257217']
165,['1.03931728']
166,['1.03155744']
167,['1.02581507']
168,['1.01612697']
169,['0.96804042']
170,['0.89541322']
171,['0.82108529']
172,['0.56043289']
173,['0.33284923']
174,['0.33272737']
175,['0.28957384']
176,['0.28682499']
177,['0.28454330']
178,['0.14902622']
179,['0.14209152']
180,"['0.00445000', '0.13000018', '0.03700000', '0.00632321', '9.74076245', '0.00569945', '0.00008996']"
181,['9.38857098']
182,['4.10868853']
183,['4.09659999']
184,['4.09600969']
185,['4.09126192']
186,['3.85800345']
187,['3.85788463']
188,['3.74569854']
189,['3.74416974']
190,['3.74139094']
191,['3.73802414']
192,['2.75638529']
193,['2.75485594']
194,['1.77746274']
195,['1.77468394']
196,['0.80012369']
197,"['4.59877152', '0.00564908']"
198,['0.79634434']
199,['3.63363673']
200,['0.79456454']
201,['2.66474068']
202,['0.79178419']
203,['1.69867748']
204,['0.73494608']
205,['0.73191628']
206,"['0.72913648', '0.78950384']"
207,['0.56077267']
208,"['0.04657040', '0.02776271', '0.00664207', '0.00564914', '0.01007836', '0.98494485']"
209,['218.32762463']
210,['0.08391344']
211,['218.21236318']
212,['0.05273183']
213,['218.16158207']
214,['0.05846990']
215,['218.06433620']
216,['0.55932587']
217,['217.97192201']
218,"['0.14852427', '0.02640675', '0.00663588', '0.02015838']"
219,"['0.52329787', '0.02021198']"
220,['217.73420270']
221,"['0.98777725', '0.01986033', '0.02404671']"
222,"['216.70288719', '0.00503431', '0.00107900']"
223,"['0.02232910', '0.00003496', '0.16560971', '0.16603582']"
224,['0.01621669']
225,['0.07811508']
226,['216.61335920']
227,['0.03516366']
228,['216.27567643']
229,['216.26599034']
230,['0.06295674']
231,"['216.18025331', '0.00166700', '0.00331542']"
232,['0.39026108']
233,"['0.02483883', '0.13053703']"
234,['0.94889205']
235,['216.04578099']
236,"['0.04553541', '0.26119917']"
237,['0.11396553']
238,['0.00658420']
239,"['0.06814875', '0.88312725', '0.00513740']"
240,['0.01392335']
241,['201.37638461']
242,['0.01105955']
243,['0.03596880']
244,['200.43691996']
245,['0.01011790']
246,['199.50303951']
247,['0.14191266']
248,['0.01471225']
249,['198.57207746']
250,['197.64736921']
251,['0.37778734']
252,['196.72416236']
253,['195.80395791']
254,"['0.10889673', '0.00702775']"
255,['0.03452200']
256,"['194.33850450', '0.00725310']"
257,['194.16385161']
258,['0.01089119']
259,['191.96568712']
260,['0.37483854']
261,['0.36930374']
262,['0.93526805']
263,['0.90533205']
264,['0.03882830']
265,['0.89541391']
266,['0.88884348']
267,['0.01038604']
268,['0.03159270']
269,['0.01027018']
270,['0.02325659']
271,['0.01015457']
272,['0.01065436']
273,['0.14046586']
274,['0.01053875']
275,['0.01042314']
276,['0.01030796']
277,['0.01455595']
278,['0.13104998']
279,['0.65579387']
280,['0.01444077']
281,['0.01432850']
282,"['0.00020000', '0.00887813']"
283,['0.01421623']
284,['0.88546770']
285,"['0.86955340', '0.12601996']"
286,['0.06777430']
287,['0.01410396']
288,"['0.00544237', '0.01399210']"
289,['0.01060204']
290,['0.01049018']
291,['0.05903509']
292,['0.01857259']
293,['0.01724252']
294,['191.04231247']
295,['0.27406816']
296,['0.09744619']
297,['189.26628950']
298,"['0.01001245', '0.00972940']"
299,"['0.01100000', '0.00133500', '0.01401991']"
300,['0.01024531']
301,"['0.01013593', '0.01003896']"
302,['0.01037832']
303,['0.01430945']
304,['0.01026894']
305,['0.92934885']
306,"['0.00849339', '0.01015956']"
307,['0.01186381']
308,['0.01175443']
309,['0.04734139']
310,['0.92353291']
311,['0.01278769']
312,['0.04152574']
313,['0.03570994']
314,['0.01267857']
315,['189.26398158']
316,['0.01256945']
317,['0.91771715']
318,['0.02989416']
319,['0.01246033']
320,"['0.01235121', '0.00593843']"
321,['0.02407834']
322,['0.01242463']
323,['0.01231551']
324,['0.01220639']
325,['0.02010601']
326,['189.25816590']
327,['0.01209727']
328,['0.91190139']
329,['0.01198815']
330,['0.01429021']
331,['189.25235010']
332,['0.01418135']
333,['0.01407249']
334,['0.90458928']
335,['0.90448042']
336,['0.90437156']
337,['0.89855606']
338,['0.00617272']
339,['0.00606386']
340,['0.89274057']
341,['0.86630885']
342,['0.85103514']
343,['189.24653463']
