----BEGIN SIMULATION RESULTS----
Scenario: sim_data.csv
| Scenario File | Current Balance | Mean #UTXO | Current #UTXO | #Deposits | #Inputs Spent | #Withdraws | #Uneconomical outputs spent | #Change Created | #Changeless | Min Change Value | Max Change Value | Mean Change Value | Std. Dev. of Change Value | Total Fees | Mean Fees per Withdraw | Cost to Empty | Total Cost | Min Input Size | Max Input Size | Mean Input Size | Std. Dev. of Input Size | BnB Usage | SRD Usage | Knapsack Usage | #BnB no change | #SRD no change | #Knapsack no change |
| sim_data.csv | 0.10000000 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -6.80000000E-7 | -6.80000000E-7 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
| sim_data.csv | 636.11934351 | 45.6780000000 | 92 | 179 | 400 | 321 | 1 | 312 | 9 | 0.00003496 | 201.37638461 | 9.52556826811 | 40.3056314015 | 0.04872215 | 0.000151782398754 | -0.0000625600000 | 0.0486595900000 | 1 | 10 | 1.24610591900 | 0.944652105934 | 9 | 63 | 249 | 9 | 0 | 0 |
| sim_data.csv | 626.47658305 | 103.210000000 | 227 | 341 | 756 | 659 | 1 | 641 | 18 | 0.00003496 | 215.84530803 | 38.4253627274 | 69.6337310314 | 0.08224132 | 0.000124797147193 | -0.000154360000 | 0.082086960000 | 1 | 10 | 1.14719271624 | 0.693787353139 | 18 | 156 | 485 | 18 | 0 | 0 |
| sim_data.csv | 683.25151762 | 154.458666667 | 284 | 511 | 1148 | 989 | 1 | 920 | 69 | 0.00003496 | 249.98025666 | 35.0368176059 | 68.2937876794 | 0.11326145 | 0.000114521183013 | -0.000193120000 | 0.113068330000 | 1 | 10 | 1.16076845298 | 0.631043907292 | 69 | 366 | 554 | 69 | 0 | 0 |
| sim_data.csv | 201.74620882 | 190.688500000 | 292 | 671 | 1585 | 1329 | 1 | 1205 | 124 | 0.00003496 | 249.98025666 | 42.2026473994 | 74.7015928894 | 0.14069259 | 0.000105863498871 | -0.000198560000 | 0.140494030000 | 1 | 20 | 1.19262603461 | 0.818961901273 | 124 | 513 | 692 | 124 | 0 | 0 |
| sim_data.csv | 123.56264846 | 205.642800000 | 301 | 840 | 2023 | 1660 | 1 | 1483 | 177 | 0.00003496 | 249.98025666 | 51.9048124026 | 76.1414053491 | 0.16761441 | 0.000100972536145 | -0.000204680000 | 0.167409730000 | 1 | 20 | 1.21867469880 | 0.813397863651 | 177 | 687 | 796 | 177 | 0 | 0 |
| sim_data.csv | 90.96481680 | 222.889000000 | 336 | 1016 | 2442 | 1984 | 1 | 1761 | 223 | 0.00003496 | 249.98025666 | 44.6656539552 | 72.1667265812 | 0.19140193 | 0.0000964727469758 | -0.000228480000 | 0.191173450000 | 1 | 20 | 1.23084677419 | 0.817814812648 | 223 | 826 | 935 | 223 | 0 | 0 |
| sim_data.csv | 199.97913247 | 229.652285714 | 141 | 1192 | 3089 | 2308 | 1 | 2037 | 271 | 0.00003496 | 271.59241550 | 40.0089366046 | 69.4048613925 | 0.21565398 | 0.0000934375996534 | -0.0000958800000 | 0.215558100000 | 1 | 101 | 1.33838821490 | 2.55216226132 | 270 | 985 | 1053 | 270 | 0 | 1 |
| sim_data.csv | 158.82867347 | 216.980750000 | 142 | 1360 | 3573 | 2640 | 1 | 2354 | 286 | 0.00003496 | 271.59241550 | 36.3226621458 | 65.6502432999 | 0.23260002 | 0.0000881060681818 | -0.0000965600000 | 0.232503460000 | 1 | 101 | 1.35340909091 | 2.76825432838 | 285 | 1012 | 1343 | 285 | 0 | 1 |
| sim_data.csv | 8.91169669 | 211.608000000 | 33 | 1526 | 4154 | 2974 | 1 | 2660 | 314 | 0.00003496 | 271.59241550 | 34.0589168498 | 62.3868492097 | 0.24647018 | 0.0000828749764627 | -0.0000224400000 | 0.246447740000 | 1 | 101 | 1.39677202421 | 3.35808881882 | 313 | 1041 | 1620 | 313 | 0 | 1 |
| sim_data.csv | 13.04070604 | 197.118400000 | 134 | 1705 | 4545 | 3295 | 1 | 2973 | 322 | 0.00003496 | 271.59241550 | 30.6526261491 | 59.8416711779 | 0.25380646 | 0.0000770277572079 | -0.0000911200000 | 0.253715340000 | 1 | 101 | 1.37936267071 | 3.22331163646 | 321 | 1057 | 1917 | 321 | 0 | 1 |
| sim_data.csv | 5.42951228 | 186.468181818 | 11 | 1878 | 5110 | 3622 | 1 | 3242 | 380 | 0.00003496 | 271.59241550 | 28.2834152354 | 57.8468175025 | 0.25883707 | 0.0000714624710105 | -0.00000748000000 | 0.258829590000 | 1 | 101 | 1.41082274986 | 3.14365155253 | 379 | 1068 | 2175 | 379 | 0 | 1 |
| sim_data.csv | 5.00490262 | 171.559333333 | 7 | 2074 | 5613 | 3925 | 1 | 3545 | 380 | 0.00003496 | 271.59241550 | 25.9131104602 | 55.8599951581 | 0.26191515 | 0.0000667299745223 | -0.00000476000000 | 0.261910390000 | 1 | 101 | 1.43006369427 | 3.02815754970 | 379 | 1095 | 2451 | 379 | 0 | 1 |
| sim_data.csv | 2.89576705 | 159.978461538 | 9 | 2243 | 6104 | 4256 | 1 | 3869 | 387 | 0.00003496 | 271.59241550 | 23.7865763293 | 53.9305047410 | 0.27236289 | 0.0000639950399436 | -0.00000612000000 | 0.272356770000 | 1 | 101 | 1.43421052632 | 2.93396091694 | 386 | 1143 | 2727 | 386 | 0 | 1 |
| sim_data.csv | 0.87841196 | 150.263857143 | 9 | 2418 | 6595 | 4581 | 1 | 4185 | 396 | 0.00003496 | 271.59241550 | 22.3641136694 | 52.1250560452 | 0.27671756 | 0.0000604054922506 | -0.00000612000000 | 0.276711440000 | 1 | 101 | 1.43964199956 | 2.86305181988 | 395 | 1169 | 3017 | 395 | 0 | 1 |
| sim_data.csv | 282.90966431 | 143.923066667 | 116 | 2572 | 6981 | 4927 | 1 | 4524 | 403 | 0.00003496 | 271.59241550 | 22.0599993871 | 50.6096284113 | 0.32654191 | 0.0000662760117719 | -0.0000788800000 | 0.326463030000 | 1 | 101 | 1.41688654354 | 2.76460852570 | 402 | 1215 | 3310 | 402 | 0 | 1 |
| sim_data.csv | 343.09593297 | 142.274750000 | 98 | 2735 | 7437 | 5264 | 1 | 4799 | 465 | 0.00003496 | 271.59241550 | 20.9486078560 | 49.3591188753 | 0.35614628 | 0.0000676569680851 | -0.0000666400000 | 0.356079640000 | 1 | 101 | 1.41280395137 | 2.68400293382 | 464 | 1334 | 3466 | 464 | 0 | 1 |
| sim_data.csv | 265.71746434 | 140.346823529 | 112 | 2892 | 7865 | 5607 | 1 | 5084 | 523 | 0.00003496 | 271.59241550 | 20.9492592379 | 50.6682550735 | 0.38313104 | 0.0000683308435884 | -0.0000761600000 | 0.383054880000 | 1 | 101 | 1.40271089709 | 2.60582920444 | 522 | 1493 | 3592 | 522 | 0 | 1 |
| sim_data.csv | 19.93707370 | 141.278555556 | 158 | 3064 | 8290 | 5935 | 1 | 5383 | 552 | 0.00003496 | 271.59241550 | 21.9861644526 | 53.0332679330 | 0.40471484 | 0.0000681912114575 | -0.000107440000 | 0.404607400000 | 1 | 101 | 1.39679865206 | 2.56701678792 | 551 | 1609 | 3775 | 551 | 0 | 1 |
| sim_data.csv | 4.28153514 | 138.596315789 | 10 | 3230 | 8885 | 6269 | 1 | 5664 | 605 | 0.00003496 | 271.59241550 | 20.9118757247 | 51.9143245270 | 0.41324147 | 0.0000659182437390 | -0.00000680000000 | 0.413234670000 | 1 | 101 | 1.41729143404 | 2.53879803655 | 604 | 1665 | 4000 | 604 | 0 | 1 |
| sim_data.csv | 39.48234210 | 132.553200000 | 20 | 3404 | 9358 | 6595 | 1 | 5973 | 622 | 0.00003496 | 271.59241550 | 19.9421749583 | 50.7351278607 | 0.41965985 | 0.0000636330326005 | -0.0000136000000 | 0.419646250000 | 1 | 101 | 1.41895375284 | 2.49450201573 | 621 | 1711 | 4263 | 621 | 0 | 1 |
| sim_data.csv | 27.17841621 | 129.996857143 | 122 | 3570 | 9744 | 6929 | 1 | 6295 | 634 | 0.00003496 | 271.59241550 | 19.3224813066 | 49.5190357588 | 0.42541860 | 0.0000613968249387 | -0.0000829600000 | 0.425335640000 | 1 | 101 | 1.40626353009 | 2.44681794120 | 633 | 1719 | 4577 | 633 | 0 | 1 |
| sim_data.csv | 19.55752289 | 130.511272727 | 201 | 3730 | 10144 | 7269 | 1 | 6614 | 655 | 0.00003496 | 271.59241550 | 18.7389249704 | 48.3892107591 | 0.43127286 | 0.0000593304250929 | -0.000136680000 | 0.431136180000 | 1 | 101 | 1.39551520154 | 2.39713797532 | 654 | 1735 | 4880 | 654 | 0 | 1 |
| sim_data.csv | 18.12380443 | 131.769913043 | 73 | 3897 | 10706 | 7602 | 1 | 6881 | 721 | 0.00003009 | 271.59241550 | 18.0261036679 | 47.5735672632 | 0.43784796 | 0.0000575964167324 | -0.0000496400000 | 0.437798320000 | 1 | 101 | 1.40831360168 | 2.38142271183 | 720 | 1752 | 5130 | 720 | 0 | 1 |
| sim_data.csv | 15.53441720 | 128.329877080 | 56 | 4065 | 11151 | 7893 | 1 | 7141 | 752 | 0.00003009 | 271.59241550 | 17.3977889218 | 46.8114318650 | 0.44321730 | 0.0000561532117066 | -0.0000380800000 | 0.443179220000 | 1 | 101 | 1.41277080958 | 2.35682767359 | 751 | 1775 | 5367 | 751 | 0 | 1 |
----END SIMULATION RESULTS----


