id,input_amounts
0,['0.00046000']
1,['0.10000000']
2,['0.09950495']
3,['0.09918192']
4,['0.09886031']
5,['0.09591190']
6,['5.73004593']
7,['1.91285970']
8,['0.09509449']
9,['0.09480262']
10,['0.06472062']
11,['2.98592356']
12,['0.80435539']
13,['0.02948222']
14,['0.77303701']
15,['0.02920244']
16,['0.67811457']
17,['0.01229062']
18,['0.66966918']
19,['0.66344713']
20,"['0.65722508', '1.09288664']"
21,['0.57415759']
22,['0.56428636']
23,"['0.55255826', '0.00000546', '0.00000546', '0.00002184', '0.00380708', '0.09136964', '0.00934461']"
24,['7.14130000']
25,['0.01108336']
26,['7.08409940']
27,['6.81457958']
28,['6.68387273']
29,['0.00887749']
30,['6.68367672']
31,['0.00854784']
32,['0.01003685']
33,['6.67655437']
34,['0.01040000']
35,['6.66466022']
36,['0.01009485']
37,['0.00798634']
38,['0.00982810']
39,['0.01413500']
40,['0.01195465']
41,['0.01174977']
42,['0.01021356']
43,['6.08356782']
44,['6.04168531']
45,['5.82486537']
46,['3.23247163']
47,['0.00963006']
48,['0.03442858']
49,"['0.09807589', '0.01001518']"
50,['3.16078811']
51,['0.00014333']
52,['3.15695071']
53,['0.02998406']
54,['2.71000725']
55,['0.00648365']
56,"['2.26356961', '0.02981764']"
57,['2.19972059']
58,['0.06954382']
59,['0.05669852']
60,['2.08056421']
61,['0.25603072']
62,['0.25142527']
63,['0.15234500']
64,['0.03654423']
65,['0.05127920']
66,"['0.13066032', '0.00631759']"
67,['0.01843816']
68,['0.01829106']
69,['0.28280218']
70,['2.25683172']
71,['0.02365860']
72,['0.31586082']
73,"['0.00619729', '0.03123869', '0.00881327', '0.05279894', '0.26384898']"
74,['24.38491900']
75,['0.03631540']
76,['18.30179094']
77,['10.34623557']
78,['0.10845869']
79,"['36.38510000', '2.35830000']"
80,['0.58213113']
81,['5.43899593']
82,"['0.01198357', '5.37650197']"
83,['4.77451668']
84,['3.34056649']
85,"['14.41445754', '0.13000000', '0.00102730', '3.32266530', '8.84991102']"
86,"['0.00171973', '0.01814396']"
87,['10.22756795']
88,['0.01428299']
89,['10.21769915']
90,['0.01321594']
91,['0.01063127']
92,['0.05977069']
93,['0.57218249']
94,['0.17204601']
95,['10.20450058']
96,['0.37801960']
97,"['0.21307596', '0.00131873']"
98,['0.04363421']
99,['0.01148090']
100,['0.01134192']
101,['0.01120294']
102,['0.01106396']
103,['0.01092551']
104,['0.00817152']
105,['0.00782115']
106,['0.01034875']
107,['0.00725374']
108,['6.84288194']
109,['0.00774201']
110,['0.12790953']
111,['0.03686884']
112,['0.00711844']
113,['0.03109371']
114,['4.95236496']
115,['0.02531872']
116,['0.01954379']
117,['0.01941237']
118,['0.01363745']
119,['0.12777811']
120,['0.01246026']
121,['0.01197447']
122,['0.10908929']
123,['0.01184336']
124,['4.95223354']
125,['0.27780364']
126,['0.01171225']
127,['0.01158114']
128,"['0.00564900', '0.00017460']"
129,['0.01145003']
130,"['0.01131892', '0.00668545']"
131,['0.01217004']
132,"['0.01203893', '0.00698702']"
133,['0.01319194']
134,['0.10331464']
135,['0.01306114']
136,['0.27202883']
137,['0.01293034']
138,['9.20436410']
139,['0.26625435']
140,['0.01279954']
141,['0.01266874']
142,['9.19858978']
143,['0.01253794']
144,['4.94645889']
145,['0.09754029']
146,"['0.00740838', '0.01240714']"
147,"['9.19281549', '4.94372974']"
148,['0.08734464']
149,['0.03721954']
150,['0.02667260']
151,['0.02654368']
152,['0.02502517']
153,['0.02489716']
154,['0.02476915']
155,"['0.01005972', '0.01947987']"
156,['4.34545315']
157,['2.41970238']
158,['0.01699390']
159,['0.01686604']
160,['0.01673834']
161,['0.26047999']
162,['0.25883262']
163,"['0.02900000', '0.03700000', '0.00981188', '0.00800000', '0.00663588', '0.23112070', '0.49900000']"
164,['0.49420167']
165,['0.42094678']
166,['0.41318694']
167,['0.40744457']
168,['0.39775647']
169,['0.34966992']
170,['0.27704272']
171,['0.37317718']
172,"['0.11252478', '0.20271479']"
173,['0.01144263']
174,['0.08760059']
175,['0.04444706']
176,['0.04169821']
177,['4.59877152']
178,['0.03941652']
179,['0.03248182']
180,['4.46325444']
181,"['0.00520488', '0.00664104', '0.00008996', '0.13016508', '3.92783051', '0.97339885', '0.00664207', '0.10000000', '0.13033016']"
182,['0.02039048']
183,['0.01132077']
184,['0.01073047']
185,"['0.00564896', '0.01408371', '0.01114421', '0.00598270', '0.02776271', '0.04657040', '0.00632321', '0.00564905', '0.01100000', '0.02640675', '0.00503431', '0.02404671', '0.00519207', '0.03300516', '0.00615171']"
186,['0.00830194']
187,['0.14852427']
188,['0.03633818']
189,['0.03480938']
190,['0.03203058']
191,['9.74076245']
192,['0.02866378']
193,['8.75912360']
194,['0.02713443']
195,['7.78173040']
196,['0.02435563']
197,['6.80717015']
198,['0.02057628']
199,['5.83644015']
200,['0.01879648']
201,['4.86754410']
202,['0.01601613']
203,['3.90148090']
204,['0.01373578']
205,['2.93774950']
206,['2.93496970']
207,['0.01070598']
208,['1.97715565']
209,['218.32762463']
210,['0.08391344']
211,['218.21236318']
212,['0.05273183']
213,['218.16158207']
214,"['0.02232910', '0.02021198', '0.00818312']"
215,['218.06433620']
216,['0.05846990']
217,['217.97192201']
218,['1.02631685']
219,['0.82473274']
220,['217.73420270']
221,"['0.00331542', '0.98494485']"
222,"['0.00569945', '216.70288719']"
223,['0.94889205']
224,['0.02244190']
225,['0.07806148']
226,['216.61335920']
227,['0.61126233']
228,['216.27567643']
229,['216.26599034']
230,['0.06814875']
231,"['0.00048151', '0.00445000', '216.18025331']"
232,"['0.60093750', '0.01200663', '0.05072742']"
233,['0.07811508']
234,['0.08486806']
235,['216.04578099']
236,['201.37638461']
237,['0.01910326']
238,['0.01280941']
239,"['201.21161629', '0.30960000']"
240,['0.01403446']
241,"['0.05841630', '0.00300000', '0.98777725']"
242,['0.12266646']
243,['0.00925918']
244,"['0.00007230', '0.39026108', '0.53450112', '0.00519256', '0.00405736']"
245,['0.65906383']
246,"['0.16560971', '0.01136261', '0.06295674', '0.65619903', '0.03511006', '0.01002658']"
247,['0.01117066']
248,['0.03596880']
249,['200.57878064']
250,['199.65407239']
251,['198.73086554']
252,['198.72791674']
253,['197.80771229']
254,['196.34225888']
255,['0.00972386']
256,"['0.01006699', '196.23727919', '0.03675841']"
257,['196.10214420']
258,['0.10962090']
259,['193.90397971']
260,['0.11863466']
261,['192.98060506']
262,['0.11309986']
263,['0.08316386']
264,['0.07324572']
265,['192.65012962']
266,['192.64355919']
267,['0.03126900']
268,['0.03115314']
269,['0.10845911']
270,['0.02281703']
271,['0.01411639']
272,['0.01400078']
273,"['0.01388517', '0.00679456']"
274,['0.01121151']
275,['0.01109590']
276,['0.01003228']
277,['0.01098072']
278,"['0.00516669', '0.01086554']"
279,['192.41050958']
280,['0.01095088']
281,['0.01083861']
282,['0.04507178']
283,['0.01072634']
284,['0.03603887']
285,['192.02878387']
286,['0.02012457']
287,['0.01061407']
288,"['0.01138536', '0.00781238']"
289,['0.01036531']
290,['0.01025345']
291,['0.10834350']
292,['0.06788100']
293,['191.10103551']
294,['191.09565680']
295,['189.31963383']
296,['0.06655093']
297,['0.01644613']
298,"['0.01050221', '0.01014159']"
299,['189.14301186']
300,['0.01114726']
301,['0.01413821']
302,['0.01103788']
303,['0.02015838']
304,['0.01092850']
305,['0.01081912']
306,['0.94376965']
307,['0.01434232']
308,['189.11673723']
309,['0.97886225']
310,['0.01756400']
311,['0.01174824']
312,['0.97304660']
313,['189.11092123']
314,['0.01163912']
315,['189.10510545']
316,['0.01153000']
317,['189.09928977']
318,"['0.00020000', '0.00564906']"
319,['0.01142088']
320,['0.93795376']
321,['0.01423294']
322,['0.01026061']
323,['0.01015149']
324,['0.01131176']
325,"['0.01120264', '0.00500318']"
326,['189.09347401']
327,['0.01034076']
328,['189.08765821']
329,['189.08034610']
330,['0.01023164']
331,['0.96723080']
332,['0.01012278']
333,['0.01742000']
334,['0.01160462']
335,['0.01149576']
336,['189.07453067']
337,['0.01138690']
338,['0.01004237']
339,['0.96141533']
