----BEGIN SIMULATION RESULTS----
Scenario: sim_data.csv
| Scenario File | Current Balance | Mean #UTXO | Current #UTXO | #Deposits | #Inputs Spent | #Withdraws | #Uneconomical outputs spent | #Change Created | #Changeless | Min Change Value | Max Change Value | Mean Change Value | Std. Dev. of Change Value | Total Fees | Mean Fees per Withdraw | Cost to Empty | Total Cost | Min Input Size | Max Input Size | Mean Input Size | Std. Dev. of Input Size | BnB Usage | SRD Usage | Knapsack Usage | #BnB no change | #SRD no change | #Knapsack no change |
| sim_data.csv | 0.10000000 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -6.80000000E-7 | -6.80000000E-7 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
| sim_data.csv | 636.11887131 | 42.3200000000 | 85 | 179 | 405 | 321 | 3 | 310 | 11 | 0.00500318 | 201.37638461 | 16.6051077015 | 52.6854379720 | 0.04919435 | 0.000153253426791 | -0.0000578000000 | 0.0491365500000 | 1 | 15 | 1.26168224299 | 1.15382338822 | 11 | 107 | 203 | 11 | 0 | 0 |
| sim_data.csv | 626.47557145 | 94.4540000000 | 205 | 341 | 773 | 659 | 3 | 636 | 23 | 0.00500318 | 201.37638461 | 26.4107896301 | 60.9652947612 | 0.08325292 | 0.000126332200303 | -0.000139400000 | 0.083113520000 | 1 | 15 | 1.17298937785 | 0.848992976623 | 23 | 254 | 382 | 23 | 0 | 0 |
| sim_data.csv | 683.25058069 | 147.175333333 | 272 | 511 | 1162 | 989 | 3 | 922 | 67 | 0.00142121 | 201.37638461 | 30.2801881458 | 58.7662333117 | 0.11419838 | 0.000115468533873 | -0.000184960000 | 0.114013420000 | 1 | 15 | 1.17492416582 | 0.860007837805 | 67 | 322 | 600 | 67 | 0 | 0 |
| sim_data.csv | 201.74490465 | 178.045000000 | 258 | 671 | 1612 | 1329 | 3 | 1198 | 131 | 0.00142121 | 215.82441862 | 30.9945747517 | 60.3263835941 | 0.14199676 | 0.000106844815651 | -0.000175440000 | 0.141821320000 | 1 | 15 | 1.21294206170 | 0.853208595264 | 131 | 480 | 718 | 131 | 0 | 0 |
| sim_data.csv | 123.56100112 | 191.500800000 | 275 | 840 | 2055 | 1660 | 3 | 1489 | 171 | 0.00142121 | 215.82441862 | 35.8642564536 | 62.6804263217 | 0.16926175 | 0.000101964909639 | -0.000187000000 | 0.169074750000 | 1 | 15 | 1.23795180723 | 0.845157477058 | 171 | 654 | 835 | 171 | 0 | 0 |
| sim_data.csv | 90.96308344 | 207.193333333 | 316 | 1016 | 2475 | 1984 | 3 | 1774 | 210 | 0.00142121 | 215.82441862 | 31.6698830380 | 58.7593785974 | 0.19313529 | 0.0000973464163306 | -0.000214880000 | 0.192920410000 | 1 | 15 | 1.24747983871 | 0.859665874413 | 210 | 811 | 963 | 210 | 0 | 0 |
| sim_data.csv | 199.97756039 | 219.770000000 | 163 | 1192 | 3099 | 2308 | 3 | 2069 | 239 | 0.00142121 | 215.82441862 | 28.3018293806 | 55.2637029674 | 0.21722606 | 0.0000941187435009 | -0.000110840000 | 0.217115220000 | 1 | 90 | 1.34272097054 | 2.47955731331 | 239 | 915 | 1154 | 239 | 0 | 0 |
| sim_data.csv | 158.82628838 | 210.40625 | 158 | 1360 | 3589 | 2640 | 3 | 2386 | 254 | 0.00142121 | 215.82441862 | 27.0301066825 | 52.0881866516 | 0.23498511 | 0.0000890095113636 | -0.000107440000 | 0.234877670000 | 1 | 90 | 1.35946969697 | 2.56908068049 | 254 | 934 | 1452 | 254 | 0 | 0 |
| sim_data.csv | 8.90922751 | 206.356666667 | 24 | 1526 | 4194 | 2974 | 3 | 2691 | 283 | 0.00116280 | 215.82441862 | 25.4138795815 | 49.4023452495 | 0.24893936 | 0.0000837052320108 | -0.0000163200000 | 0.248923040000 | 1 | 107 | 1.41022192334 | 3.30150610595 | 283 | 956 | 1735 | 283 | 0 | 0 |
| sim_data.csv | 13.03822382 | 193.167000000 | 119 | 1705 | 4593 | 3295 | 3 | 3006 | 289 | 0.00116280 | 215.82441862 | 22.8731950170 | 47.3287584449 | 0.25628868 | 0.0000777810864947 | -0.0000809200000 | 0.256207760000 | 1 | 107 | 1.39393019727 | 3.20370339189 | 289 | 977 | 2029 | 289 | 0 | 0 |
| sim_data.csv | 5.42700036 | 181.412000000 | 8 | 1878 | 5153 | 3622 | 3 | 3282 | 340 | 0.00009385 | 215.82441862 | 21.0913018163 | 45.6775195649 | 0.26134899 | 0.0000721559884042 | -0.00000544000000 | 0.261343550000 | 1 | 107 | 1.42269464384 | 3.09331331565 | 340 | 993 | 2289 | 340 | 0 | 0 |
| sim_data.csv | 4.98761746 | 166.980833333 | 7 | 2074 | 5653 | 3925 | 3 | 3585 | 340 | 0.00009385 | 215.82441862 | 19.3566955267 | 44.0759909944 | 0.26440914 | 0.0000673653859873 | -0.00000476000000 | 0.264404380000 | 1 | 107 | 1.44025477707 | 2.97899714538 | 340 | 1024 | 2561 | 340 | 0 | 0 |
| sim_data.csv | 2.87855374 | 155.892153846 | 20 | 2243 | 6134 | 4256 | 3 | 3910 | 346 | 0.00009385 | 215.82441862 | 17.8009924349 | 42.5197561809 | 0.27478503 | 0.0000645641517857 | -0.0000136000000 | 0.274771430000 | 1 | 107 | 1.44125939850 | 2.88198402616 | 346 | 1058 | 2852 | 346 | 0 | 0 |
| sim_data.csv | 0.86131290 | 146.483000000 | 9 | 2418 | 6639 | 4581 | 3 | 4229 | 352 | 0.00009385 | 215.82441862 | 16.8127134907 | 41.0747733899 | 0.27902545 | 0.0000609092883650 | -0.00000612000000 | 0.279019330000 | 1 | 107 | 1.44924688933 | 2.84349598397 | 352 | 1085 | 3144 | 352 | 0 | 0 |
| sim_data.csv | 282.89271597 | 140.360800000 | 104 | 2572 | 7033 | 4927 | 3 | 4564 | 363 | 0.00001153 | 215.82441862 | 16.4385956379 | 40.3206816352 | 0.32869908 | 0.0000667138380353 | -0.0000707200000 | 0.328628360000 | 1 | 107 | 1.42744063325 | 2.74663674403 | 363 | 1195 | 3369 | 363 | 0 | 0 |
| sim_data.csv | 343.08017569 | 139.552000000 | 133 | 2735 | 7452 | 5264 | 3 | 4849 | 415 | 0.00001153 | 273.44079115 | 16.3778355443 | 40.2542167148 | 0.35711239 | 0.0000678404996201 | -0.0000904400000 | 0.357021950000 | 1 | 107 | 1.41565349544 | 2.66298653278 | 415 | 1361 | 3488 | 415 | 0 | 0 |
| sim_data.csv | 265.70195581 | 139.661529412 | 143 | 2892 | 7874 | 5607 | 3 | 5124 | 483 | 0.00001153 | 273.44079115 | 16.5769288057 | 41.6305802556 | 0.38384840 | 0.0000684587836633 | -0.0000972400000 | 0.383751160000 | 1 | 107 | 1.40431603353 | 2.58506425068 | 483 | 1596 | 3528 | 483 | 0 | 0 |
| sim_data.csv | 19.92086492 | 140.682111111 | 154 | 3064 | 8321 | 5935 | 3 | 5410 | 525 | 0.00001153 | 273.44079115 | 17.3759863408 | 44.0794876078 | 0.40613245 | 0.0000684300673968 | -0.000104720000 | 0.406027730000 | 1 | 107 | 1.40202190396 | 2.54745244173 | 525 | 1774 | 3636 | 525 | 0 | 0 |
| sim_data.csv | 4.26541683 | 138.599052632 | 17 | 3230 | 8904 | 6269 | 3 | 5690 | 579 | 0.00001153 | 273.44079115 | 16.5393119039 | 43.1382865639 | 0.41456861 | 0.0000661299425746 | -0.0000115600000 | 0.414557050000 | 1 | 107 | 1.42032222045 | 2.52326288914 | 579 | 1837 | 3853 | 579 | 0 | 0 |
| sim_data.csv | 39.46618101 | 132.745900000 | 31 | 3404 | 9372 | 6595 | 3 | 5998 | 597 | 0.00001153 | 273.44079115 | 15.8335685900 | 42.1427415733 | 0.42102977 | 0.0000638407536012 | -0.0000210800000 | 0.421008690000 | 1 | 107 | 1.42107657316 | 2.47620371296 | 597 | 1885 | 4113 | 597 | 0 | 0 |
| sim_data.csv | 27.16188786 | 129.122000000 | 94 | 3570 | 9789 | 6929 | 3 | 6312 | 617 | 0.00001153 | 273.44079115 | 15.3980970234 | 41.1608561063 | 0.42715578 | 0.0000616475364410 | -0.0000639200000 | 0.427091860000 | 1 | 107 | 1.41275797373 | 2.43054537840 | 617 | 1914 | 4398 | 617 | 0 | 0 |
| sim_data.csv | 19.54093464 | 128.052727273 | 145 | 3730 | 10217 | 7269 | 3 | 6631 | 638 | 0.00001153 | 273.44079115 | 15.2439648817 | 40.1925560182 | 0.43306994 | 0.0000595776502958 | -0.0000986000000 | 0.432971340000 | 1 | 107 | 1.40555784840 | 2.39433884072 | 638 | 1945 | 4686 | 638 | 0 | 0 |
