id,input_amounts
0,['0.00046000']
1,['0.10000000']
2,['0.09950495']
3,['0.09918192']
4,['0.09886031']
5,['0.09591190']
6,['5.73004593']
7,['1.91285970']
8,['0.09509449']
9,['0.09480262']
10,['0.06472062']
11,['2.98592356']
12,['0.80435539']
13,['0.02948222']
14,['0.77303701']
15,['0.02920244']
16,['0.67811457']
17,['0.01229062']
18,['0.66966918']
19,['0.66344713']
20,"['0.65722508', '1.09288664']"
21,['0.57415759']
22,['0.56428636']
23,"['0.01040000', '0.55255826', '0.15234500']"
24,['0.06863426']
25,['0.01143366']
26,['0.28280218']
27,"['0.00131873', '2.35830000', '0.00380708', '0.00934461', '0.01328236', '0.01108336', '0.00922779']"
28,['2.27504779']
29,['2.27485178']
30,['2.27452213']
31,['2.26739978']
32,['2.26504923']
33,['2.26484048']
34,['2.25294633']
35,['2.25264118']
36,['1.67154878']
37,['1.66944027']
38,['1.66793758']
39,['1.66773954']
40,['1.66555919']
41,['1.66535431']
42,['1.66381810']
43,['1.66361972']
44,['1.62173721']
45,['7.14130000']
46,['1.40491727']
47,['1.33323375']
48,['1.33241696']
49,['1.32797244']
50,['1.28950366']
51,['0.00014333']
52,['1.28566626']
53,['0.83872280']
54,['0.83855638']
55,['0.39211874']
56,['0.39195268']
57,['0.29836033']
58,['0.17920395']
59,['0.16635865']
60,['4.54890626']
61,['0.14620436']
62,['2.72437277']
63,['0.14159891']
64,['0.04205285']
65,['2.52422670']
66,['2.50926290']
67,['0.02394678']
68,['0.02379968']
69,['2.48081104']
70,['2.22166746']
71,['0.02365258']
72,"['0.09136964', '2.25683172', '0.00007230']"
73,['2.04426141']
74,['24.38491900']
75,['0.28069656']
76,['18.30179094']
77,['10.34623557']
78,['0.25866415']
79,"['1.68163141', '0.03442858', '36.38510000', '0.03123869', '0.03300516', '0.00615171']"
80,['0.20997615']
81,['0.20002751']
82,['5.43899593']
83,['4.82509407']
84,['0.13753355']
85,"['0.09807589', '0.01246026', '0.11963236', '0.13000000', '0.01001568', '14.41445754', '0.27780364', '0.00981188', '0.13033016', '0.00171973', '3.39114388', '0.37801960', '0.26384898', '0.00102730', '0.01062525']"
86,['2.75780194']
87,['2.73799300']
88,['2.72812420']
89,['2.72705715']
90,['2.71385858']
91,['2.71212354']
92,['2.70966379']
93,['2.69352731']
94,['2.29339083']
95,['2.24925435']
96,['1.24911787']
97,['1.08417423']
98,['0.86983607']
99,['0.86307070']
100,['0.86293172']
101,['0.86279274']
102,['0.86265376']
103,['0.86251531']
104,['0.86193855']
105,['0.86158818']
106,['0.86102077']
107,['0.85841403']
108,"['0.01114421', '0.37317718', '0.00405736', '0.01413500', '0.49900000', '0.00048151', '0.13066032', '0.85827873']"
109,['0.00664516']
110,['0.00631153']
111,['0.00618011']
112,['0.00040498']
113,"['0.00564908', '0.00017460']"
114,['0.00027356']
115,['0.13016508']
116,['0.12439015']
117,['0.12425873']
118,['0.11848381']
119,['0.11682083']
120,['0.09813201']
121,['0.09235720']
122,['0.09222609']
123,['0.08645144']
124,['0.08632033']
125,['0.08054568']
126,['0.07477087']
127,['0.07463976']
128,['0.07450865']
129,['0.06873404']
130,['0.06860293']
131,['0.06282830']
132,['0.06269719']
133,['0.05692273']
134,['0.05679193']
135,['0.05101758']
136,['0.05088678']
137,['0.04511230']
138,['0.04498150']
139,['0.03920718']
140,['0.03343282']
141,['0.03330202']
142,['0.03317122']
143,['0.02739693']
144,['0.02726613']
145,['0.02453698']
146,"['0.00564909', '0.00664207', '0.00564896']"
147,"['8.84991102', '6.84288194']"
148,['5.90170088']
149,"['0.01434133', '0.00812415']"
150,['0.01185981']
151,['0.01173089']
152,['0.01021238']
153,['0.01008437']
154,['5.85157578']
155,['5.84628650']
156,['5.83379901']
157,['3.90804824']
158,['1.98254753']
159,['1.98241967']
160,['1.98229197']
161,['1.97699626']
162,['1.97534889']
163,['1.94763697']
164,['1.12739794']
165,['1.05414305']
166,['1.04638321']
167,['1.04064084']
168,['1.03095274']
169,['0.98286619']
170,['0.91023899']
171,['0.83591106']
172,['0.57525866']
173,['0.34767500']
174,['0.34755314']
175,['0.30439961']
176,['0.30165076']
177,['0.29936907']
178,['0.16385199']
179,['0.15691729']
180,"['0.00663588', '0.97339885', '0.14482595']"
181,"['0.00008996', '0.02640675', '4.59877152', '0.58932691', '0.04657040', '0.02900000']"
182,"['0.01000808', '0.00995636']"
183,['0.00782139']
184,['0.00723109']
185,"['0.01408371', '0.00569945', '0.02776271', '0.00564900', '0.00331542', '0.02404671', '0.03700000', '0.10000000', '0.01100000', '0.00519207']"
186,['0.00664104']
187,['0.14852427']
188,['0.03633818']
189,['0.03480938']
190,['0.03203058']
191,['9.74076245']
192,['0.02866378']
193,['8.75912360']
194,['0.02713443']
195,['7.78173040']
196,['0.02435563']
197,['6.80717015']
198,['0.02057628']
199,['5.83644015']
200,['0.01879648']
201,['4.86754410']
202,['0.01601613']
203,['3.90148090']
204,['0.01373578']
205,"['0.00248332', '0.01070598']"
206,['2.93774950']
207,['1.97993545']
208,['1.97848865']
209,['218.32762463']
210,['0.08391344']
211,['218.21236318']
212,['0.05273183']
213,['218.16158207']
214,"['0.02021198', '0.00652222', '0.02232910']"
215,['218.06433620']
216,['0.05846990']
217,['217.97192201']
218,['1.02764985']
219,['0.82606574']
220,['217.73420270']
221,"['0.01035590', '0.01034573', '0.16560971', '0.66039683', '0.03596880']"
222,"['216.70288719', '0.00014214', '0.00564905']"
223,"['0.02015838', '0.01401991', '0.00530900', '0.05841630', '0.07806148', '0.08385984', '0.07811508']"
224,['0.02244190']
225,"['0.00166700', '0.95620085']"
226,['216.61335920']
227,['0.39026108']
228,['216.27567643']
229,['216.26599034']
230,['0.37993625']
231,"['0.00503431', '216.18025331']"
232,"['0.06295674', '0.06814875', '0.01006392']"
233,"['0.01280941', '0.36251492']"
234,['0.33391400']
235,['216.04578099']
236,['0.26814920']
237,['0.01691917']
238,['0.01185037']
239,"['0.91486283', '0.10338088']"
240,['201.37638461']
241,['201.37352081']
242,['0.01199898']
243,['0.07580806']
244,['200.43405616']
245,['199.50017571']
246,['199.49731091']
247,['0.07436126']
248,['198.56634886']
249,['198.56164906']
250,['197.63694081']
251,['0.07291446']
252,['196.71373396']
253,['195.79352951']
254,['194.32807610']
255,['194.22309641']
256,['194.22016711']
257,['194.03831472']
258,['0.00796718']
259,['191.84015023']
260,['190.91677558']
261,['190.91124078']
262,['0.06996566']
263,"['0.01040357', '0.01022445']"
264,['0.04002966']
265,['0.01185572']
266,['190.58076534']
267,['0.01065670']
268,"['0.00528529', '0.01054084']"
269,['0.00743768']
270,['190.34771573']
271,['190.33901509']
272,['0.00732207']
273,['190.33889948']
274,['190.32948360']
275,['0.00680539']
276,['190.32936799']
277,['190.32450240']
278,['190.32438722']
279,['190.31935720']
280,['0.00720646']
281,['0.00709419']
282,['189.93763149']
283,['0.00698192']
284,['189.92859858']
285,['189.91268428']
286,['188.98493592']
287,['188.97619671']
288,['188.97608485']
289,['188.96730297']
290,['188.96719111']
291,['188.96707925']
292,['0.00686965']
293,['188.92661675']
294,['188.92123804']
295,['187.14521507']
296,['186.96859310']
297,['186.91848830']
298,['186.91618038']
299,['186.90673342']
300,['186.88045879']
301,['186.88034941']
302,['186.87453334']
303,['186.87442396']
304,['186.86860790']
305,['186.86849852']
306,['186.86268258']
307,['0.00896360']
308,"['0.00564906', '0.00020000']"
309,"['0.00669021', '0.00885422']"
310,['186.85686669']
311,['0.00553958']
312,['186.85105093']
313,['186.84523513']
314,['0.00723699']
315,"['0.00967952', '0.00712787']"
316,['0.01094245']
317,"['0.00543046', '0.01083333']"
318,['186.83941935']
319,['0.01039877']
320,['186.83360353']
321,['186.82778778']
322,['0.01028965']
323,['0.01018053']
324,['186.82381545']
325,['186.82370633']
326,['186.81789053']
327,['186.81207473']
328,['186.81196561']
329,['186.80465350']
330,['186.79883807']
331,['186.79872921']
332,['186.79291374']
333,['186.79280488']
334,['186.78698950']
335,['186.78688064']
336,['186.78677178']
337,['186.78095628']
338,['186.77514079']
339,['186.77503193']
340,['186.77408242']
