id,input_amounts
0,"['0.00014860', '0.00014860', '0.00329000', '0.00331400']"
1,['0.00377785']
2,['0.00367117']
3,"['0.00037406', '0.00329000', '0.00329600']"
4,"['0.00331400', '0.00285492']"
5,"['0.00286932', '0.00329400']"
6,['0.00295527']
7,['0.01570000']
8,['0.01569000']
9,"['0.00254008', '0.00500000']"
10,['0.01306519']
11,"['0.00102666', '0.01291094', '0.01467514']"
12,['0.02550689']
13,['0.02539635']
14,['0.02425681']
15,['0.02415168']
16,['0.02013358']
17,['0.01911739']
18,['0.01608332']
19,['0.00938593']
20,['0.00825036']
21,['0.00732161']
22,['0.00619605']
23,['0.00406743']
24,['0.02500000']
25,['0.00980000']
26,"['0.01000000', '0.00100000']"
27,"['0.00329400', '0.00794500']"
28,['0.00390000']
29,['0.01010000']
30,"['0.00071463', '0.00056976', '0.00109000', '0.00103200']"
31,"['0.00940000', '0.00329400', '0.00010000']"
32,"['0.00050000', '0.00329400', '0.00010863']"
33,['0.01000000']
34,['0.00713048']
35,"['0.00054994', '0.00376494']"
36,['0.00483000']
37,"['0.00300000', '0.00087669']"
38,"['0.00100000', '0.00054099', '0.00181149', '0.00100000']"
39,['0.00940232']
40,['0.00896135']
41,['0.01300000']
42,"['0.00100679', '0.00020000', '0.00397646', '0.00000200', '0.00090000']"
43,['0.01000000']
44,['0.10000000']
45,['0.00605962']
46,['0.02073308']
47,['0.00782903']
48,['0.00677335']
49,['0.00966573']
50,['0.00629961']
51,"['0.00034660', '0.00645612', '0.00011000']"
52,"['0.00282404', '0.00570464']"
53,['0.00690429']
54,['0.00344311']
55,"['0.00300000', '0.02048301']"
56,['0.00409190']
57,"['0.03535793', '0.00076900']"
58,['0.09490113']
59,['0.01996226']
60,"['0.00097414', '0.00644615']"
61,['0.01692095']
62,['0.00500122']
63,['0.09150346']
64,['0.01353849']
65,['0.01013115']
66,['0.00673560']
67,['0.08810294']
68,['0.08470441']
69,['0.00495452']
70,['0.08128944']
71,"['0.07816374', '0.00333875']"
72,['0.00661944']
73,"['0.00160200', '0.00402357']"
74,['0.03261123']
75,['0.02922029']
76,['0.02585828']
77,"['0.02240953', '0.00149861']"
78,['0.02048416']
79,['0.07815826']
80,['0.00456784']
81,"['0.00116101', '0.01707033']"
82,['0.07477144']
83,['0.00874308']
84,"['0.00100000', '0.07131252']"
85,['0.00910000']
86,"['0.00527272', '0.00235136', '0.06879440']"
87,['0.01714000']
88,['0.01525521']
89,['0.05572406']
90,['0.05221353']
91,"['0.00598947', '0.01240304']"
92,['0.03000000']
93,['0.02883184']
94,['0.00311247']
95,['0.04872190']
96,['0.01866348']
97,['0.00300000']
98,"['0.04655364', '0.00480000']"
99,"['0.00096291', '0.00116387']"
100,['0.01780000']
101,['0.01571189']
102,['0.03617364']
103,"['0.00100000', '0.00444318']"
104,['0.00225293']
105,['0.00480000']
106,['0.00162415']
107,"['0.00300000', '0.00100000']"
108,['0.00106769']
109,['0.01490000']
110,['0.00174382']
111,['0.00120000']
112,"['0.00790000', '0.00270000']"
113,['0.03407019']
114,"['0.00480000', '0.00063581']"
115,['0.00500000']
