id,input_amounts
0,"['0.00014860', '0.00014860', '0.00331400', '0.00329000']"
1,['0.00377785']
2,['0.00367117']
3,"['0.00329000', '0.00329600', '0.00037406']"
4,"['0.00331400', '0.00285492']"
5,"['0.00286932', '0.00329400']"
6,['0.00295527']
7,['0.00794500']
8,['0.10000000']
9,"['0.00254008', '0.00531019']"
10,['0.00329400']
11,"['0.00313975', '0.09898514', '0.00133685']"
12,['0.10035589']
13,['0.10024535']
14,['0.09910581']
15,['0.09900068']
16,['0.09498258']
17,['0.09396639']
18,['0.09093232']
19,['0.08423493']
20,['0.08309936']
21,['0.08217061']
22,['0.08104505']
23,['0.07891643']
24,['0.07556363']
25,['0.07129671']
26,['0.06794286']
27,['0.06591666']
28,['0.06251796']
29,['0.05949465']
30,['0.05652513']
31,['0.05316419']
32,['0.04980512']
33,['0.04647820']
34,['0.04309764']
35,['0.03973210']
36,['0.03940605']
37,['0.03638754']
38,['0.03305399']
39,['0.02971932']
40,['0.02637662']
41,['0.02311991']
42,['0.01978564']
43,['0.01779844']
44,['0.01457179']
45,['0.00947292']
46,['0.00836782']
47,['0.00811775']
48,['0.00719301']
49,['0.00687578']
50,['0.00350966']
51,"['0.00483000', '0.00100000', '0.00109000']"
52,"['0.00300000', '0.00050000']"
53,"['0.00329400', '0.00020000', '0.00010000']"
54,"['0.00056976', '0.01000000', '0.00329400']"
55,['0.01028292']
56,['0.00682522']
57,"['0.01010000', '0.00090000']"
58,['0.01569000']
59,['0.01229233']
60,['0.00390000']
61,"['0.00010863', '0.00925102']"
62,['0.01000000']
63,"['0.00011000', '0.00034660', '0.00300000']"
64,"['0.00076900', '0.00370746']"
65,['0.00660078']
66,['0.02500000']
67,['0.00748430']
68,"['0.00980000', '0.00103200']"
69,['0.00737428']
70,['0.01300000']
71,"['0.02160315', '0.00100000']"
72,['0.01000000']
73,['0.00500000']
74,['0.00391837']
75,['0.01925892']
76,['0.01570000']
77,['0.00987430']
78,"['0.00100000', '0.03535793']"
79,"['0.00100000', '0.00940000']"
80,['0.03290949']
81,"['0.01225125', '0.00052743', '0.00174969']"
82,['0.01589691']
83,['0.01243799']
84,['0.00498771']
85,['0.02950266']
86,"['0.00153179', '0.00103237', '0.02639213', '0.00408577', '0.00320523', '0.00052573']"
87,['0.00648156']
88,['0.00896763']
89,['0.00698476']
90,['0.00347423']
91,"['0.00910000', '0.00794840']"
92,['0.00459677']
93,['0.01591869']
94,['0.00611546']
95,"['0.00595084', '0.00176836']"
96,['0.00396590']
97,['0.00480000']
98,"['0.01490000', '0.00006080', '0.00100000']"
99,['0.00547099']
100,['0.01780000']
101,['0.00575033']
102,['0.01714000']
103,"['0.00337758', '0.00100000']"
104,['0.00116387']
105,['0.00480000']
106,['0.00162415']
107,"['0.00390000', '0.00200000']"
108,['0.00107722']
109,"['0.00108928', '0.00500000']"
110,['0.00300000']
111,['0.01450000']
112,"['0.00342861', '0.00080000']"
113,['0.00370000']
114,"['0.00100000', '0.00444318']"
115,"['0.00100000', '0.00100000']"
116,"['0.00106755', '0.00270000']"
117,['0.00228044']
118,"['0.00341677', '0.00053724', '0.00169706']"
119,['0.00464370']
120,"['0.00092450', '0.00480000', '0.00360000']"
121,"['0.00500000', '0.00006000']"
122,"['0.00183878', '0.00158420']"
123,"['0.00367033', '0.00100000', '0.00169500', '0.00090000', '0.00120000', '0.00008000']"
124,"['0.00200000', '0.00290000', '0.00091371', '0.00200000', '0.00025639']"
125,"['0.00300000', '0.00163049', '0.00087643', '0.00454585']"
126,"['0.01393581', '0.00110000']"
127,"['0.00072196', '0.01000000', '0.00100000']"
128,['0.03000000']
129,"['0.00090000', '0.00010000', '0.00118733', '0.00300000']"
130,"['0.00354382', '0.00100000', '0.00120000', '0.00040000']"
131,"['0.00194759', '0.02863488']"
132,['0.00800000']
133,"['0.00592000', '0.02444033']"
134,['0.00490000']
135,"['0.00163197', '0.00049540', '0.00790000']"
136,['0.03500000']
137,['0.01932309']
138,"['0.00000200', '0.00010000', '0.00213902']"
139,['0.00967218']
140,"['0.00800000', '0.00171142', '0.00069882', '0.00053550', '0.00210428']"
141,['0.01571189']
142,['0.01729995']
143,"['0.00100000', '0.00070000']"
144,['0.01368611']
145,"['0.00900000', '0.00100000']"
146,"['0.00125073', '0.00180000']"
147,"['0.00071431', '0.00212292']"
148,"['0.00500000', '0.00880000']"
149,"['0.01503655', '0.00200000']"
150,['0.02497792']
151,"['0.01680000', '0.01000000', '0.00803380', '0.01524214', '0.00900000']"
152,"['0.00040000', '0.00226500']"
153,"['0.01109159', '0.00805616', '0.01525153', '0.00600000', '0.00969612']"
154,['0.01000000']
155,"['0.00300000', '0.00090000']"
156,"['0.00300000', '0.00880000', '0.00600000', '0.00721409', '0.00116259', '0.06000000', '0.01000000', '0.01000000', '0.01500000']"
157,"['0.00065947', '0.00061976', '0.01157072']"
158,['0.00926671']
159,"['0.05000000', '0.00090000', '0.00980000', '0.04000000']"
160,"['0.00100000', '0.00290000', '0.00500000', '0.05900000', '0.00963986', '0.01990000', '0.00263338']"
161,"['0.02000000', '0.03300000', '0.00860000', '0.00084400', '0.00841090', '0.02959206', '0.00063735']"
162,"['0.00500000', '0.00500000']"
163,"['0.00100401', '0.00495846']"
164,"['0.00500000', '0.00021000', '0.00038000']"
165,"['0.00194258', '0.00057493', '0.00300000']"
166,"['0.00280000', '0.00050868']"
167,['0.05000000']
168,['0.04698354']
169,['0.00800000']
170,"['0.00698200', '0.03696532', '0.00259953']"
171,['0.03649501']
172,['0.03511466']
173,['0.03382606']
174,['0.02930540']
175,['0.02430102']
176,['0.01409475']
177,"['0.00100000', '0.00010000', '0.01000000', '0.00000100']"
178,"['0.00040000', '0.00017000', '0.00090000', '0.01000000']"
179,"['0.00059650', '0.00083323']"
180,['0.00980000']
181,"['0.01000000', '0.00389190']"
182,"['0.00949441', '0.00112169', '0.00358831']"
183,"['0.00250000', '0.01000000']"
184,"['0.01000000', '0.00215901']"
185,['0.00104076']
186,['0.06000000']
187,['0.05000000']
188,"['0.01000000', '0.00700000']"
189,"['0.00083455', '0.01000000', '0.00090000']"
190,"['0.00287873', '0.00061323']"
191,"['0.00318000', '0.00148257']"
192,"['0.00254848', '0.00170000', '0.01000000']"
193,"['0.00100000', '0.01000000', '0.00212389']"
194,['0.03898099']
195,['0.00338550']
196,"['0.00010000', '0.03000000']"
197,['0.02471042']
198,['0.01452835']
