id,input_amounts
0,"['0.00329000', '0.00331400', '0.00014860', '0.00014860']"
1,['0.00377785']
2,['0.00367117']
3,"['0.01569000', '0.00037406', '0.00329000']"
4,['0.00329600']
5,['0.01524892']
6,['0.01204539']
7,['0.01163020']
8,['0.00899539']
9,['0.00798053']
10,['0.00147143']
11,"['0.00131718', '0.00331400', '0.00010000']"
12,['0.00162533']
13,['0.00151479']
14,['0.00037525']
15,"['0.00050000', '0.00329400', '0.00500000']"
16,['0.01010000']
17,['0.00794500']
18,"['0.00109000', '0.00103200', '0.01000000']"
19,"['0.00100000', '0.01570000']"
20,['0.00980000']
21,['0.01554753']
22,['0.00329400']
23,"['0.00329400', '0.00090000']"
24,['0.00538690']
25,"['0.00111998', '0.00116538', '0.00027012', '0.00082846']"
26,['0.00475858']
27,['0.00887125']
28,['0.10000000']
29,['0.09697669']
30,['0.00940000']
31,"['0.00056976', '0.00483000']"
32,['0.00547255']
33,"['0.00273238', '0.01442197']"
34,"['0.00390000', '0.00010863']"
35,['0.00100000']
36,"['0.00202451', '0.00100000']"
37,"['0.00067395', '0.01000000']"
38,"['0.00062810', '0.00329400']"
39,"['0.00908381', '0.00058379', '0.00214563']"
40,['0.09400717']
41,['0.00733825']
42,"['0.00000200', '0.00300000', '0.00020000']"
43,"['0.00121174', '0.00400398']"
44,"['0.02500000', '0.00198591']"
45,['0.00603906']
46,['0.02186620']
47,['0.01000000']
48,['0.02161613']
49,"['0.00300000', '0.09075046']"
50,['0.03535793']
51,"['0.00011000', '0.02129890']"
52,['0.09031777']
53,['0.01376545']
54,['0.01300000']
55,"['0.01453671', '0.00034660']"
56,['0.00954430']
57,['0.00642654']
58,['0.00907526']
59,['0.00491093']
60,['0.01030427']
61,['0.00567759']
62,['0.03188236']
63,['0.00493396']
64,"['0.00186962', '0.00076900', '0.00297162']"
65,['0.02848314']
66,['0.00693000']
67,"['0.00353315', '0.00153344']"
68,"['0.00229513', '0.01136256']"
69,"['0.01019997', '0.00163788']"
70,['0.02508759']
71,['0.08685552']
72,['0.00845551']
73,['0.00831974']
74,['0.02196189']
75,['0.00640391']
76,['0.01857095']
77,['0.01512220']
78,['0.01172946']
79,"['0.00506943', '0.00100000']"
80,"['0.00212886', '0.00265419']"
81,"['0.00133924', '0.00304190', '0.08355388']"
82,['0.07839436']
83,['0.00831563']
84,['0.00484527']
85,['0.00910000']
86,"['0.00598947', '0.07493544', '0.00138935']"
87,['0.06161984']
88,['0.05973505']
89,['0.05688288']
90,['0.05337235']
91,['0.04988072']
92,['0.03469089']
93,['0.03352273']
94,['0.02335437']
95,['0.02120481']
96,['0.01903655']
97,['0.01676771']
98,['0.01551153']
99,['0.00300000']
100,['0.00480000']
101,['0.03000000']
102,"['0.02533895', '0.00006080']"
103,['0.00480000']
104,['0.00116387']
105,['0.00370000']
106,['0.00480000']
107,['0.01450000']
108,['0.00107722']
109,"['0.00390000', '0.00300000']"
110,['0.00200000']
111,['0.00270000']
112,"['0.00087643', '0.00167103', '0.00171142']"
113,['0.00315141']
114,['0.01000000']
115,['0.01490000']
116,"['0.00187827', '0.00090659', '0.00100000']"
117,['0.00790000']
118,"['0.00444318', '0.00120000']"
119,"['0.00008000', '0.00300000']"
120,"['0.00772384', '0.00120000', '0.00040000']"
121,['0.03500000']
122,"['0.00163049', '0.00090000', '0.00090000']"
123,"['0.00200000', '0.00080000', '0.00458548', '0.00010000', '0.00100000', '0.00006000']"
124,"['0.00091371', '0.00500000', '0.00213581']"
125,"['0.00271189', '0.00169500', '0.00100000', '0.00464370']"
126,"['0.00110000', '0.00010000', '0.01384882']"
127,['0.00454585']
128,['0.01231210']
129,"['0.01714000', '0.00100000']"
130,"['0.00228044', '0.00360000', '0.00025639']"
131,"['0.00290000', '0.01490846', '0.00252041']"
132,['0.01417295']
133,"['0.01109159', '0.00341677']"
134,"['0.00226500', '0.00052415']"
135,"['0.00100000', '0.00100000', '0.00213902', '0.00100000', '0.00490000']"
136,"['0.01000000', '0.00049540', '0.00038951']"
137,['0.00800000']
138,"['0.00083878', '0.00200000']"
139,['0.00300000']
140,"['0.00069882', '0.01094698', '0.00138398']"
141,['0.00780492']
142,['0.00592000']
143,"['0.00070000', '0.00084170']"
144,['0.00387158']
145,"['0.02324715', '0.00300000']"
146,"['0.00347112', '0.00100000']"
147,"['0.00100000', '0.02995495']"
148,"['0.00900000', '0.00142088']"
149,"['0.00290000', '0.00300000', '0.00113462', '0.00280000']"
150,"['0.00200000', '0.00600000', '0.00175619']"
151,"['0.00969612', '0.00880000', '0.00597686', '0.01780000', '0.01680000']"
152,['0.01696146']
153,"['0.00980000', '0.02928031', '0.00600000', '0.00500000']"
154,['0.01000000']
155,['0.00500000']
156,"['0.00500000', '0.01000000', '0.01500000', '0.01493079', '0.06000000', '0.00263338', '0.00500000', '0.00860000']"
157,"['0.00177252', '0.00109243', '0.00577914', '0.00465468']"
158,['0.00971153']
159,"['0.01990000', '0.00963986', '0.00885572', '0.00180000', '0.00090000', '0.00900000', '0.05000000']"
160,"['0.00084400', '0.00100000', '0.00040000', '0.04000000', '0.05900000']"
161,"['0.00118725', '0.03300000', '0.01000000', '0.02000000', '0.02959206', '0.00500000', '0.00100000', '0.00090000']"
162,['0.00800000']
163,"['0.00038000', '0.00021000', '0.00058902', '0.00500000', '0.00297184']"
164,['0.00511146']
165,"['0.00700000', '0.00010376']"
166,['0.00209711']
167,['0.00880000']
168,"['0.01000000', '0.05000000']"
169,['0.03000000']
170,"['0.04997313', '0.00578354', '0.00139284', '0.02898200']"
171,['0.07607428']
172,['0.07469393']
173,['0.07340533']
174,['0.06888467']
175,['0.06388029']
176,['0.05367402']
177,['0.04347117']
178,['0.03296932']
179,['0.02233654']
180,['0.02203109']
181,['0.02172550']
182,['0.01142307']
183,['0.07024500']
184,"['0.05991721', '0.00061341']"
185,['0.04941237']
186,['0.04920616']
187,['0.04856807']
188,['0.03754906']
189,['0.02343464']
190,['0.01232374']
191,['0.01031737']
192,"['0.00017000', '0.00250000', '0.01000000', '0.00010000']"
193,"['0.00800000', '0.00100000', '0.00063935', '0.00100000', '0.00040000']"
194,['0.00820782']
195,['0.00618098']
196,"['0.01000000', '0.06000000']"
197,['0.01000000']
198,['0.05000000']
199,"['0.00900000', '0.00896109', '0.00090000', '0.00014000']"
200,"['0.01000000', '0.00090000']"
201,"['0.00506026', '0.01000000']"
202,['0.05442835']
203,"['0.01000000', '0.00980000', '0.00740539', '0.00050000']"
204,"['0.04872847', '0.05420295', '0.00886766']"
205,['0.11079047']
206,['0.09766563']
207,['0.07874280']
208,['0.06473354']
209,['0.06072345']
210,['0.05970051']
211,['0.05947605']
212,"['0.05000000', '0.00099000', '0.00500000', '0.04113270', '0.00318000']"
213,"['0.02900000', '0.00005460', '0.00229870']"
214,['0.02471042']
215,"['0.01570000', '0.00990000', '0.01944692', '0.01000000', '0.02000000']"
216,['0.02440056']
217,"['0.01950000', '0.01437777', '0.00500000', '0.00028000', '0.01090000', '0.05000000']"
218,"['0.00193800', '0.00039116', '0.00290000', '0.00006080', '0.00400000', '0.00090000', '0.00019558', '0.00900000', '0.00180000', '0.00390000', '0.00010000', '0.00180000', '0.00044827', '0.00170000', '0.00097600']"
219,"['0.00200000', '0.00005460']"
220,['0.00184281']
221,"['0.01000000', '0.01000000', '0.09990000', '0.01000000']"
222,"['0.00096700', '0.07000000', '0.01000000', '0.00100000']"
223,['0.01000000']
224,"['0.00973472', '0.00558101', '0.04796516', '0.00161866']"
225,"['0.02700000', '0.03000000', '0.01000000', '0.02310000', '0.06000000']"
226,"['0.09980000', '0.01950000', '0.01940000']"
227,['0.03398084']
228,['0.01000000']
229,['0.02400000']
230,['0.01362277']
231,['0.01000000']
232,['0.09743739']
233,"['0.09704233', '0.00050000', '0.00161670', '0.00114700', '0.01030000']"
234,"['0.01940000', '0.00637176']"
235,['0.00500000']
236,"['0.02395345', '0.00072800']"
237,['0.01930000']
238,['0.01942388']
239,['0.00803111']
240,"['0.00013629', '0.00020000', '0.01930000']"
241,"['0.02137094', '0.00050000']"
242,"['0.00390000', '0.00222825', '0.02339041', '0.00127802']"
243,['0.02000000']
244,"['0.00006184', '0.01200000', '0.00262128', '0.01772812', '0.03000000', '0.01900091', '0.01875193']"
245,"['0.00010000', '0.00275038', '0.00773714']"
246,"['0.20000000', '0.01333511', '0.00989938', '0.01000000', '0.01000000', '0.00100000', '0.00050000']"
247,"['0.00980000', '0.00010000']"
248,"['0.00050000', '1.00000000', '0.00010000', '0.00010000']"
249,"['0.00051932', '0.00397516', '0.14437816', '0.01644694', '0.00936819']"
250,['0.07098700']
251,['1.00000000']
252,"['0.06283247', '0.79996815']"
253,['0.80974798']
254,['0.70970572']
255,['0.60967134']
256,['0.40960433']
257,['0.40932330']
258,['0.35830474']
259,['0.35421737']
260,['0.35376479']
261,['0.35341075']
262,['0.00040000']
263,['0.35287244']
264,['0.35118926']
265,['0.35053147']
266,['0.33613595']
267,['0.00100000']
268,['0.33530861']
269,['0.33498984']
270,['0.33463079']
271,['0.33400904']
272,['0.31986778']
273,['0.00110000']
274,['0.31873570']
275,['0.31762180']
276,['0.31650795']
277,['0.31618049']
278,['0.31493950']
279,['0.31377606']
280,['0.31265348']
281,['0.30563419']
282,['0.29960831']
283,['0.29177031']
284,['0.29090804']
285,['0.28951145']
286,['0.28922299']
287,['0.28794367']
288,['0.23591342']
289,['0.17517336']
290,['0.17372513']
291,['0.17164332']
292,['0.15157135']
293,['0.15019402']
294,['0.14959963']
295,['0.14902399']
296,['0.00070000']
297,['0.00083132']
298,['0.14827657']
299,['0.14692197']
300,['0.00110000']
301,['0.13445988']
302,['0.10410976']
303,['0.09396026']
304,['0.07111425']
305,['0.06988375']
306,['0.06468507']
307,['0.06364098']
308,['0.05346955']
309,['0.05312874']
310,['0.04996757']
311,['0.02986651']
312,['0.02770370']
313,['0.02740450']
314,['0.00060000']
315,['0.02709704']
