id,input_amounts
0,"['0.00331400', '0.00014860', '0.00014860', '0.00329000']"
1,['0.00377785']
2,['0.00367117']
3,"['0.00329600', '0.00329000', '0.00037406']"
4,"['0.00331400', '0.00285492']"
5,"['0.00286932', '0.00329400']"
6,['0.00295527']
7,['0.00329400']
8,"['0.00065919', '0.00254008']"
9,"['0.00500000', '0.00217734']"
10,['0.00066392']
11,"['0.00010000', '0.00050967', '0.00329400']"
12,['0.00079782']
13,"['0.00068728', '0.00050000', '0.00329400']"
14,['0.00333453']
15,['0.00940000']
16,['0.01000000']
17,['0.01569000']
18,"['0.01265593', '0.00390000']"
19,['0.00538190']
20,"['0.01570000', '0.00103200']"
21,['0.01000000']
22,['0.10000000']
23,['0.01010000']
24,['0.09787138']
25,['0.00980000']
26,['0.00794500']
27,['0.00591880']
28,['0.00983982']
29,['0.09360446']
30,['0.00483000']
31,['0.00674720']
32,"['0.00322940', '0.00010863']"
33,['0.02500000']
34,"['0.00056976', '0.00338813']"
35,['0.00252010']
36,"['0.00090000', '0.00681651']"
37,"['0.00100000', '0.00057736', '0.00300000']"
38,"['0.00219405', '0.00100000', '0.00146906']"
39,['0.02161944']
40,['0.01000000']
41,"['0.00123947', '0.09063494']"
42,"['0.00132111', '0.00109000', '0.00000200', '0.00020000']"
43,"['0.00062130', '0.00100000', '0.00424633']"
44,['0.00898381']
45,['0.00300000']
46,['0.01578959']
47,['0.08853337']
48,['0.01553952']
49,['0.00674329']
50,['0.01522229']
51,"['0.03535793', '0.00468968']"
52,['0.08760863']
53,['0.00887444']
54,"['0.01174672', '0.00263462']"
55,['0.01827674']
56,"['0.00541326', '0.00034660', '0.00189490']"
57,['0.01481904']
58,['0.01136412']
59,['0.00388494']
60,['0.00337717']
61,['0.00442426']
62,['0.08414638']
63,['0.03317542']
64,"['0.08074716', '0.00104180']"
65,['0.02977490']
66,['0.02637935']
67,"['0.01300000', '0.00084363']"
68,['0.07834487']
69,['0.00644615']
70,"['0.00299024', '0.00796645', '0.00011000']"
71,['0.01086353']
72,['0.07492990']
73,['0.02298250']
74,['0.00756189']
75,"['0.00076900', '0.00417095']"
76,['0.00782065']
77,['0.07287830']
78,"['0.00437190', '0.00154847', '0.00100000']"
79,['0.06948556']
80,['0.06609874']
81,"['0.01041492', '0.00343681']"
82,['0.00436347']
83,['0.01973219']
84,['0.00910000']
85,['0.06269191']
86,['0.05958138']
87,['0.01714000']
88,['0.01626183']
89,['0.01340966']
90,['0.00989913']
91,"['0.01525521', '0.00090455']"
92,['0.00640750']
93,"['0.03899330', '0.00564408']"
94,['0.00523934']
95,"['0.03000000', '0.00087972']"
96,['0.00300000']
97,['0.02863151']
98,"['0.03438902', '0.00073116', '0.00100000']"
99,['0.00480000']
100,['0.01490000']
101,['0.01780000']
102,['0.00480000']
103,"['0.00308978', '0.02088134']"
104,['0.00116387']
105,"['0.00300000', '0.00080000']"
106,"['0.02078087', '0.00006080']"
107,"['0.00107722', '0.00200000']"
108,['0.02737533']
109,['0.00790000']
110,['0.01281189']
111,['0.02629747']
112,"['0.00054060', '0.00171142', '0.00200000']"
113,"['0.00270659', '0.00100000']"
114,"['0.00444318', '0.00100000']"
115,"['0.00040000', '0.00800000']"
116,['0.00732450']
117,['0.00480000']
118,"['0.00120000', '0.00357333', '0.00087643']"
119,"['0.00300000', '0.00008000']"
120,"['0.00462384', '0.00200000', '0.00270000']"
121,"['0.00454585', '0.00051400']"
122,['0.01450000']
123,"['0.00010000', '0.00006000', '0.00090000', '0.00341677', '0.00010000', '0.00228044', '0.00169500']"
124,"['0.00091371', '0.00269655', '0.00360000', '0.00084755']"
125,"['0.00390000', '0.00025639', '0.00290000', '0.00300000']"
126,"['0.03500000', '0.00464370']"
127,['0.00370000']
128,['0.01000000']
129,"['0.00100000', '0.00100000', '0.01913578']"
130,['0.00800000']
131,"['0.00100000', '0.01313895']"
132,['0.01109420']
133,"['0.01109159', '0.00090000']"
134,"['0.00291104', '0.00095435']"
135,"['0.00120000', '0.00100000', '0.00049540', '0.00163049', '0.00107639', '0.00167456', '0.00110000', '0.00188130']"
