id,input_amounts
0,"['0.00014860', '0.00014860', '0.00329000', '0.00331400']"
1,['0.00377785']
2,['0.00367117']
3,"['0.00329000', '0.00329600', '0.00037406']"
4,"['0.00331400', '0.00285492']"
5,"['0.00329400', '0.00286932']"
6,['0.00295527']
7,['0.00329400']
8,['0.10000000']
9,"['0.09898514', '0.00254008', '0.00065919']"
10,['0.09566661']
11,['0.09551236']
12,['0.09240937']
13,['0.09229883']
14,['0.09115929']
15,['0.09105416']
16,['0.08703606']
17,['0.08601987']
18,['0.08298580']
19,['0.07628841']
20,['0.07515284']
21,['0.07422409']
22,['0.07309853']
23,['0.07096991']
24,['0.06761711']
25,['0.06335019']
26,['0.05999634']
27,['0.05797014']
28,['0.05457144']
29,['0.05154813']
30,['0.04857861']
31,['0.04521767']
32,['0.04185860']
33,['0.03853168']
34,['0.03515112']
35,['0.03178558']
36,['0.03145953']
37,['0.02844102']
38,['0.02510747']
39,['0.02177280']
40,['0.01843010']
41,['0.01517339']
42,['0.01183912']
43,['0.00985192']
44,['0.00662527']
45,['0.00152640']
46,['0.00042130']
47,"['0.00010000', '0.01010000', '0.00050000', '0.00017123']"
48,['0.00986625']
49,['0.00954902']
50,['0.00618290']
51,['0.01000000']
52,"['0.00270733', '0.00318971']"
53,"['0.02500000', '0.00011000']"
54,['0.02158411']
55,"['0.00020000', '0.00329400']"
56,"['0.01812841', '0.00236958']"
57,['0.01732428']
58,['0.01386936']
59,['0.01047169']
60,['0.00743038']
61,['0.00405611']
62,"['0.00794500', '0.00329400']"
63,"['0.00780594', '0.00067365']"
64,['0.00504508']
65,['0.01300000']
66,"['0.00960445', '0.00163774']"
67,['0.00781120']
68,['0.00441267']
69,"['0.00500000', '0.00099770', '0.00056976']"
70,"['0.00010863', '0.00940000']"
71,"['0.00298622', '0.00034660']"
72,['0.00632321']
73,['0.00427161']
74,['0.01000000']
75,"['0.00660906', '0.00102130']"
76,['0.00423888']
77,"['0.00300000', '0.00100000', '0.00090000']"
78,['0.01569000']
79,"['0.01227617', '0.00079013', '0.00144432']"
80,['0.01106654']
81,"['0.00980000', '0.00076900']"
82,['0.03535793']
83,"['0.00390000', '0.00100000']"
84,"['0.01000000', '0.00108074']"
85,['0.00483000']
86,"['0.00100000', '0.00103200', '0.00300000', '0.01570000']"
87,['0.03189901']
88,['0.00910000']
89,['0.00756262']
90,"['0.00136057', '0.00765971']"
91,['0.03001422']
92,['0.01714000']
93,['0.01482439']
94,['0.03000000']
95,['0.00624783']
96,"['0.00465603', '0.00116387']"
97,"['0.00544947', '0.00100000']"
98,['0.01780000']
99,['0.00405209']
100,['0.00407957']
101,"['0.00267798', '0.00006080', '0.00199146']"
102,['0.00444318']
103,['0.00480000']
104,"['0.00171947', '0.00109000']"
105,"['0.00342331', '0.00080000']"
106,['0.02785044']
107,"['0.00096391', '0.00233973']"
108,['0.00107397']
109,['0.02620185']
110,['0.00500000']
111,['0.00370000']
112,"['0.00270000', '0.00153621']"
113,['0.00500000']
114,"['0.00100000', '0.00507156']"
115,"['0.01490000', '0.00107722']"
116,"['0.00313581', '0.00063160']"
117,['0.01597184']
