id,input_amounts
0,"['0.00014860', '0.00329000', '0.00331400', '0.00014860']"
1,['0.00377785']
2,['0.00367117']
3,"['0.00037406', '0.00329000', '0.00329600']"
4,"['0.00285492', '0.00331400']"
5,"['0.00286932', '0.00329400']"
6,['0.00295527']
7,['0.00940000']
8,['0.00329400']
9,"['0.00483000', '0.00676519']"
10,['0.00329400']
11,"['0.00010000', '0.00329400', '0.00227914']"
12,['0.00254008']
13,"['0.00242954', '0.00050000']"
14,['0.00256729']
15,['0.01000000']
16,['0.10000000']
17,['0.02500000']
18,"['0.01569000', '0.00500000']"
19,"['0.01397389', '0.00100000']"
20,['0.01570000']
21,"['0.00010863', '0.00103200']"
22,['0.00980000']
23,"['0.00246216', '0.00090000']"
24,['0.01000000']
25,['0.01477125']
26,['0.01010000']
27,['0.00807380']
28,"['0.01382142', '0.00178642']"
29,"['0.01257345', '0.00313975']"
30,['0.09898381']
31,"['0.02196593', '0.00109000', '0.00056976', '0.00100000']"
32,['0.00767138']
33,['0.00508177']
34,['0.09562287']
35,['0.01141740']
36,"['0.00170121', '0.00598190', '0.00100000']"
37,"['0.00390000', '0.00300000']"
38,"['0.00434446', '0.00356430']"
39,['0.01109135']
40,['0.00774865']
41,['0.02121758']
42,"['0.00020000', '0.00000200', '0.00449194']"
43,"['0.00457045', '0.00270368']"
44,['0.01788331']
45,['0.01273251']
46,['0.00300000']
47,['0.00564784']
48,['0.00274993']
49,['0.01300000']
50,['0.00794500']
51,['0.00963388']
52,"['0.00404432', '0.00243270', '0.00034660']"
53,['0.03535793']
54,['0.00472310']
55,"['0.00282359', '0.00126740']"
56,['0.03189675']
57,['0.01000000']
58,['0.01278444']
59,['0.00446943']
60,['0.09225733']
61,['0.00938677']
62,"['0.00467510', '0.00322997']"
63,"['0.00076900', '0.00011000', '0.08888306']"
64,['0.00447201']
65,['0.08629306']
66,['0.08289751']
67,"['0.00654508', '0.00057024']"
68,"['0.02877899', '0.00106467']"
69,['0.00573308']
70,['0.02638594']
71,['0.01162741']
72,['0.00368661']
73,['0.02326024']
74,['0.07950066']
75,['0.00600431']
76,['0.00832577']
77,"['0.00264230', '0.07610972']"
78,['0.00487702']
79,"['0.00142812', '0.00146319', '0.00163501']"
80,['0.02000993']
81,"['0.07532804', '0.00100000']"
82,['0.01660310']
83,['0.06683978']
84,['0.01314418']
85,['0.00968826']
86,"['0.00108224', '0.00227717', '0.00657773', '0.06336942']"
87,['0.05255857']
88,['0.05067378']
89,['0.04782161']
90,['0.04431108']
91,['0.04081945']
92,['0.02562962']
93,['0.02446146']
94,['0.01429310']
95,['0.01214354']
96,['0.00997528']
97,['0.00770644']
98,"['0.01490000', '0.01714000']"
99,"['0.01686000', '0.00645026']"
100,['0.02117247']
101,['0.01908436']
102,['0.01442331']
103,['0.01231986']
104,['0.00116387']
105,['0.00919089']
106,['0.00601504']
107,['0.00436645']
108,['0.00107722']
109,"['0.00800000', '0.00444318']"
110,['0.00370000']
111,['0.03000000']
112,"['0.01000000', '0.00300000']"
113,"['0.00120000', '0.01780000', '0.00100000']"
114,"['0.00390000', '0.01109159']"
115,"['0.01450000', '0.00040000']"
116,"['0.00171142', '0.00087643', '0.00120000']"
117,['0.00253878']
118,"['0.00217855', '0.00006080', '0.00341677']"
119,['0.00480000']
120,"['0.00270000', '0.00500000', '0.00163049']"
121,"['0.00500000', '0.00006000']"
122,"['0.00025639', '0.00228044', '0.00090000']"
123,"['0.00200000', '0.00010000', '0.00010000', '0.00464370', '0.00169500']"
124,"['0.00100000', '0.00955163']"
125,"['0.00790000', '0.00480000']"
126,"['0.00200000', '0.00360000', '0.00200000', '0.00266662', '0.00480000']"
127,['0.03500000']
128,"['0.00008000', '0.00490000']"
129,"['0.00454585', '0.00300000']"
130,"['0.00592000', '0.00080000']"
131,['0.00742145']
132,['0.00910000']
133,"['0.00500000', '0.00431431', '0.00174050']"
134,"['0.00091371', '0.00059242', '0.00129288']"
135,"['0.00100000', '0.00100000', '0.00300000', '0.00290000', '0.00213902']"
136,"['0.01000000', '0.00100000']"
137,"['0.00251397', '0.00876682']"
