id,input_amounts
0,"['0.00331400', '0.00014860', '0.00014860', '0.00329000']"
1,['0.00377785']
2,['0.00367117']
3,"['0.00037406', '0.00329000', '0.00329600']"
4,"['0.00285492', '0.00331400']"
5,"['0.00286932', '0.00329400']"
6,['0.00295527']
7,"['0.00254008', '0.00483000']"
8,['0.00472824']
9,"['0.01570000', '0.00329400']"
10,['0.00794500']
11,"['0.00779075', '0.00371338', '0.01248058']"
12,['0.02087886']
13,['0.02076832']
14,['0.01962878']
15,['0.01952365']
16,['0.01550555']
17,['0.01448936']
18,['0.01145529']
19,['0.00475790']
20,['0.00362233']
21,['0.00269358']
22,['0.01010000']
23,['0.10000000']
24,"['0.09664720', '0.00156802', '0.00797138']"
25,['0.10189966']
26,['0.09854581']
27,['0.09651961']
28,['0.09312091']
29,['0.09009760']
30,['0.08712808']
31,['0.08376714']
32,['0.08040807']
33,['0.07708115']
34,['0.07370059']
35,['0.07033505']
36,['0.07000900']
37,['0.06699049']
38,['0.06365694']
39,['0.06032227']
40,['0.05697957']
41,['0.05372286']
42,['0.05038859']
43,['0.04840139']
44,['0.04517474']
45,['0.04007587']
46,['0.03897077']
47,['0.03872070']
48,['0.03779596']
49,['0.03747873']
50,['0.03411261']
51,['0.03063704']
52,['0.02382675']
53,['0.02036450']
54,['0.01690332']
55,['0.01344762']
56,['0.00998992']
57,['0.00687216']
58,"['0.00010863', '0.00300000', '0.00034660']"
59,"['0.00329400', '0.00100000']"
60,['0.00940000']
61,"['0.00329400', '0.00011000']"
62,['0.03535793']
63,['0.03195871']
64,"['0.00390000', '0.00010000']"
65,"['0.00050000', '0.00341724', '0.00020000']"
66,['0.02855819']
67,"['0.01000000', '0.00109000', '0.00076900']"
68,['0.01300000']
69,"['0.02500000', '0.00103200']"
70,['0.01569000']
71,['0.00500000']
72,"['0.00123307', '0.00169836']"
73,['0.00839966']
74,"['0.00300000', '0.01256430']"
75,['0.01214204']
76,['0.00602573']
77,['0.00514935']
78,"['0.00257698', '0.00055591', '0.00100000']"
79,['0.01000000']
80,"['0.00065415', '0.00958503']"
81,"['0.01000000', '0.00661318']"
82,"['0.00878003', '0.00064933']"
83,"['0.00090000', '0.00590918']"
84,['0.00712492']
85,['0.00679537']
86,"['0.00910000', '0.00100000', '0.00980000', '0.00085531']"
87,['0.01714000']
88,"['0.01525521', '0.00175661']"
89,"['0.00366900', '0.00056976']"
90,"['0.00100000', '0.00326975']"
91,"['0.02251389', '0.00064245', '0.01406358', '0.00069894']"
92,['0.02516134']
93,"['0.00368484', '0.02399318']"
94,['0.03000000']
95,"['0.02785044', '0.00116387']"
96,['0.02676610']
97,['0.01780000']
98,"['0.01490000', '0.00006080', '0.00100000']"
99,['0.02449726']
100,['0.01742966']
101,['0.02240385']
102,"['0.01774280', '0.00100000']"
103,['0.00444318']
104,['0.01534155']
105,['0.00370000']
106,"['0.00131421', '0.03500000']"
107,['0.01450000']
108,['0.00107722']
109,['0.01654382']
110,['0.00790000']
111,['0.00120000']
112,"['0.00480000', '0.00100000']"
113,['0.01000000']
114,['0.01155486']
115,"['0.00052415', '0.00200000']"
116,"['0.00171142', '0.00120000', '0.00087643']"
117,['0.00300000']
118,"['0.00063581', '0.00500000']"
119,"['0.00144865', '0.00163049']"
120,"['0.00500000', '0.00341677', '0.00091371']"
121,['0.00592000']
122,"['0.00270000', '0.00072196']"
123,"['0.00008000', '0.00454585', '0.00087495', '0.00010000', '0.00169500', '0.00100000', '0.00025639']"
124,"['0.00006000', '0.00300000', '0.00300000', '0.00200000']"
125,"['0.00614034', '0.00100000', '0.00290000']"
126,"['0.01109159', '0.00040000', '0.00200000', '0.00156682']"
127,['0.03460832']
128,"['0.01415631', '0.00100000']"
129,"['0.00360000', '0.00080000', '0.00010000']"
130,['0.00800000']
131,['0.01378116']
132,"['0.00683724', '0.00090000']"
133,"['0.00188130', '0.00500000', '0.00135589', '0.00282384']"
134,"['0.00228044', '0.00900000']"
135,"['0.00213902', '0.00100000', '0.00100000', '0.00110000', '0.00480000']"
136,"['0.00464370', '0.00049540', '0.00490000']"
