id,input_amounts
0,"['0.00331400', '0.00014860', '0.00329000', '0.00014860']"
1,['0.00377785']
2,['0.00367117']
3,"['0.00329600', '0.00329000', '0.00037406']"
4,"['0.00331400', '0.00285492']"
5,"['0.00329400', '0.00286932']"
6,['0.00295527']
7,['0.00329400']
8,['0.01569000']
9,"['0.00254008', '0.00065919', '0.01467514']"
10,['0.01135661']
11,['0.01120236']
12,['0.00809937']
13,['0.00798883']
14,['0.00684929']
15,['0.00674416']
16,['0.00272606']
17,"['0.00170987', '0.00794500', '0.00100000']"
18,['0.00758818']
19,['0.00500000']
20,['0.00329400']
21,['0.02500000']
22,['0.01010000']
23,"['0.00100000', '0.00236525']"
24,"['0.00329400', '0.00010000', '0.00089079']"
25,['0.01000000']
26,['0.00386443']
27,"['0.00050000', '0.00109000', '0.00183823']"
28,"['0.00797138', '0.00664615', '0.02387444']"
29,['0.03544634']
30,['0.03247682']
31,['0.02911588']
32,['0.02575681']
33,['0.02242989']
34,['0.01904933']
35,['0.01568379']
36,['0.01535774']
37,['0.01233923']
38,['0.00900568']
39,['0.00567101']
40,"['0.00300000', '0.00940000']"
41,"['0.00912917', '0.00232831']"
42,['0.00811644']
43,['0.00612924']
44,"['0.00390000', '0.00103200', '0.00020000']"
45,['0.00290259']
46,['0.00179749']
47,['0.00154742']
48,['0.00062268']
49,['0.01300000']
50,"['0.00963388', '0.00030545']"
51,['0.01570000']
52,"['0.00888971', '0.00640077']"
53,['0.01176302']
54,['0.00830184']
55,['0.00484614']
56,['0.00483000']
57,['0.00980000']
58,"['0.00034660', '0.00010863', '0.00300000']"
59,['0.01000000']
60,"['0.00634508', '0.00011000', '0.00090000']"
61,['0.01000000']
62,['0.03535793']
63,"['0.00100000', '0.03195871']"
64,['0.00393556']
65,['0.02952420']
66,"['0.00661754', '0.00056976']"
67,['0.02612865']
68,['0.10000000']
69,"['0.02273012', '0.00052822']"
70,['0.01974023']
71,"['0.00375631', '0.09658503']"
72,"['0.00171224', '0.09699711']"
73,['0.00695869']
74,['0.09663323']
75,"['0.00076900', '0.00370838']"
76,"['0.00138844', '0.09324229', '0.00108590']"
77,['0.01661453']
78,['0.09221451']
79,"['0.08880068', '0.00100000']"
80,['0.01322179']
81,"['0.08638544', '0.00981496']"
82,['0.08671214']
83,['0.08325322']
84,['0.07978286']
85,['0.07632694']
86,['0.07321641']
87,['0.00910000']
88,['0.00721521']
89,['0.05262833']
90,['0.01714000']
91,"['0.04911780', '0.01364837']"
92,['0.04748613']
93,"['0.04631797', '0.00436304']"
94,['0.04043265']
95,['0.03828309']
96,['0.03611483']
97,['0.03384599']
98,['0.03258981']
99,['0.01746779']
100,['0.01537438']
101,['0.01328627']
102,['0.00862522']
103,['0.00652177']
104,['0.00116387']
105,['0.00339280']
106,['0.00300000']
107,"['0.00021695', '0.00200000']"
108,['0.00107722']
109,"['0.00370000', '0.00300000']"
110,['0.00200000']
111,"['0.00083878', '0.00135141', '0.00167827']"
112,"['0.00324282', '0.00100000', '0.00120000']"
113,"['0.01490000', '0.00006080']"
114,"['0.01176821', '0.00117657']"
115,['0.00750482']
116,['0.00645364']
117,['0.00270247']
118,['0.01109159']
119,['0.00500000']
120,"['0.00592000', '0.00087643', '0.00252631']"
121,['0.00800000']
122,"['0.00090000', '0.00090000', '0.00163049']"
123,"['0.00295495', '0.00194050', '0.00547743']"
124,"['0.00184508', '0.00120000', '0.00500000']"
125,"['0.00444318', '0.00290000', '0.00270000']"
126,"['0.00025639', '0.00790000', '0.00300000', '0.00390000']"
127,['0.00480000']
128,['0.00277456']
129,"['0.00010000', '0.00006000', '0.00008000', '0.00171142', '0.00040000', '0.00080000', '0.00010000']"
130,"['0.00091371', '0.00500000', '0.00140944']"
131,"['0.03000000', '0.00169500']"
132,"['0.00118656', '0.02555286']"
133,['0.02035807']
134,['0.00933282']
135,"['0.00341677', '0.00100000', '0.00049540', '0.00213902', '0.00100000', '0.00100000', '0.00100000']"
136,"['0.00800000', '0.01780000']"
137,['0.00655574']
138,"['0.01576743', '0.00453260']"
139,['0.01859587']
140,['0.01697985']
141,['0.00396547']
142,['0.00880000']
143,"['0.00193969', '0.00675158']"
144,['0.00824200']
145,"['0.00069882', '0.00360000', '0.00500000']"
146,['0.00612661']
147,['0.00308128']
148,"['0.00141006', '0.00100000', '0.00226500', '0.00110000']"
149,"['0.00070000', '0.01000000']"
150,"['0.00087754', '0.00480000', '0.00228044', '0.00180000']"
151,"['0.00454585', '0.00880000', '0.01680000', '0.00980000', '0.00464370', '0.01450000']"
152,['0.03500000']
153,"['0.00969612', '0.00280000', '0.00200000', '0.00263338', '0.03296933']"
154,['0.01000000']
155,"['0.00100000', '0.00500000', '0.00200000']"
156,"['0.01000000', '0.00490000', '0.00600000', '0.00900000', '0.00900000', '0.06000000', '0.00480000', '0.00860000', '0.00290000', '0.00600000']"
157,['0.00474622']
158,['0.00117092']
159,"['0.04000000', '0.00031511', '0.00040000', '0.05000000', '0.01000000']"
160,"['0.00064007', '0.00090000', '0.01000000', '0.02959206', '0.05900000', '0.00100000']"
161,"['0.02000000', '0.00300000', '0.01990000', '0.00084400', '0.01500000', '0.00963986', '0.03300000']"
162,"['0.00500000', '0.00090000']"
163,"['0.00021000', '0.00130356', '0.00038000', '0.00300000']"
164,"['0.00300000', '0.06000000']"
165,"['0.00700000', '0.00086066']"
166,"['0.00106615', '0.00085846']"
167,"['0.00285401', '0.00017000']"
168,['0.05000000']
169,['0.05000000']
170,"['0.04898200', '0.00121546', '0.03998178', '0.05798864']"
171,['0.13811065']
172,['0.13673030']
173,['0.13544170']
174,['0.13092104']
175,['0.12591666']
176,['0.11571039']
177,['0.10550754']
178,['0.09500569']
179,['0.08437291']
180,['0.08406746']
181,['0.08376187']
182,['0.07345944']
183,['0.06264978']
184,['0.05232199']
185,['0.04120962']
186,['0.04100341']
187,['0.04036532']
188,['0.02934631']
189,['0.01523189']
190,['0.00412099']
191,['0.00211462']
192,"['0.00010000', '0.00250000', '0.01000000', '0.00040000']"
193,"['0.00100000', '0.01000000', '0.00086935']"
194,['0.01000000']
195,"['0.00084192', '0.00797316']"
196,['0.06000000']
197,"['0.00768451', '0.04444370']"
198,['0.05107081']
199,['0.04979928']
200,['0.03081981']
201,['0.02879788']
202,['0.02115585']
203,"['0.01090000', '0.00014000', '0.00318000', '0.00800000', '0.00050000', '0.00500000']"
204,['0.02093045']
205,['0.01992605']
206,['0.09990000']
207,"['0.00680121', '0.08097717']"
208,['0.07376472']
209,['0.06975463']
210,['0.06873169']
211,['0.06850723']
212,"['0.05000000', '0.05016388']"
213,"['0.00229870', '0.00005460', '0.02900000']"
214,['0.01000000']
215,"['0.00990000', '0.01000000', '0.02000000', '0.01570000', '0.01944692']"
216,"['0.00006080', '0.00500000', '0.00099000', '0.00400000']"
217,"['0.00044827', '0.00980000', '0.01950000', '0.00005460', '0.07024500']"
218,"['0.00193800', '0.00010000', '0.00200000', '0.00100000', '0.00170000', '0.00100000', '0.00019558', '0.00090000', '0.00100000', '0.00097600', '0.00180000', '0.01000000', '0.00390000', '0.00180000', '0.00090000', '0.00090000']"
219,['0.00969014']
220,['0.00948215']
221,"['0.01000000', '0.00390000', '0.01000000', '0.00900000', '0.00925800', '0.01000000', '0.00290000', '0.00900000', '0.01000000', '0.01000000', '0.01000000', '0.01000000', '0.01000000', '0.00028000', '0.01000000']"
222,"['0.00500000', '0.02310000', '0.00969500']"
223,['0.00380518']
