----BEGIN SIMULATION RESULTS----
Scenario: bustabit-2019-2020-short.csv
| Scenario File | Current Balance | Mean #UTXO | Current #UTXO | #Deposits | #Inputs Spent | #Withdraws | #Uneconomical outputs spent | #Change Created | #Changeless | Min Change Value | Max Change Value | Mean Change Value | Std. Dev. of Change Value | Total Fees | Mean Fees per Withdraw | Cost to Empty | Total Cost | Min Input Size | Max Input Size | Mean Input Size | Std. Dev. of Input Size | Usage |
| bustabit-2019-2020-short.csv | 0.10000000 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | Total: **0** | 0 | 0 | 0 | 0 | 0 | 0 | -6.80000000E-7 | -6.80000000E-7 | 0 | 0 | 0 | 0 |  |
| bustabit-2019-2020-short.csv | 0.31904227 | 27.7020000000 | 28 | 267 | 440 | 233 | 0 | 200 | bnb: **32** ; srd: **1** ; Total: **33** | 0.00021695 | 0.13811065 | 0.0249252489 | 0.0325491413960 | 0.01390123 | 0.0000596619313305 | -0.0000190400000 | 0.0138821900000 | 1 | 16 | 1.88841201717 | 1.88814211782 | blackjack: **18** ; srd: **183** ; bnb: **32** |
| bustabit-2019-2020-short.csv | 9.11168974 | 53.0860000000 | 161 | 594 | 776 | 406 | 0 | 342 | bnb: **63** ; srd: **1** ; Total: **64** | 0.00021695 | 3.98691961 | 0.485950636725 | 1.02193064576 | 0.03169612 | 0.0000780692610837 | -0.000109480000 | 0.031586640000 | 1 | 77 | 1.91133004926 | 4.16416454703 | blackjack: **21** ; srd: **322** ; bnb: **63** |
| bustabit-2019-2020-short.csv | 12.43866626 | 109.240666667 | 315 | 961 | 1074 | 539 | 0 | 427 | bnb: **111** ; srd: **1** ; Total: **112** | 0.00021315 | 3.98691961 | 0.422817196112 | 0.926717296175 | 0.04242102 | 0.0000787031910946 | -0.000214200000 | 0.042206820000 | 1 | 77 | 1.99257884972 | 3.81787283741 | blackjack: **26** ; srd: **402** ; bnb: **111** |
| bustabit-2019-2020-short.csv | 25.85524859 | 175.829000000 | 361 | 1318 | 1450 | 682 | 0 | 492 | bnb: **189** ; srd: **1** ; Total: **190** | 0.00010733 | 9.92770896 | 0.398880657358 | 0.972289685081 | 0.05295556 | 0.0000776474486804 | -0.000245480000 | 0.052710080000 | 1 | 77 | 2.12609970674 | 3.55348382864 | blackjack: **43** ; srd: **450** ; bnb: **189** |
| bustabit-2019-2020-short.csv | 30.87473130 | 208.706800000 | 326 | 1682 | 1910 | 818 | 0 | 553 | bnb: **264** ; srd: **1** ; Total: **265** | 0.00010733 | 9.92770896 | 0.366874800380 | 0.924624222189 | 0.06584518 | 0.0000804953300733 | -0.000221680000 | 0.065623500000 | 1 | 82 | 2.33496332518 | 4.58167015468 | blackjack: **47** ; srd: **507** ; bnb: **264** |
| bustabit-2019-2020-short.csv | 31.94357150 | 221.292333333 | 285 | 2010 | 2369 | 990 | 0 | 643 | bnb: **346** ; srd: **1** ; Total: **347** | 0.00010733 | 9.92770896 | 0.330399347061 | 0.865787737045 | 0.08349131 | 0.0000843346565657 | -0.000193800000 | 0.083297510000 | 1 | 82 | 2.39292929293 | 4.27589364178 | blackjack: **68** ; srd: **576** ; bnb: **346** |
| bustabit-2019-2020-short.csv | 84.81915274 | 241.685714286 | 486 | 2421 | 2626 | 1079 | 0 | 690 | bnb: **388** ; srd: **1** ; Total: **389** | 0.00010733 | 9.92770896 | 0.314925726159 | 0.839890154736 | 0.09346842 | 0.0000866250417053 | -0.000330480000 | 0.093137940000 | 1 | 82 | 2.43373493976 | 4.17997390696 | blackjack: **78** ; srd: **613** ; bnb: **388** |
| bustabit-2019-2020-short.csv | 162.26915544 | 285.676750000 | 666 | 2827 | 2891 | 1173 | 0 | 729 | bnb: **443** ; srd: **1** ; Total: **444** | 0.00010733 | 9.92770896 | 0.310771476420 | 0.820968067154 | 0.10313863 | 0.0000879272208014 | -0.000452880000 | 0.102685750000 | 1 | 82 | 2.46462063086 | 4.07646430444 | blackjack: **84** ; srd: **646** ; bnb: **443** |
| bustabit-2019-2020-short.csv | 316.56448279 | 337.072888889 | 899 | 3232 | 3115 | 1268 | 0 | 781 | bnb: **486** ; srd: **1** ; Total: **487** | 0.00010733 | 9.92770896 | 0.310131524430 | 0.799142166845 | 0.11178207 | 0.0000881562066246 | -0.000611320000 | 0.111170750000 | 1 | 82 | 2.45662460568 | 3.96398689081 | blackjack: **93** ; srd: **689** ; bnb: **486** |
| bustabit-2019-2020-short.csv | 312.72047207 | 398.369200000 | 1014 | 3588 | 3440 | 1412 | 0 | 865 | bnb: **546** ; srd: **1** ; Total: **547** | 0.00010733 | 9.92770896 | 0.308417386971 | 0.768806665306 | 0.12644710 | 0.0000895517705382 | -0.000689520000 | 0.125757580000 | 1 | 82 | 2.43626062323 | 3.79219828912 | blackjack: **109** ; srd: **757** ; bnb: **546** |
| bustabit-2019-2020-short.csv | 370.33210872 | 463.145090909 | 1163 | 3962 | 3738 | 1538 | 0 | 938 | bnb: **599** ; srd: **1** ; Total: **600** | 0.00010733 | 9.92770896 | 0.311932620458 | 0.750966719665 | 0.13862841 | 0.0000901355071521 | -0.000790840000 | 0.137837570000 | 1 | 82 | 2.43042912874 | 3.67631961417 | blackjack: **118** ; srd: **821** ; bnb: **599** |
| bustabit-2019-2020-short.csv | 369.75430285 | 524.960833333 | 1259 | 4303 | 4069 | 1697 | 0 | 1024 | bnb: **672** ; srd: **1** ; Total: **673** | 0.00010733 | 9.99263885 | 0.330884201396 | 0.837571869774 | 0.15709288 | 0.0000925709369476 | -0.000856120000 | 0.156236760000 | 1 | 82 | 2.39776075427 | 3.52739543682 | blackjack: **131** ; srd: **894** ; bnb: **672** |
| bustabit-2019-2020-short.csv | 422.07422120 | 586.986769231 | 1413 | 4678 | 4359 | 1822 | 0 | 1093 | bnb: **728** ; srd: **1** ; Total: **729** | 0.00010733 | 9.99263885 | 0.322419524950 | 0.815524959853 | 0.16901011 | 0.0000927607628979 | -0.000960840000 | 0.168049270000 | 1 | 82 | 2.39242590560 | 3.43516200327 | blackjack: **148** ; srd: **946** ; bnb: **728** |
| bustabit-2019-2020-short.csv | 462.24711333 | 647.087571429 | 1456 | 5022 | 4738 | 1978 | 0 | 1171 | bnb: **806** ; srd: **1** ; Total: **807** | 0.00010733 | 9.99263885 | 0.330591860401 | 0.844637242411 | 0.17932135 | 0.0000906579120324 | -0.000990080000 | 0.178331270000 | 1 | 82 | 2.39534883721 | 3.33910758413 | blackjack: **159** ; srd: **1013** ; bnb: **806** |
| bustabit-2019-2020-short.csv | 448.10786918 | 705.088000000 | 1577 | 5373 | 5050 | 2127 | 0 | 1253 | bnb: **873** ; srd: **1** ; Total: **874** | 0.00010733 | 9.99263885 | 0.332141508156 | 0.826141998244 | 0.19762961 | 0.0000929147202633 | -0.00107236000 | 0.19655725000 | 1 | 82 | 2.37423601316 | 3.25334390052 | blackjack: **166** ; srd: **1088** ; bnb: **873** |
| bustabit-2019-2020-short.csv | 440.07977194 | 759.302875000 | 1601 | 5662 | 5458 | 2338 | 0 | 1396 | bnb: **941** ; srd: **1** ; Total: **942** | 0.00010733 | 9.99263885 | 0.324112028990 | 0.793668842065 | 0.21594533 | 0.0000923632720274 | -0.00108868000 | 0.21485665000 | 1 | 82 | 2.33447390932 | 3.13280716020 | blackjack: **189** ; srd: **1208** ; bnb: **941** |
| bustabit-2019-2020-short.csv | 448.55134898 | 810.171058824 | 1663 | 5993 | 5838 | 2507 | 0 | 1507 | bnb: **999** ; srd: **1** ; Total: **1000** | 0.00010733 | 9.99263885 | 0.317443621951 | 0.770341910847 | 0.22545099 | 0.0000899285959314 | -0.00113084000 | 0.22432015000 | 1 | 82 | 2.32867969685 | 3.05973828551 | blackjack: **216** ; srd: **1292** ; bnb: **999** |
| bustabit-2019-2020-short.csv | 455.18346657 | 862.310666667 | 1789 | 6301 | 6152 | 2699 | 0 | 1639 | bnb: **1059** ; srd: **1** ; Total: **1060** | 0.00010733 | 9.99263885 | 0.311445710903 | 0.745650330571 | 0.24527288 | 0.0000908754649870 | -0.00121652000 | 0.24405636000 | 1 | 82 | 2.27936272694 | 2.97813632351 | blackjack: **225** ; srd: **1415** ; bnb: **1059** |
| bustabit-2019-2020-short.csv | 458.10432427 | 911.538947368 | 1823 | 6598 | 6543 | 2902 | 0 | 1767 | bnb: **1134** ; srd: **1** ; Total: **1135** | 0.00010733 | 9.99263885 | 0.312313772994 | 0.749770477426 | 0.26197932 | 0.0000902754376292 | -0.00123964000 | 0.26073968000 | 1 | 82 | 2.25465196416 | 2.88793399698 | blackjack: **253** ; srd: **1515** ; bnb: **1134** |
| bustabit-2019-2020-short.csv | 444.50565427 | 959.059600000 | 1879 | 6926 | 6928 | 3074 | 0 | 1880 | bnb: **1193** ; srd: **1** ; Total: **1194** | 0.00010733 | 9.99263885 | 0.30991203875 | 0.731813839474 | 0.27406042 | 0.0000891543331165 | -0.00127772000 | 0.27278270000 | 1 | 82 | 2.25374105400 | 2.88887820873 | blackjack: **275** ; srd: **1606** ; bnb: **1193** |
| bustabit-2019-2020-short.csv | 380.22426880 | 1002.83295238 | 1866 | 7224 | 7380 | 3276 | 0 | 2021 | bnb: **1254** ; srd: **1** ; Total: **1255** | 0.00010733 | 9.99263885 | 0.302632446338 | 0.711928568813 | 0.29540224 | 0.0000901716239316 | -0.00126888000 | 0.29413336000 | 1 | 82 | 2.25274725275 | 2.88024199973 | blackjack: **303** ; srd: **1719** ; bnb: **1254** |
| bustabit-2019-2020-short.csv | 370.11320492 | 1041.55900000 | 1875 | 7562 | 7798 | 3438 | 0 | 2110 | bnb: **1327** ; srd: **1** ; Total: **1328** | 0.00010733 | 9.99263885 | 0.301013622047 | 0.700462483581 | 0.30845321 | 0.0000897187929029 | -0.00127500000 | 0.30717821000 | 1 | 82 | 2.26817917394 | 2.88287201631 | blackjack: **319** ; srd: **1792** ; bnb: **1327** |
| bustabit-2019-2020-short.csv | 382.40599178 | 1079.88243478 | 1983 | 7902 | 8137 | 3598 | 0 | 2217 | bnb: **1380** ; srd: **1** ; Total: **1381** | 0.00010733 | 9.99263885 | 0.296851026667 | 0.687309371120 | 0.32063503 | 0.0000891147943302 | -0.00134844000 | 0.31928659000 | 1 | 82 | 2.26153418566 | 2.84043720137 | blackjack: **338** ; srd: **1880** ; bnb: **1380** |
| bustabit-2019-2020-short.csv | 370.75981299 | 1120.12525000 | 2097 | 8232 | 8468 | 3768 | 0 | 2332 | bnb: **1435** ; srd: **1** ; Total: **1436** | 0.00010733 | 9.99263885 | 0.292316591261 | 0.673911604118 | 0.33818921 | 0.0000897529750531 | -0.00142596000 | 0.33676325000 | 1 | 82 | 2.24734607219 | 2.79203394204 | blackjack: **361** ; srd: **1972** ; bnb: **1435** |
| bustabit-2019-2020-short.csv | 387.52815650 | 1162.10960000 | 2224 | 8569 | 8775 | 3931 | 0 | 2429 | bnb: **1501** ; srd: **1** ; Total: **1502** | 0.00010733 | 9.99263885 | 0.287899272902 | 0.663486228307 | 0.35200974 | 0.0000895471228695 | -0.00151232000 | 0.35049742000 | 1 | 82 | 2.23225642330 | 2.75094015322 | blackjack: **387** ; srd: **2043** ; bnb: **1501** |
| bustabit-2019-2020-short.csv | 396.80582420 | 1204.36400000 | 2281 | 8898 | 9140 | 4102 | 0 | 2522 | bnb: **1579** ; srd: **1** ; Total: **1580** | 0.00010733 | 9.99263885 | 0.283671957585 | 0.653534061049 | 0.36758247 | 0.0000896105485129 | -0.00155108000 | 0.36603139000 | 1 | 82 | 2.22818137494 | 2.70902211824 | blackjack: **401** ; srd: **2122** ; bnb: **1579** |
| bustabit-2019-2020-short.csv | 390.51833815 | 1244.45933333 | 2324 | 9186 | 9532 | 4314 | 0 | 2669 | bnb: **1644** ; srd: **1** ; Total: **1645** | 0.00010733 | 9.99263885 | 0.277671119513 | 0.639632628859 | 0.38423071 | 0.0000890659967548 | -0.00158032000 | 0.38265039000 | 1 | 82 | 2.20955030134 | 2.66720325939 | blackjack: **423** ; srd: **2247** ; bnb: **1644** |
| bustabit-2019-2020-short.csv | 391.12004141 | 1284.38964286 | 2414 | 9481 | 9878 | 4519 | 0 | 2810 | bnb: **1708** ; srd: **1** ; Total: **1709** | 0.00010733 | 9.99263885 | 0.270756385719 | 0.626282638890 | 0.40735065 | 0.0000901417680903 | -0.00164152000 | 0.40570913000 | 1 | 82 | 2.18588183226 | 2.62306060488 | blackjack: **447** ; srd: **2364** ; bnb: **1708** |
| bustabit-2019-2020-short.csv | 388.89917262 | 1324.39820690 | 2495 | 9785 | 10233 | 4715 | 0 | 2942 | bnb: **1772** ; srd: **1** ; Total: **1773** | 0.00010733 | 9.99263885 | 0.268471487961 | 0.615951551169 | 0.42398490 | 0.0000899225662778 | -0.00169660000 | 0.42228830000 | 1 | 82 | 2.17030752916 | 2.57934104445 | blackjack: **462** ; srd: **2481** ; bnb: **1772** |
| bustabit-2019-2020-short.csv | 385.79412397 | 1363.23593333 | 2476 | 10050 | 10678 | 4950 | 0 | 3103 | bnb: **1846** ; srd: **1** ; Total: **1847** | 0.00010733 | 9.99263885 | 0.264719826996 | 0.603497969851 | 0.44089290 | 0.0000890692727273 | -0.00168368000 | 0.43920922000 | 1 | 82 | 2.15717171717 | 2.53557116173 | blackjack: **491** ; srd: **2613** ; bnb: **1846** |
| bustabit-2019-2020-short.csv | 372.02841580 | 1399.21361290 | 2468 | 10321 | 11085 | 5179 | 0 | 3231 | bnb: **1947** ; srd: **1** ; Total: **1948** | 0.00010733 | 9.99263885 | 0.260328658292 | 0.593988924637 | 0.46643562 | 0.0000900628731415 | -0.00167824000 | 0.46475738000 | 1 | 82 | 2.14037458969 | 2.49499102968 | blackjack: **505** ; srd: **2727** ; bnb: **1947** |
| bustabit-2019-2020-short.csv | 372.48012978 | 1431.41637500 | 2443 | 10587 | 11518 | 5413 | 0 | 3373 | bnb: **2039** ; srd: **1** ; Total: **2040** | 0.00010733 | 9.99263885 | 0.257387309973 | 0.584623314361 | 0.48486688 | 0.0000895745205986 | -0.00166124000 | 0.48320564000 | 1 | 82 | 2.12784038426 | 2.45188489774 | blackjack: **527** ; srd: **2847** ; bnb: **2039** |
| bustabit-2019-2020-short.csv | 364.22456845 | 1462.86406061 | 2478 | 10895 | 11920 | 5605 | 0 | 3502 | bnb: **2102** ; srd: **1** ; Total: **2103** | 0.00010733 | 9.99263885 | 0.252484764232 | 0.576024787898 | 0.49709220 | 0.0000886872792150 | -0.00168504000 | 0.49540716000 | 1 | 82 | 2.12667261374 | 2.43194531967 | blackjack: **557** ; srd: **2946** ; bnb: **2102** |
