id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00001412,0.00006785,6.78846153846E-8,srd,2,0,2,0.00347188,18,17,455
1,0.00010100,0.00000568,0.00004025,4.02836879433E-8,srd,1,0,2,0.00336520,17,17,399
2,0.00329400,0.00000311,0.00002205,2.20567375887E-8,srd,1,0,2,0.00006809,17,17,219
3,0.00410100,0.00000312,0.00001499,1.5E-8,srd,2,0,2,0.09918988,17,16,-429
4,0.00329000,0.00000960,0.00004611,4.61538461538E-8,srd,2,0,2,0.09595837,16,15,91
5,0.00319400,0.00000953,0.00006753,6.75886524823E-8,srd,1,0,2,0.00474147,15,15,670
6,0.00040100,0.00001419,0.00010060,1.00638297872E-7,srd,1,0,2,0.01528481,15,15,997
7,0.00262000,0.00001481,0.00010498,1.05035460993E-7,srd,1,0,2,0.00067919,15,15,1040
8,0.00100000,0.00002193,0.00010539,1.05432692308E-7,srd,2,0,2,0.00242067,15,14,1081
9,0.00650000,0.00001780,0.00006448,6.44927536232E-8,srd,3,0,2,0.00074939,15,13,157
10,0.00014000,0.00001425,0.00010103,1.01063829787E-7,srd,1,0,2,0.00059514,13,13,1002
11,0.00310000,0.00000299,0.00002119,2.12056737589E-8,srd,1,0,2,0.00163848,20,20,211
12,0.00010100,0.00000954,0.00006764,6.76595744681E-8,srd,1,0,2,0.00152794,21,21,670
13,0.00113200,0.00000754,0.00005342,5.34751773050E-8,srd,1,0,2,0.00369046,21,21,530
14,0.00010200,0.00000313,0.00002215,2.21985815603E-8,srd,1,0,2,0.00318487,21,21,220
15,0.00400000,0.00002669,0.00012831,1.28317307692E-7,srd,2,0,2,0.01484818,27,26,1464
16,0.00100000,0.00001619,0.00011481,1.14822695035E-7,srd,1,0,2,0.00398381,26,26,1137
17,0.00300000,0.00005994,0.00024160,2.44653061224E-7,bnb,3,0,1,,28,25,2939
18,0.00665800,0.00007667,0.00027934,3.12938775510E-7,bnb,3,0,1,,25,22,4453
19,0.00110000,0.00004860,0.00025222,2.74576271186E-7,bnb,2,0,1,,22,20,2440
20,0.00090000,0.00004241,0.00020389,2.03894230769E-7,srd,2,0,2,0.00074273,20,19,2727
21,0.00110000,0.00002556,0.00018122,1.81276595745E-7,srd,1,0,2,0.00897444,19,19,1795
22,0.00209300,0.00003562,0.00025260,2.52624113475E-7,srd,1,0,2,0.02287138,19,19,2502
23,0.00332600,0.00002680,0.00019006,1.90070921986E-7,srd,1,0,2,0.01951858,19,19,1883
24,0.00424600,0.00003085,0.00014830,1.48317307692E-7,srd,2,0,2,0.00060696,19,18,1798
25,0.00333000,0.00003517,0.00016908,1.69086538462E-7,srd,2,0,2,0.01158301,18,17,2145
26,0.00200000,0.00002620,0.00018578,1.85815602837E-7,srd,1,0,2,0.00187380,17,17,1840
27,0.00337500,0.00002370,0.00016808,1.68085106383E-7,srd,1,0,2,0.00660130,17,17,1665
28,0.00300000,0.00002331,0.00016531,1.65319148936E-7,srd,1,0,2,0.00066715,17,17,1638
29,0.00294600,0.00003469,0.00016675,1.66778846154E-7,srd,2,0,2,0.00758907,17,16,2105
30,0.00332500,0.00003594,0.00025488,2.54893617021E-7,srd,1,0,2,0.00561350,17,17,2525
31,0.00332500,0.00003407,0.00024158,2.41631205674E-7,srd,1,0,2,0.00423000,17,17,2392
32,0.00330000,0.00002692,0.00019090,1.90921985816E-7,srd,1,0,2,0.00090308,17,17,1891
33,0.00336300,0.00001756,0.00012449,1.24539007092E-7,srd,1,0,2,0.00641944,17,17,1233
34,0.00333400,0.00003154,0.00022367,2.23687943262E-7,srd,1,0,2,0.01191927,20,20,2215
35,0.00030000,0.00002605,0.00018471,1.84751773050E-7,srd,1,0,2,0.01125696,20,20,1830
36,0.00300100,0.00001751,0.00012415,1.24184397163E-7,srd,1,0,2,0.01650007,20,20,1230
37,0.00332900,0.00000455,0.00003221,3.22695035461E-8,srd,1,0,2,0.00326775,21,21,320
38,0.00332700,0.00001131,0.00005433,5.4375E-8,srd,2,0,2,0.09588781,21,20,229
39,0.00332700,0.00002315,0.00011128,1.11298076923E-7,srd,2,0,2,0.00978061,20,19,1179
40,0.00322700,0.00002971,0.00021068,2.10709219858E-7,srd,1,0,2,0.09263110,19,19,2087
41,0.00332000,0.00004140,0.00010115,1.08661417323E-7,bnb,5,0,1,,19,14,315
42,0.00198400,0.00000626,0.00002268,2.26811594203E-8,srd,3,0,2,0.01187689,15,13,-824
43,0.00322000,0.00000665,0.00004712,4.71631205674E-8,srd,1,0,2,0.00319279,13,13,468
44,0.00505500,0.00004387,0.00031108,3.11134751773E-7,srd,1,0,2,0.00682040,15,15,3081
45,0.00105000,0.00005510,0.00039072,3.90780141844E-7,srd,1,0,2,0.00829490,16,16,3869
46,0.00020000,0.00005007,0.00035509,3.55106382979E-7,srd,1,0,2,0.00294272,16,16,3516
47,0.00086900,0.00005574,0.00039528,3.95319148936E-7,srd,1,0,2,0.00201798,16,16,3914
48,0.00020400,0.00011323,0.00080301,8.03049645390E-7,srd,1,0,2,0.00946338,17,17,7951
49,0.00322600,0.00014012,0.00099370,9.93758865248E-7,srd,1,0,2,0.00345428,17,17,9839
50,0.00334300,0.00011128,0.00094015,0.00000101163636364,bnb,1,0,1,,17,16,6499
51,0.00668000,0.00013029,0.00092398,9.24042553191E-7,srd,1,0,2,0.08582081,16,16,9149
52,0.00332500,0.00013725,0.00097336,9.73404255319E-7,srd,1,0,2,0.08235856,16,16,9637
53,0.00332500,0.00020089,0.00096578,9.65817307692E-7,srd,2,0,2,0.00628409,16,15,15450
54,0.00332500,0.00013070,0.00092693,9.26950354610E-7,srd,1,0,2,0.01304437,15,15,9178
55,0.00332500,0.00019575,0.00094109,9.41105769231E-7,srd,2,0,2,0.08183781,15,14,15038
56,0.00300000,0.00023050,0.00083513,8.35144927536E-7,srd,3,0,2,0.01194185,14,12,18266
57,0.00332700,0.00018870,0.00090717,9.07211538462E-7,srd,2,0,2,0.01142615,12,11,14471
58,0.00332500,0.00007267,0.00051533,5.15390070922E-7,srd,1,0,2,0.00660233,11,11,5103
59,0.00300000,0.00004131,0.00029292,2.92978723404E-7,srd,1,0,2,0.07879650,11,11,2901
60,0.00332700,0.00004727,0.00033519,3.35248226950E-7,srd,1,0,2,0.00850262,11,11,3320
61,0.00332700,0.00005546,0.00039329,3.93333333333E-7,srd,1,0,2,0.00223104,11,11,3895
62,0.00332800,0.00007122,0.00050508,5.05106382979E-7,srd,1,0,2,0.00489568,11,11,5001
63,0.00332900,0.00007152,0.00050722,5.07234042553E-7,srd,1,0,2,0.00802563,11,11,5023
64,0.00333000,0.00007734,0.00054847,5.48510638298E-7,srd,1,0,2,0.00148834,11,11,5431
65,0.00332500,0.00010407,0.00050031,5.00336538462E-7,srd,2,0,2,0.03269786,11,10,7677
66,0.00332500,0.00007185,0.00050953,5.09574468085E-7,srd,1,0,2,0.07539965,10,10,5045
67,0.00333500,0.00006353,0.00045050,4.50567375887E-7,srd,1,0,2,0.02929933,10,10,4461
68,0.00332500,0.00013272,0.00063805,6.38076923077E-7,srd,2,0,2,0.02732995,10,9,9976
69,0.00332500,0.00019311,0.00092840,9.28413461538E-7,srd,2,0,2,0.00721555,9,8,14827
70,0.00300000,0.00012570,0.00089143,8.91489361702E-7,srd,1,0,2,0.00489993,8,8,8826
71,0.00321200,0.00008964,0.00063572,6.35744680851E-7,srd,1,0,2,0.00330069,8,8,6294
72,0.00200000,0.00005160,0.00036592,3.65957446809E-7,srd,1,0,2,0.00423249,9,9,3624
73,0.00320000,0.00005031,0.00035674,3.56808510638E-7,srd,1,0,2,0.07214934,9,9,3532
74,0.00332500,0.00006594,0.00046759,4.67659574468E-7,srd,1,0,2,0.06875840,9,9,4630
75,0.00330000,0.00006201,0.00043977,4.39787234043E-7,srd,1,0,2,0.00385354,9,9,4355
76,0.00339300,0.00005575,0.00039534,3.95390070922E-7,srd,1,0,2,0.02388120,9,9,3915
77,0.00332700,0.00009698,0.00046623,4.6625E-7,srd,2,0,2,0.00410920,9,8,7108
78,0.00334100,0.00010744,0.00051652,5.16538461538E-7,srd,2,0,2,0.06630996,8,7,7948
79,0.00332700,0.00008824,0.00042419,4.24230769231E-7,srd,2,0,2,0.06674826,7,6,6405
80,0.00332900,0.00007783,0.00055196,5.51985815603E-7,srd,1,0,2,0.06334143,7,7,5466
81,0.00932800,0.00021266,0.00077048,7.70507246377E-7,srd,3,0,2,0.06280990,7,5,16749
82,0.00333000,0.00012892,0.00091432,9.14326241135E-7,srd,1,0,2,0.05935098,6,6,9053
83,0.00332500,0.00014536,0.00103088,0.00000103092198582,srd,1,0,2,0.05588062,6,6,10206
84,0.00332500,0.00013092,0.00092846,9.28510638298E-7,srd,1,0,2,0.05242470,6,6,9193
85,0.00300000,0.00011053,0.00078387,7.83900709220E-7,srd,1,0,2,0.00598947,6,6,7761
86,0.02047700,0.00011108,0.00078774,7.87801418440E-7,srd,1,0,2,0.03183662,6,6,7799
87,0.00172200,0.00016279,0.00115449,0.00000115453900709,srd,1,0,2,0.01525521,6,6,11430
88,0.00265000,0.00020217,0.00143381,0.00000143382978723,srd,1,0,2,0.00313730,7,7,14195
89,0.00333000,0.00026631,0.00128029,0.00000128033653846,srd,2,0,2,0.01479620,7,6,20701
90,0.00332500,0.00016663,0.00118175,0.00000118177304965,srd,1,0,2,0.02038957,6,6,11700
91,0.01500000,0.00028004,0.00134631,0.00000134634615385,srd,2,0,2,0.03135278,7,6,21804
92,0.00100000,0.00016816,0.00119259,0.00000119262411348,srd,1,0,2,0.02883184,6,6,11808
93,0.01000000,0.00016836,0.00119400,0.00000119404255319,srd,1,0,2,0.01022121,6,6,11822
94,0.00200000,0.00014956,0.00106066,0.00000106070921986,srd,1,0,2,0.00807165,9,9,10502
95,0.00200000,0.00016826,0.00119330,0.00000119333333333,srd,1,0,2,0.02918452,9,9,11815
96,0.00200000,0.00026884,0.00190664,0.00000190666666667,srd,1,0,2,0.02656300,12,12,18877
97,0.00100000,0.00025618,0.00181687,0.00000181687943262,srd,1,0,2,0.00354382,12,12,17988
98,0.01500000,0.00029769,0.00086536,8.65377906977E-7,srd,4,0,2,0.05206530,15,12,24183
99,0.00200000,0.00009341,0.00066242,6.62482269504E-7,srd,1,0,2,0.04997189,12,12,6559
