id,input_amounts
0,"['0.00329000', '0.00329600']"
1,['0.00347188']
2,['0.00336520']
3,"['0.10000000', '0.00329400']"
4,"['0.00006809', '0.09918988']"
5,['0.00794500']
6,['0.01570000']
7,['0.00331400']
8,"['0.00014860', '0.00329400']"
9,"['0.00329400', '0.00067919', '0.00329400']"
10,['0.00074939']
11,['0.00474147']
12,['0.00163848']
13,['0.00483000']
14,['0.00329000']
15,"['0.00318487', '0.01569000']"
16,['0.00500000']
17,"['0.00152794', '0.00050000', '0.00103200']"
18,"['0.00100000', '0.00331400', '0.00242067']"
19,"['0.00014860', '0.00100000']"
20,"['0.00059514', '0.00109000']"
21,['0.01010000']
22,['0.02500000']
23,['0.02287138']
24,"['0.00398381', '0.00090000']"
25,"['0.01484818', '0.00010000']"
26,['0.00390000']
27,['0.01000000']
28,['0.00369046']
29,"['0.00056976', '0.01000000']"
30,['0.00897444']
31,['0.00758907']
32,['0.00423000']
33,['0.00980000']
34,['0.01528481']
35,['0.01158301']
36,['0.01951858']
37,['0.00660130']
38,"['0.00326775', '0.09595837']"
39,"['0.01125696', '0.00187380']"
40,['0.09588781']
41,"['0.00074273', '0.00100000', '0.00060696', '0.00090308', '0.00010863']"
42,"['0.01300000', '0.00020000', '0.00066715']"
43,['0.00641944']
44,['0.01191927']
45,['0.00940000']
46,['0.00319279']
47,['0.00294272']
48,['0.00978061']
49,['0.00682040']
50,['0.00345428']
51,['0.09263110']
52,['0.08582081']
53,"['0.00946338', '0.00034660']"
54,['0.01650007']
55,"['0.00300000', '0.08235856']"
56,"['0.01304437', '0.00011000', '0.00201798']"
57,"['0.01194185', '0.00300000']"
58,['0.01000000']
59,['0.08183781']
60,['0.01187689']
61,['0.00561350']
62,['0.00829490']
63,['0.01142615']
64,['0.00489568']
65,"['0.03535793', '0.00076900']"
66,['0.07879650']
67,['0.03269786']
68,"['0.02929933', '0.00148834']"
69,"['0.00223104', '0.00850262']"
70,['0.00802563']
71,['0.00660233']
72,['0.00628409']
73,['0.07539965']
74,['0.07214934']
75,['0.00721555']
76,['0.02732995']
77,"['0.00330069', '0.00423249']"
78,"['0.00100000', '0.06875840']"
79,"['0.00385354', '0.06630996']"
80,['0.06674826']
81,"['0.06334143', '0.00489993', '0.00410920']"
82,['0.06280990']
83,['0.05935098']
84,['0.05588062']
85,['0.00910000']
86,['0.05242470']
87,['0.01714000']
88,['0.00598947']
89,"['0.01525521', '0.00313730']"
90,['0.02388120']
91,"['0.03183662', '0.01479620']"
92,['0.03000000']
93,['0.02038957']
94,['0.01022121']
95,['0.03135278']
96,['0.02883184']
97,['0.00480000']
98,"['0.02656300', '0.00354382', '0.02918452', '0.00807165']"
99,['0.05206530']
100,['0.04997189']
101,['0.04788378']
102,['0.04322273']
103,['0.04111928']
104,['0.00116387']
105,['0.03799031']
106,['0.03481446']
107,['0.03316587']
108,['0.00107722']
109,['0.03097797']
110,['0.02598901']
111,['0.02482779']
112,['0.02426360']
113,['0.02006301']
114,['0.01690025']
115,['0.01148573']
116,['0.01043455']
117,['0.00668338']
118,['0.00650722']
119,"['0.00008000', '0.00300000']"
120,"['0.00091371', '0.00500000', '0.00341677']"
121,"['0.00500000', '0.00006000']"
122,"['0.00228044', '0.00025639', '0.00089306']"
123,"['0.00464370', '0.00169500', '0.00090000', '0.00090000', '0.00040000']"
124,"['0.00454585', '0.00270000', '0.00080000']"
125,"['0.00360000', '0.00444318', '0.00200000']"
126,"['0.00006080', '0.00390000', '0.01109159']"
127,['0.00370000']
128,['0.00167456']
129,"['0.00030944', '0.00163049', '0.00120000', '0.00010000']"
130,['0.00800000']
