----BEGIN SIMULATION RESULTS----
Scenario: ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv
| Scenario File | Current Balance | Mean #UTXO | Current #UTXO | #Deposits | #Inputs Spent | #Withdraws | #Uneconomical outputs spent | #Change Created | #Changeless | Min Change Value | Max Change Value | Mean Change Value | Std. Dev. of Change Value | Total Fees | Mean Fees per Withdraw | Cost to Empty | Total Cost | Min Input Size | Max Input Size | Mean Input Size | Std. Dev. of Input Size | BnB Usage | SRD Usage | Knapsack Usage | #BnB no change | #SRD no change | #Knapsack no change |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 0.10000000 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -6.80000000E-7 | -6.80000000E-7 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 0.31893435 | 27.1500000000 | 30 | 267 | 432 | 233 | 0 | 194 | 39 | 0.00001189 | 0.09918988 | 0.0234612494330 | 0.0258921073093 | 0.01400915 | 0.0000601251072961 | -0.0000204000000 | 0.0139887500000 | 1 | 14 | 1.85407725322 | 1.80401686213 | 39 | 194 | 0 | 39 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 9.11109232 | 53.4880000000 | 163 | 594 | 767 | 406 | 0 | 335 | 71 | 0.00001189 | 4.94218618 | 0.709354596478 | 1.36193330393 | 0.03229354 | 0.0000795407389163 | -0.000110840000 | 0.032182700000 | 1 | 67 | 1.88916256158 | 3.69317432311 | 71 | 335 | 0 | 71 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 12.43828710 | 128.525333333 | 376 | 961 | 1007 | 539 | 0 | 421 | 118 | 0.00001189 | 4.94218618 | 0.746274515582 | 1.24708764490 | 0.04280018 | 0.0000794066419295 | -0.000255680000 | 0.042544500000 | 1 | 67 | 1.86827458256 | 3.32212575140 | 118 | 421 | 0 | 118 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 25.85447947 | 203.763500000 | 393 | 1318 | 1404 | 682 | 0 | 478 | 204 | 0.00001189 | 4.94218618 | 0.670601625941 | 1.18953817421 | 0.05372468 | 0.0000787751906158 | -0.000267240000 | 0.053457440000 | 1 | 67 | 2.05865102639 | 3.19913120524 | 204 | 478 | 0 | 204 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 30.87414666 | 235.462800000 | 342 | 1682 | 1877 | 818 | 0 | 536 | 282 | 0.00001189 | 4.94218618 | 0.608791837407 | 1.14012338271 | 0.06642982 | 0.0000812100488998 | -0.000232560000 | 0.066197260000 | 1 | 100 | 2.29462102689 | 4.70994628868 | 282 | 536 | 0 | 282 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 31.94257616 | 245.765666667 | 287 | 2010 | 2341 | 990 | 0 | 617 | 373 | 0.00001189 | 4.94218618 | 0.540794972382 | 1.07869868112 | 0.08448665 | 0.0000853400505051 | -0.000195160000 | 0.084291490000 | 1 | 100 | 2.36464646465 | 4.40990733875 | 373 | 617 | 0 | 373 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 84.81771852 | 262.200857143 | 479 | 2421 | 2593 | 1079 | 0 | 650 | 429 | 0.00001189 | 4.94218618 | 0.519101416138 | 1.05626712260 | 0.09490264 | 0.0000879542539388 | -0.000325720000 | 0.094576920000 | 1 | 100 | 2.40315106580 | 4.28718906296 | 429 | 650 | 0 | 429 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 162.26722843 | 299.728750000 | 638 | 2827 | 2876 | 1173 | 0 | 686 | 487 | 0.00001189 | 4.94218618 | 0.514897450802 | 1.03883419897 | 0.10506564 | 0.0000895700255754 | -0.000433840000 | 0.104631800000 | 1 | 100 | 2.45183290708 | 4.24068227326 | 487 | 686 | 0 | 487 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 316.56287323 | 347.740000000 | 891 | 3232 | 3083 | 1268 | 0 | 741 | 527 | 0.00001189 | 4.94218618 | 0.505237986316 | 1.00658234818 | 0.11339163 | 0.0000894255757098 | -0.000605880000 | 0.112785750000 | 1 | 100 | 2.43138801262 | 4.11275863009 | 527 | 741 | 0 | 527 | 0 | 0 |
