id,input_amounts
0,"['0.00329000', '0.10000000']"
1,['0.10017588']
2,['0.10006920']
3,['0.09677209']
4,['0.00329600']
5,['0.09266897']
6,['0.00331400']
7,['0.00329400']
8,['0.00331400']
9,"['0.00329400', '0.01570000']"
10,['0.00329000']
11,"['0.00014860', '0.00065919', '0.00229914']"
12,['0.01569000']
13,['0.00940000']
14,['0.00980000']
15,"['0.00050000', '0.00010000', '0.00329400', '0.00014860']"
16,['0.01000000']
17,['0.00390000']
18,"['0.00086593', '0.00483000', '0.00103200']"
19,['0.00969487']
20,['0.01248058']
21,['0.00313575']
22,"['0.00329400', '0.00109000', '0.00056976']"
23,"['0.00289881', '0.00826046']"
24,"['0.00898381', '0.00090000']"
25,['0.01010000']
26,['0.02500000']
27,['0.01155183']
28,"['0.01557946', '0.00201019']"
29,"['0.00100000', '0.00815313']"
30,['0.00674615']
31,['0.00560696']
32,"['0.00100000', '0.00224789', '0.00010863']"
33,['0.00338521']
34,['0.00779373']
35,['0.01000000']
36,['0.00794500']
37,['0.00855930']
38,['0.00967395']
39,['0.00500000']
40,"['0.00165730', '0.00522575']"
41,"['0.00300000', '0.01000000']"
42,['0.00965896']
43,['0.00633928']
44,['0.01300000']
45,['0.08946544']
46,['0.02297380']
47,"['0.00020000', '0.00279104']"
48,['0.00311263']
49,['0.08836034']
50,"['0.00361222', '0.00300000']"
51,['0.00790113']
52,"['0.00109084', '0.00100000', '0.00279540']"
53,"['0.00203982', '0.00492649']"
54,['0.00344042']
55,"['0.00307366', '0.00076900', '0.00034660', '0.00129259']"
56,"['0.00011000', '0.03535793']"
57,['0.02272373']
58,"['0.00442819', '0.00183311']"
59,['0.00617244']
60,['0.01926881']
61,['0.08499422']
62,"['0.03229422', '0.00282911']"
63,['0.01455526']
64,"['0.00313113', '0.03169027']"
65,['0.00767176']
66,['0.03137731']
67,['0.01115474']
68,['0.02798046']
69,['0.00775621']
70,['0.00427621']
71,['0.08161176']
72,['0.02456549']
73,['0.07831012']
74,['0.00430030']
75,['0.02251389']
76,['0.01915188']
77,['0.01589454']
78,"['0.00090936', '0.07505981', '0.00115051']"
79,['0.07363612']
80,['0.01570313']
81,['0.01250180']
82,"['0.00306516', '0.01229630']"
83,['0.01184128']
84,['0.07024930']
85,['0.00910000']
86,"['0.06679338', '0.00598947', '0.00837092']"
87,['0.06045935']
88,['0.05857456']
89,['0.05572239']
90,['0.05221186']
91,['0.04872023']
92,['0.03353040']
93,['0.03236224']
94,['0.02219388']
95,['0.02004432']
96,['0.01787606']
97,['0.01560722']
98,"['0.00300000', '0.00480000', '0.00100000', '0.01780000', '0.00006080']"
99,['0.01130427']
100,['0.01435104']
101,['0.01490000']
102,"['0.00480000', '0.00080000']"
103,"['0.00100000', '0.01714000']"
104,['0.00116387']
105,"['0.01494975', '0.00107722']"
106,['0.00390000']
107,"['0.00480000', '0.00171142']"
108,"['0.00100000', '0.00120000']"
109,"['0.00500000', '0.01226293']"
110,['0.01450000']
111,['0.00800000']
112,"['0.00444318', '0.00087643']"
113,['0.01000000']
114,"['0.00010000', '0.00108515', '0.00428175']"
115,['0.01023895']
116,['0.00918777']
117,['0.00100000']
118,"['0.00108643', '0.00454585']"
119,['0.00360000']
120,"['0.00921086', '0.00010000']"
121,"['0.00006000', '0.00500000']"
122,"['0.00090000', '0.00163049', '0.00090000']"
123,"['0.00008000', '0.00344740', '0.00228044', '0.00091371', '0.00082384', '0.00100000']"
124,"['0.00120000', '0.00683724']"
125,"['0.00300000', '0.00110000', '0.00225141', '0.00370000']"
126,"['0.00169500', '0.01333878']"
127,"['0.01000000', '0.00200000']"
128,['0.00464370']
129,['0.03500000']
130,['0.03177250']
131,"['0.00040000', '0.01276757']"
132,"['0.00100000', '0.02565380', '0.00054050']"
133,"['0.00290000', '0.00300000', '0.00025639', '0.00490000']"
134,"['0.00100000', '0.00226500', '0.00341677']"
135,"['0.00100000', '0.00200000', '0.00702543']"
136,"['0.00790000', '0.00213902']"
137,['0.00300000']
138,['0.01224120']
139,['0.02079943']
140,"['0.01053838', '0.00200000', '0.00049540']"
141,['0.00743581']
142,['0.00270000']
143,['0.00880000']
144,['0.01109159']
145,"['0.00388068', '0.00541003']"
146,['0.00897620']
147,"['0.00097686', '0.00069882']"
148,"['0.00065158', '0.00600000', '0.00070000']"
149,"['0.00290000', '0.00593087', '0.00100000']"
150,"['0.00158106', '0.00880000', '0.00500000']"
151,"['0.00300000', '0.01680000', '0.00327858', '0.00600000', '0.03000000']"
152,"['0.00100000', '0.00200000']"
153,"['0.01918341', '0.00980000', '0.00280000', '0.00996248', '0.00835178']"
154,['0.01000000']
155,['0.01500000']
156,"['0.01000000', '0.00900000', '0.00562922', '0.01000000', '0.00800000', '0.00095476', '0.06000000', '0.00860000', '0.00900000']"
157,"['0.01177252', '0.00543660']"
158,['0.01362988']
159,"['0.00963986', '0.05000000', '0.00592000', '0.00180000', '0.04000000']"
160,"['0.00728482', '0.02000000', '0.01277407', '0.05900000', '0.00100000']"
161,"['0.01990000', '0.02959206', '0.00100000', '0.00300000', '0.00500000', '0.00500000', '0.00084400', '0.00090000', '0.03300000', '0.00040000', '0.00969612']"
162,['0.00821209']
163,['0.01000000']
164,"['0.00318393', '0.00598651']"
165,['0.06000000']
166,['0.05499549']
167,"['0.00415908', '0.05429122']"
168,['0.05542602']
169,['0.04540780']
170,['0.04438980']
171,['0.03434864']
172,['0.03296829']
173,['0.03167969']
174,['0.02715903']
175,['0.02215465']
176,['0.01194838']
177,"['0.00017000', '0.00100000', '0.00700000', '0.00000200', '0.00038000', '0.00174553', '0.00021000']"
178,['0.02471042']
179,['0.01407764']
180,['0.01377219']
181,['0.01346660']
182,"['0.09990000', '0.00010000']"
183,['0.08918574']
184,"['0.00316417', '0.07885795']"
185,['0.07090387']
186,['0.07069766']
187,['0.07005957']
188,['0.05904056']
189,['0.04492614']
190,['0.03381524']
191,['0.03180887']
192,['0.02969932']
193,['0.01758676']
194,['0.00657275']
195,['0.00454591']
196,"['0.00900000', '0.01000000']"
197,"['0.00342519', '0.00342835']"
198,['0.00579614']
199,['0.09980000']
200,['0.05000000']
201,"['0.08082053', '0.00452461', '0.04797807']"
202,['0.12565530']
203,['0.12542990']
204,['0.09774391']
205,['0.09673951']
206,['0.08361467']
207,['0.06469184']
208,['0.05068258']
209,['0.04667249']
210,['0.04564955']
211,['0.04542509']
212,"['0.00097600', '0.07024500', '0.02900000']"
213,"['0.00400000', '0.02708174', '0.00028000']"
214,['0.00980000']
215,"['0.05000000', '0.02310000', '0.00180000', '0.00014000']"
216,"['0.00099000', '0.00006080', '0.00100000', '0.00800000']"
217,"['0.02400000', '0.00044827', '0.00990000', '0.05000000', '0.01570000']"
218,"['0.01090000', '0.00170000', '0.00050000', '0.00040000', '0.00090000', '0.00090000', '0.00180000', '0.00200000', '0.00900000', '0.00005460', '0.00090000', '0.00010000', '0.00090000', '0.00005460']"
219,['0.00949014']
220,['0.00928215']
221,"['0.00019558', '0.00500000', '0.00500000', '0.00039116', '0.01000000', '0.00390000', '0.00500000', '0.00193800', '0.00390000', '0.00263338', '0.00318000', '0.01000000', '0.06000000', '0.00290000', '0.01030000']"
222,"['0.01000000', '0.01000000', '0.01950000']"
223,['0.01000000']
224,"['0.00010000', '0.00100000', '0.00973472', '0.01000000', '0.00010000', '0.01000000']"
225,"['0.00969500', '0.05000000', '0.07000000', '0.01944692', '0.00096700']"
226,"['0.01000000', '0.00551018', '0.01940000', '0.03000000', '0.02000000', '0.01000000', '0.00229870', '0.01000000', '0.03000000']"
227,['0.01950000']
228,['0.01000000']
229,['0.00500000']
230,['0.01000000']
231,['0.01940000']
232,['0.01000000']
233,"['0.00237094', '0.00905800', '0.00161670', '0.09743739']"
234,"['0.00020000', '0.01930000', '0.00637176']"
235,['0.01201777']
236,"['0.00013629', '0.00114700']"
237,['0.01930000']
238,['0.01942388']
239,"['0.00006184', '0.01000000']"
240,"['0.00222825', '0.00397516', '0.00972322', '0.00110000']"
241,"['0.00010000', '0.01000000']"
242,"['0.01875193', '0.00127802', '0.00976815', '0.00100000']"
243,"['0.00100000', '0.00250000', '0.00010000']"
244,"['0.01743111', '0.01900091', '0.01200000', '0.00170883', '0.03000000', '0.02000000']"
245,"['0.00947261', '0.00960494']"
246,"['0.01000000', '0.00971234', '0.00072800', '0.01000000', '0.00980000', '0.00020000', '0.00989938', '0.02700000', '0.01000000', '0.00020000', '0.00500000', '0.00196900', '0.00595718']"
247,['0.00851329']
248,"['1.00000000', '0.20000000', '0.00050000']"
249,"['0.00799172', '0.20033526']"
250,['0.10471621']
251,"['0.00050000', '0.01000000', '0.00980000', '0.05500000', '0.00100000', '1.00000000', '0.00050000', '0.00050000', '0.01500000', '0.00040000', '0.09656168', '0.00020000']"
252,['0.98926160']
253,['0.93622591']
254,['0.83618365']
255,['0.73614927']
256,['0.53608226']
257,['0.53580123']
258,['0.48478267']
259,['0.48069530']
260,['0.48024272']
261,['0.47988868']
262,['0.47935037']
263,['0.47893949']
264,['0.47725631']
265,['0.47659852']
266,['0.46220300']
267,['0.00100000']
268,['0.46137566']
269,['0.46105689']
270,['0.46069784']
271,['0.46007609']
272,['0.44593483']
273,['0.44480275']
