----BEGIN SIMULATION RESULTS----
Scenario: ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv
| Scenario File | Current Balance | Mean #UTXO | Current #UTXO | #Deposits | #Inputs Spent | #Withdraws | #Uneconomical outputs spent | #Change Created | #Changeless | Min Change Value | Max Change Value | Mean Change Value | Std. Dev. of Change Value | Total Fees | Mean Fees per Withdraw | Cost to Empty | Total Cost | Min Input Size | Max Input Size | Mean Input Size | Std. Dev. of Input Size | BnB Usage | SRD Usage | Knapsack Usage | #BnB no change | #SRD no change | #Knapsack no change |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 0.10000000 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -6.80000000E-7 | -6.80000000E-7 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 0.31846168 | 27.7760000000 | 33 | 267 | 429 | 233 | 0 | 194 | 39 | 0.00054050 | 0.12565530 | 0.0239058660309 | 0.0283486694750 | 0.01448182 | 0.0000621537339056 | -0.0000224400000 | 0.0144593800000 | 1 | 15 | 1.84120171674 | 1.85825797121 | 39 | 194 | 0 | 39 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 9.11176034 | 60.6620000000 | 181 | 594 | 742 | 406 | 0 | 328 | 78 | 0.00054050 | 8.78496593 | 0.182687168933 | 0.542202728960 | 0.03162552 | 0.0000778953694581 | -0.000123080000 | 0.031502440000 | 1 | 15 | 1.82758620690 | 1.98757314299 | 78 | 328 | 0 | 78 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 12.43899770 | 122.378666667 | 352 | 961 | 1028 | 539 | 0 | 418 | 121 | 0.00054050 | 8.78496593 | 0.347841055335 | 0.664957688001 | 0.04208958 | 0.0000780882745826 | -0.000239360000 | 0.041850220000 | 1 | 15 | 1.90723562152 | 2.16827487878 | 121 | 418 | 0 | 121 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 25.85468290 | 186.625 | 326 | 1318 | 1470 | 682 | 0 | 477 | 205 | 0.00054050 | 8.78496593 | 0.316777428302 | 0.630162091082 | 0.05352125 | 0.0000784769061584 | -0.000221680000 | 0.053299570000 | 1 | 40 | 2.15542521994 | 2.88383130668 | 205 | 477 | 0 | 205 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 30.87394581 | 208.264000000 | 270 | 1682 | 1946 | 818 | 0 | 533 | 285 | 0.00054050 | 9.99898681 | 0.317930832814 | 0.760598068850 | 0.06663067 | 0.0000814555867971 | -0.000183600000 | 0.066447070000 | 1 | 80 | 2.37897310513 | 4.12273725446 | 285 | 533 | 0 | 285 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 31.94230259 | 214.036000000 | 231 | 2010 | 2395 | 990 | 0 | 615 | 375 | 0.00054050 | 9.99898681 | 0.284477229415 | 0.714680277247 | 0.08476022 | 0.0000856163838384 | -0.000157080000 | 0.084603140000 | 1 | 80 | 2.41919191919 | 3.87168238926 | 375 | 615 | 0 | 375 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 84.81666595 | 225.832857143 | 401 | 2421 | 2670 | 1079 | 0 | 649 | 430 | 0.00054050 | 9.99898681 | 0.274945151988 | 0.698554617735 | 0.09595521 | 0.0000889297590361 | -0.000272680000 | 0.095682530000 | 1 | 80 | 2.47451343837 | 3.78075503640 | 430 | 649 | 0 | 430 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 162.26627557 | 260.942750000 | 586 | 2827 | 2932 | 1173 | 0 | 690 | 483 | 0.00054050 | 9.99898681 | 0.279127166812 | 0.684315239670 | 0.10601850 | 0.0000903823529412 | -0.000398480000 | 0.105620020000 | 1 | 80 | 2.49957374254 | 3.68874889615 | 483 | 690 | 0 | 483 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 316.56214722 | 307.827111111 | 841 | 3232 | 3132 | 1268 | 0 | 740 | 528 | 0.00054050 | 9.99898681 | 0.292337061338 | 0.756763437778 | 0.11411764 | 0.0000899981388013 | -0.000571880000 | 0.113545760000 | 1 | 80 | 2.47003154574 | 3.57972246731 | 528 | 740 | 0 | 528 | 0 | 0 |
