id,input_amounts
0,"['0.00483000', '0.00500000', '0.00329000']"
1,['0.01000127']
2,['0.00989459']
3,['0.00659748']
4,"['0.00329400', '0.00329400', '0.00329000', '0.00014860', '0.00329400']"
5,"['0.00329600', '0.00331400', '0.00329400', '0.00331400']"
6,['0.01000076']
7,"['0.01001160', '0.00958557']"
8,['0.01695533']
9,"['0.00249436', '0.01594047']"
10,['0.01192141']
11,['0.01176716']
12,['0.00866417']
13,['0.00855363']
14,['0.00741409']
15,['0.00730896']
16,['0.00329086']
17,"['0.00227467', '0.01569000']"
18,['0.01491441']
19,['0.00821702']
20,['0.00708145']
21,['0.00615270']
22,"['0.00390000', '0.01000000']"
23,"['0.01175445', '0.00502714']"
24,"['0.00103200', '0.01010000', '0.00056976']"
25,['0.01341605']
26,['0.00741482']
27,['0.10000000']
28,['0.00940000']
29,['0.09660130']
30,['0.09363178']
31,['0.01006220']
32,['0.09027084']
33,"['0.00538862', '0.00670313']"
34,['0.08694392']
35,['0.00870285']
36,['0.00837680']
37,"['0.08357838', '0.00637669']"
38,"['0.08661937', '0.00535829']"
39,['0.08863935']
40,['0.08529665']
41,['0.08203994']
42,['0.07870567']
43,['0.07671847']
44,['0.07349182']
45,['0.06839295']
46,['0.06728785']
47,['0.06703778']
48,['0.06611304']
49,['0.06579581']
50,['0.06242969']
51,['0.05895412']
52,['0.05214383']
53,['0.04868158']
54,['0.04522040']
55,['0.04176470']
56,['0.03830700']
57,['0.03518924']
58,['0.03173432']
59,['0.02833665']
60,['0.02529534']
61,['0.02192107']
62,['0.01853861']
63,['0.01513939']
64,['0.01173887']
65,['0.01300000']
66,"['0.00833153', '0.00960445']"
67,['0.01450499']
68,"['0.00014860', '0.00034660', '0.00300000']"
69,['0.01000000']
70,['0.01110646']
71,"['0.00654409', '0.00798076']"
72,['0.01118062']
73,['0.00912902']
74,['0.00587871']
75,"['0.00090000', '0.00248777']"
76,['0.01570000']
77,['0.01225125']
78,"['0.00010863', '0.00010000', '0.01000000']"
79,"['0.00885851', '0.00672507']"
80,['0.01216834']
81,['0.02500000']
82,['0.01556336']
83,['0.00876151']
84,"['0.00300000', '0.00050000']"
85,"['0.01210444', '0.00529115']"
86,"['0.00076900', '0.00910000', '0.00011000', '0.00980000', '0.00100000']"
87,['0.01423254']
88,['0.01234775']
89,['0.00949558']
90,['0.00598505']
91,"['0.00794500', '0.01714000']"
92,['0.00980496']
93,['0.03000000']
94,['0.01983164']
95,['0.01768208']
96,['0.01551382']
97,['0.01324498']
98,"['0.01198880', '0.00863680']"
99,['0.00249342']
100,['0.00544560']
101,"['0.00006080', '0.00116387', '0.00335749', '0.00020000']"
102,"['0.00100000', '0.01780000']"
103,['0.01664740']
104,['0.01351843']
105,['0.01233319']
106,['0.00915734']
107,['0.00750875']
108,['0.00107722']
109,['0.00532085']
110,"['0.00790000', '0.00033189', '0.00300000']"
111,['0.01001207']
112,['0.00944788']
113,['0.00524729']
114,['0.03535793']
115,['0.02994341']
116,['0.02889223']
117,['0.02514106']
118,['0.02496490']
119,['0.01935074']
120,['0.01629124']
121,['0.00700049']
122,"['0.00195544', '0.00208453']"
123,"['0.00061954', '0.00120000', '0.00008000', '0.00454585', '0.00090000', '0.00120000']"
124,"['0.00300000', '0.00163049', '0.00341677']"
125,"['0.00270000', '0.00290000', '0.00444318']"
126,"['0.00370000', '0.01109159', '0.00025639']"
127,"['0.00109000', '0.00006000', '0.00090000']"
128,"['0.00100000', '0.00300000', '0.00390000']"
129,['0.00651467']
130,"['0.00010000', '0.00100000', '0.00464370', '0.00040000']"
