----BEGIN SIMULATION RESULTS----
Scenario: ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv
| Scenario File | Current Balance | Mean #UTXO | Current #UTXO | #Deposits | #Inputs Spent | #Withdraws | #Uneconomical outputs spent | #Change Created | #Changeless | Min Change Value | Max Change Value | Mean Change Value | Std. Dev. of Change Value | Total Fees | Mean Fees per Withdraw | Cost to Empty | Total Cost | Min Input Size | Max Input Size | Mean Input Size | Std. Dev. of Input Size | BnB Usage | SRD Usage | Knapsack Usage | #BnB no change | #SRD no change | #Knapsack no change |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 0.10000000 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -6.80000000E-7 | -6.80000000E-7 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 0.31894515 | 28.8860000000 | 26 | 267 | 443 | 233 | 2 | 201 | 32 | 0.00033189 | 0.10396942 | 0.0227571863682 | 0.0248239146010 | 0.01399835 | 0.0000600787553648 | -0.0000176800000 | 0.0139806700000 | 1 | 16 | 1.90128755365 | 1.93730350921 | 32 | 44 | 157 | 32 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 9.11271693 | 72.4910000000 | 197 | 594 | 726 | 406 | 2 | 328 | 78 | 0.00013472 | 1.31998244 | 0.109718806006 | 0.186543492444 | 0.03066893 | 0.0000755392364532 | -0.000133960000 | 0.030534970000 | 1 | 16 | 1.78817733990 | 1.83907065314 | 78 | 57 | 271 | 78 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 12.44064554 | 145.918000000 | 401 | 961 | 997 | 539 | 2 | 436 | 103 | 0.00013472 | 1.31998244 | 0.197796162867 | 0.283425695246 | 0.04044174 | 0.0000750310575139 | -0.000272680000 | 0.040169060000 | 1 | 27 | 1.84972170686 | 2.27922060729 | 103 | 71 | 365 | 103 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 25.85722865 | 225.367500000 | 458 | 1318 | 1365 | 682 | 2 | 504 | 178 | 0.00013472 | 9.98462313 | 0.308501852679 | 1.15023643704 | 0.05097550 | 0.0000747441348974 | -0.000311440000 | 0.050664060000 | 1 | 27 | 2.00146627566 | 2.29824632554 | 178 | 93 | 411 | 178 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 30.87741545 | 277.743200000 | 528 | 1682 | 1744 | 818 | 2 | 589 | 229 | 0.00013472 | 9.98462313 | 0.518710917114 | 1.74876777914 | 0.06316103 | 0.0000772139731051 | -0.000359040000 | 0.062801990000 | 1 | 100 | 2.13202933985 | 4.15515206162 | 229 | 126 | 463 | 229 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 31.94700261 | 314.272666667 | 515 | 2010 | 2191 | 990 | 2 | 695 | 295 | 0.00013472 | 9.98462313 | 0.588278780950 | 1.79228030099 | 0.08006020 | 0.0000808688888889 | -0.000350200000 | 0.079710000000 | 1 | 100 | 2.21313131313 | 4.02545355613 | 295 | 166 | 529 | 295 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 84.82280706 | 356.303142857 | 741 | 2421 | 2421 | 1079 | 2 | 740 | 339 | 0.00013472 | 9.98462313 | 0.563742927176 | 1.74246910051 | 0.08981410 | 0.0000832382761816 | -0.000503880000 | 0.089310220000 | 1 | 100 | 2.24374420760 | 3.90029912670 | 339 | 174 | 566 | 339 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 162.27334781 | 421.121750000 | 978 | 2827 | 2647 | 1173 | 2 | 797 | 376 | 0.00013472 | 9.98462313 | 0.537028250753 | 1.68351267707 | 0.09894626 | 0.0000843531628303 | -0.000665040000 | 0.098281220000 | 1 | 100 | 2.25660699062 | 3.78831521440 | 376 | 195 | 602 | 376 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 316.56940011 | 495.468888889 | 1261 | 3232 | 2831 | 1268 | 2 | 859 | 409 | 0.00013472 | 9.98462313 | 0.509442052154 | 1.62626074605 | 0.10686475 | 0.0000842781940063 | -0.000857480000 | 0.106007270000 | 1 | 100 | 2.23264984227 | 3.66583323465 | 409 | 220 | 639 | 409 | 0 | 0 |
