----BEGIN SIMULATION RESULTS----
Scenario: ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv
| Scenario File | Current Balance | Mean #UTXO | Current #UTXO | #Deposits | #Inputs Spent | #Withdraws | #Uneconomical outputs spent | #Change Created | #Changeless | Min Change Value | Max Change Value | Mean Change Value | Std. Dev. of Change Value | Total Fees | Mean Fees per Withdraw | Cost to Empty | Total Cost | Min Input Size | Max Input Size | Mean Input Size | Std. Dev. of Input Size | BnB Usage | SRD Usage | Knapsack Usage | #BnB no change | #SRD no change | #Knapsack no change |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 0.10000000 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -6.80000000E-7 | -6.80000000E-7 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 0.31923035 | 27.6360000000 | 32 | 267 | 437 | 233 | 2 | 201 | 32 | 0.00005195 | 0.10036190 | 0.0216179754229 | 0.0244266066829 | 0.01371315 | 0.0000588547210300 | -0.0000217600000 | 0.0136913900000 | 1 | 13 | 1.87553648069 | 1.81158931692 | 32 | 58 | 143 | 32 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 9.11270033 | 62.3900000000 | 190 | 594 | 739 | 406 | 2 | 334 | 72 | 0.00005195 | 1.31998244 | 0.0897865018563 | 0.217437196037 | 0.03068553 | 0.0000755801231527 | -0.000129200000 | 0.030556330000 | 1 | 13 | 1.82019704433 | 1.95623371085 | 71 | 84 | 251 | 71 | 0 | 1 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 12.43947082 | 129.598000000 | 357 | 961 | 1027 | 539 | 2 | 422 | 117 | 0.00005195 | 1.43594973 | 0.187096790427 | 0.352123754924 | 0.04161646 | 0.0000772105009276 | -0.000242760000 | 0.041373700000 | 1 | 19 | 1.90538033395 | 2.23198046529 | 116 | 91 | 332 | 116 | 0 | 1 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 25.85625640 | 205.894500000 | 445 | 1318 | 1374 | 682 | 2 | 500 | 182 | 0.00005195 | 1.43594973 | 0.1700208325 | 0.327890657551 | 0.05194775 | 0.0000761697214076 | -0.000302600000 | 0.051645150000 | 1 | 19 | 2.01466275660 | 2.26958869673 | 181 | 113 | 388 | 181 | 0 | 1 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 30.87662312 | 254.526000000 | 470 | 1682 | 1796 | 818 | 2 | 583 | 235 | 0.00005195 | 2.04315706 | 0.223361593654 | 0.426155965763 | 0.06395336 | 0.0000781825916870 | -0.000319600000 | 0.063633760000 | 1 | 101 | 2.19559902200 | 4.64646114486 | 234 | 128 | 456 | 234 | 0 | 1 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 31.94503817 | 285.638333333 | 423 | 2010 | 2261 | 990 | 2 | 673 | 317 | 0.00005195 | 2.04315706 | 0.208968726360 | 0.406279481068 | 0.08202464 | 0.0000828531717172 | -0.000287640000 | 0.081737000000 | 1 | 101 | 2.28383838384 | 4.40920553411 | 316 | 161 | 513 | 316 | 0 | 1 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 84.82158752 | 319.531714286 | 680 | 2421 | 2471 | 1079 | 2 | 729 | 350 | 0.00005195 | 9.96987430 | 0.452551672140 | 1.22886534292 | 0.09103364 | 0.0000843685264133 | -0.000462400000 | 0.090571240000 | 1 | 101 | 2.29008341057 | 4.27359801274 | 349 | 181 | 549 | 349 | 0 | 1 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 162.27182945 | 380.900500000 | 901 | 2827 | 2708 | 1173 | 2 | 781 | 392 | 0.00005195 | 9.96987430 | 0.433797858399 | 1.19114983730 | 0.10046462 | 0.0000856475873828 | -0.000612680000 | 0.099851940000 | 1 | 101 | 2.30861040068 | 4.16616091714 | 391 | 190 | 592 | 391 | 0 | 1 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 316.56810665 | 451.516222222 | 1186 | 3232 | 2892 | 1268 | 2 | 845 | 423 | 0.00005195 | 9.96987430 | 0.418540789030 | 1.15592934754 | 0.10815821 | 0.0000852982728707 | -0.000806480000 | 0.107351730000 | 1 | 101 | 2.28075709779 | 4.02890605942 | 422 | 216 | 630 | 422 | 0 | 1 |
