id,input_amounts
0,"['0.00483000', '0.00500000', '0.00329000']"
1,['0.01000127']
2,['0.00989459']
3,['0.00659748']
4,"['0.00329000', '0.00329400', '0.00014860', '0.00329400', '0.00329400']"
5,"['0.00331400', '0.00329600', '0.00329400', '0.00331400']"
6,['0.01000076']
7,"['0.00958557', '0.01001160']"
8,['0.01695533']
9,"['0.01594047', '0.00249436']"
10,['0.01192141']
11,['0.01176716']
12,['0.00866417']
13,['0.00855363']
14,['0.00741409']
15,['0.00730896']
16,['0.00329086']
17,['0.01000000']
18,['0.00696593']
19,['0.00227467']
20,['0.00113910']
21,"['0.00103200', '0.00010863']"
22,['0.02500000']
23,['0.02287138']
24,['0.01951858']
25,['0.01525166']
26,"['0.00021035', '0.01189781']"
27,"['0.00026854', '0.00980000', '0.00100000']"
28,['0.01006951']
29,"['0.00704620', '0.00764714']"
30,['0.01171265']
31,['0.00835171']
32,['0.00499264']
33,"['0.00014860', '0.00109000', '0.00050000', '0.00166572']"
34,['0.01570000']
35,['0.01233446']
36,['0.01200841']
37,['0.00898990']
38,['0.00565635']
39,['0.00940000']
40,['0.00605730']
41,['0.01010000']
42,"['0.00280059', '0.00676573', '0.00232168']"
43,['0.00989774']
44,['0.00667109']
45,['0.00157222']
46,['0.00046712']
47,"['0.00794500', '0.00010000', '0.00056976']"
48,['0.00763666']
49,['0.00731943']
50,['0.00395331']
51,['0.10000000']
52,['0.09318971']
53,['0.08972746']
54,['0.08626628']
55,['0.08281058']
56,['0.07935288']
57,['0.07623512']
58,['0.07278020']
59,['0.06938253']
60,['0.06634122']
61,['0.06296695']
62,['0.05958449']
63,['0.05618527']
64,['0.05278475']
65,['0.04937741']
66,['0.04598186']
67,['0.04258501']
68,['0.03918648']
69,['0.03577151']
70,['0.03231560']
71,['0.02918990']
72,['0.02588826']
73,['0.02383666']
74,['0.02058635']
75,['0.01719541']
76,['0.01383340']
77,"['0.01038465', '0.00021705']"
78,"['0.01000000', '0.00390000', '0.00300000', '0.00100000']"
79,['0.01438131']
80,"['0.00717772', '0.01099449']"
81,['0.01472840']
82,['0.00529176']
83,"['0.00011000', '0.00300000', '0.00047774']"
84,"['0.00034660', '0.01000000', '0.00020000']"
85,['0.00696534']
86,"['0.01300000', '0.01569000', '0.00076900', '0.00910000', '0.00100000']"
87,['0.01875745']
88,['0.01687266']
89,['0.01402049']
90,['0.01050996']
91,"['0.00090000', '0.00183284', '0.03535793']"
92,['0.02271918']
93,['0.02155102']
94,"['0.00385481', '0.01138266']"
95,['0.01301685']
96,['0.01084859']
97,['0.00701833']
98,"['0.00480000', '0.01714000']"
99,"['0.00576215', '0.00676000']"
100,['0.01038436']
101,['0.01490000']
102,['0.01023895']
103,['0.00857975']
104,['0.00116387']
105,"['0.00545078', '0.00813550']"
106,['0.01032688']
107,['0.00829625']
108,['0.00107722']
109,['0.00610835']
110,['0.00867829']
111,['0.00111939']
112,['0.00751707']
113,['0.00331648']
114,"['0.00100000', '0.00444318']"
115,"['0.00015372', '0.00087643', '0.00006080']"
116,"['0.00200000', '0.00200000', '0.03000000']"
117,['0.03020846']
118,['0.03003230']
119,['0.02441814']
120,['0.02135864']
121,['0.01206789']
122,['0.00702284']
123,"['0.00228044', '0.00090000', '0.00006000', '0.00010000', '0.00341677', '0.00169500', '0.00010000']"
124,"['0.00270000', '0.00080000', '0.00454585']"
125,"['0.00040000', '0.00500000', '0.00464370']"
126,"['0.00370000', '0.01109159', '0.00025639']"
127,['0.00361704']
128,['0.00159160']
129,"['0.00100000', '0.00110000', '0.00022648', '0.00091371']"
