----BEGIN SIMULATION RESULTS----
Scenario: ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv
| Scenario File | Current Balance | Mean #UTXO | Current #UTXO | #Deposits | #Inputs Spent | #Withdraws | #Uneconomical outputs spent | #Change Created | #Changeless | Min Change Value | Max Change Value | Mean Change Value | Std. Dev. of Change Value | Total Fees | Mean Fees per Withdraw | Cost to Empty | Total Cost | Min Input Size | Max Input Size | Mean Input Size | Std. Dev. of Input Size | BnB Usage | SRD Usage | Knapsack Usage | #BnB no change | #SRD no change | #Knapsack no change |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 0.10000000 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -6.80000000E-7 | -6.80000000E-7 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 0.31876748 | 25.2080000000 | 25 | 267 | 447 | 233 | 2 | 204 | 29 | 0.00015372 | 0.09318971 | 0.0186655123039 | 0.0211799556208 | 0.01417602 | 0.0000608412875536 | -0.0000170000000 | 0.0141590200000 | 1 | 13 | 1.91845493562 | 1.82351810853 | 29 | 41 | 163 | 29 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 9.11227612 | 69.3780000000 | 202 | 594 | 728 | 406 | 2 | 335 | 71 | 0.00015372 | 1.31998244 | 0.136501573224 | 0.258256983692 | 0.03110974 | 0.0000766249753695 | -0.000137360000 | 0.030972380000 | 1 | 16 | 1.79310344828 | 1.81122746024 | 71 | 47 | 288 | 71 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 12.43892070 | 138.116000000 | 365 | 961 | 1014 | 539 | 2 | 417 | 122 | 0.00006247 | 1.31998244 | 0.173139634556 | 0.281584713026 | 0.04216658 | 0.0000782311317254 | -0.000248200000 | 0.041918380000 | 1 | 16 | 1.88126159555 | 1.97116798831 | 122 | 58 | 359 | 122 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 25.85546716 | 209.208000000 | 415 | 1318 | 1380 | 682 | 2 | 476 | 206 | 0.00006247 | 1.31998244 | 0.155596444790 | 0.268648753905 | 0.05273699 | 0.0000773269648094 | -0.000282200000 | 0.052454790000 | 1 | 16 | 2.02346041056 | 2.04056678999 | 206 | 80 | 396 | 206 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 30.87561311 | 251.996800000 | 454 | 1682 | 1789 | 818 | 2 | 560 | 258 | 0.00006247 | 9.72846042 | 0.419468570411 | 1.58287068652 | 0.06496337 | 0.0000794173227384 | -0.000308720000 | 0.064654650000 | 1 | 83 | 2.18704156479 | 3.75152072643 | 258 | 118 | 442 | 258 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 31.94583862 | 285.487666667 | 478 | 2010 | 2207 | 990 | 2 | 674 | 316 | 0.00006247 | 9.72846042 | 0.526440612329 | 1.77784959190 | 0.08122419 | 0.0000820446363636 | -0.000325040000 | 0.080899150000 | 1 | 83 | 2.22929292929 | 3.72770765390 | 316 | 157 | 517 | 316 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 84.82098101 | 323.783142857 | 679 | 2421 | 2460 | 1079 | 2 | 717 | 362 | 0.00006247 | 9.72846042 | 0.502274972483 | 1.72733558816 | 0.09164015 | 0.0000849306302132 | -0.000461720000 | 0.091178430000 | 1 | 83 | 2.27988878591 | 3.67757502413 | 362 | 177 | 540 | 362 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 162.27078701 | 382.334250000 | 881 | 2827 | 2703 | 1173 | 2 | 756 | 417 | 0.00006247 | 9.72846042 | 0.480079953003 | 1.68516658828 | 0.10150706 | 0.0000865362830350 | -0.000599080000 | 0.100907980000 | 1 | 83 | 2.30434782609 | 3.56609314649 | 417 | 191 | 565 | 417 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 316.56684749 | 447.696666667 | 1142 | 3232 | 2909 | 1268 | 2 | 818 | 450 | 0.00006247 | 9.72846042 | 0.456887929303 | 1.62391039550 | 0.10941737 | 0.0000862913012618 | -0.000776560000 | 0.108640810000 | 1 | 83 | 2.29416403785 | 3.48514457183 | 450 | 219 | 599 | 450 | 0 | 0 |
