id,input_amounts
0,"['0.00329000', '0.00483000', '0.00500000']"
1,['0.01000127']
2,['0.00989459']
3,['0.00659748']
4,"['0.00329400', '0.00329400', '0.00329400', '0.00014860', '0.00329000']"
5,"['0.00331400', '0.00329400', '0.00329600', '0.00331400']"
6,['0.01001160']
7,"['0.01000076', '0.00959641']"
8,['0.01695533']
9,"['0.01594047', '0.00249436']"
10,['0.01192141']
11,['0.01176716']
12,['0.00866417']
13,['0.00855363']
14,['0.00741409']
15,['0.00730896']
16,['0.00329086']
17,['0.00940000']
18,"['0.00227467', '0.00636593']"
19,['0.00192449']
20,"['0.00078892', '0.00014860']"
21,"['0.00010863', '0.00103200']"
22,['0.00794500']
23,['0.01010000']
24,"['0.00581638', '0.00674720']"
25,"['0.00050000', '0.01000000']"
26,['0.00713483']
27,['0.01000000']
28,['0.01569000']
29,['0.01266669']
30,"['0.00510863', '0.00828673']"
31,"['0.00660130', '0.00969717']"
32,['0.01001734']
33,['0.01292322']
34,['0.00954266']
35,['0.00669042']
36,['0.00617712']
37,"['0.00315861', '0.00636437']"
38,['0.00618728']
39,"['0.00010000', '0.10000000']"
40,['0.09674985']
41,['0.09349314']
42,['0.09015887']
43,"['0.08817167', '0.00285261']"
44,['0.08779447']
45,['0.08269560']
46,['0.08159050']
47,['0.08134043']
48,['0.08041569']
49,['0.08009846']
50,['0.07673234']
51,['0.07325677']
52,['0.06644648']
53,['0.06298423']
54,['0.05952305']
55,['0.05606735']
56,['0.05260965']
57,['0.04949189']
58,['0.04603697']
59,['0.04263930']
60,['0.03959799']
61,['0.03622372']
62,['0.03284126']
63,['0.02944204']
64,['0.02604152']
65,['0.02263418']
66,['0.01923863']
67,['0.01584178']
68,['0.02500000']
69,['0.02158503']
70,['0.01812912']
71,['0.01500342']
72,['0.01244325']
73,['0.01170178']
74,['0.01039165']
75,['0.00845147']
76,['0.00508946']
77,"['0.00300000', '0.00011000', '0.00034660']"
78,"['0.00164071', '0.00700071']"
79,"['0.00100000', '0.00100000', '0.01300000']"
80,"['0.01155592', '0.00519298']"
81,['0.01330509']
82,['0.00386845']
83,['0.03535793']
84,['0.03188757']
85,['0.02843165']
86,['0.02532112']
87,"['0.00300000', '0.01714000']"
88,['0.01817786']
89,['0.01532569']
90,['0.01570000']
91,"['0.01181516', '0.01220837']"
92,['0.00874349']
93,['0.03000000']
94,['0.01983164']
95,['0.00980000']
96,['0.00763174']
97,['0.00910000']
98,"['0.01768208', '0.00757533']"
99,['0.01000000']
100,"['0.00473304', '0.00784382']"
101,"['0.00536290', '0.01007741']"
102,['0.01044688']
103,['0.01073742']
104,['0.00116387']
105,"['0.00760845', '0.00790659']"
106,['0.01225564']
107,"['0.01060705', '0.00834343']"
108,['0.00107722']
109,['0.01672081']
110,['0.01173185']
111,['0.01057063']
112,['0.01000644']
113,['0.00580585']
114,"['0.00444318', '0.00100000']"
115,['0.00264309']
116,"['0.00076900', '0.00300000']"
117,['0.00040953']
118,['0.01780000']
119,['0.01490000']
120,"['0.01218584', '0.01184050']"
121,"['0.00006000', '0.00500000']"
122,['0.01471527']
123,['0.01130947']
124,"['0.00080000', '0.00454585', '0.00270000']"
125,"['0.00090000', '0.00341677', '0.00109000', '0.00464370']"
