----BEGIN SIMULATION RESULTS----
Scenario: ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv
| Scenario File | Current Balance | Mean #UTXO | Current #UTXO | #Deposits | #Inputs Spent | #Withdraws | #Uneconomical outputs spent | #Change Created | #Changeless | Min Change Value | Max Change Value | Mean Change Value | Std. Dev. of Change Value | Total Fees | Mean Fees per Withdraw | Cost to Empty | Total Cost | Min Input Size | Max Input Size | Mean Input Size | Std. Dev. of Input Size | BnB Usage | SRD Usage | Knapsack Usage | #BnB no change | #SRD no change | #Knapsack no change |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 0.10000000 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -6.80000000E-7 | -6.80000000E-7 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 0.31931155 | 30.7700000000 | 24 | 267 | 447 | 233 | 1 | 203 | 30 | 0.00022679 | 0.09674985 | 0.0190635331034 | 0.0217408779182 | 0.01363195 | 0.0000585062231760 | -0.0000163200000 | 0.0136156300000 | 1 | 16 | 1.91845493562 | 2.00371491599 | 30 | 52 | 151 | 30 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 9.11340466 | 69.9300000000 | 171 | 594 | 754 | 406 | 1 | 330 | 76 | 0.00009446 | 1.32281098 | 0.103160026606 | 0.235454665377 | 0.02998120 | 0.0000738453201970 | -0.000116280000 | 0.029864920000 | 1 | 20 | 1.85714285714 | 2.20533264237 | 76 | 58 | 272 | 76 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 12.44017832 | 114.090000000 | 303 | 961 | 1079 | 539 | 1 | 420 | 119 | 0.00006247 | 1.32281098 | 0.122807906024 | 0.256910641695 | 0.04090896 | 0.0000758978849722 | -0.000206040000 | 0.040702920000 | 1 | 20 | 2.00185528757 | 2.45290137919 | 119 | 70 | 350 | 119 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 25.85655392 | 175.043000000 | 355 | 1318 | 1461 | 682 | 1 | 497 | 185 | 0.00006247 | 9.90255709 | 0.174401547404 | 0.784213271626 | 0.05165023 | 0.0000757334750733 | -0.000241400000 | 0.051408830000 | 1 | 36 | 2.14222873900 | 2.77845809518 | 185 | 101 | 396 | 185 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 30.87803946 | 221.711600000 | 487 | 1682 | 1802 | 818 | 1 | 606 | 212 | 0.00006247 | 9.90255709 | 0.327446206221 | 1.17918331452 | 0.06253702 | 0.0000764511246944 | -0.000331160000 | 0.062205860000 | 1 | 100 | 2.20293398533 | 4.56482117507 | 212 | 121 | 485 | 212 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 31.94792858 | 264.534333333 | 503 | 2010 | 2217 | 990 | 1 | 709 | 281 | 0.00006247 | 9.90255709 | 0.451552172073 | 1.34963018706 | 0.07913423 | 0.0000799335656566 | -0.000342040000 | 0.078792190000 | 1 | 100 | 2.23939393939 | 4.27945259301 | 281 | 147 | 562 | 281 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 84.82321791 | 310.372285714 | 711 | 2421 | 2463 | 1079 | 1 | 752 | 327 | 0.00006247 | 9.90255709 | 0.429401307460 | 1.31404550805 | 0.08940325 | 0.0000828575069509 | -0.000483480000 | 0.088919770000 | 1 | 100 | 2.28266913809 | 4.17439695053 | 327 | 159 | 593 | 327 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 162.27341207 | 376.197750000 | 923 | 2827 | 2705 | 1173 | 1 | 800 | 373 | 0.00006247 | 9.90255709 | 0.41051607175 | 1.27724126010 | 0.09888200 | 0.0000842983802217 | -0.000627640000 | 0.098254360000 | 1 | 100 | 2.30605285592 | 4.05940603104 | 373 | 171 | 629 | 373 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 316.56954709 | 448.175111111 | 1197 | 3232 | 2891 | 1268 | 1 | 855 | 413 | 0.00006247 | 9.90255709 | 0.393671054433 | 1.23896368057 | 0.10671777 | 0.0000841622791798 | -0.000813960000 | 0.105903810000 | 1 | 100 | 2.27996845426 | 3.92928928494 | 413 | 195 | 660 | 413 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 312.72538704 | 528.769600000 | 1340 | 3588 | 3200 | 1412 | 1 | 951 | 461 | 0.00006247 | 9.90255709 | 0.374362429695 | 1.18051895452 | 0.12153213 | 0.0000860709135977 | -0.000911200000 | 0.120620930000 | 1 | 100 | 2.26628895184 | 3.75582470898 | 461 | 243 | 708 | 461 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 370.33730819 | 612.199090909 | 1552 | 3962 | 3449 | 1538 | 1 | 1038 | 500 | 0.00006247 | 9.90255709 | 0.360894456609 | 1.13490260362 | 0.13342894 | 0.0000867548374512 | -0.00105536000 | 0.13237358000 | 1 | 100 | 2.24252275683 | 3.63552011599 | 500 | 283 | 755 | 500 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 369.75946772 | 695.644333333 | 1660 | 4303 | 3772 | 1697 | 1 | 1128 | 569 | 0.00006247 | 9.90255709 | 0.351106373014 | 1.09349112517 | 0.15192801 | 0.0000895274071892 | -0.00112880000 | 0.15079921000 | 1 | 100 | 2.22274602239 | 3.48918494189 | 569 | 322 | 806 | 569 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 422.07923848 | 775.173384615 | 1814 | 4678 | 4067 | 1822 | 1 | 1202 | 620 | 0.00006247 | 9.90255709 | 0.339860550874 | 1.06242188536 | 0.16399283 | 0.0000900070417124 | -0.00123352000 | 0.16275931000 | 1 | 100 | 2.23216245884 | 3.42526672001 | 620 | 357 | 845 | 620 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 462.25191926 | 849.961714286 | 1820 | 5022 | 4487 | 1978 | 1 | 1284 | 694 | 0.00006247 | 9.90255709 | 0.328705233100 | 1.03177805309 | 0.17451542 | 0.0000882282204247 | -0.00123760000 | 0.17327782000 | 1 | 100 | 2.26845298281 | 3.37224017183 | 694 | 399 | 885 | 694 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 448.11347497 | 920.505733333 | 1998 | 5373 | 4759 | 2127 | 1 | 1383 | 744 | 0.00006247 | 9.90255709 | 0.322401798872 | 0.997897055320 | 0.19202382 | 0.0000902791819464 | -0.00135864000 | 0.19066518000 | 1 | 100 | 2.23742360132 | 3.27933616207 | 744 | 468 | 915 | 744 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 440.08591641 | 988.384375000 | 2046 | 5662 | 5149 | 2338 | 1 | 1532 | 806 | 0.00006247 | 9.90255709 | 0.313429990065 | 0.953825847431 | 0.20980086 | 0.0000897351839179 | -0.00139128000 | 0.20840958000 | 1 | 100 | 2.20230966638 | 3.17317243975 | 806 | 569 | 963 | 806 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 448.55796546 | 1053.18988235 | 2163 | 5993 | 5492 | 2507 | 1 | 1661 | 846 | 0.00006247 | 9.90255709 | 0.303103914582 | 0.920078394544 | 0.21883451 | 0.0000872893936976 | -0.00147084000 | 0.21736367000 | 1 | 100 | 2.19066613482 | 3.10631398722 | 846 | 639 | 1022 | 846 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 455.19049790 | 1120.11888889 | 2305 | 6301 | 5787 | 2699 | 1 | 1790 | 909 | 0.00006247 | 9.90255709 | 0.295880059341 | 0.889826407159 | 0.23824155 | 0.0000882703038162 | -0.00156740000 | 0.23667415000 | 1 | 100 | 2.14412745461 | 3.02049672277 | 909 | 726 | 1064 | 909 | 0 | 0 |
