id,input_amounts
0,"['0.00329000', '0.00483000', '0.00500000']"
1,['0.01000127']
2,['0.00989459']
3,['0.00659748']
4,"['0.00329400', '0.00329400', '0.00329400', '0.00329000', '0.00014860']"
5,"['0.00329600', '0.00331400', '0.00329400', '0.00331400']"
6,"['0.01000076', '0.00249436']"
7,['0.01207319']
8,['0.00943838']
9,"['0.00842352', '0.01001160']"
10,['0.01192170']
11,['0.01176745']
12,['0.00866446']
13,['0.00855392']
14,['0.00741438']
15,['0.00730925']
16,['0.00329115']
17,['0.02500000']
18,['0.02196593']
19,['0.01526854']
20,['0.01413297']
21,['0.01320422']
22,"['0.00227496', '0.01207866']"
23,['0.01220807']
24,"['0.01000000', '0.00109000', '0.00103200']"
25,['0.00885527']
26,"['0.00550142', '0.00783506']"
27,"['0.00010863', '0.01000000']"
28,"['0.00669866', '0.01129783']"
29,['0.01496210']
30,['0.01199258']
31,['0.00863164']
32,['0.00527257']
33,"['0.00010000', '0.00100000', '0.00940000', '0.00014860']"
34,['0.00724277']
35,['0.00194565']
36,['0.00387723']
37,"['0.00090000', '0.00050000', '0.00000200', '0.00000100', '0.00300000', '0.00794500', '0.00100000']"
38,['0.01000138']
39,['0.00666671']
40,['0.00332401']
41,['0.01569000']
42,"['0.00161960', '0.00085872', '0.01235573']"
43,"['0.01284379', '0.00006730']"
44,['0.00968128']
45,['0.00458241']
46,['0.00347731']
47,['0.00322724']
48,['0.00230250']
49,['0.01000000']
50,['0.00663388']
51,"['0.00390000', '0.10000000', '0.00300000']"
52,['0.09996498']
53,"['0.00315831', '0.00034660']"
54,['0.00980000']
55,"['0.00198527', '0.03535793', '0.00634430']"
56,['0.04010275']
57,['0.03698499']
58,['0.03353007']
59,['0.03013240']
60,['0.02709109']
61,['0.02371682']
62,['0.02033436']
63,['0.01693514']
64,['0.01353462']
65,['0.09650273']
66,['0.01300000']
67,['0.01012728']
68,['0.01570000']
69,['0.00960315']
70,"['0.00614724', '0.01228503']"
71,['0.01524685']
72,"['0.00672875', '0.01194521']"
73,['0.01659784']
74,['0.09310718']
75,['0.08971624']
76,['0.08635423']
77,['0.08290548']
78,"['0.00011000', '0.01334753']"
79,['0.07951274']
80,['0.07612592']
81,['0.07271909']
82,['0.06328245']
83,['0.05982353']
84,['0.05635317']
85,['0.05289725']
86,['0.04978672']
87,['0.02919864']
88,['0.02731385']
89,['0.02446168']
90,['0.02095115']
91,"['0.01000909', '0.01745952']"
92,['0.01218857']
93,['0.01102041']
94,['0.01714000']
95,['0.01499044']
96,['0.01282218']
97,"['0.00056976', '0.00076900']"
98,"['0.00300000', '0.01490000', '0.00480000']"
99,['0.00746116']
100,['0.01055334']
101,['0.00536775']
102,['0.00846523']
103,['0.00636178']
104,['0.00116387']
105,['0.00323281']
106,"['0.00100000', '0.00070670']"
107,"['0.00300000', '0.00444318']"
108,['0.00107722']
109,['0.00521351']
110,"['0.00080000', '0.00022455', '0.00020000']"
111,['0.00085205']
112,['0.03000000']
113,['0.02579941']
114,['0.02263665']
115,['0.01722213']
116,['0.01617095']
117,['0.01241978']
118,['0.01224362']
119,['0.00662946']
120,"['0.00341677', '0.00500000', '0.00091371']"
121,"['0.00005696', '0.00500000']"
122,['0.00356996']
