----BEGIN SIMULATION RESULTS----
Scenario: ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv
| Scenario File | Current Balance | Mean #UTXO | Current #UTXO | #Deposits | #Inputs Spent | #Withdraws | #Uneconomical outputs spent | #Change Created | #Changeless | Min Change Value | Max Change Value | Mean Change Value | Std. Dev. of Change Value | Total Fees | Mean Fees per Withdraw | Cost to Empty | Total Cost | Min Input Size | Max Input Size | Mean Input Size | Std. Dev. of Input Size | BnB Usage | SRD Usage | Knapsack Usage | #BnB no change | #SRD no change | #Knapsack no change |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 0.10000000 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -6.80000000E-7 | -6.80000000E-7 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 0.31886554 | 24.5400000000 | 26 | 267 | 447 | 233 | 1 | 205 | 28 | 0.00005696 | 0.09996498 | 0.0191933232683 | 0.0216596224823 | 0.01407796 | 0.0000604204291845 | -0.0000176800000 | 0.0140602800000 | 1 | 13 | 1.91845493562 | 1.95361142566 | 28 | 46 | 159 | 28 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 9.11173419 | 57.8290000000 | 155 | 594 | 768 | 406 | 1 | 328 | 78 | 0.00003364 | 1.31998244 | 0.0939487517683 | 0.244967782885 | 0.03165167 | 0.0000779597783251 | -0.000105400000 | 0.031546270000 | 1 | 14 | 1.89162561576 | 2.01183628859 | 78 | 55 | 273 | 78 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 12.43878082 | 116.900666667 | 330 | 961 | 1049 | 539 | 1 | 417 | 122 | 0.00003364 | 1.31998244 | 0.0963044331894 | 0.229556534855 | 0.04230646 | 0.0000784906493506 | -0.000224400000 | 0.042082060000 | 1 | 15 | 1.94619666048 | 2.14243707561 | 122 | 77 | 340 | 122 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 25.85459336 | 175.311500000 | 303 | 1318 | 1492 | 682 | 1 | 476 | 206 | 0.00003364 | 1.31998244 | 0.0869759240336 | 0.216531350405 | 0.05361079 | 0.0000786081964809 | -0.000206040000 | 0.053404750000 | 1 | 37 | 2.18768328446 | 2.72907243003 | 206 | 97 | 379 | 206 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 30.87500971 | 200.842800000 | 347 | 1682 | 1895 | 818 | 1 | 559 | 259 | 0.00003364 | 9.98987108 | 0.404831454902 | 1.63277649439 | 0.06556677 | 0.0000801549755501 | -0.000235960000 | 0.065330810000 | 1 | 59 | 2.31662591687 | 3.75976800235 | 259 | 122 | 437 | 259 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 31.94501747 | 230.130000000 | 409 | 2010 | 2284 | 990 | 1 | 682 | 308 | 0.00003364 | 9.98987108 | 0.465307237493 | 1.60821393307 | 0.08204534 | 0.0000828740808081 | -0.000278120000 | 0.081767220000 | 1 | 59 | 2.30707070707 | 3.61362584033 | 308 | 154 | 528 | 308 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 84.82163038 | 270.352857143 | 647 | 2421 | 2509 | 1079 | 1 | 734 | 345 | 0.00003364 | 9.98987108 | 0.451386697234 | 1.55356657770 | 0.09099078 | 0.0000843288044486 | -0.000439960000 | 0.090550820000 | 1 | 59 | 2.32530120482 | 3.51735945153 | 345 | 166 | 568 | 345 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 162.27139832 | 331.403000000 | 861 | 2827 | 2756 | 1173 | 1 | 789 | 384 | 0.00003364 | 9.98987108 | 0.426701507072 | 1.50175543711 | 0.10089575 | 0.0000860151321398 | -0.000585480000 | 0.100310270000 | 1 | 59 | 2.34953111679 | 3.45975055845 | 384 | 187 | 602 | 384 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 316.56761375 | 401.614000000 | 1131 | 3232 | 2953 | 1268 | 1 | 851 | 417 | 0.00003364 | 9.98987108 | 0.408919904783 | 1.44915814994 | 0.10865111 | 0.0000856869952681 | -0.000769080000 | 0.107882030000 | 1 | 59 | 2.32886435331 | 3.36984439914 | 417 | 223 | 628 | 417 | 0 | 0 |
