----BEGIN SIMULATION RESULTS----
Scenario: ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv
| Scenario File | Current Balance | Mean #UTXO | Current #UTXO | #Deposits | #Inputs Spent | #Withdraws | #Uneconomical outputs spent | #Change Created | #Changeless | Min Change Value | Max Change Value | Mean Change Value | Std. Dev. of Change Value | Total Fees | Mean Fees per Withdraw | Cost to Empty | Total Cost | Min Input Size | Max Input Size | Mean Input Size | Std. Dev. of Input Size | BnB Usage | SRD Usage | Knapsack Usage | #BnB no change | #SRD no change | #Knapsack no change |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 0.10000000 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -6.80000000E-7 | -6.80000000E-7 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 0.31852522 | 28.4180000000 | 26 | 267 | 439 | 233 | 2 | 197 | 36 | 0.00011064 | 0.09958481 | 0.0205414351777 | 0.0225218269277 | 0.01441828 | 0.0000618810300429 | -0.0000176800000 | 0.0144006000000 | 1 | 11 | 1.88412017167 | 1.76639029525 | 36 | 48 | 149 | 36 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 9.11252995 | 73.5040000000 | 217 | 594 | 711 | 406 | 2 | 333 | 73 | 0.00011064 | 1.31998244 | 0.153493956486 | 0.268525258220 | 0.03085591 | 0.0000759997783251 | -0.000147560000 | 0.030708350000 | 1 | 18 | 1.75123152709 | 1.82700887862 | 73 | 59 | 274 | 73 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 12.43893606 | 126.166666667 | 319 | 961 | 1051 | 539 | 2 | 408 | 131 | 0.00011064 | 1.31998244 | 0.130488185735 | 0.247950800346 | 0.04215122 | 0.0000782026345083 | -0.000216920000 | 0.041934300000 | 1 | 19 | 1.94990723562 | 2.16410712692 | 131 | 69 | 339 | 131 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 25.85503700 | 188.234000000 | 358 | 1318 | 1433 | 682 | 2 | 472 | 210 | 0.00011064 | 1.31998244 | 0.116678034576 | 0.233402308540 | 0.05316715 | 0.0000779576979472 | -0.000243440000 | 0.052923710000 | 1 | 19 | 2.10117302053 | 2.22785036999 | 210 | 91 | 381 | 210 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 30.87507336 | 226.091600000 | 414 | 1682 | 1833 | 818 | 2 | 564 | 254 | 0.00011064 | 1.31998244 | 0.121022138493 | 0.231360420262 | 0.06550312 | 0.0000800771638142 | -0.000281520000 | 0.065221600000 | 1 | 103 | 2.24083129584 | 4.39922606896 | 254 | 120 | 444 | 254 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 31.94273724 | 247.606000000 | 351 | 2010 | 2321 | 990 | 2 | 661 | 329 | 0.00011064 | 1.31998244 | 0.113287585643 | 0.222976298787 | 0.08432557 | 0.0000851773434343 | -0.000238680000 | 0.084086890000 | 1 | 103 | 2.34444444444 | 4.26089805309 | 329 | 158 | 503 | 329 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 84.81852668 | 274.326571429 | 555 | 2421 | 2578 | 1079 | 2 | 711 | 368 | 0.00011064 | 1.31998244 | 0.115468434515 | 0.223704605556 | 0.09409448 | 0.0000872052641335 | -0.000377400000 | 0.093717080000 | 1 | 103 | 2.38924930491 | 4.16502302309 | 368 | 177 | 534 | 368 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 162.26873886 | 324.952250000 | 807 | 2827 | 2796 | 1173 | 2 | 775 | 398 | 0.00011064 | 9.52230574 | 0.247210325884 | 0.932485169041 | 0.10355521 | 0.0000882823614663 | -0.000548760000 | 0.103006450000 | 1 | 103 | 2.38363171355 | 4.06132236582 | 398 | 194 | 581 | 398 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 316.56483243 | 390.644444444 | 1091 | 3232 | 2982 | 1268 | 2 | 840 | 428 | 0.00011064 | 9.52230574 | 0.244344543833 | 0.899895511019 | 0.11143243 | 0.0000878804652997 | -0.000741880000 | 0.110690550000 | 1 | 103 | 2.35173501577 | 3.94967615618 | 428 | 220 | 620 | 428 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 312.72142919 | 468.103000000 | 1257 | 3588 | 3268 | 1412 | 2 | 936 | 476 | 0.00011064 | 9.52230574 | 0.245130245043 | 0.859102309318 | 0.12548998 | 0.0000888739235127 | -0.000854760000 | 0.124635220000 | 1 | 103 | 2.31444759207 | 3.77075031674 | 476 | 268 | 668 | 476 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 370.33328683 | 549.429272727 | 1442 | 3962 | 3541 | 1538 | 2 | 1020 | 518 | 0.00011064 | 9.52230574 | 0.239425484814 | 0.827116138642 | 0.13745030 | 0.0000893695058518 | -0.000980560000 | 0.136469740000 | 1 | 103 | 2.30234070221 | 3.66029990963 | 518 | 309 | 711 | 518 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 369.75596592 | 628.247333333 | 1562 | 4303 | 3857 | 1697 | 2 | 1115 | 582 | 0.00011064 | 9.52230574 | 0.240831297390 | 0.799827385855 | 0.15542981 | 0.0000915909310548 | -0.00106216000 | 0.15436765000 | 1 | 103 | 2.27283441367 | 3.50931019690 | 582 | 367 | 748 | 582 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 422.07528844 | 704.711538462 | 1698 | 4678 | 4169 | 1822 | 2 | 1188 | 634 | 0.00011064 | 9.52230574 | 0.236218684108 | 0.778222088642 | 0.16794287 | 0.0000921750109769 | -0.00115464000 | 0.16678823000 | 1 | 103 | 2.28814489572 | 3.44325012244 | 634 | 400 | 788 | 634 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 462.24817353 | 777.399285714 | 1760 | 5022 | 4541 | 1978 | 2 | 1278 | 700 | 0.00011064 | 9.52230574 | 0.235941974311 | 0.756182939757 | 0.17826115 | 0.0000901219160768 | -0.00119680000 | 0.17706435000 | 1 | 103 | 2.29575328615 | 3.35400652974 | 700 | 446 | 832 | 700 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 448.10963608 | 849.155600000 | 1932 | 5373 | 4816 | 2127 | 2 | 1374 | 753 | 0.00011064 | 9.52230574 | 0.233638403115 | 0.734610940341 | 0.19586271 | 0.0000920840197461 | -0.00131376000 | 0.19454895000 | 1 | 103 | 2.26422190879 | 3.26470241904 | 753 | 501 | 873 | 753 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 440.08218298 | 916.874250000 | 1975 | 5662 | 5216 | 2338 | 2 | 1528 | 810 | 0.00011064 | 9.52230574 | 0.233140105308 | 0.703791865624 | 0.21353429 | 0.0000913320316510 | -0.00134300000 | 0.21219129000 | 1 | 103 | 2.23096663815 | 3.15409942481 | 810 | 599 | 929 | 810 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 448.55457941 | 982.313882353 | 2100 | 5993 | 5557 | 2507 | 2 | 1663 | 844 | 0.00011064 | 9.52230574 | 0.225091543644 | 0.678603827434 | 0.22222056 | 0.0000886400319107 | -0.00142800000 | 0.22079256000 | 1 | 103 | 2.21659353809 | 3.11173856277 | 844 | 639 | 1024 | 844 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 455.18714571 | 1049.28133333 | 2229 | 6301 | 5869 | 2699 | 2 | 1796 | 903 | 0.00011064 | 9.52230574 | 0.222175356075 | 0.657301866982 | 0.24159374 | 0.0000895123156725 | -0.00151572000 | 0.24007802000 | 1 | 103 | 2.17450907744 | 3.03627721513 | 903 | 712 | 1084 | 903 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 458.10860457 | 1112.55136842 | 2278 | 6598 | 6253 | 2902 | 2 | 1932 | 970 | 0.00011064 | 9.52230574 | 0.221825689871 | 0.640921049086 | 0.25769902 | 0.0000888004893177 | -0.00154904000 | 0.25614998000 | 1 | 103 | 2.15472088215 | 2.94833896084 | 970 | 783 | 1149 | 970 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 444.51033917 | 1173.32220000 | 2359 | 6926 | 6633 | 3074 | 2 | 2065 | 1009 | 0.00011064 | 9.52230574 | 0.224154761569 | 0.625173312755 | 0.26937552 | 0.0000876302927781 | -0.00160412000 | 0.26777140000 | 1 | 103 | 2.15777488614 | 2.97644944169 | 1009 | 867 | 1198 | 1009 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 380.22922470 | 1230.44342857 | 2388 | 7224 | 7045 | 3276 | 2 | 2208 | 1068 | 0.00011064 | 9.52230574 | 0.217740776064 | 0.607705726170 | 0.29044634 | 0.0000886588339438 | -0.00162384000 | 0.28882250000 | 1 | 103 | 2.15048840049 | 2.94752110721 | 1068 | 931 | 1277 | 1068 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 370.11837537 | 1282.47363636 | 2413 | 7562 | 7464 | 3438 | 2 | 2314 | 1124 | 0.00011064 | 9.52230574 | 0.211766510687 | 0.595380918541 | 0.30328276 | 0.0000882148807446 | -0.00164084000 | 0.30164192000 | 1 | 103 | 2.17102966841 | 3.03942834899 | 1124 | 976 | 1338 | 1124 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 382.41166633 | 1333.54939130 | 2516 | 7902 | 7812 | 3598 | 2 | 2425 | 1173 | 0.00011064 | 9.52230574 | 0.209422301588 | 0.584469313487 | 0.31496048 | 0.0000875376542524 | -0.00171088000 | 0.31324960000 | 1 | 103 | 2.17120622568 | 3.02186163685 | 1173 | 1027 | 1398 | 1173 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 370.76584619 | 1385.04633333 | 2627 | 8232 | 8151 | 3768 | 2 | 2545 | 1223 | 0.00011064 | 9.52230574 | 0.208131720200 | 0.573729221882 | 0.33215601 | 0.0000881518073248 | -0.00178636000 | 0.33036965000 | 1 | 103 | 2.16321656051 | 2.98632498734 | 1223 | 1099 | 1446 | 1223 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 387.53424363 | 1437.81096000 | 2777 | 8569 | 8442 | 3931 | 2 | 2649 | 1282 | 0.00011064 | 9.52230574 | 0.205358313277 | 0.564402437042 | 0.34592261 | 0.0000879986288476 | -0.00188836000 | 0.34403425000 | 1 | 103 | 2.14754515390 | 2.96469573767 | 1282 | 1149 | 1500 | 1282 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 396.81286026 | 1491.63200000 | 2890 | 8898 | 8772 | 4102 | 2 | 2763 | 1339 | 0.00011064 | 9.52230574 | 0.203986855034 | 0.555111469955 | 0.36054641 | 0.0000878952730375 | -0.00196520000 | 0.35858121000 | 1 | 103 | 2.13846903949 | 2.91827017275 | 1339 | 1218 | 1545 | 1339 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 390.52590685 | 1543.90385185 | 2957 | 9186 | 9140 | 4314 | 2 | 2910 | 1404 | 0.00011064 | 9.52230574 | 0.200970876921 | 0.545136925065 | 0.37666201 | 0.0000873115461289 | -0.00201076000 | 0.37465125000 | 1 | 103 | 2.11868335651 | 2.89891662973 | 1404 | 1285 | 1625 | 1404 | 0 | 0 |
