id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00001412,0.00006785,6.78846153846E-8,srd,2,0,2,0.00518188,18,17,455
1,0.00010100,0.00000568,0.00004025,4.02836879433E-8,knapsack,1,0,2,0.00507520,17,17,399
2,0.00329400,0.00000311,0.00002205,2.20567375887E-8,knapsack,1,0,2,0.00177809,17,17,219
3,0.00410100,0.00000212,0.00001499,1.50354609929E-8,knapsack,1,0,2,0.00072688,17,17,149
4,0.00329000,0.00000960,0.00004611,4.61538461538E-8,srd,2,0,2,0.00177249,17,16,91
5,0.00319400,0.00001405,0.00006753,6.75480769231E-8,srd,2,0,2,0.00185844,16,15,450
6,0.00040100,0.00001419,0.00010060,1.00638297872E-7,knapsack,1,0,2,0.00031169,15,15,997
7,0.00262000,0.00001481,0.00010498,1.05035460993E-7,knapsack,1,0,2,0.00065519,15,15,1040
8,0.00100000,0.00001486,0.00010539,1.05390070922E-7,knapsack,1,0,2,0.00084358,15,15,1044
9,0.00650000,0.00001342,0.00006448,6.45192307692E-8,knapsack,2,0,2,0.00007058,16,15,398
10,0.00014000,0.00001425,0.00010103,1.01063829787E-7,knapsack,1,0,2,0.00015744,15,15,1002
11,0.00310000,0.00000441,0.00002119,2.12019230769E-8,srd,2,0,2,0.01269559,22,21,-324
12,0.00010100,0.00000954,0.00006764,6.76595744681E-8,knapsack,1,0,2,0.00004690,22,22,670
13,0.00113200,0.00001112,0.00005342,5.34615384615E-8,knapsack,2,0,2,0.00001207,22,21,214
14,0.00010200,0.00000461,0.00002215,2.21634615385E-8,knapsack,2,0,2,0.00001087,21,20,-309
15,0.00400000,0.00001810,0.00012831,1.28368794326E-7,knapsack,1,0,2,0.00867749,26,26,1271
16,0.00100000,0.00001619,0.00011481,1.14822695035E-7,knapsack,1,0,2,0.00766130,26,26,1137
