id,input_amounts
0,"['0.00500000', '0.00329600']"
1,['0.00518188']
2,['0.00507520']
3,['0.00483000']
4,"['0.00329400', '0.00177809']"
5,"['0.00177249', '0.00329400']"
6,['0.00072688']
7,['0.00329000']
8,['0.00185844']
9,"['0.00329000', '0.00329400']"
10,['0.00031169']
11,"['0.01570000', '0.00010000']"
12,['0.00015744']
13,"['0.00050000', '0.00065519']"
14,"['0.00004690', '0.00007058']"
15,['0.01269559']
16,['0.00867749']
17,['0.00766130']
18,"['0.00331400', '0.00010863', '0.00331400']"
19,['0.00462723']
20,['0.00349166']
21,['0.00256291']
22,['0.01000000']
23,['0.00787138']
24,['0.00451858']
25,"['0.00001207', '0.00143735', '0.00014860', '0.00056976', '0.00014860', '0.00109000']"
26,"['0.00103200', '0.00329400']"
27,"['0.00025166', '0.00980000']"
28,['0.00940000']
29,['0.00390000']
30,"['0.00664169', '0.00228735']"
31,['0.00555102']
32,"['0.00084358', '0.10000000']"
33,['0.00637669']
34,"['0.00299613', '0.00219195']"
35,['0.00093048']
36,['0.09750387']
37,"['0.00001087', '0.00060443', '0.00180755', '0.09448536']"
38,['0.09356812']
39,['0.09023345']
40,['0.08689075']
41,['0.08363404']
42,['0.08029977']
43,['0.07831257']
44,['0.07508592']
45,['0.06998705']
46,['0.06888195']
47,['0.06863188']
48,['0.06770714']
49,['0.06738991']
50,['0.06402379']
51,['0.06054822']
52,['0.05373793']
53,['0.05027568']
54,['0.04681450']
55,['0.04335880']
56,['0.03990110']
57,['0.03678334']
58,['0.03332842']
59,['0.02993075']
60,['0.02688944']
61,['0.02351517']
62,['0.02013271']
63,['0.01673349']
64,['0.01333297']
65,['0.00992563']
66,['0.00653008']
67,"['0.00034660', '0.00011000', '0.00300000']"
68,"['0.00100000', '0.02500000', '0.00100000']"
69,['0.02349889']
70,['0.00313323']
71,['0.02004298']
72,['0.01674134']
73,['0.01468974']
74,['0.01143943']
75,['0.00804849']
76,['0.00468648']
77,"['0.01000000', '0.00100000']"
78,['0.00757602']
79,['0.00416219']
80,['0.01010000']
