----BEGIN SIMULATION RESULTS----
Scenario: ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv
| Scenario File | Current Balance | Mean #UTXO | Current #UTXO | #Deposits | #Inputs Spent | #Withdraws | #Uneconomical outputs spent | #Change Created | #Changeless | Min Change Value | Max Change Value | Mean Change Value | Std. Dev. of Change Value | Total Fees | Mean Fees per Withdraw | Cost to Empty | Total Cost | Min Input Size | Max Input Size | Mean Input Size | Std. Dev. of Input Size | BnB Usage | SRD Usage | Knapsack Usage | #BnB no change | #SRD no change | #Knapsack no change |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 0.10000000 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -6.80000000E-7 | -6.80000000E-7 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 0.31899356 | 27.7580000000 | 26 | 267 | 439 | 233 | 2 | 197 | 36 | 0.00001087 | 0.09750387 | 0.0181976856853 | 0.0257089585129 | 0.01394994 | 0.0000598709871245 | -0.0000176800000 | 0.0139322600000 | 1 | 16 | 1.88412017167 | 1.81453808675 | 35 | 49 | 149 | 35 | 0 | 1 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 9.11250257 | 71.0870000000 | 187 | 594 | 733 | 406 | 2 | 325 | 81 | 0.00001087 | 1.31998244 | 0.149762181508 | 0.262164033960 | 0.03088329 | 0.0000760672167488 | -0.000127160000 | 0.030756130000 | 1 | 18 | 1.80541871921 | 1.88012875762 | 80 | 56 | 270 | 80 | 0 | 1 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 12.43949970 | 127.503333333 | 336 | 961 | 1035 | 539 | 2 | 409 | 130 | 0.00001087 | 1.31998244 | 0.132650172054 | 0.241632380989 | 0.04158758 | 0.0000771569202226 | -0.000228480000 | 0.041359100000 | 1 | 18 | 1.92022263451 | 2.08712176783 | 128 | 66 | 345 | 128 | 0 | 2 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 25.85603377 | 194.821500000 | 387 | 1318 | 1416 | 682 | 2 | 484 | 198 | 0.00001087 | 1.31998244 | 0.128650519628 | 0.239991632338 | 0.05217038 | 0.0000764961583578 | -0.000263160000 | 0.051907220000 | 1 | 29 | 2.07624633431 | 2.41082823754 | 196 | 77 | 409 | 196 | 0 | 2 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 30.87563435 | 228.902800000 | 375 | 1682 | 1877 | 818 | 3 | 569 | 249 | 0.00001087 | 1.31998244 | 0.115495112970 | 0.227031122009 | 0.06494213 | 0.0000793913569682 | -0.000255000000 | 0.064687130000 | 1 | 101 | 2.29462102689 | 4.60880912840 | 246 | 98 | 474 | 246 | 0 | 3 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 31.94436922 | 244.947000000 | 315 | 2010 | 2359 | 990 | 3 | 663 | 327 | 0.00001087 | 1.74377691 | 0.111642160935 | 0.235346951969 | 0.08269359 | 0.0000835288787879 | -0.000214200000 | 0.082479390000 | 1 | 101 | 2.38282828283 | 4.37359344205 | 323 | 113 | 554 | 323 | 0 | 4 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 84.81994238 | 265.498000000 | 517 | 2421 | 2611 | 1079 | 3 | 706 | 373 | 0.00001087 | 1.74377691 | 0.111121337295 | 0.231879757894 | 0.09267878 | 0.0000858932159407 | -0.000351560000 | 0.092327220000 | 1 | 101 | 2.41983317887 | 4.25124837826 | 369 | 121 | 589 | 369 | 0 | 4 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 162.27043064 | 314.435500000 | 766 | 2827 | 2832 | 1173 | 3 | 770 | 403 | 0.00001087 | 1.74377691 | 0.116333222143 | 0.232623860854 | 0.10186343 | 0.0000868400937766 | -0.000520880000 | 0.101342550000 | 1 | 101 | 2.41432225064 | 4.13928150207 | 399 | 131 | 643 | 399 | 0 | 4 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 316.56661955 | 375.463555556 | 1037 | 3232 | 3030 | 1268 | 3 | 834 | 434 | 0.00001087 | 1.74377691 | 0.114973563225 | 0.230497065535 | 0.10964531 | 0.0000864710646688 | -0.000705160000 | 0.108940150000 | 1 | 101 | 2.38958990536 | 4.02003099985 | 429 | 138 | 701 | 429 | 0 | 5 |
