----BEGIN SIMULATION RESULTS----
Scenario: ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv
| Scenario File | Current Balance | Mean #UTXO | Current #UTXO | #Deposits | #Inputs Spent | #Withdraws | #Uneconomical outputs spent | #Change Created | #Changeless | Min Change Value | Max Change Value | Mean Change Value | Std. Dev. of Change Value | Total Fees | Mean Fees per Withdraw | Cost to Empty | Total Cost | Min Input Size | Max Input Size | Mean Input Size | Std. Dev. of Input Size | BnB Usage | SRD Usage | Knapsack Usage | #BnB no change | #SRD no change | #Knapsack no change |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 0.10000000 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -6.80000000E-7 | -6.80000000E-7 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 0.31879867 | 28.8540000000 | 23 | 267 | 438 | 233 | 2 | 193 | 40 | 0.00001028 | 0.10008595 | 0.0168504866321 | 0.0237728863736 | 0.01414483 | 0.0000607074248927 | -0.0000156400000 | 0.0141291900000 | 1 | 16 | 1.87982832618 | 1.95271163489 | 39 | 40 | 154 | 39 | 0 | 1 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 9.11272309 | 72.4640000000 | 208 | 594 | 708 | 406 | 2 | 321 | 85 | 0.00001028 | 1.31998244 | 0.122650562835 | 0.239886839516 | 0.03066277 | 0.0000755240640394 | -0.000141440000 | 0.030521330000 | 1 | 20 | 1.74384236453 | 1.93049575026 | 82 | 51 | 273 | 82 | 0 | 3 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 12.43928159 | 126.345333333 | 320 | 961 | 1045 | 539 | 2 | 403 | 136 | 0.00001028 | 1.31998244 | 0.133831908437 | 0.255654532915 | 0.04180569 | 0.0000775615769944 | -0.000217600000 | 0.041588090000 | 1 | 21 | 1.93877551020 | 2.35548067370 | 132 | 63 | 344 | 132 | 0 | 4 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 25.85583148 | 188.682500000 | 356 | 1318 | 1434 | 682 | 2 | 471 | 211 | 0.00001028 | 1.31998244 | 0.118646387941 | 0.241347042959 | 0.05237267 | 0.0000767927712610 | -0.000242080000 | 0.052130590000 | 1 | 21 | 2.10263929619 | 2.42563864436 | 207 | 77 | 398 | 207 | 0 | 4 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 30.87678356 | 225.572800000 | 409 | 1682 | 1839 | 818 | 4 | 565 | 253 | 0.00001028 | 2.38615227 | 0.183386959522 | 0.416678448269 | 0.06379292 | 0.0000779864547677 | -0.000278120000 | 0.063514800000 | 1 | 100 | 2.24816625917 | 4.42544968974 | 248 | 85 | 485 | 248 | 0 | 5 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 31.94559197 | 251.511000000 | 390 | 2010 | 2284 | 990 | 4 | 663 | 327 | 0.00001028 | 2.38615227 | 0.168318940498 | 0.393120399631 | 0.08147084 | 0.0000822937777778 | -0.000265200000 | 0.081205640000 | 1 | 100 | 2.30707070707 | 4.15384754763 | 322 | 107 | 561 | 322 | 0 | 5 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 84.82210395 | 286.040000000 | 660 | 2421 | 2485 | 1079 | 4 | 723 | 356 | 0.00001028 | 8.11225248 | 0.363837180913 | 1.01503499935 | 0.09051721 | 0.0000838899073216 | -0.000448800000 | 0.090068410000 | 1 | 100 | 2.30305838740 | 4.03462517281 | 351 | 115 | 613 | 351 | 0 | 5 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 162.27212670 | 348.548000000 | 887 | 2827 | 2722 | 1173 | 4 | 781 | 392 | 0.00001028 | 8.11225248 | 0.382966581536 | 1.02204069124 | 0.10016737 | 0.0000853941773231 | -0.000603160000 | 0.099564210000 | 1 | 100 | 2.32054560955 | 3.99610250080 | 386 | 121 | 666 | 386 | 0 | 6 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 316.56858727 | 420.253111111 | 1171 | 3232 | 2905 | 1268 | 4 | 843 | 425 | 0.00001028 | 8.11225248 | 0.373716017699 | 0.990641326779 | 0.10767759 | 0.0000849192350158 | -0.000796280000 | 0.106881310000 | 1 | 100 | 2.29100946372 | 3.87039616350 | 418 | 126 | 724 | 418 | 0 | 7 |
