id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00000957,0.00006785,6.78723404255E-8,knapsack,1,0,2,0.00018043,18,18,673
1,0.00010100,0.00000568,0.00004025,4.02836879433E-8,knapsack,1,0,2,0.00007375,18,18,399
2,0.00329400,0.00000459,0.00002205,2.20673076923E-8,srd,2,0,2,0.09999141,18,17,-311
3,0.00410100,0.00000312,0.00001499,1.5E-8,srd,2,0,2,0.09596104,17,16,-429
4,0.00329000,0.00000651,0.00004611,4.61702127660E-8,knapsack,1,0,2,0.09266453,16,16,457
5,0.00319400,0.00000953,0.00006753,6.75886524823E-8,knapsack,1,0,2,0.00009047,16,16,670
6,0.00040100,0.00001419,0.00010060,1.00638297872E-7,srd,1,0,2,0.09224934,16,16,997
7,0.00262000,0.00001481,0.00010498,1.05035460993E-7,srd,1,0,2,0.08961453,16,16,1040
8,0.00100000,0.00001486,0.00010539,1.05390070922E-7,srd,1,0,2,0.08859967,16,16,1044
9,0.00650000,0.00001342,0.00006448,6.45192307692E-8,srd,2,0,2,0.08217672,17,16,398
10,0.00014000,0.00001425,0.00010103,1.01063829787E-7,knapsack,1,0,2,0.08202247,16,16,1002
11,0.00310000,0.00000299,0.00002119,2.13571428571E-8,knapsack,1,0,2,0.07891948,23,23,211
12,0.00010100,0.00000954,0.00006764,6.76595744681E-8,knapsack,1,0,2,0.07880894,24,24,670
13,0.00113200,0.00000754,0.00005342,5.34751773050E-8,knapsack,1,0,2,0.07766940,24,24,530
14,0.00010200,0.00000313,0.00002215,2.21985815603E-8,knapsack,1,0,2,0.07756427,24,24,220
15,0.00400000,0.00001810,0.00012831,1.28368794326E-7,knapsack,1,0,2,0.07354617,30,30,1271
16,0.00100000,0.00001619,0.00011481,1.14822695035E-7,knapsack,1,0,2,0.07252998,30,30,1137
17,0.00300000,0.00003407,0.00024160,2.41631205674E-7,knapsack,1,0,2,0.06949591,32,32,2392
18,0.00665800,0.00003939,0.00027934,2.79361702128E-7,knapsack,1,0,2,0.06279852,32,32,2766
19,0.00110000,0.00003557,0.00025222,2.52269503546E-7,knapsack,1,0,2,0.06166295,32,32,2498
20,0.00090000,0.00002875,0.00020389,2.03900709220E-7,knapsack,1,0,2,0.06073420,32,32,2020
21,0.00110000,0.00002556,0.00018122,1.81276595745E-7,knapsack,1,0,2,0.05960864,32,32,1795
22,0.00209300,0.00003562,0.00025260,2.52624113475E-7,knapsack,1,0,2,0.05748002,32,32,2502
23,0.00332600,0.00002680,0.00019006,1.90070921986E-7,knapsack,1,0,2,0.05412722,32,32,1883
24,0.00424600,0.00002092,0.00014830,1.48368794326E-7,knapsack,1,0,2,0.04986030,32,32,1469
25,0.00333000,0.00002385,0.00016908,1.69148936170E-7,knapsack,1,0,2,0.04650645,32,32,1675
26,0.00200000,0.00002620,0.00018578,1.85815602837E-7,knapsack,1,0,2,0.04448025,32,32,1840
27,0.00337500,0.00002370,0.00016808,1.68085106383E-7,knapsack,1,0,2,0.04108155,32,32,1665
28,0.00300000,0.00002331,0.00016531,1.65319148936E-7,knapsack,1,0,2,0.03805824,32,32,1638
29,0.00294600,0.00002352,0.00016675,1.66808510638E-7,knapsack,1,0,2,0.03508872,32,32,1651
30,0.00332500,0.00003594,0.00025488,2.54893617021E-7,knapsack,1,0,2,0.03172778,33,33,2525
31,0.00332500,0.00003407,0.00024158,2.41631205674E-7,knapsack,1,0,2,0.02836871,33,33,2392
32,0.00330000,0.00002692,0.00019090,1.90921985816E-7,knapsack,1,0,2,0.02504179,33,33,1891
33,0.00336300,0.00001756,0.00012449,1.24539007092E-7,knapsack,1,0,2,0.02166123,33,33,1233
34,0.00333400,0.00003154,0.00022367,2.23687943262E-7,knapsack,1,0,2,0.01829569,36,36,2215
35,0.00030000,0.00002605,0.00018471,1.84751773050E-7,knapsack,1,0,2,0.01796964,36,36,1830
36,0.00300100,0.00001751,0.00012415,1.24184397163E-7,knapsack,1,0,2,0.01495113,36,36,1230
37,0.00332900,0.00000455,0.00003221,3.22695035461E-8,knapsack,1,0,2,0.01161758,37,37,320
38,0.00332700,0.00000767,0.00005433,5.43971631206E-8,knapsack,1,0,2,0.00828291,37,37,539
39,0.00332700,0.00001570,0.00011128,1.11347517730E-7,knapsack,1,0,2,0.00494021,37,37,1102
40,0.00322700,0.00002971,0.00021068,2.10709219858E-7,knapsack,1,0,2,0.00168350,37,37,2087
41,0.00332000,0.00003326,0.00010115,1.06261980831E-7,bnb,4,0,1,,37,33,181
42,0.00198400,0.00001183,0.00002268,3.10498687664E-8,bnb,5,0,1,,34,29,-2313
43,0.00322000,0.00001301,0.00004712,4.71376811594E-8,srd,3,0,2,0.00820599,29,27,-250
44,0.00505500,0.00004387,0.00031108,3.11134751773E-7,knapsack,1,0,2,0.00310712,29,29,3081
45,0.00105000,0.00005510,0.00039072,3.90780141844E-7,knapsack,1,0,2,0.00200202,30,30,3869
46,0.00020000,0.00005007,0.00035509,3.55106382979E-7,knapsack,1,0,2,0.00175195,30,30,3516
47,0.00086900,0.00005574,0.00039528,3.95319148936E-7,knapsack,1,0,2,0.00082721,30,30,3914
48,0.00020400,0.00011323,0.00080301,8.03049645390E-7,knapsack,1,0,2,0.00050998,31,31,7951
49,0.00322600,0.00017800,0.00099370,0.00000100564971751,bnb,2,0,1,,31,29,12266
50,0.00334300,0.00013257,0.00094015,9.40212765957E-7,srd,1,0,2,0.00592443,29,29,9309
51,0.00668000,0.00025200,0.00092398,0.00000102857142857,bnb,3,0,1,,29,26,19279
52,0.00332500,0.00013725,0.00097336,9.73404255319E-7,knapsack,1,0,2,0.00246218,26,26,9637
53,0.00332500,0.00018498,0.00096578,0.00000104508474576,bnb,2,0,1,,26,24,13081
54,0.00332500,0.00019281,0.00092693,9.26971153846E-7,srd,2,0,2,0.00748219,24,23,14802
55,0.00332500,0.00013270,0.00094109,9.41134751773E-7,knapsack,1,0,2,0.00402449,23,23,9318
56,0.00300000,0.00011776,0.00083513,8.35177304965E-7,knapsack,1,0,2,0.00090673,23,23,8268
57,0.00332700,0.00012792,0.00090717,9.07234042553E-7,srd,1,0,2,0.00654508,23,23,8982
