id,input_amounts
0,['0.00329000']
1,['0.00018043']
2,"['0.00329000', '0.10000000']"
3,"['0.09999141', '0.00007375']"
4,['0.09596104']
5,['0.00329400']
6,['0.09266453']
7,['0.09224934']
8,['0.08961453']
9,"['0.08859967', '0.00009047']"
10,['0.08217672']
11,['0.08202247']
12,['0.07891948']
13,['0.07880894']
14,['0.07766940']
15,['0.07756427']
16,['0.07354617']
17,['0.07252998']
18,['0.06949591']
19,['0.06279852']
20,['0.06166295']
21,['0.06073420']
22,['0.05960864']
23,['0.05748002']
24,['0.05412722']
25,['0.04986030']
26,['0.04650645']
27,['0.04448025']
28,['0.04108155']
29,['0.03805824']
30,['0.03508872']
31,['0.03172778']
32,['0.02836871']
33,['0.02504179']
34,['0.02166123']
35,['0.01829569']
36,['0.01796964']
37,['0.01495113']
38,['0.01161758']
39,['0.00828291']
40,['0.00494021']
41,"['0.00010000', '0.00168350', '0.00100000', '0.00056976']"
42,"['0.00014860', '0.00109000', '0.00010863', '0.00014860', '0.00050000']"
43,"['0.00329400', '0.00794500', '0.00020000']"
44,['0.00820599']
45,['0.00310712']
46,['0.00200202']
47,['0.00175195']
48,['0.00082721']
49,"['0.00011000', '0.00329400']"
50,['0.00940000']
51,"['0.00500000', '0.00103200', '0.00090000']"
52,['0.00592443']
53,"['0.00300000', '0.00050998']"
54,"['0.01000000', '0.00100000']"
55,['0.00748219']
56,['0.00402449']
57,['0.01000000']
58,['0.00654508']
59,['0.00314741']
60,['0.00483000']
61,['0.01010000']
62,"['0.00010610', '0.00331400']"
63,['0.01570000']
64,['0.01000000']
65,"['0.00145573', '0.00246218']"
66,['0.00659266']
67,['0.01229948']
68,['0.01569000']
69,"['0.00319581', '0.00048884']"
70,['0.00671754']
71,['0.00329400']
72,['0.00359184']
73,['0.00890095']
74,['0.00565064']
75,"['0.00225970', '0.00154024']"
76,['0.01227503']
77,['0.00882628']
78,['0.00543354']
79,['0.01300000']
80,['0.00961318']
81,"['0.02500000', '0.00620635']"
82,['0.02171809']
83,['0.01825917']
84,['0.01478881']
85,"['0.00090673', '0.01133289']"
86,"['0.00034660', '0.03535793']"
87,['0.00201971']
88,['0.00907657']
89,['0.00622440']
90,['0.01506368']
91,"['0.01157205', '0.00076900', '0.00300000']"
92,['0.00271387']
93,"['0.00013492', '0.00040846', '0.00980000']"
94,['0.00331400']
95,"['0.00154571', '0.00116444']"
96,['0.00329600']
97,"['0.00116387', '0.00016654']"
98,"['0.00910000', '0.03000000']"
99,['0.02392000']
100,['0.02182659']
101,['0.01973848']
102,['0.01507743']
103,['0.01297398']
104,['0.00300000']
105,['0.00984501']
106,['0.00181476']
107,['0.00666916']
108,['0.00107722']
109,"['0.00500000', '0.00120000']"
110,['0.00448126']
111,['0.00790000']
112,['0.01490000']
113,['0.00332004']
114,['0.00733581']
115,"['0.00015728', '0.00102716']"
116,"['0.00087643', '0.00120000', '0.00171142']"
117,['0.00016617']
118,['0.01069941']
119,['0.03500000']
120,['0.03194050']
121,['0.00508525']
122,['0.01450000']
123,['0.01109420']
124,['0.02264975']
125,['0.01462422']
