----BEGIN SIMULATION RESULTS----
Scenario: ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv
| Scenario File | Current Balance | Mean #UTXO | Current #UTXO | #Deposits | #Inputs Spent | #Withdraws | #Uneconomical outputs spent | #Change Created | #Changeless | Min Change Value | Max Change Value | Mean Change Value | Std. Dev. of Change Value | Total Fees | Mean Fees per Withdraw | Cost to Empty | Total Cost | Min Input Size | Max Input Size | Mean Input Size | Std. Dev. of Input Size | BnB Usage | SRD Usage | Knapsack Usage | #BnB no change | #SRD no change | #Knapsack no change |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 0.10000000 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -6.80000000E-7 | -6.80000000E-7 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 0.31878990 | 30.1160000000 | 29 | 267 | 437 | 233 | 3 | 198 | 35 | 0.00001053 | 0.09999141 | 0.0172290989899 | 0.0254874378375 | 0.01415360 | 0.0000607450643777 | -0.0000197200000 | 0.0141338800000 | 1 | 11 | 1.87553648069 | 1.80204691797 | 34 | 55 | 144 | 34 | 0 | 1 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 9.11243236 | 73.1950000000 | 237 | 594 | 703 | 406 | 3 | 345 | 61 | 0.00001053 | 1.31998244 | 0.108649742493 | 0.206541375213 | 0.03095350 | 0.0000762401477833 | -0.000161160000 | 0.030792340000 | 1 | 25 | 1.73152709360 | 1.96747406728 | 59 | 68 | 279 | 59 | 0 | 2 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 12.43947099 | 132.885333333 | 349 | 961 | 1038 | 539 | 3 | 425 | 114 | 0.00001053 | 1.31998244 | 0.0972741570824 | 0.192911872915 | 0.04161629 | 0.0000772101855288 | -0.000237320000 | 0.041378970000 | 1 | 25 | 1.92578849722 | 2.31651238461 | 112 | 82 | 345 | 112 | 0 | 2 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 25.85577028 | 194.395500000 | 347 | 1318 | 1461 | 682 | 5 | 489 | 193 | 0.00001053 | 1.31998244 | 0.0936233005521 | 0.188656922575 | 0.05243387 | 0.0000768825073314 | -0.000235960000 | 0.052197910000 | 1 | 35 | 2.14222873900 | 2.72024114967 | 190 | 94 | 398 | 190 | 0 | 3 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 30.87549995 | 223.160400000 | 328 | 1682 | 1918 | 818 | 5 | 563 | 255 | 0.00001053 | 1.31998244 | 0.0851735997869 | 0.177688269754 | 0.06507653 | 0.0000795556601467 | -0.000223040000 | 0.064853490000 | 1 | 104 | 2.34474327628 | 4.66802220746 | 251 | 106 | 461 | 251 | 0 | 4 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 31.94442428 | 232.613000000 | 272 | 2010 | 2397 | 990 | 5 | 658 | 332 | 0.00001053 | 1.31998244 | 0.0813365352128 | 0.175164636762 | 0.08263853 | 0.0000834732626263 | -0.000184960000 | 0.082453570000 | 1 | 104 | 2.42121212121 | 4.41792407471 | 327 | 133 | 530 | 327 | 0 | 5 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 84.81991763 | 250.881142857 | 498 | 2421 | 2633 | 1079 | 6 | 709 | 370 | 0.00001053 | 1.31998244 | 0.0889969723131 | 0.185211334952 | 0.09270353 | 0.0000859161538462 | -0.000338640000 | 0.092364890000 | 1 | 104 | 2.44022242817 | 4.29564804870 | 365 | 144 | 570 | 365 | 0 | 5 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 162.27046236 | 298.335000000 | 742 | 2827 | 2853 | 1173 | 6 | 767 | 406 | 0.00001053 | 1.31998244 | 0.0967895191917 | 0.195759212024 | 0.10183171 | 0.0000868130520034 | -0.000504560000 | 0.101327150000 | 1 | 104 | 2.43222506394 | 4.17225742138 | 401 | 153 | 619 | 401 | 0 | 5 |
| ../../coin-selection-simulation/scenarios/bustabit-2019-2020-tiny.csv | 316.56668080 | 359.792666667 | 1026 | 3232 | 3041 | 1268 | 6 | 834 | 434 | 0.00001053 | 1.31998244 | 0.101548217110 | 0.200442523305 | 0.10958406 | 0.0000864227602524 | -0.000697680000 | 0.108886380000 | 1 | 104 | 2.39826498423 | 4.05038084512 | 428 | 159 | 681 | 428 | 0 | 6 |
