id,input_amounts
0,"['0.00940000', '0.00014860']"
1,['0.00643448']
2,['0.00632780']
3,"['0.00329400', '0.00303069']"
4,['0.00329600']
5,"['0.00329000', '0.00329000']"
6,['0.00222057']
7,['0.00337195']
8,['0.00180538']
9,"['0.00079052', '0.00073714', '0.00500000']"
10,"['0.00000986', '0.00014860']"
11,"['0.01570000', '0.00329400']"
12,['0.01588959']
13,['0.01577905']
14,['0.01463951']
15,['0.01453438']
16,['0.01051628']
17,['0.00950009']
18,"['0.00331400', '0.00010000', '0.00331400']"
19,['0.00646602']
20,['0.00533045']
21,['0.00440170']
22,['0.00327614']
23,['0.00794500']
24,['0.00459220']
25,"['0.00390000', '0.00032528']"
26,['0.10000000']
27,['0.09797380']
28,['0.09457510']
29,['0.09155179']
30,['0.08858227']
31,['0.08522133']
32,['0.08186226']
33,['0.07853534']
34,['0.07515478']
35,['0.00086011']
36,['0.07178924']
37,"['0.00053406', '0.06877073', '0.00114752']"
38,['0.06711442']
39,['0.06377975']
40,['0.06043705']
41,['0.05718034']
42,['0.05384607']
43,['0.05185887']
44,['0.04863222']
45,['0.04353335']
46,['0.04242825']
47,['0.04217818']
48,['0.04125344']
49,['0.04093621']
50,['0.03757009']
51,['0.03409452']
52,['0.02728423']
53,['0.02382198']
54,['0.02036080']
55,['0.01690510']
56,['0.01344740']
57,['0.01032964']
58,['0.00687472']
59,['0.00347705']
60,['0.01300000']
61,['0.00962573']
62,['0.00624327']
63,['0.00483000']
64,['0.01000000']
65,['0.00659266']
66,"['0.00319711', '0.00043574']"
67,"['0.00284405', '0.00142948']"
68,"['0.00050000', '0.00100000', '0.00103200', '0.00100000']"
69,"['0.00329400', '0.00020000']"
70,"['0.00011000', '0.01000000']"
71,['0.00329400']
72,['0.00692458']
73,['0.00487298']
74,['0.00980000']
75,['0.00640906']
76,"['0.00304705', '0.00084482']"
77,"['0.00300000', '0.00041663']"
78,['0.01000000']
79,['0.00658617']
80,"['0.00162267', '0.00319935']"
81,"['0.02500000', '0.00076900']"
82,['0.01628074']
83,['0.01282182']
84,['0.00935146']
85,['0.00589554']
86,"['0.00278501', '0.00137821', '0.00090000', '0.01569000']"
87,"['0.00100000', '0.01010000']"
88,['0.00913786']
89,['0.00628569']
90,"['0.00300000', '0.00056976']"
91,['0.01714000']
92,['0.00195017']
93,"['0.03000000', '0.00034660']"
94,['0.00277516']
95,['0.02009824']
96,['0.01792998']
97,['0.03535793']
98,['0.01566114']
99,['0.03410175']
100,['0.03200834']
101,['0.02992023']
102,['0.02525918']
103,['0.02315573']
104,['0.00116387']
105,['0.02002676']
106,['0.01685091']
107,['0.01520232']
108,['0.00107722']
109,['0.01301442']
110,"['0.00053912', '0.00078201']"
111,['0.00062560']
112,['0.00802546']
113,['0.00382487']
114,['0.00910000']
115,['0.00368548']
116,"['0.00263430', '0.00006080', '0.00109000']"
117,['0.00020186']
118,"['0.00120000', '0.00444318']"
119,"['0.00300000', '0.00008000']"
120,"['0.00091371', '0.00500000', '0.00341677']"
121,"['0.00006000', '0.00500000']"
122,"['0.00090000', '0.00163049', '0.00090000']"
123,"['0.00300000', '0.00200000', '0.00066211', '0.00087643', '0.00200000']"
124,"['0.00080000', '0.00454585', '0.00270000']"
125,"['0.00013083', '0.00290000', '0.00110000', '0.00592000']"
126,"['0.01109159', '0.00025639', '0.00370000']"
127,['0.00800000']
128,['0.00597456']
129,"['0.00460944', '0.00006141', '0.00002570']"
130,"['0.00464370', '0.00040000', '0.00010000', '0.00100000']"
131,['0.01780000']
132,['0.01167143']
133,"['0.00100000', '0.03500000']"
134,['0.00530340']
135,"['0.00252632', '0.00146091', '0.02496276']"
136,['0.01892276']
137,['0.00890068']
138,['0.00687754']
139,['0.00517472']
140,"['0.00800000', '0.00049540', '0.00226500', '0.00228044']"
141,['0.00355870']
142,"['0.00069882', '0.00490000']"
143,['0.00153292']
144,['0.00352739']
145,"['0.00280000', '0.00169500', '0.00480000']"
146,"['0.00200000', '0.00108470']"
147,"['0.00100000', '0.00070000']"
148,"['0.00010000', '0.00010863', '0.00002536', '0.00200000', '0.00213902', '0.00141200']"
149,"['0.00290000', '0.00003446', '0.00300000', '0.00390000']"
150,"['0.00500000', '0.00120000', '0.00360000']"
151,"['0.00500000', '0.00480000', '0.00600000', '0.01000000', '0.01680000', '0.00860000', '0.00790000']"
152,"['0.00040000', '0.00171142']"
153,"['0.01490000', '0.00500000', '0.00600000', '0.00969612', '0.01450000']"
154,['0.01000000']
155,['0.00900000']
156,"['0.00300000', '0.06000000', '0.00980000', '0.01000000', '0.00880000', '0.00577252', '0.01500000', '0.00880000']"
157,"['0.00004816', '0.00263338', '0.00090000']"
158,"['0.00480000', '0.00100000']"
159,"['0.00006618', '0.01000000', '0.04000000', '0.05000000']"
160,"['0.00300000', '0.00090000', '0.05900000', '0.00493859', '0.02959206', '0.00180000', '0.00084400']"
161,"['0.00100000', '0.00100000', '0.00100000', '0.00100000', '0.00963986', '0.00100000', '0.01990000', '0.01000000', '0.00100000', '0.02000000', '0.00100000', '0.03300000', '0.00500000']"
162,['0.07024500']
163,"['0.06521684', '0.00439981']"
164,['0.06559676']
165,['0.06058906']
166,['0.05558455']
167,['0.05488028']
168,['0.05186382']
169,['0.04184560']
170,['0.04082760']
171,['0.03078644']
172,['0.02940609']
173,['0.02811749']
174,['0.02359683']
175,['0.01859245']
176,"['0.00100000', '0.00250000', '0.00040000', '0.00021000', '0.00500000', '0.00000200', '0.00100000', '0.00010000']"
177,"['0.00300000', '0.00038000', '0.00700000', '0.00017000']"
178,"['0.00980000', '0.00000100', '0.00090000']"
179,['0.00500000']
180,['0.00469455']
181,"['0.00838618', '0.00438896']"
182,"['0.00900000', '0.00247155']"
183,['0.05000000']
184,"['0.00500000', '0.00800000']"
185,['0.00065729']
186,['0.00188175']
187,['0.03967221']
188,['0.02865320']
189,"['0.01453878', '0.00124366', '0.00045108']"
190,['0.00511220']
191,['0.00310583']
192,"['0.01000000', '0.00090000', '0.00170000']"
193,"['0.00004550', '0.00099628', '0.01000000']"
194,['0.01000000']
195,['0.00797316']
196,"['0.01000000', '0.01000000']"
197,['0.00442835']
198,['0.00338944']
199,['0.06000000']
200,['0.00211791']
201,['0.04102053']
202,['0.00047541']
203,['0.03337850']
204,"['0.00001435', '0.00006557', '0.00025001', '0.00685244', '0.00009598']"
205,"['0.00900000', '0.00014000', '0.00400000']"
206,['0.02310000']
207,"['0.00569251', '0.00417717', '0.00626550']"
208,"['0.00050000', '0.00100000', '0.00044827', '0.00028000', '0.00180000']"
209,['0.00211706']
210,['0.00109412']
211,['0.09980000']
212,"['0.00086966', '0.01090000', '0.08145665', '0.00390000', '0.00318000']"
213,"['0.02400000', '0.02471042']"
214,['0.01738481']
215,"['0.00990000', '0.01570000', '0.02000000', '0.01944692', '0.01000000']"
216,['0.01707495']
217,"['0.02900000', '0.00180000', '0.06000000', '0.00019558', '0.00006080', '0.00900000']"
218,"['0.00097600', '0.00039116', '0.00099000', '0.00290000', '0.01950000', '0.00229870', '0.00010000', '0.00193800', '0.00090000', '0.00005460', '0.00005460']"
219,['0.00705216']
220,['0.00684417']
221,"['0.01000000', '0.01000000', '0.00200000', '0.01000000', '0.01000000', '0.00969500', '0.01000000', '0.00390000', '0.01000000', '0.05000000']"
222,['0.05000000']
223,['0.00126777']
