id,input_amounts
0,['0.00046000']
1,['0.10000000']
2,['0.09950495']
3,['0.09918192']
4,['0.09886031']
5,['0.09591190']
6,['5.73004593']
7,['1.91285970']
8,['0.09509449']
9,['0.09480262']
10,['0.06472062']
11,['2.98592356']
12,['0.80435539']
13,['0.02948222']
14,['0.77303701']
15,['0.02920244']
16,['0.01229062']
17,['0.00384523']
18,['0.67811457']
19,['0.67189252']
20,"['0.66567047', '1.09288664']"
21,['0.58260298']
22,['0.57273175']
23,"['0.03300516', '0.56100365', '0.00131873', '0.09136964']"
24,['7.14130000']
25,['0.03992618']
26,['7.08409940']
27,['6.81457958']
28,['0.00263797']
29,['0.00244196']
30,['0.03772031']
31,['0.03059796']
32,['0.00211231']
33,['0.02824741']
34,['0.00190356']
35,['6.68387273']
36,['0.01635326']
37,['0.01424475']
38,['0.00159841']
39,['0.01274206']
40,['0.00140037']
41,['0.01056171']
42,['0.00119549']
43,['6.10278033']
44,['6.06089782']
45,['5.84407788']
46,['3.25168414']
47,['0.00902550']
48,['3.18000062']
49,['3.17555610']
50,['0.00380708']
51,['0.00014333']
52,['3.13708732']
53,['0.00099711']
54,['2.69014386']
55,['0.00083069']
56,['2.24370622']
57,['2.15011387']
58,['2.03095749']
59,['2.01811219']
60,['1.99795790']
61,['0.17342441']
62,['2.35830000']
63,['0.16881896']
64,['0.06927290']
65,['0.05116683']
66,['0.03620303']
67,['0.00066463']
68,['0.00775117']
69,['2.15815393']
70,"['0.01040000', '0.00051753', '0.03123869', '1.89901035']"
71,['0.03442858']
72,"['2.25683172', '0.15234500']"
73,['2.10523247']
74,['24.38491900']
75,['1.74260247']
76,['18.30179094']
77,['10.34623557']
78,['1.72057006']
79,"['1.67188206', '0.00760407', '0.00171973', '36.38510000', '0.09807589']"
80,['0.02140125']
81,['5.43899593']
82,['5.37650197']
83,['4.76260011']
84,['3.32864992']
85,"['0.37801960', '0.13000000', '0.49900000', '0.28280218', '0.13066032', '0.26384898', '0.27780364', '0.13016508', '14.41445754']"
86,"['3.31074873', '0.01145261']"
87,['0.01599313']
88,['0.00290888']
89,['3.30232540']
90,['0.00612433']
91,['0.00438929']
92,['3.28912683']
93,['3.27299035']
94,['2.87285387']
95,['2.82871739']
96,['1.82858091']
97,['1.66363727']
98,['1.44929911']
99,['0.00184183']
100,['0.00170285']
101,['0.00156387']
102,['0.00142489']
103,['0.00128644']
104,['0.00070968']
105,['0.00192954']
106,['0.00820871']
107,['0.00136213']
108,"['0.00981188', '0.00800000', '0.03700000', '0.01100000', '0.00934461', '1.44253374', '0.37317718']"
109,['0.00122683']
110,['0.00035931']
111,"['0.00560197', '0.00022789']"
112,['0.00089320']
113,['0.00664207']
114,['0.00076178']
115,['0.13033016']
116,['0.00063036']
117,['0.12455523']
118,['0.11878031']
119,['0.11711733']
120,['0.09842851']
121,['0.00049894']
122,['0.09265370']
123,['0.00086708']
124,['0.08687905']
125,['0.08110440']
126,['0.00036783']
127,['0.00073597']
128,['0.07532959']
129,['0.00060486']
130,['0.06955498']
131,['0.00047375']
132,['0.06378035']
133,['0.00034264']
134,['0.05800589']
135,['0.05223154']
136,['0.05210074']
137,['0.00017460']
138,['0.04632626']
139,['0.04055194']
140,['0.03477758']
141,['0.03464678']
142,['0.03451598']
143,['0.02874169']
144,['0.02861089']
145,['0.02588174']
146,['0.01568609']
147,"['6.84288194', '8.84991102']"
148,['5.90170088']
149,['5.85157578']
150,['0.00598958']
151,['0.00586066']
152,['0.00434215']
153,['0.00048151']
154,['5.84102884']
155,['5.83573956']
156,['5.82325207']
157,['3.89750130']
158,['0.00021184']
159,['0.00035350']
160,['1.97200059']
161,['0.00421414']
162,['1.96670488']
163,['1.93899296']
164,['1.11875393']
165,['1.04549904']
166,['1.03773920']
167,['1.03199683']
168,['1.02230873']
169,['0.97422218']
170,['0.90159498']
171,['0.82726705']
172,['0.56661465']
173,['0.00102730']
174,['0.33903099']
175,['0.29587746']
176,['0.00331542']
177,['0.29312861']
178,['0.15761153']
179,['0.15067683']
180,"['0.00564905', '0.97339885', '0.00022580', '0.00564910', '0.00564909', '0.00256677', '0.01114421', '0.01413500', '0.00564914', '0.00564906', '0.00090544', '0.13858549', '0.00569945', '0.02900000', '0.00008398', '0.00664104', '0.00103373', '0.00007230', '0.00663588', '0.00519207', '0.00615171', '0.01246026', '0.00405736']"
181,"['4.59877152', '0.70959853']"
182,['0.02843309']
183,['0.01634455']
184,['0.01575425']
185,"['0.02404671', '0.04657040', '0.01100648', '0.00632321', '0.01408371', '0.02640675', '0.10000000', '0.00520488']"
186,['0.00300000']
187,['0.14852427']
188,['0.00288118']
189,['0.03633818']
190,['0.03355938']
191,['9.74076245']
192,['0.03019258']
193,['8.75912360']
194,['0.02866323']
195,['7.78173040']
196,['0.02588443']
197,['6.80717015']
198,['0.02210508']
199,['5.83644015']
200,['0.02032528']
201,['4.86754410']
202,['0.01754493']
203,['3.90148090']
204,['0.01526458']
205,['0.01223478']
206,['2.93774950']
207,['0.00945498']
208,['1.97993545']
209,['218.32762463']
210,['0.08391344']
211,['218.21236318']
212,['0.05273183']
213,['218.16158207']
214,['0.98494485']
215,['218.06433620']
216,['0.07811508']
217,['217.97192201']
218,['0.94633528']
219,['0.94889205']
220,['217.73420270']
221,"['0.78322314', '0.04208708', '0.02015838', '0.02021198']"
222,"['0.00023672', '216.70288719', '0.00135238', '0.00166700']"
223,['0.74475117']
224,['0.03596880']
225,"['0.00004380', '0.02633631', '0.02232910']"
226,['216.61335920']
227,['0.05846990']
228,['216.27567643']
229,['216.26599034']
230,['0.04814507']
231,['216.18025331']
232,"['0.03072374', '1.02909665']"
233,['0.06295674']
234,['0.97886225']
235,['216.04578099']
236,['0.39026108']
237,['0.02160007']
238,['0.00524401']
239,['201.37638461']
240,['0.00747443']
241,"['0.93070462', '0.00800818', '0.00564979']"
242,['0.22549276']
243,['0.00461063']
244,['200.43400256']
245,['0.01653127']
246,"['0.06814875', '0.91309745']"
247,['0.00316383']
248,['0.01366647']
249,['199.50012211']
250,['198.57541386']
251,['0.16560971']
252,['197.65220701']
253,['196.73200256']
254,['0.16266091']
255,['0.00379721']
256,['0.22146096']
257,['195.26654915']
258,['0.00896667']
259,['193.06838466']
260,['0.03960857']
261,['0.40712145']
262,['0.03407377']
263,"['0.00478994', '0.05023055']"
264,['0.04504917']
265,['0.07664601']
266,['192.14501001']
267,['0.00086791']
268,['0.01687523']
269,['0.00075205']
270,['0.07007558']
271,['0.00063644']
272,['0.00052083']
273,['0.98777725']
274,['0.00171703']
275,['0.00160142']
276,['0.00780488']
277,['0.00040522']
278,['191.91196040']
279,['0.97836137']
280,['0.00008996']
281,['0.00148624']
282,['0.05768122']
283,['0.00137397']
284,['0.04864831']
285,['191.90693038']
286,"['0.00346807', '0.00530900']"
287,['0.00126170']
288,['190.97918202']
289,['0.00029004']
290,['0.00114984']
291,"['0.03273401', '0.00853912']"
292,['190.97040014']
293,"['0.00133500', '0.00408000']"
294,['190.96907007']
295,['0.59663566']
296,['0.06137494']
297,['216.03046962']
298,['0.01480000']
299,['0.42001369']
300,['0.00076038']
301,['0.01127014']
302,['0.00065100']
303,['0.03152186']
304,['0.00017818']
305,['0.39373906']
306,['0.38792312']
307,['0.00054162']
308,['216.02816170']
309,['0.02570580']
310,"['0.00564896', '0.00020000']"
311,['0.01989015']
312,['0.00896360']
313,['0.00664516']
314,['0.00082938']
315,['0.02776271']
316,['0.00043224']
317,['0.01978103']
318,['0.00821834']
319,['0.00032312']
320,['0.00887813']
321,['189.19304710']
322,['0.00072026']
323,['0.00061114']
324,['0.01396527']
325,"['0.00050202', '0.00535304']"
326,['0.02194703']
327,['0.00103798']
328,"['0.00021400', '0.00413777', '0.00306238']"
329,['216.02234570']
330,['0.00092886']
331,['0.38210723']
332,['0.00082000']
333,['189.18907477']
334,['0.00071114']
335,['0.00060228']
336,"['0.00545407', '0.00240252']"
337,['0.01385615']
338,['0.00049342']
339,['0.00199195']
340,"['189.18325939', '0.00314780']"
341,['0.37629176']
342,"['0.01613123', '0.00804066']"
343,['0.00293929']
