id,input_amounts
0,['0.00046000']
1,['0.10000000']
2,['0.09950495']
3,['0.09918192']
4,['0.09886031']
5,['0.09591190']
6,['5.73004593']
7,['1.91285970']
8,['0.09509449']
9,['0.09480262']
10,['0.06472062']
11,['2.98592356']
12,['0.80435539']
13,['0.02948222']
14,['0.77303701']
15,['0.02920244']
16,['0.67811457']
17,['0.01229062']
18,['0.66966918']
19,['0.01108336']
20,"['0.66344713', '1.09288664']"
21,['0.58037964']
22,['0.57050841']
23,"['0.00131873', '7.14130000']"
24,['0.55878031']
25,['0.00486131']
26,['0.50157971']
27,['0.23205989']
28,['0.00265544']
29,['0.00245943']
30,['0.10135304']
31,['0.09423069']
32,['0.00212978']
33,['0.09188014']
34,['0.00192103']
35,['6.49605173']
36,['0.07998599']
37,['0.07787748']
38,['0.00161588']
39,['0.07637479']
40,['0.00141784']
41,['0.07419444']
42,['0.00121296']
43,['0.07265823']
44,['5.91495933']
45,['5.69813939']
46,['3.10574565']
47,['0.03077572']
48,['0.02995893']
49,['3.03406213']
50,['0.00380708']
51,['0.00014333']
52,['2.99559335']
53,['0.00101458']
54,['2.54864989']
55,['0.00084816']
56,['2.10221225']
57,['2.00861990']
58,['0.02551441']
59,['1.88946352']
60,['1.86930923']
61,['0.01266911']
62,"['0.03442858', '0.04477574', '0.15234500']"
63,"['0.13033016', '0.00068210']"
64,['0.03126341']
65,['0.03139680']
66,['0.03300516']
67,['0.00455330']
68,['0.00440620']
69,"['0.00934461', '0.13000000', '0.28280218']"
70,['2.25683172']
71,['0.09136964']
72,['0.31586082']
73,"['0.13066032', '2.35830000']"
74,['24.38491900']
75,"['0.01643300', '0.01198357']"
76,['18.30179094']
77,['10.34623557']
78,['0.07834231']
79,"['0.00806366', '0.01315734', '0.09807589', '0.27780364', '0.26384898', '0.02965431', '0.37801960', '0.16286767', '0.03123869', '0.01413500', '0.00102730', '36.38510000', '0.49900000']"
80,['2.12626332']
81,['2.11631468']
82,['2.05382072']
83,['5.43899593']
84,['1.43991886']
85,"['14.41445754', '1.42201767', '8.84991102']"
86,['4.00504574']
87,['3.98523680']
88,['0.00425910']
89,['3.97536800']
90,['0.00631716']
91,['0.00319205']
92,['3.96216943']
93,['3.94603295']
94,['3.54589647']
95,['3.50175999']
96,['2.50162351']
97,['2.33667987']
98,['2.12234171']
99,['0.00073230']
100,['0.00059332']
101,['0.00045434']
102,['0.00031536']
103,['0.00458212']
104,['0.00400536']
105,['0.00365499']
106,['2.11557634']
107,['0.00308758']
108,['2.11296960']
109,['0.00295228']
110,['0.00261865']
111,['0.22245262']
112,['0.00248723']
113,['0.21667749']
114,['0.00235581']
115,['0.21090250']
116,['0.00017691']
117,['0.20512757']
118,['0.19935265']
119,['0.19768967']
120,['0.17900085']
121,['0.00222439']
122,['0.17322604']
123,['0.00209328']
124,['0.16745139']
125,['0.16167674']
126,['0.00196217']
127,['0.00183106']
128,['0.15590193']
129,['0.00169995']
130,['0.15012732']
131,['0.00156884']
132,['0.14435269']
133,['0.00143773']
134,['0.13857823']
135,['0.00130693']
136,['0.13280388']
137,['0.00117613']
138,['0.12702940']
139,['0.12125508']
140,['0.00104533']
141,['0.00091453']
142,['0.11548072']
143,['0.00078373']
144,['0.10970643']
145,['0.10697728']
146,['0.09678163']
147,"['8.19602902', '6.84288194']"
148,['0.08708512']
149,['0.03696002']
150,['0.00065293']
151,['0.02641308']
152,['0.00052401']
153,['0.00039600']
154,['0.02489457']
155,['0.01960529']
156,['5.24781888']
157,['3.32206811']
158,['0.00026799']
159,['0.00711780']
160,['1.39656740']
161,['0.00699010']
162,['1.39127169']
163,['1.36355977']
164,['0.54332074']
165,['0.47006585']
166,['0.46230601']
167,['0.45656364']
168,['0.44687554']
169,['0.39878899']
170,['0.32616179']
171,"['0.02640675', '0.25183386']"
172,['0.37317718']
173,['0.00534273']
174,['0.14559352']
175,['0.00522087']
176,['0.01753227']
177,"['0.01114421', '0.00800000', '0.01408371', '0.10243999']"
178,['0.01525058']
179,['0.02776271']
180,"['0.10000000', '0.00564910', '0.00564900', '0.02900000', '0.00519207', '0.00405736', '4.59877152']"
181,"['0.00615171', '4.21256478', '0.97339885', '0.00445000', '0.04657040', '0.03700000']"
182,['0.01567137']
183,['0.00247202']
184,['0.00831588']
185,"['0.00632321', '0.00564905', '0.00664207', '0.01100000', '0.00564896', '0.13016508', '0.01040000', '0.00981188', '0.02404671', '0.00007230', '0.01246026', '0.00663588', '0.00503431']"
186,['0.00188172']
187,['0.14852427']
188,['0.00356811']
189,['0.03633818']
190,['0.00564908']
191,['9.74076245']
192,['0.00358283']
193,['8.75912360']
194,['0.98494485']
195,"['0.98216605', '0.00048151']"
196,['7.78173040']
197,['7.77795105']
198,['0.00176290']
199,['6.80722105']
200,['218.32762463']
201,['0.97886225']
202,['0.00228228']
203,['0.98777725']
204,['0.00803371']
205,['0.03355938']
206,['5.83832500']
207,['0.02404585']
208,['4.88051095']
209,['218.32484428']
210,"['0.08113309', '0.00203931']"
211,['218.21236318']
212,"['0.00205348', '0.03077958', '0.00004549']"
213,['218.16158207']
214,"['0.05846990', '0.02021198']"
215,['218.06433620']
216,['0.04001871']
217,['217.97192201']
218,"['0.00399071', '0.03596880', '0.07811508', '0.00564906', '0.07806148']"
219,['3.92967215']
220,['217.73420270']
221,['0.94889205']
222,['216.70288719']
223,"['3.76400324', '0.01401991', '0.16560971', '0.05841630']"
224,['3.66425626']
225,['0.05193719']
226,['216.61335920']
227,['0.96053465']
228,['216.27567643']
229,['216.26599034']
230,['3.65462377']
231,['216.18025331']
232,"['0.03152186', '0.95620085', '0.02259905']"
233,['0.06295674']
234,['0.88115133']
235,['216.04578099']
236,"['0.06814875', '0.00236782', '0.00524401', '201.37638461']"
237,['0.01279905']
238,['0.00438073']
239,['0.95020982']
240,['0.00500391']
241,"['0.08335210', '0.00519256', '0.00664104', '0.02015838', '0.00898577', '0.81538653']"
242,['0.00773025']
243,['0.00293393']
244,['3.63720244']
245,['0.00564914']
246,['2.70332199']
247,['0.00782777']
248,"['0.00369845', '0.00104918']"
249,['1.77235994']
250,"['0.84765169', '0.39026108']"
251,['0.02160007']
252,['201.28721447']
253,['200.36701002']
254,['0.31465232']
255,['0.00638097']
256,['0.20967263']
257,['198.90155661']
258,['0.00278434']
259,['196.70339212']
260,['0.01865127']
261,['195.78001747']
262,['195.44954203']
263,"['0.00664516', '0.00331542']"
264,"['0.02782024', '0.00162255']"
265,['0.01311647']
266,['195.41960603']
267,['0.00121567']
268,['195.18655642']
269,['0.00109981']
270,"['0.08385984', '0.00017460']"
271,['0.00098420']
272,['0.00086859']
273,['0.07528146']
274,['0.00075298']
275,['0.00063737']
276,['0.66366367']
277,['0.00052219']
278,['195.17822031']
279,['0.65879808']
280,['0.00008996']
281,['0.00040701']
282,['0.06586558']
283,['0.00148713']
284,['0.05683267']
285,['195.17319029']
286,"['0.00530900', '0.00346807']"
287,['0.00029474']
288,['0.04091837']
289,['0.00137486']
290,['0.00126300']
291,['0.27707237']
292,['194.24544193']
293,['0.00654604']
294,['194.24411186']
295,['0.23660987']
296,['0.05998790']
297,['0.00871639']
298,['192.46808889']
299,['0.17229235']
300,['0.00115114']
301,['0.00640847']
302,['0.00059240']
303,['0.00988310']
304,['0.00048302']
305,['0.03213649']
306,"['0.00564909', '0.00020000']"
307,['0.00037364']
308,['192.45864193']
309,['215.84856363']
310,['0.02632055']
311,['0.00104176']
312,['0.02050479']
313,['0.01468899']
314,['0.00093264']
315,"['0.00571209', '0.00014013']"
316,['0.00082352']
317,['0.01514497']
318,['0.94376965']
319,['0.00116733']
320,['215.84274798']
321,['0.00887321']
322,['0.00018288']
323,['0.00071440']
324,['0.00060528']
325,['0.14601772']
326,['4.91620000']
327,['0.00047520']
328,"['0.00214011', '0.00520488']"
329,"['4.91038420', '0.00007376']"
330,['0.00026426']
331,['0.14020192']
332,['0.00015540']
333,['0.13438645']
334,['0.00049616']
335,['0.00036608']
336,['192.45282593']
337,['192.44701043']
338,['192.44119494']
339,['0.00345167']
340,['0.12857107']
341,['0.10213935']
